,FSC-A,SSC-A,FL1-A,FL2-A,FL3-A,FL4-A,FSC-H,SSC-H,FL1-H,FL2-H,FL3-H,FL4-H,Width,Time
0,0,2289,96228,14819,4837,0,5177,2283,95018,14246,4942,305,70,1099
1,0,846,1636,930,2636,87,1805,2689,1549,1012,2631,438,29,1099
2,819,3265,54474,6418,2427,231,7788,5772,49169,5932,2593,252,85,1099
3,756,1675,34396,6421,1903,0,6333,2554,31860,6177,1876,104,65,1099
4,0,71,1444,293,558,146,4113,528,2608,309,804,179,17,1099
5,1026,354,119454,18135,6089,246,3985,2070,119519,17668,5737,805,70,1099
6,2576,621,79268,12408,2137,75,8819,1234,78442,11536,2043,134,88,1099
7,0,0,45085,8126,3188,214,1878,697,47192,8057,3230,181,50,1099
8,1106,1321,46796,8146,2155,459,2807,1765,45961,7614,2403,445,66,1099
9,0,828,27508,4461,1313,0,3676,2292,26618,3862,1370,168,63,1099
10,0,81,50058,7210,1837,0,6785,1157,48173,7102,2107,103,65,1099
11,1602,800,70019,10217,2938,72,7668,2877,65330,9778,2817,463,69,1099
12,525,281,1763,550,460,4,7178,1586,1705,437,403,190,29,1099
13,1362,0,42480,6525,2089,185,9150,773,43283,6314,1518,350,69,1099
14,1941,149,42716,6620,3118,0,8375,652,44210,6794,2674,369,51,1099
15,0,849,1010,518,815,206,3131,2584,1149,513,736,342,21,1099
16,308,63,28994,4806,2650,0,4051,2131,30051,4685,2364,62,57,1099
17,0,0,50505,7548,2185,413,3928,1196,48150,7307,1638,556,82,1099
18,4028,124,51956,7349,1440,0,10528,671,52830,6963,1816,232,70,1099
19,0,1230,65100,9247,3059,251,2596,3079,63865,8667,2562,689,84,1099
20,0,250,36867,5231,2745,0,5200,1801,35948,4874,1470,233,66,1099
21,1094,391,38042,6201,3101,129,7286,1827,37166,5652,2182,481,65,1099
22,0,487,28996,4881,2071,254,2185,1550,29148,4761,1309,499,45,1099
23,0,1376,35321,6133,2100,403,7942,2781,37464,6119,2111,366,49,1099
24,300,347,61525,8704,3925,0,6315,1358,60014,8168,3789,347,67,1099
25,0,914,42123,6640,2656,516,7166,2808,42226,6347,3068,429,65,1099
26,1867,997,63348,9105,2448,189,8444,2100,63475,8839,2495,252,66,1099
27,85,0,29981,4448,1141,711,3926,793,29847,4506,1443,545,62,1099
28,2959,56,44139,6316,2097,0,8650,1511,43529,6171,2201,231,64,1099
29,2062,950,40566,6188,2444,413,8355,1550,40340,6184,1914,448,66,1099
30,0,280,29423,4897,2518,0,5974,1269,28933,4898,1973,538,68,1099
31,25,299,3101,357,504,225,2271,1004,3362,399,472,234,31,1099
32,1883,4181,39058,6323,2024,730,6317,8185,39286,5919,1592,912,49,1099
33,0,564,49538,7684,3539,231,6802,1558,50676,7603,3806,235,48,1099
34,0,1355,54077,7703,2986,0,4627,2395,53251,7630,3056,389,84,1099
35,3359,1242,45678,6823,2279,33,8450,1779,50003,7334,2330,462,51,1099
36,0,602,45395,7008,2805,0,7615,1246,43026,6383,2514,310,68,1099
37,0,0,42673,6426,2966,0,5202,838,45072,6637,2789,263,48,1099
38,367,2,58704,8987,2419,339,4047,848,56811,8917,2831,448,66,1099
39,0,345,46838,7126,2588,381,2406,2558,48646,6834,2817,540,65,1099
40,0,1159,35591,6071,2382,0,3420,2584,36919,5643,2227,82,59,1099
41,33,667,43327,7259,6144,29,4164,2211,43765,7097,6173,238,63,1099
42,1089,1342,42561,6315,2814,242,3588,1945,42194,6015,2131,315,76,1099
43,0,0,48127,7410,2266,481,6291,947,47133,6723,2930,433,65,1099
44,0,0,84680,11500,4087,144,7493,320,85747,11365,3492,317,69,1099
45,0,0,1839,337,143,0,628,0,2048,328,119,20,26,1099
46,0,708,55415,7932,2415,65,5176,1379,53719,7601,1774,345,50,1099
47,3669,277,45401,7145,2338,65,7184,1837,45178,7069,2353,380,68,1099
48,0,652,11032,2328,1401,345,1172,2109,11876,2126,1276,618,39,1099
49,815,1039,26964,4790,3017,0,11574,1668,28627,5280,3390,67,44,1100
50,2527,2534,46635,6341,1936,0,9404,2862,46093,6584,2181,54,68,1100
51,4810,992,57033,8365,2387,153,9178,1360,55639,7836,2147,475,65,1100
52,1355,1045,89627,12479,3499,0,3948,1638,86191,12069,3469,271,69,1100
53,687,818,44138,5790,2712,64,6512,1886,42806,5478,2943,128,66,1100
54,0,2829,43457,5855,3341,50,4613,5405,42729,5685,2391,431,49,1100
55,965,1118,38708,5572,3281,139,4339,1962,36010,5468,2572,449,82,1100
56,694,1674,33126,4675,1478,348,4247,2408,32384,4683,1761,228,65,1100
57,0,705,31341,4882,2123,306,1491,2067,30905,4877,1768,300,50,1100
58,0,1822,33974,5561,2169,261,1557,2701,31200,5053,1605,146,67,1100
59,1525,0,28555,4343,1988,335,7802,1218,28757,4081,1663,436,47,1100
