,FSC-A,SSC-A,FL1-A,FL2-A,FL3-A,FL4-A,FSC-H,SSC-H,FL1-H,FL2-H,FL3-H,FL4-H,Width,Time
0,4292,720,42088,5594,2667,1,8108,1894,35673,4707,1464,217,87,155
1,5146,2133,46563,6802,2072,279,11611,2483,42443,5684,1709,232,85,155
2,1195,1155,47266,7532,2658,19,6245,2397,46300,7268,2469,283,84,155
3,0,815,38999,6351,1592,29,4093,1169,36044,5670,1069,229,81,156
4,0,0,1061,276,330,161,5356,0,1618,229,196,138,18,156
5,1327,5572,43767,6499,2777,38,5957,10483,40452,5765,2569,200,49,156
6,0,0,38732,5927,1806,0,8152,1015,35663,5260,1276,304,69,156
7,791,1,11314,1412,667,105,6823,1027,11046,1479,637,76,44,156
8,1432,332,32170,4662,1935,0,4905,1030,30402,4429,1714,412,51,156
9,3954,335,32048,5263,2010,396,9182,1188,29844,4827,2315,407,65,156
10,0,2270,42885,6313,1458,0,5554,3206,38633,5755,1604,119,66,156
11,2725,591,13618,2269,939,0,8701,2489,11912,1762,939,52,48,156
12,399,615,28866,4757,2192,187,4709,2497,26785,4143,1804,390,64,156
13,0,0,1612,357,434,361,2893,452,1244,274,258,351,34,156
14,0,1769,46314,5936,1434,654,5553,3188,40278,5230,1325,591,83,156
15,393,0,41943,6091,1711,228,3444,545,36698,5243,1822,192,50,156
16,1024,898,35631,5274,1357,499,4639,1772,35348,4938,927,226,50,156
17,2201,431,42488,6516,2009,595,6348,1824,38265,5673,1337,608,68,156
18,357,1006,38941,5894,3272,18,7032,3364,34736,5370,2389,214,81,156
19,2922,714,40406,6103,1529,0,7135,1526,37676,5329,1247,213,69,156
20,0,685,14006,2922,830,100,4497,1821,13144,2668,888,283,46,156
21,0,167,43065,6521,1883,449,4232,2121,39883,6148,1605,663,66,156
22,1693,0,27395,3696,1229,0,6231,996,22778,2979,1190,401,67,156
23,255,35,947,175,323,82,3390,481,1439,97,115,0,17,156
24,0,0,67597,9856,2881,0,7884,94,62094,8810,2552,80,71,156
25,4055,1101,71714,11968,4240,299,13309,2185,62928,10361,3640,800,72,156
26,1642,750,5199,799,623,148,3725,1770,5812,611,789,221,34,156
27,0,834,40109,6694,2671,96,6893,2197,34980,5706,2493,200,69,156
28,1103,204,19873,2462,749,403,7308,1550,19734,2397,824,295,61,156
29,819,0,66341,10402,3116,0,4601,1155,64603,9536,2249,136,68,156
30,0,889,43339,6630,1387,509,6461,2415,40571,6340,1713,539,66,156
31,2116,879,36221,5761,4019,25,7299,2671,32420,4868,4120,359,70,156
32,740,547,38732,5637,1469,0,4932,1876,38128,5411,1104,24,48,156
33,0,1273,75111,14054,3136,0,5385,1976,66597,12539,2187,211,88,156
34,4546,4795,29357,5057,2797,296,12097,7243,26415,4734,2350,320,63,156
35,1121,151,62906,8478,2453,54,10387,1944,55391,7823,2167,360,73,156
36,117,0,43410,6411,2063,55,7435,551,38723,5605,1546,53,68,156
37,0,0,34361,5071,3171,393,4655,1026,30279,4140,2797,441,66,156
38,0,345,47017,6828,1369,0,4598,1482,40970,5833,1088,383,87,156
39,478,317,896,295,526,0,5855,1067,1090,219,537,0,19,156
40,0,0,1852,429,537,251,137,650,1770,281,350,307,29,156
41,0,265,40913,6081,1441,464,10144,1407,37533,5186,1444,272,70,156
42,1456,1121,61176,9260,2082,240,4603,1522,54822,8107,1766,352,70,156
43,0,739,27290,3693,2133,0,3639,1025,25278,3372,1991,253,47,156
44,0,0,4057,763,823,162,0,1014,3786,635,640,127,36,156
45,0,0,31807,4943,2701,13,5287,632,28337,4448,1962,196,65,156
46,1819,1078,39630,5152,1645,0,8018,1895,39784,4760,1380,187,65,156
47,0,937,62621,10026,3772,180,4586,1719,56433,8879,2779,652,70,156
48,0,489,41710,5508,1640,540,5165,1325,37467,4911,1286,320,85,156
49,0,983,33720,4523,1796,0,2275,2366,28984,3929,1530,58,49,156
50,291,3591,40458,6658,1618,342,5746,7150,34563,5676,1456,346,70,156
51,0,794,33366,4888,2409,261,5140,1553,29770,4163,1641,189,66,156
52,2875,618,41592,5895,2605,519,6968,1214,37302,4953,1603,271,83,156
53,0,995,81615,11473,4060,321,4645,2169,72907,10252,3088,364,86,156
54,3004,990,49933,7760,3228,331,8440,2029,46458,7371,2574,613,67,156
55,4042,1730,40491,7603,1158,141,9186,2125,36127,6633,1425,255,66,156
56,0,607,36851,5614,2308,286,6206,1575,32531,4752,1858,152,65,156
