,FSC-A,SSC-A,FL1-A,FL2-A,FL3-A,FL4-A,FSC-H,SSC-H,FL1-H,FL2-H,FL3-H,FL4-H,Width,Time
0,4352,3847,31314,3667,1519,294,8184,5694,26913,3244,1334,426,70,154
1,2689,518,36028,4806,1547,339,4624,1266,29437,3664,1105,360,75,154
2,1101,1530,46922,6779,3517,0,3441,2188,38018,5239,2944,129,79,154
3,5167,3992,69282,8705,2852,0,6059,4370,50341,6410,1570,258,179,154
4,0,457,11294,1631,1136,292,645,2342,9807,1365,586,403,55,154
5,1093,548,37173,5324,1853,43,3158,1315,32536,4381,1053,625,68,154
6,1579,735,16523,2223,575,61,3324,2379,12562,1644,590,210,67,154
7,1008,0,3373,732,690,137,6060,908,1004,206,827,336,91,154
8,1306,845,45392,8109,1859,0,2844,1153,35726,6428,1587,326,83,154
9,0,586,44007,5969,2812,48,3600,1703,34353,4204,2607,253,126,154
10,2024,1084,34280,4362,1210,0,5672,2013,28879,3355,593,153,73,154
11,104,251,1342,572,684,19,2099,1042,1262,435,576,214,27,154
12,998,0,32665,4211,1365,579,4684,508,27046,3324,1136,295,66,154
13,0,1190,124097,16083,4539,66,3691,1818,88260,11748,3458,464,194,154
14,5039,1321,86940,10930,3161,104,3515,1435,62623,8305,2407,618,190,154
15,0,1830,1544,430,499,131,3181,3807,1402,295,229,202,29,154
16,958,1135,74523,10348,4241,0,3510,1973,56633,7782,2970,249,122,154
17,2446,91,37924,5346,2435,774,5201,1344,29455,4382,1944,750,77,154
18,220,946,4735,784,579,0,2757,1244,3912,621,402,0,44,154
19,0,0,22293,2837,1125,54,3417,1136,17041,2418,705,197,64,154
20,6090,829,110007,15298,3667,271,7735,1588,81982,11870,2843,519,184,154
21,0,1295,62925,9583,4834,0,3582,1824,47250,6655,3079,484,148,154
22,0,1653,2183,726,827,144,188,3438,2265,642,635,272,31,154
23,0,581,31381,4285,1719,60,4294,1768,24272,3065,1303,229,75,154
24,853,935,73053,7268,1891,249,3550,1753,51878,5182,1387,401,188,154
25,0,1492,46740,7052,3523,185,5178,1486,34638,5299,1695,205,110,154
26,0,400,1100,213,166,77,3193,1507,1078,217,74,154,25,155
27,2246,985,84090,11584,5951,306,4022,2242,63123,8726,4566,705,107,155
28,2023,712,57972,8113,1533,0,4329,1464,45275,6273,1227,150,107,155
29,0,854,67347,7876,3447,3,3683,2375,47933,5748,2338,316,182,155
30,1841,4124,40189,4672,1244,78,5103,5453,34479,3998,606,268,69,155
31,1005,1107,57839,8213,2745,231,2576,1626,43999,6025,2096,401,117,155
32,3527,420,49443,6397,1459,413,4154,1351,36745,4718,938,640,119,155
33,0,598,10898,1941,991,0,3123,1433,8553,1303,723,202,64,155
34,446,0,2496,265,0,154,2292,341,2115,122,116,227,38,155
35,0,189,67159,8680,2400,132,4088,2093,49572,5986,1599,357,182,155
36,7310,5207,131413,18599,6927,63,5533,4754,71339,10325,4177,531,204,155
37,922,115,3642,141,112,489,4009,938,1008,161,118,415,103,155
38,2983,777,39228,5708,3021,291,5020,1385,32138,4866,2064,444,78,155
39,0,780,85213,11440,5479,365,2608,1229,65370,8775,4046,263,145,155
40,384,709,47027,6882,2640,18,4460,1516,35127,5010,2583,324,114,155
41,998,383,51775,5729,1940,581,3674,1655,39129,4500,1937,422,94,155
42,0,334,43655,5492,1680,771,3043,1272,36607,4487,985,590,85,155
43,0,364,8303,1189,459,217,3216,979,7026,826,488,198,53,155
44,4439,4049,42865,6956,2917,0,4462,3571,33031,5013,2386,254,97,155
45,558,1515,48896,6014,2714,42,3316,2636,39442,4619,2363,370,83,155
46,1208,2259,52269,6160,1768,126,4384,4525,40517,4756,1181,372,89,155
47,377,892,38175,4823,1593,297,2350,1600,31495,3807,1358,420,85,155
