,FSC-A,SSC-A,FL1-A,FL2-A,FL3-A,FL4-A,FSC-H,SSC-H,FL1-H,FL2-H,FL3-H,FL4-H,Width,Time
0,10291.0,2649.0,278102.0,40804.0,13087.0,0.0,32207.998046875,3648.99853515625,279848.90625,41349.0,14185.0068359375,451.0,69.0,155.0
1,14494.0,1350.0,407643.0,86678.0,44983.0,467.0,27152.00390625,3106.001220703125,403471.15625,85981.0,46410.0,2125.0,71.0,155.0
2,1262.0,1139.0,584600.0,81182.0,28535.0,867.0,8915.998046875,2578.0,487182.96875,66437.0,20486.0078125,843.0,152.0,155.0
3,10284.0,1087.0,244840.0,41366.0,15634.0,0.0,27547.98828125,2603.001220703125,233701.890625,39099.0,16742.994140625,400.0,72.0,155.0
4,9733.0,1885.0,327344.0,68943.0,47103.0,254.0,21112.994140625,3664.99951171875,322415.125,67245.0,44645.00390625,1945.0,71.0,155.0
5,0.0,2218.0,892522.0,151245.0,69799.0,1455.0,21213.0,3953.99853515625,773790.0,128915.0,59178.984375,2304.0,91.0,155.0
6,23136.0,4022.0,760484.0,179062.0,118997.0,0.0,59653.99609375,4762.00146484375,691465.8125,162734.0,106412.0078125,480.0,89.0,155.0
7,13928.0,3802.0,252654.0,37938.0,16990.0,1080.0,28902.9921875,5380.00244140625,243443.890625,35951.0,16409.998046875,859.0,72.0,155.0
8,11746.0,7777.0,265584.0,45911.0,24691.0,0.0,33528.984375,9189.0009765625,241713.9375,40854.0,22229.994140625,603.0,86.0,155.0
9,4400.0,6422.0,240046.0,38608.0,19000.0,0.0,9835.00390625,5646.00146484375,147953.046875,26527.0,13270.99609375,405.0,313.0,155.0
10,25841.0,3137.0,966531.0,172413.0,91879.0,0.0,36360.015625,2850.9990234375,499655.0,94693.0,59993.97265625,882.0,202.0,155.0
11,17952.0,17140.0,339255.0,50253.0,17495.0,105.0,46206.984375,27175.9921875,325913.09375,49015.0,15726.9970703125,1027.0,71.0,155.0
12,11328.0,5256.0,338139.0,56567.0,27782.0,0.0,36506.015625,10315.0,313255.125,51842.0,25636.001953125,1208.0,93.0,155.0
13,2889.0,1312.0,947080.0,180151.0,106972.0,0.0,21467.001953125,4919.00048828125,782726.8125,149175.0,88331.0390625,320.0,112.0,155.0
14,2634.0,3402.0,702589.0,109835.0,45695.0,0.0,16397.998046875,3626.998779296875,614841.75,94986.0,39463.00390625,1095.0,130.0,155.0
15,903.0,641.0,117745.0,17681.0,7564.0,178.0,12964.99609375,3757.00048828125,116859.0234375,17433.0,8423.001953125,1099.0,67.0,155.0
16,12618.0,5665.0,342897.0,74617.0,50361.0,0.0,27496.990234375,10562.998046875,331375.875,71958.0,46385.0,1490.0,70.0,155.0
