"Otu000001" "Otu000005" "Otu000009" "Otu000010" "Otu000012" "Otu000017" "Otu000019" "Otu000020" "Otu000023" "Otu000025" "Otu000040" "Otu000041" "Otu000046" "Otu000048" "Otu000050" "Otu000058" "Otu000066" "Otu000070" "Otu000071" "Otu000075" "Otu000077" "Otu000081" "Otu000093" "Otu000136" "Otu000137" "Otu000161" "Otu000176" "Otu000179" "Otu000215" "Otu000217" "Otu000227" "Otu000262" "Otu000267" "Otu000304" "Otu000363" "Otu000377" "Otu000385" "Otu000387" "Otu000450" "Otu000459" "Otu000509" "Otu000551" "Otu000646" "Otu000663" "Otu000717" "Otu000763" "Otu000800" "Otu000810" "Otu000877" "Otu000930" "Otu000931" "Otu001003" "Otu001012" "Otu001021" "Otu001065" "Otu001082" "Otu001097" "Otu001104" "Otu001118" "Otu001130" "Otu001148" "Otu001194" "Otu001269" "Otu001311" "Otu001318" "Otu001319" "Otu001338" "Otu001451" "Otu001526" "Otu001556" "Otu001684" "Otu001693" "Otu001700" "Otu001754" "Otu001784" "Otu001821" "Otu001949" "Otu002006" "Otu002044" "Otu002251" "Otu002674" "Otu002845" "Otu003047" "Otu003170" "Otu003388" "Otu004327" "Otu005522" "Otu005973" "Otu007916" "Otu008727" "Otu009766"
"Z14001F" 0.267047817047817 0.0534303534303534 0.093035343035343 0.135758835758836 0.000831600831600832 0.0222453222453222 0.00374220374220374 0.0565488565488566 0.014033264033264 0.0363825363825364 0.000207900207900208 0.0781704781704782 0.00374220374220374 0.0573804573804574 0 0.00332640332640333 0.0103950103950104 0.0262993762993763 0.000103950103950104 0.000831600831600832 0.0243243243243243 0.0390852390852391 0.00706860706860707 0 0.00218295218295218 0 0.0208939708939709 0.00977130977130977 0 0.00124740124740125 0.000935550935550936 0 0.00103950103950104 0.000207900207900208 0 0.0243243243243243 0.000831600831600832 0.000831600831600832 0 0 0 0 0.000831600831600832 0 0 0.000935550935550936 0 0.000623700623700624 0 0 0 0 0 0 0 0.000207900207900208 0.000103950103950104 0 0 0 0 0 0 0 0.000207900207900208 0 0 0 0.000207900207900208 0 0 0 0 0 0 0.000623700623700624 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Z14002F" 0.163305613305613 0.0685031185031185 0.0781704781704782 0.223700623700624 0.00291060291060291 0.0191268191268191 0.00363825363825364 0.0708939708939709 0.0155925155925156 0.0390852390852391 0.00332640332640333 0.095010395010395 0.000831600831600832 0.0423076923076923 0.00218295218295218 0.00634095634095634 0.0214137214137214 0.000831600831600832 0.000311850311850312 0 0.0112266112266112 0.0321205821205821 0.00363825363825364 0 0.00384615384615385 0 0.0357588357588358 0.0261954261954262 0 0.00488565488565489 0.000311850311850312 0 0.00197505197505198 0.000103950103950104 0.000311850311850312 0.0125779625779626 0.000207900207900208 0.000727650727650728 0 0.000415800415800416 0.000207900207900208 0 0.00124740124740125 0 0.000311850311850312 0.00218295218295218 0 0.000311850311850312 0 0.00051975051975052 0 0.000831600831600832 0.000103950103950104 0 0 0 0.000415800415800416 0 0 0 0.000103950103950104 0 0 0 0 0 0 0 0.000415800415800416 0.000207900207900208 0 0.000103950103950104 0 0.000207900207900208 0 0.000831600831600832 0 0 0 0.000207900207900208 0 0 0 0 0 0 0 0 0 0 0
"Z14003F" 0.0541580041580042 0.0077962577962578 0.0137214137214137 0.11954261954262 0.0151767151767152 0.0100831600831601 0.0113305613305613 0.12993762993763 0.00187110187110187 0.00748440748440748 0.00051975051975052 0.00239085239085239 0.00654885654885655 0.00696465696465697 0.0171517671517672 0.0361746361746362 0.0051975051975052 0.00051975051975052 0.0336798336798337 0.000831600831600832 0 0.0234927234927235 0.0422037422037422 0.00384615384615385 0.00769230769230769 0 0.0495841995841996 0.0232848232848233 0.000207900207900208 0.00831600831600832 0.000415800415800416 0.00145530145530146 0.0133056133056133 0.0459459459459459 0.0150727650727651 0.00228690228690229 0 0.0148648648648649 0.00997920997920998 0.0360706860706861 0.00540540540540541 0.00706860706860707 0.00051975051975052 0.00187110187110187 0.0116424116424116 0 0 0 0.00665280665280665 0.0399168399168399 0 0.00135135135135135 0.00426195426195426 0.00197505197505198 0.0133056133056133 0 0.00696465696465697 0.00301455301455301 0 0 0.0215176715176715 0.000935550935550936 0.00155925155925156 0.0025987525987526 0.0122661122661123 0.000103950103950104 0.00644490644490645 0 0.0291060291060291 0.000103950103950104 0.000727650727650728 0.0127858627858628 0.000311850311850312 0 0.0025987525987526 0.0111226611226611 0.000727650727650728 0.000311850311850312 0.0053014553014553 0.00207900207900208 0.000831600831600832 0 0.000207900207900208 0.000935550935550936 0.00363825363825364 0.000103950103950104 0 0.000207900207900208 0.000311850311850312 0 0.000103950103950104
"Z14004F" 0.0718295218295218 0.112058212058212 0.0501039501039501 0.191060291060291 0.00135135135135135 0.0113305613305613 0.0115384615384615 0.0646569646569647 0.00904365904365904 0.0218295218295218 0.00228690228690229 0.0334719334719335 0.00114345114345114 0.0575883575883576 0.00311850311850312 0.0116424116424116 0.0107068607068607 0.0163201663201663 0.00197505197505198 0.000103950103950104 0.114656964656965 0.0158004158004158 0.012993762993763 0 0.00935550935550936 0.000207900207900208 0.0804573804573805 0.0219334719334719 0.00051975051975052 0.00322245322245322 0.000311850311850312 0.000207900207900208 0.00374220374220374 0.000623700623700624 0 0.0364864864864865 0.000831600831600832 0.000727650727650728 0 0.000831600831600832 0 0.000727650727650728 0.000727650727650728 0.000103950103950104 0.000103950103950104 0.00509355509355509 0 0.000415800415800416 0 0.00103950103950104 0 0.000415800415800416 0 0 0.000103950103950104 0 0.000415800415800416 0 0 0 0.000207900207900208 0 0 0.000207900207900208 0.000207900207900208 0 0 0 0.00176715176715177 0.000415800415800416 0 0.000103950103950104 0 0 0.00114345114345114 0.00051975051975052 0 0 0.000207900207900208 0 0 0 0 0 0 0 0 0 0 0 0
"Z14005F" 0.156756756756757 0.0566528066528067 0.0545738045738046 0.117463617463617 0.056964656964657 0.0836798336798337 0.0501039501039501 0.0650727650727651 0.0194386694386694 0.0371101871101871 0.00103950103950104 0.00187110187110187 0.0226611226611227 0.0811850311850312 0.0143451143451143 0.00966735966735967 0.0234927234927235 0.000103950103950104 0.0277546777546778 0.000311850311850312 0.00696465696465697 0.017047817047817 0.0175675675675676 0.00509355509355509 0.00810810810810811 0.00561330561330561 0.00904365904365904 0.0272349272349272 0 0.00644490644490645 0.000103950103950104 0.00561330561330561 0 0 0.000103950103950104 0.000311850311850312 0.0027027027027027 0.00239085239085239 0 0.000415800415800416 0 0 0 0.000103950103950104 0 0 0 0.000623700623700624 0 0.000311850311850312 0.00228690228690229 0 0 0 0 0 0 0 0 0 0 0.000103950103950104 0 0 0.000103950103950104 0.000207900207900208 0.000103950103950104 0 0.000207900207900208 0 0 0 0 0.000207900207900208 0 0 0 0 0 0.000311850311850312 0 0 0 0 0 0.000415800415800416 0 0 0 0 0
"Z14006F" 0.147401247401247 0.0503118503118503 0.0674636174636175 0.148128898128898 0.064033264033264 0.0725571725571726 0.053950103950104 0.0643451143451143 0.0183991683991684 0.0366943866943867 0.00103950103950104 0.00103950103950104 0.017983367983368 0.0676715176715177 0.0198544698544699 0.0143451143451143 0.0195426195426195 0 0.0174636174636175 0.00114345114345114 0.0051975051975052 0.0148648648648649 0.020997920997921 0.00478170478170478 0.00821205821205821 0.00675675675675676 0.0135135135135135 0.0261954261954262 0 0.00540540540540541 0.000207900207900208 0.000623700623700624 0.000311850311850312 0 0 0.000935550935550936 0.00228690228690229 0.000935550935550936 0 0.000103950103950104 0.000103950103950104 0 0 0 0 0 0 0.00114345114345114 0 0 0.00218295218295218 0 0 0 0 0 0 0.000103950103950104 0 0 0 0 0 0 0.000103950103950104 0.000207900207900208 0 0 0.000415800415800416 0.000207900207900208 0 0 0 0.000623700623700624 0 0.000103950103950104 0 0 0 0.000103950103950104 0 0 0 0 0 0 0 0 0 0 0
"Z14007F" 0.0471933471933472 0.0495841995841996 0.024012474012474 0.114656964656965 0.022037422037422 0.029002079002079 0.0126819126819127 0.205925155925156 0.00207900207900208 0.00218295218295218 0.0102910602910603 0.00135135135135135 0.00228690228690229 0.00977130977130977 0.014033264033264 0.0843035343035343 0.014033264033264 0 0.0417879417879418 0.000727650727650728 0.00114345114345114 0.0260914760914761 0.0213097713097713 0.00353430353430353 0.0242203742203742 0 0.0506237006237006 0.0228690228690229 0 0.00155925155925156 0.000311850311850312 0.037006237006237 0.00322245322245322 0.00124740124740125 0.00446985446985447 0.00176715176715177 0 0.00374220374220374 0.00769230769230769 0.00769230769230769 0.000415800415800416 0.00727650727650728 0.000207900207900208 0.0025987525987526 0.00873180873180873 0.000207900207900208 0 0.000311850311850312 0.00966735966735967 0.00114345114345114 0 0.0053014553014553 0.000103950103950104 0.00322245322245322 0.0206860706860707 0 0.00311850311850312 0.00613305613305613 0.000103950103950104 0 0.000207900207900208 0.00291060291060291 0.000623700623700624 0.0027027027027027 0 0.000831600831600832 0.000415800415800416 0 0.00228690228690229 0.000103950103950104 0.00488565488565489 0.00114345114345114 0 0 0.00114345114345114 0.0027027027027027 0.00124740124740125 0.00124740124740125 0.000207900207900208 0.00051975051975052 0 0 0 0.000103950103950104 0 0.00051975051975052 0.000311850311850312 0.000103950103950104 0 0 0.000103950103950104
"Z14008F" 0.146881496881497 0.0708939708939709 0.0553014553014553 0.125051975051975 0.0555093555093555 0.0847193347193347 0.0576923076923077 0.0621621621621622 0.0161122661122661 0.0363825363825364 0.0027027027027027 0.00103950103950104 0.0154885654885655 0.0863825363825364 0.0132016632016632 0.0133056133056133 0.00945945945945946 0 0.0166320166320166 0.000415800415800416 0.0102910602910603 0.0126819126819127 0.0182952182952183 0.00239085239085239 0.0137214137214137 0.00384615384615385 0.0167359667359667 0.0266112266112266 0 0.00571725571725572 0.000103950103950104 0.00821205821205821 0 0 0 0.00187110187110187 0.0027027027027027 0.00124740124740125 0.000103950103950104 0.00103950103950104 0 0 0 0.000207900207900208 0.000103950103950104 0 0 0.000727650727650728 0 0 0.00176715176715177 0 0 0.000103950103950104 0.000311850311850312 0 0 0 0 0.000103950103950104 0 0 0 0 0.000207900207900208 0.000311850311850312 0.000207900207900208 0 0.000623700623700624 0 0.000103950103950104 0 0 0.000103950103950104 0 0.000207900207900208 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Z14009F" 0.277442827442827 0.00426195426195426 0.0680873180873181 0.190644490644491 0.0219334719334719 0.0728690228690229 0.0452182952182952 0.0727650727650728 0.00873180873180873 0.0614345114345114 0.0053014553014553 0.00249480249480249 0.0025987525987526 0.0382536382536383 0.0252598752598753 0.00862785862785863 0.00311850311850312 0 0.000103950103950104 0.00207900207900208 0.0027027027027027 0.0212058212058212 0.00748440748440748 0.000623700623700624 0.00634095634095634 0.000831600831600832 0.00893970893970894 0.0118503118503119 0 0.00176715176715177 0 0.00343035343035343 0.00197505197505198 0 0 0.0159043659043659 0.000935550935550936 0.00114345114345114 0 0 0 0 0.000935550935550936 0 0.000207900207900208 0 0 0.000207900207900208 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000311850311850312 0.000207900207900208 0 0 0.000207900207900208 0 0 0.000311850311850312 0 0.000103950103950104 0.000935550935550936 0 0 0 0 0.000207900207900208 0 0 0 0 0 0 0 0 0 0 0
"Z14010F" 0.272869022869023 0.029002079002079 0.0752598752598753 0.156133056133056 0.03004158004158 0.0728690228690229 0.043035343035343 0.0588357588357588 0.011018711018711 0.0457380457380457 0.00540540540540541 0.00187110187110187 0.00488565488565489 0.0455301455301455 0.0314968814968815 0.0126819126819127 0.00623700623700624 0.000623700623700624 0.000103950103950104 0.000415800415800416 0.00550935550935551 0.0322245322245322 0.00446985446985447 0.000831600831600832 0.0027027027027027 0.000727650727650728 0.0103950103950104 0.0123700623700624 0 0.00239085239085239 0.000103950103950104 0.00322245322245322 0.000415800415800416 0 0 0.0159043659043659 0.000727650727650728 0.000623700623700624 0 0.000623700623700624 0.000103950103950104 0 0.000831600831600832 0 0 0 0 0.000727650727650728 0 0 0 0 0 0.000415800415800416 0 0 0 0 0 0 0 0 0 0.000103950103950104 0 0 0 0 0 0.000103950103950104 0 0 0 0.000103950103950104 0.000207900207900208 0.000103950103950104 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
