"Rank1" "Rank2" "Rank3" "Rank4" "Rank5" "Rank6" "Rank7"
"Otu000001" "Bacteria" "Actinobacteria" "Actinobacteria" NA NA NA NA
"Otu000005" "Bacteria" "Cyanobacteria" "Cyanobacteria" NA NA NA NA
"Otu000009" "Bacteria" "Bacteroidetes" "[Saprospirae]" NA NA NA NA
"Otu000010" "Bacteria" "Proteobacteria" "Betaproteobacteria" NA NA NA NA
"Otu000012" "Bacteria" "Verrucomicrobia" "OPB35_soil_group" NA NA NA NA
"Otu000017" "Bacteria" "Bacteroidetes" "Flavobacteriia" NA NA NA NA
"Otu000019" "Bacteria" "Verrucomicrobia" "Opitutae" NA NA NA NA
"Otu000020" "Bacteria" "Bacteroidetes" "Sphingobacteriia" NA NA NA NA
"Otu000023" "Bacteria" "Armatimonadetes" "Armatimonadia" NA NA NA NA
"Otu000025" "Bacteria" "Bacteroidetes" "Cytophagia" NA NA NA NA
"Otu000040" "Bacteria" "Verrucomicrobia" "Verrucomicrobia_unclassified" NA NA NA NA
"Otu000041" "Bacteria" "Verrucomicrobia" "[Spartobacteria]" NA NA NA NA
"Otu000046" "Bacteria" "Actinobacteria" "Acidimicrobiia" NA NA NA NA
"Otu000048" "Bacteria" "Proteobacteria" "Alphaproteobacteria" NA NA NA NA
"Otu000050" "Bacteria" "Planctomycetes" "Phycisphaerae" NA NA NA NA
"Otu000058" "Bacteria" "Proteobacteria" "Gammaproteobacteria" NA NA NA NA
"Otu000066" "Bacteria" "Planctomycetes" "Planctomycetacia" NA NA NA NA
"Otu000070" "Bacteria" "Verrucomicrobia" "[Methylacidiphilae]" NA NA NA NA
"Otu000071" "Bacteria" "Chlorobi" "Chlorobia" NA NA NA NA
"Otu000075" "Bacteria" "Chloroflexi" "SL56_marine_group" NA NA NA NA
"Otu000077" "unknown" "unknown_unclassified" "unknown_unclassified" NA NA NA NA
"Otu000081" "Bacteria" "Verrucomicrobia" "Verrucomicrobiae" NA NA NA NA
"Otu000093" "Bacteria" "Bacteria_unclassified" "Bacteria_unclassified" NA NA NA NA
"Otu000136" "Bacteria" "Planctomycetes" "Planctomycetes_unclassified" NA NA NA NA
"Otu000137" "Bacteria" "Proteobacteria" "Proteobacteria_unclassified" NA NA NA NA
"Otu000161" "Bacteria" "Planctomycetes" "OM190" NA NA NA NA
"Otu000176" "Bacteria" "Proteobacteria" "Deltaproteobacteria" NA NA NA NA
"Otu000179" "Bacteria" "Bacteroidetes" "Bacteroidetes_unclassified" NA NA NA NA
"Otu000215" "Bacteria" "Verrucomicrobia" "Verrucomicrobia_Incertae_Sedis" NA NA NA NA
"Otu000217" "Bacteria" "Verrucomicrobia" "Spartobacteria" NA NA NA NA
"Otu000227" "Bacteria" "Gemmatimonadetes" "Gemmatimonadetes" NA NA NA NA
"Otu000262" "Bacteria" "Chloroflexi" "Chloroflexia" NA NA NA NA
"Otu000267" "Bacteria" "Omnitrophica" "NPL-UPA2" NA NA NA NA
"Otu000304" "Bacteria" "Lentisphaerae" "Lentisphaerae_unclassified" NA NA NA NA
"Otu000363" "Bacteria" "Bacteroidetes" "Bacteroidetes_vadinHA17" NA NA NA NA
"Otu000377" "Bacteria" "Firmicutes" "Firmicutes_unclassified" NA NA NA NA
