"samples" "Total.cells" "HNA.cells" "LNA.cells" "Total.count.sd" "HNA.sd" "LNA.sd" "Platform" "Lake" "Sample_16S" "Season" "Month" "Year" "Fraction" "Site" "Depth" "Total_Sequences"
"Z14001F" "Z14-1-1" 8928438.409 1984212.902 6944225.507 236740.0167 58839.94392 178194.3831 "Accuri" "Inland" "Z14001F" "Summer" "June" 2014 "Free" "Bishop" "Surface" 31347
"Z14002F" "Z14-2-1" 8647455.79 1945478.791 6701976.998 131049.6372 36628.45344 102305.0651 "Accuri" "Inland" "Z14002F" "Summer" "June" 2015 "Free" "Bishop" "Surface" 15383
"Z14003F" "Z14-3-1" 11221596.09 5742282.966 5479313.126 378559.4895 289482.0028 90699.01212 "Accuri" "Inland" "Z14003F" "Summer" "June" 2015 "Free" "Bishop" "Deep" 24038
"Z14004F" "Z14-4-1" 8495432.617 2025256.226 6470176.391 155013.3051 18950.72192 136472.2547 "Accuri" "Inland" "Z14004F" "Summer" "June" 2015 "Free" "Bishop" "Surface" 26687
"Z14005F" "Z14-5-1" 9315748.672 1631166.394 7684582.279 111696.1466 42461.06761 105968.7314 "Accuri" "Inland" "Z14005F" "Summer" "June" 2015 "Free" "Woodland" "Surface" 28400
"Z14006F" "Z14-6-1" 10015628.18 1819185.105 8196443.078 83962.64587 3043.429438 81711.70919 "Accuri" "Inland" "Z14006F" "Summer" "June" 2015 "Free" "Woodland" "Surface" 20976
"Z14007F" "Z14-7-1" 8078502.46 4637987.427 3440515.033 585024.846 398955.2891 189166.3052 "Accuri" "Inland" "Z14007F" "Summer" "June" 2015 "Free" "Woodland" "Deep" 26726
"Z14008F" "Z14-8-1" 10257457.61 1851866.196 8405591.412 226327.6841 58225.81171 171083.164 "Accuri" "Inland" "Z14008F" "Summer" "June" 2015 "Free" "Woodland" "Surface" 21521
"Z14009F" "Z14-9-1" 8683505.588 1791820.237 6891685.351 54181.94396 37270.3866 16919.21186 "Accuri" "Inland" "Z14009F" "Summer" "June" 2015 "Free" "Big Seven" "Surface" 19191
"Z14010F" "Z14-10-1" 8804248.621 1757149.479 7047099.142 303918.4311 61559.19812 243097.4281 "Accuri" "Inland" "Z14010F" "Summer" "June" 2015 "Free" "Big Seven" "Surface" 19457
"Z14011F" "Z14-11-1" 8050102.885 4875708.819 3174394.065 324561.5042 233943.0307 104077.5113 "Accuri" "Inland" "Z14011F" "Summer" "June" 2015 "Free" "Big Seven" "Deep" 23890
"Z14012F" "Z14-12-1" 9491664.935 2028965.755 7462699.18 378766.4996 115865.8915 264804.4013 "Accuri" "Inland" "Z14012F" "Summer" "June" 2015 "Free" "Big Seven" "Surface" 26095
"Z14013F" "Z14-13-1" 8550067.537 1978617.438 6571450.099 117732.7526 12809.65106 112637.7736 "Accuri" "Inland" "Z14013F" "Summer" "June" 2015 "Free" "Heron" "Surface" 45060
"Z14014F" "Z14-14-1" 8640395.991 1988570.698 6651825.293 106534.6106 35158.04197 71461.61292 "Accuri" "Inland" "Z14014F" "Summer" "June" 2015 "Free" "Heron" "Surface" 13584
"Z14016F" "Z14-16-1" 8747225.596 2025397.278 6721828.318 35906.17505 22517.49038 43627.1826 "Accuri" "Inland" "Z14016F" "Summer" "June" 2015 "Free" "Heron" "Surface" 31914
"Z14017F" "Z14-17-1" 8422137.494 2262679.908 6159457.586 231543.3322 72721.17373 160365.1956 "Accuri" "Inland" "Z14017F" "Summer" "June" 2015 "Free" "Lobdell" "Surface" 22740
"Z14018F" "Z14-18-1" 8208670.298 2383161.648 5825508.65 116877.8448 62573.93322 62036.45686 "Accuri" "Inland" "Z14018F" "Summer" "June" 2015 "Free" "Lobdell" "Surface" 22867
"Z14019F" "Z14-19-1" 4814442.237 2186270.767 2628171.47 79538.44981 57766.21074 34968.27477 "Accuri" "Inland" "Z14019F" "Summer" "June" 2015 "Free" "Lobdell" "Deep" 27871
"Z14020F" "Z14-20-1" 8307301.844 2456604.32 5850697.524 213695.1183 116531.7377 112946.9103 "Accuri" "Inland" "Z14020F" "Summer" "June" 2015 "Free" "Lobdell" "Surface" 29081
"Z14021F" "Z14-21-1" 5804649.793 1766766.636 4037883.156 70163.69605 25557.76736 46521.71029 "Accuri" "Inland" "Z14021F" "Summer" "June" 2015 "Free" "North" "Surface" 18682
"Z14022F" "Z14-22-1" 5458830.589 1539845.069 3918985.52 101734.7988 30006.69257 76074.33631 "Accuri" "Inland" "Z14022F" "Summer" "June" 2015 "Free" "North" "Surface" 22343
"Z14023F" "Z14-23-1" 7900172.713 4170813.043 3729359.67 213534.6296 104032.1164 110562.7561 "Accuri" "Inland" "Z14023F" "Summer" "June" 2015 "Free" "North" "Deep" 27677
"Z14024F" "Z14-24-1" 5249319.788 1801033.07 3448286.717 104692.2048 32266.24986 72453.57443 "Accuri" "Inland" "Z14024F" "Summer" "June" 2015 "Free" "North" "Surface" 24890
"Z14025F" "Z14-25-1" 4742687.926 784606.452 3958081.474 81866.99092 9164.109028 79910.53634 "Accuri" "Inland" "Z14025F" "Summer" "June" 2015 "Free" "Bruin" "Surface" 25634
"Z14026F" "Z14-26-1" 4450146.249 752809.6172 3697336.631 179905.9561 33837.49568 147257.6507 "Accuri" "Inland" "Z14026F" "Summer" "June" 2015 "Free" "Bruin" "Surface" 27681
