,samples,Total.cells,HNA.cells,LNA.cells,Total.count.sd,HNA.sd,LNA.sd,Platform,Lake,Sample_16S,Season,Month,Year,Fraction,Site,Depth,Total_Sequences,D0,D1,D2
Z14001F,Z14-1-1,8928438.409,1984212.9019999998,6944225.507,236740.0167,58839.943920000005,178194.3831,Accuri,Inland,Z14001F,Summer,June,2014,Free,Bishop,Surface,31347,322,70.69939011121883,36.80774970329249
Z14002F,Z14-2-1,8647455.79,1945478.791,6701976.998,131049.6372,36628.45344,102305.0651,Accuri,Inland,Z14002F,Summer,June,2015,Free,Bishop,Surface,15383,346,89.00788184812276,44.08568240953371
Z14003F,Z14-3-1,11221596.09,5742282.966,5479313.126,378559.4895,289482.0028,90699.01212,Accuri,Inland,Z14003F,Summer,June,2015,Free,Bishop,Deep,24038,473,165.8434557931791,88.9603648220477
Z14004F,Z14-4-1,8495432.617,2025256.226,6470176.391,155013.3051,18950.72192,136472.2547,Accuri,Inland,Z14004F,Summer,June,2015,Free,Bishop,Surface,26687,448,101.29403096223551,42.80713375136152
Z14005F,Z14-5-1,9315748.672,1631166.394,7684582.279,111696.1466,42461.067610000006,105968.7314,Accuri,Inland,Z14005F,Summer,June,2015,Free,Woodland,Surface,28400,372,96.52311071239373,54.32463147414963
Z14006F,Z14-6-1,10015628.18,1819185.105,8196443.078,83962.64587000001,3043.429438,81711.70919,Accuri,Inland,Z14006F,Summer,June,2015,Free,Woodland,Surface,20976,346,88.89803583290332,49.26101347028181
Z14007F,Z14-7-1,8078502.46,4637987.427,3440515.0330000003,585024.846,398955.2891,189166.3052,Accuri,Inland,Z14007F,Summer,June,2015,Free,Woodland,Deep,26726,523,150.65731037545237,73.28148285402395
Z14008F,Z14-8-1,10257457.61,1851866.196,8405591.412,226327.6841,58225.81171,171083.164,Accuri,Inland,Z14008F,Summer,June,2015,Free,Woodland,Surface,21521,395,105.6182018531793,57.59876716864462
Z14009F,Z14-9-1,8683505.588,1791820.237,6891685.351,54181.943960000004,37270.3866,16919.21186,Accuri,Inland,Z14009F,Summer,June,2015,Free,Big Seven,Surface,19191,329,60.65431137644222,27.06304213433986
Z14010F,Z14-10-1,8804248.621,1757149.479,7047099.142000001,303918.4311,61559.19812000001,243097.4281,Accuri,Inland,Z14010F,Summer,June,2015,Free,Big Seven,Surface,19457,318,64.05804152290432,30.788670148386476
Z14011F,Z14-11-1,8050102.885,4875708.819,3174394.065,324561.5042,233943.0307,104077.5113,Accuri,Inland,Z14011F,Summer,June,2015,Free,Big Seven,Deep,23890,580,171.60533344926773,65.70403775920965
Z14012F,Z14-12-1,9491664.935,2028965.755,7462699.18,378766.4996,115865.8915,264804.4013,Accuri,Inland,Z14012F,Summer,June,2015,Free,Big Seven,Surface,26095,369,76.55541267693789,39.8441442139611
Z14013F,Z14-13-1,8550067.537,1978617.438,6571450.098999999,117732.7526,12809.65106,112637.7736,Accuri,Inland,Z14013F,Summer,June,2015,Free,Heron,Surface,45060,364,96.68402963513174,53.27271408522458
Z14014F,Z14-14-1,8640395.991,1988570.698,6651825.293,106534.6106,35158.04197,71461.61292,Accuri,Inland,Z14014F,Summer,June,2015,Free,Heron,Surface,13584,325,77.97929746743287,40.5141293641234
Z14016F,Z14-16-1,8747225.596,2025397.2780000002,6721828.318,35906.17505,22517.490380000003,43627.1826,Accuri,Inland,Z14016F,Summer,June,2015,Free,Heron,Surface,31914,362,89.85189556863973,47.322716994561574
Z14017F,Z14-17-1,8422137.493999999,2262679.9080000003,6159457.586,231543.3322,72721.17373,160365.1956,Accuri,Inland,Z14017F,Summer,June,2015,Free,Lobdell,Surface,22740,394,93.8760028732599,44.87427653730903
Z14018F,Z14-18-1,8208670.2979999995,2383161.648,5825508.65,116877.8448,62573.933220000006,62036.456860000006,Accuri,Inland,Z14018F,Summer,June,2015,Free,Lobdell,Surface,22867,390,88.31332845155123,29.071606238254645
Z14019F,Z14-19-1,4814442.237,2186270.767,2628171.47,79538.44981,57766.210739999995,34968.274769999996,Accuri,Inland,Z14019F,Summer,June,2015,Free,Lobdell,Deep,27871,496,129.8145076172163,65.09363359104967
Z14020F,Z14-20-1,8307301.844,2456604.32,5850697.524,213695.1183,116531.7377,112946.9103,Accuri,Inland,Z14020F,Summer,June,2015,Free,Lobdell,Surface,29081,437,98.88437548096086,40.9911466167739
Z14021F,Z14-21-1,5804649.793,1766766.636,4037883.1560000004,70163.69605,25557.767359999998,46521.710289999995,Accuri,Inland,Z14021F,Summer,June,2015,Free,North,Surface,18682,337,92.00367179929505,49.88604486188396
Z14022F,Z14-22-1,5458830.589,1539845.0690000001,3918985.52,101734.7988,30006.69257,76074.33631,Accuri,Inland,Z14022F,Summer,June,2015,Free,North,Surface,22343,357,101.30020130414788,55.40034936358991
Z14023F,Z14-23-1,7900172.7129999995,4170813.043,3729359.67,213534.6296,104032.1164,110562.7561,Accuri,Inland,Z14023F,Summer,June,2015,Free,North,Deep,27677,471,115.70017736493726,38.09872757781935
Z14024F,Z14-24-1,5249319.788,1801033.07,3448286.7169999997,104692.2048,32266.249860000004,72453.57443,Accuri,Inland,Z14024F,Summer,June,2015,Free,North,Surface,24890,375,86.19600172309586,36.487005424295454
Z14025F,Z14-25-1,4742687.926,784606.452,3958081.474,81866.99092000001,9164.109028,79910.53633999999,Accuri,Inland,Z14025F,Summer,June,2015,Free,Bruin,Surface,25634,363,83.59051426539268,38.434198580817466
Z14026F,Z14-26-1,4450146.249,752809.6172,3697336.631,179905.9561,33837.49568,147257.6507,Accuri,Inland,Z14026F,Summer,June,2015,Free,Bruin,Surface,27681,346,76.26597351292966,35.37235140420058
Z14027F,Z14-27-1,3504815.2410000004,1019288.065,2485527.1769999997,119838.5313,38805.97932,81576.5456,Accuri,Inland,Z14027F,Summer,June,2015,Free,Bruin,Deep,30322,319,41.966467165394015,19.66852021718907
Z14028F,Z14-28-1,3967728.6780000003,698821.2775,3268907.4,93842.58421,23964.32666,70411.12275,Accuri,Inland,Z14028F,Summer,June,2015,Free,Bruin,Surface,18079,315,84.23373749002488,43.439183340874294
Z14029F,Z14-29-1,7999722.403,3044857.088,4954865.316000001,255537.4725,101307.1816,154372.843,Accuri,Inland,Z14029F,Summer,June,2015,Free,Halfmoon,Surface,30200,398,109.83655264297133,59.17622730161723
Z14030F,Z14-30-1,5852384.967999999,2264191.627,3588193.341,126821.6373,79106.43298,47740.94717,Accuri,Inland,Z14030F,Summer,June,2015,Free,Halfmoon,Surface,24624,315,72.36247064189787,38.75280037854789
Z14031F,Z14-31-1,5005906.675,2430879.5209999997,2575027.153,55547.12998,21025.320819999997,34607.10432,Accuri,Inland,Z14031F,Summer,June,2015,Free,Halfmoon,Deep,34755,447,95.51850694390772,41.42297769334961
Z14032F,Z14-32-1,5863306.715,2249222.002,3614084.713,54615.070589999996,65084.84518,32727.82515,Accuri,Inland,Z14032F,Summer,June,2015,Free,Halfmoon,Surface,23894,295,65.79376220528843,38.370838554100594
Z14033F,Z14-33-1,5036317.322,1581203.388,3455113.933,116654.2111,29206.461369999997,87953.719,Accuri,Inland,Z14033F,Summer,June,2015,Free,Cedar,Surface,27927,384,67.58416727003281,26.76889309786433
Z14034F,Z14-34-1,5326690.822,1680237.0569999998,3646453.765,191336.6595,56633.835739999995,144075.6652,Accuri,Inland,Z14034F,Summer,June,2015,Free,Cedar,Surface,29214,364,72.71456301348438,30.57065369991664
Z14035F,Z14-35-1,3995835.8989999997,967066.7392,3028769.16,54714.43985,26379.11458,32257.42406,Accuri,Inland,Z14035F,Summer,June,2015,Free,Cedar,Deep,24937,316,55.507587487315824,24.959234828424545
Z14036F,Z14-36-1,5413642.265,1752827.195,3660815.07,42482.94107,15313.27981,32499.717289999997,Accuri,Inland,Z14036F,Summer,June,2015,Free,Cedar,Surface,25625,353,73.30028816867814,30.71187498133237
Z14037F,Z14-37-1,5036198.528,1125569.644,3910628.8839999996,268234.155,44552.07933,225977.7801,Accuri,Inland,Z14037F,Summer,June,2015,Free,Sand,Surface,35518,371,74.41393037958463,27.9581716817182
Z14038F,Z14-38-1,5457855.997,1229437.904,4228418.094,63589.59692999999,12969.8363,56360.18271,Accuri,Inland,Z14038F,Summer,June,2015,Free,Sand,Surface,34502,382,76.9651863349435,27.25739013031278
Z14039F,Z14-39-1,5129808.706,1062987.774,4066820.932,114921.5337,34928.8883,82251.34958,Accuri,Inland,Z14039F,Summer,June,2015,Free,Sand,Deep,33835,350,64.84868290590236,27.973197304737557
Z14040F,Z14-40-1,5793042.642999999,1309377.303,4483665.34,66421.19456,27001.17687,52700.0173,Accuri,Inland,Z14040F,Summer,June,2015,Free,Sand,Surface,20622,388,79.24958362881294,29.02142792183931
Z14041F,Z14-41-1,6866121.757999999,2134153.988,4731967.77,104145.7616,50024.31095,60422.70801,Accuri,Inland,Z14041F,Summer,June,2015,Free,Whitmore,Surface,32904,396,86.02659042416477,44.75656372598272
Z14042F,Z14-42-1,6818565.935,2052859.515,4765706.42,66650.07366000001,50209.9916,20963.722830000002,Accuri,Inland,Z14042F,Summer,June,2015,Free,Whitmore,Surface,32017,396,85.58921263775703,42.60721277179509
Z14043F,Z14-43-1,3837709.564,825094.5648,3012614.999,59723.58685,26969.04282,33177.962660000005,Accuri,Inland,Z14043F,Summer,June,2015,Free,Whitmore,Deep,36303,411,90.2833430349458,43.8314459332086
Z14044F,Z14-44-1,7309963.2,2172316.5209999997,5137646.679,78193.01484,45712.609710000004,32480.49101,Accuri,Inland,Z14044F,Summer,June,2015,Free,Whitmore,Surface,26873,377,82.63668608549881,42.320056850867466
Z14045F,Z14-45-1,5916745.467,1458781.524,4457963.943,196428.2412,46900.41423,150361.0169,Accuri,Inland,Z14045F,Summer,June,2015,Free,Independence,Surface,47134,361,68.88359393666244,28.83425299031281
Z14046F,Z14-46-1,5395203.168,1308085.503,4087117.665,41184.034210000005,15216.70354,32506.522210000003,Accuri,Inland,Z14046F,Summer,June,2015,Free,Independence,Surface,35874,364,73.3877440519871,28.14590161142327
Z14047F,Z14-47-1,6305317.804,1919578.208,4385739.596,44976.7604,9461.383394,36257.15153,Accuri,Inland,Z14047F,Summer,June,2015,Free,Independence,Deep,26088,459,80.98474637509227,36.83998496853527
Z14048F,Z14-48-1,5776899.2020000005,1206946.024,4569953.178,16116.839880000001,12821.85987,8694.443944,Accuri,Inland,Z14048F,Summer,June,2015,Free,Independence,Surface,23300,325,70.68007356964051,31.349389166512662
Z14050F,Z14-50-1,4130724.917,1054379.193,3076345.724,60422.00262000001,11063.251240000001,49660.13283,Accuri,Inland,Z14050F,Fall,October,2015,Free,North,Surface,18860,346,75.90765952437579,33.914203416911086
Z14053F,Z14-53-1,3870306.913,880437.9836,2989868.9289999995,30627.36914,26175.706980000003,17629.77041,Accuri,Inland,Z14053F,Fall,October,2014,Free,Bruin,Surface,24818,362,74.14508944437713,29.69915232752071
Z14055F,Z14-55-1,7151123.168,3062020.685,4089102.483,198957.11800000002,98250.61456,100748.5977,Accuri,Inland,Z14055F,Fall,October,2014,Free,Bruin,Deep,29845,460,100.66114352535118,35.21556808755076
Z14057F,Z14-57-1,6199513.88,1852823.504,4346690.376,36298.895110000005,41941.71529,15953.116919999999,Accuri,Inland,Z14057F,Fall,October,2014,Free,Whitmore,Surface,25473,395,95.201551764948,49.43748437456522
Z14059F,Z14-59-1,5262967.016,1470039.168,3792927.848,89982.83309,36299.69349,61419.2159,Accuri,Inland,Z14059F,Fall,October,2014,Free,Whitmore,Deep,30860,421,62.86542233330633,23.541999382350426
Z14061F,Z14-61-1,4120768.3419999997,1225764.088,2895004.253,50446.722180000004,28177.46895,29507.86883,Accuri,Inland,Z14061F,Fall,October,2014,Free,Independence,Surface,25229,417,84.96694053112299,35.91669771485292
Z14063F,Z14-63-1,3795547.753,1108947.539,2686600.2139999997,43293.9176,29584.953760000004,14186.648369999999,Accuri,Inland,Z14063F,Fall,October,2014,Free,Independence,Deep,27149,433,89.49141976351297,39.80376909234109
Z15065F,Z14-65-1,1957204.374,707579.9188,1249624.456,216171.2793,46673.59786,170378.9331,Accuri,Inland,Z15065F,Spring,April,2015,Free,North,Surface,10152,290,80.53328467306945,36.42809120209308
