"Otu000001" "Otu000005" "Otu000009" "Otu000010" "Otu000012" "Otu000023" "Otu000050" "Otu000071" "Otu000075" "Otu000077" "Otu000093" "Otu000227" "Otu000267" "Otu000304" "Otu000377" "Otu000387" "Otu000663" "Otu000763" "Otu000931" "Otu001021" "Otu001130" "Otu001148" "Otu001194" "Otu001269" "Otu001311" "Otu001526" "Otu001556" "Otu001693" "Otu001700" "Otu001784" "Otu002251" "Otu002674" "Otu005522" "Otu005973" "Otu007916" "Otu008727"
"Z14001F" 0.270790020790021 0.0540540540540541 0.217983367983368 0.22037422037422 0.1495841995842 0.0148648648648649 0.0106029106029106 0.000103950103950104 0.00103950103950104 0.0243243243243243 0.00706860706860707 0.000935550935550936 0.00103950103950104 0.000311850311850312 0.0249480249480249 0.000831600831600832 0 0.000935550935550936 0 0 0 0 0 0 0 0.000207900207900208 0 0 0 0 0 0 0 0 0 0
"Z14002F" 0.164137214137214 0.0696465696465697 0.234199584199584 0.312162162162162 0.142723492723493 0.0168399168399168 0.0235966735966736 0.000311850311850312 0 0.0112266112266112 0.00363825363825364 0.000311850311850312 0.00197505197505198 0.00135135135135135 0.0137214137214137 0.000727650727650728 0.000207900207900208 0.00218295218295218 0 0 0 0.000103950103950104 0 0 0 0.000415800415800416 0.000207900207900208 0.000103950103950104 0 0 0.000207900207900208 0 0 0 0 0
"Z14003F" 0.0617463617463617 0.00914760914760915 0.253118503118503 0.227027027027027 0.0620582120582121 0.00239085239085239 0.0384615384615385 0.0366943866943867 0.022037422037422 0 0.0422037422037422 0.000415800415800416 0.0133056133056133 0.114345114345114 0.017983367983368 0.0148648648648649 0.00727650727650728 0 0 0.00197505197505198 0 0.0215176715176715 0.000935550935550936 0.00155925155925156 0.0025987525987526 0.0291060291060291 0.000103950103950104 0.0127858627858628 0.000311850311850312 0.0025987525987526 0.00207900207900208 0.000831600831600832 0 0.000207900207900208 0.000311850311850312 0
"Z14004F" 0.072972972972973 0.112889812889813 0.170686070686071 0.351663201663202 0.0845114345114345 0.00977130977130977 0.0142411642411642 0.00197505197505198 0.000415800415800416 0.114656964656965 0.012993762993763 0.000311850311850312 0.00374220374220374 0.00239085239085239 0.037006237006237 0.000727650727650728 0.000103950103950104 0.00509355509355509 0 0 0 0.000207900207900208 0 0 0.000207900207900208 0.00176715176715177 0.000415800415800416 0.000103950103950104 0 0.00114345114345114 0 0 0 0 0 0
"Z14005F" 0.17962577962578 0.0572765072765073 0.268607068607069 0.228170478170478 0.133575883575884 0.0194386694386694 0.0486486486486487 0.0277546777546778 0.00602910602910603 0.00696465696465697 0.0175675675675676 0.000103950103950104 0 0.000311850311850312 0.00051975051975052 0.00239085239085239 0.000103950103950104 0 0.00228690228690229 0 0 0 0.000103950103950104 0 0 0.000207900207900208 0 0 0 0 0.000311850311850312 0 0 0 0 0
"Z14006F" 0.165592515592516 0.0514553014553015 0.267359667359667 0.254158004158004 0.14033264033264 0.0183991683991684 0.051039501039501 0.0175675675675676 0.00176715176715177 0.0051975051975052 0.020997920997921 0.000207900207900208 0.000311850311850312 0 0.00166320166320166 0.000935550935550936 0.000103950103950104 0 0.00218295218295218 0 0 0 0 0 0 0.000415800415800416 0.000207900207900208 0 0 0 0.000103950103950104 0 0 0 0 0
"Z14007F" 0.0504158004158004 0.0553014553014553 0.318918918918919 0.290852390852391 0.0741164241164241 0.00228690228690229 0.0316008316008316 0.0479209979209979 0.0588357588357588 0.00114345114345114 0.0213097713097713 0.000311850311850312 0.00322245322245322 0.0156964656964657 0.00582120582120582 0.00374220374220374 0.00301455301455301 0.000207900207900208 0 0.00322245322245322 0 0.000207900207900208 0.00291060291060291 0.000623700623700624 0.0027027027027027 0.00228690228690229 0.000103950103950104 0.00114345114345114 0 0.00114345114345114 0.00051975051975052 0 0.000311850311850312 0.000103950103950104 0 0
"Z14008F" 0.162681912681913 0.0716216216216216 0.266424116424116 0.257900207900208 0.135343035343035 0.0161122661122661 0.0291060291060291 0.0166320166320166 0.00914760914760915 0.0102910602910603 0.0182952182952183 0.000103950103950104 0 0.000103950103950104 0.00218295218295218 0.00124740124740125 0.000207900207900208 0 0.00176715176715177 0.000103950103950104 0.000103950103950104 0 0 0 0 0.000623700623700624 0 0 0 0 0 0 0 0 0 0
"Z14009F" 0.28024948024948 0.00446985446985447 0.287006237006237 0.253742203742204 0.0979209979209979 0.00966735966735967 0.0301455301455301 0.000103950103950104 0.00550935550935551 0.0027027027027027 0.00748440748440748 0 0.00197505197505198 0.000207900207900208 0.016008316008316 0.00114345114345114 0 0 0 0 0 0 0 0 0 0.000207900207900208 0 0.000311850311850312 0 0.000935550935550936 0.000207900207900208 0 0 0 0 0
"Z14010F" 0.277754677754678 0.0297297297297297 0.265696465696466 0.228170478170478 0.115592515592516 0.0118503118503119 0.0392931392931393 0.000103950103950104 0.00363825363825364 0.00550935550935551 0.00446985446985447 0.000103950103950104 0.000415800415800416 0 0.0161122661122661 0.000623700623700624 0.000103950103950104 0 0 0.000415800415800416 0 0 0 0 0.000103950103950104 0 0.000103950103950104 0 0 0.000207900207900208 0 0 0 0 0 0
