"Rank1" "Rank2" "Rank3" "Rank4" "Rank5" "Rank6" "Rank7"
"Otu000001" "Bacteria" "Actinobacteria" NA NA NA NA NA
"Otu000005" "Bacteria" "Cyanobacteria" NA NA NA NA NA
"Otu000009" "Bacteria" "Bacteroidetes" NA NA NA NA NA
"Otu000010" "Bacteria" "Proteobacteria" NA NA NA NA NA
"Otu000012" "Bacteria" "Verrucomicrobia" NA NA NA NA NA
"Otu000023" "Bacteria" "Armatimonadetes" NA NA NA NA NA
"Otu000050" "Bacteria" "Planctomycetes" NA NA NA NA NA
"Otu000071" "Bacteria" "Chlorobi" NA NA NA NA NA
"Otu000075" "Bacteria" "Chloroflexi" NA NA NA NA NA
"Otu000077" "unknown" "unknown_unclassified" NA NA NA NA NA
"Otu000093" "Bacteria" "Bacteria_unclassified" NA NA NA NA NA
"Otu000227" "Bacteria" "Gemmatimonadetes" NA NA NA NA NA
"Otu000267" "Bacteria" "Omnitrophica" NA NA NA NA NA
"Otu000304" "Bacteria" "Lentisphaerae" NA NA NA NA NA
"Otu000377" "Bacteria" "Firmicutes" NA NA NA NA NA
"Otu000387" "Bacteria" "Spirochaetae" NA NA NA NA NA
"Otu000663" "Bacteria" "Acidobacteria" NA NA NA NA NA
"Otu000763" "Bacteria" "TM6" NA NA NA NA NA
"Otu000931" "Bacteria" "Chlamydiae" NA NA NA NA NA
"Otu001021" "Bacteria" "Gracilibacteria" NA NA NA NA NA
"Otu001130" "Bacteria" "SHA-109" NA NA NA NA NA
"Otu001148" "Bacteria" "Cloacimonetes" NA NA NA NA NA
"Otu001194" "Bacteria" "Deinococcus-Thermus" NA NA NA NA NA
"Otu001269" "Bacteria" "Latescibacteria" NA NA NA NA NA
"Otu001311" "Bacteria" "Fibrobacteres" NA NA NA NA NA
"Otu001526" "Bacteria" "Parcubacteria" NA NA NA NA NA
"Otu001556" "Bacteria" "Fusobacteria" NA NA NA NA NA
"Otu001693" "Bacteria" "Candidate_division_SR1" NA NA NA NA NA
"Otu001700" "Bacteria" "Aminicenantes" NA NA NA NA NA
"Otu001784" "Bacteria" "Candidate_division_OP3" NA NA NA NA NA
"Otu002251" "Bacteria" "Tenericutes" NA NA NA NA NA
"Otu002674" "Bacteria" "Hydrogenedentes" NA NA NA NA NA
"Otu005522" "Bacteria" "Elusimicrobia" NA NA NA NA NA
"Otu005973" "Bacteria" "PAUC34f" NA NA NA NA NA
"Otu007916" "Bacteria" "Thermotogae" NA NA NA NA NA
"Otu008727" "Bacteria" "Nitrospirae" NA NA NA NA NA
