"Rank1" "Rank2" "Rank3" "Rank4" "Rank5" "Rank6" "Rank7"
"Otu000001" "Bacteria" "Actinobacteria" "Actinobacteria" NA NA NA NA
"Otu000007" "Bacteria" "Proteobacteria" "Betaproteobacteria" NA NA NA NA
"Otu000009" "Bacteria" "Bacteroidetes" "[Saprospirae]" NA NA NA NA
"Otu000012" "Bacteria" "Verrucomicrobia" "OPB35_soil_group" NA NA NA NA
"Otu000017" "Bacteria" "Bacteroidetes" "Flavobacteriia" NA NA NA NA
"Otu000019" "Bacteria" "Verrucomicrobia" "Opitutae" NA NA NA NA
"Otu000020" "Bacteria" "Bacteroidetes" "Sphingobacteriia" NA NA NA NA
"Otu000022" "Bacteria" "Proteobacteria" "Alphaproteobacteria" NA NA NA NA
"Otu000023" "Bacteria" "Armatimonadetes" "Armatimonadia" NA NA NA NA
"Otu000025" "Bacteria" "Bacteroidetes" "Cytophagia" NA NA NA NA
"Otu000030" "Bacteria" "Cyanobacteria" "Cyanobacteria" NA NA NA NA
"Otu000041" "Bacteria" "Verrucomicrobia" "[Spartobacteria]" NA NA NA NA
"Otu000046" "Bacteria" "Actinobacteria" "Acidimicrobiia" NA NA NA NA
"Otu000056" "Bacteria" "Chloroflexi" "Chloroflexi_unclassified" NA NA NA NA
"Otu000070" "Bacteria" "Verrucomicrobia" "[Methylacidiphilae]" NA NA NA NA
"Otu000075" "Bacteria" "Chloroflexi" "SL56_marine_group" NA NA NA NA
"Otu000077" "unknown" "unknown_unclassified" "unknown_unclassified" NA NA NA NA
"Otu000082" "Bacteria" "Chlorobi" "Chlorobia" NA NA NA NA
"Otu000083" "Bacteria" "Planctomycetes" "Planctomycetacia" NA NA NA NA
"Otu000093" "Bacteria" "Bacteria_unclassified" "Bacteria_unclassified" NA NA NA NA
"Otu000110" "Bacteria" "Proteobacteria" "Gammaproteobacteria" NA NA NA NA
"Otu000136" "Bacteria" "Planctomycetes" "Planctomycetes_unclassified" NA NA NA NA
"Otu000137" "Bacteria" "Proteobacteria" "Proteobacteria_unclassified" NA NA NA NA
"Otu000142" "Bacteria" "Bacteroidetes" "Bacteroidetes_unclassified" NA NA NA NA
"Otu000161" "Bacteria" "Planctomycetes" "OM190" NA NA NA NA
"Otu000176" "Bacteria" "Proteobacteria" "Deltaproteobacteria" NA NA NA NA
"Otu000215" "Bacteria" "Verrucomicrobia" "Verrucomicrobia_Incertae_Sedis" NA NA NA NA
"Otu000227" "Bacteria" "Gemmatimonadetes" "Gemmatimonadetes" NA NA NA NA
"Otu000231" "Bacteria" "Verrucomicrobia" "Verrucomicrobia_unclassified" NA NA NA NA
"Otu000256" "Bacteria" "Planctomycetes" "Phycisphaerae" NA NA NA NA
"Otu000262" "Bacteria" "Chloroflexi" "Chloroflexia" NA NA NA NA
"Otu000267" "Bacteria" "Omnitrophica" "NPL-UPA2" NA NA NA NA
"Otu000385" "Bacteria" "Proteobacteria" "TA18" NA NA NA NA
"Otu000387" "Bacteria" "Spirochaetae" "Spirochaetes" NA NA NA NA
"Otu000390" "Bacteria" "Verrucomicrobia" "Verrucomicrobiae" NA NA NA NA
"Otu000441" "Bacteria" "Verrucomicrobia" "Spartobacteria" NA NA NA NA
"Otu000646" "Bacteria" "Armatimonadetes" "Armatimonadetes_unclassified" NA NA NA NA
"Otu000674" "Bacteria" "Cyanobacteria" "Cyanobacteria_unclassified" NA NA NA NA
"Otu000745" "Bacteria" "Proteobacteria" "Epsilonproteobacteria" NA NA NA NA
"Otu000775" "Bacteria" "Acidobacteria" "Acidobacteria" NA NA NA NA
"Otu001006" "Bacteria" "Nitrospirae" "Nitrospira" NA NA NA NA
"Otu001028" "Bacteria" "TM6" "TM6_unclassified" NA NA NA NA
"Otu001118" "Bacteria" "Cyanobacteria" "ML635J-21" NA NA NA NA
"Otu001345" "Bacteria" "Candidate_division_OP3" "Candidate_division_OP3_unclassified" NA NA NA NA
"Otu001451" "Bacteria" "Proteobacteria" "JTB23" NA NA NA NA
"Otu001677" "Bacteria" "Actinobacteria" "Thermoleophilia" NA NA NA NA
"Otu002142" "Bacteria" "Parcubacteria" "Parcubacteria_unclassified" NA NA NA NA
"Otu002392" "Bacteria" "Planctomycetes" "vadinHA49" NA NA NA NA
"Otu002522" "Bacteria" "Firmicutes" "Bacilli" NA NA NA NA
"Otu003218" "Bacteria" "Actinobacteria" "Actinobacteria_unclassified" NA NA NA NA
"Otu003936" "Bacteria" "Chlamydiae" "Chlamydiae" NA NA NA NA
"Otu004969" "Bacteria" "WCHB1-60" "WCHB1-60_unclassified" NA NA NA NA
