"Otu000001" "Otu000007" "Otu000009" "Otu000010" "Otu000012" "Otu000016" "Otu000017" "Otu000018" "Otu000019" "Otu000020" "Otu000022" "Otu000023" "Otu000025" "Otu000026" "Otu000030" "Otu000041" "Otu000044" "Otu000046" "Otu000048" "Otu000056" "Otu000058" "Otu000059" "Otu000062" "Otu000063" "Otu000067" "Otu000070" "Otu000075" "Otu000077" "Otu000078" "Otu000082" "Otu000083" "Otu000086" "Otu000087" "Otu000088" "Otu000093" "Otu000103" "Otu000104" "Otu000106" "Otu000107" "Otu000110" "Otu000117" "Otu000120" "Otu000135" "Otu000136" "Otu000137" "Otu000142" "Otu000154" "Otu000155" "Otu000159" "Otu000161" "Otu000162" "Otu000168" "Otu000176" "Otu000184" "Otu000192" "Otu000205" "Otu000210" "Otu000215" "Otu000216" "Otu000223" "Otu000225" "Otu000227" "Otu000231" "Otu000244" "Otu000248" "Otu000255" "Otu000256" "Otu000262" "Otu000267" "Otu000269" "Otu000273" "Otu000282" "Otu000293" "Otu000311" "Otu000322" "Otu000323" "Otu000326" "Otu000328" "Otu000338" "Otu000340" "Otu000379" "Otu000385" "Otu000387" "Otu000390" "Otu000434" "Otu000436" "Otu000441" "Otu000446" "Otu000467" "Otu000477" "Otu000509" "Otu000514" "Otu000527" "Otu000547" "Otu000553" "Otu000563" "Otu000582" "Otu000613" "Otu000646" "Otu000655" "Otu000666" "Otu000669" "Otu000672" "Otu000674" "Otu000676" "Otu000704" "Otu000745" "Otu000755" "Otu000756" "Otu000769" "Otu000775" "Otu000779" "Otu000816" "Otu000834" "Otu000837" "Otu000860" "Otu000906" "Otu000908" "Otu000914" "Otu000949" "Otu000977" "Otu000999" "Otu001006" "Otu001007" "Otu001010" "Otu001028" "Otu001039" "Otu001076" "Otu001118" "Otu001199" "Otu001219" "Otu001345" "Otu001451" "Otu001476" "Otu001542" "Otu001549" "Otu001663" "Otu001677" "Otu001690" "Otu001754" "Otu001760" "Otu002142" "Otu002392" "Otu002471" "Otu002522" "Otu002712" "Otu002896" "Otu003066" "Otu003078" "Otu003167" "Otu003218" "Otu003936" "Otu004969" "Otu005236" "Otu007520" "Otu009453"
"110D2F115" 0.374052232518955 0.0840775063184499 0.0301600673967987 0.0284751474304971 0.0251053074978939 0.0193765796124684 0.0276326874473463 0.00101095197978096 0.0417860151642797 0.00471777590564448 0.008424599831508 0.00235888795282224 0.0149957877000842 0.0160067396798652 0.0101095197978096 0.0008424599831508 0 0.0278011794439764 0.00016849199663016 0.0586352148272957 0 0.00707666385846672 0 0.00606571187868576 0.00370682392586352 0.00185341196293176 0.0404380791912384 0.00320134793597304 0.00016849199663016 0.00033698399326032 0.00370682392586352 0.00471777590564448 0.0109519797809604 0.0067396798652064 0.00454928390901432 0.00067396798652064 0.00202190395956192 0.00202190395956192 0.0264532434709351 0.00033698399326032 0.00050547598989048 0.00320134793597304 0 0.00640269587194608 0.00269587194608256 0.00033698399326032 0.00640269587194608 0.00033698399326032 0.00067396798652064 0 0.00353833192923336 0 0.00101095197978096 0 0.00033698399326032 0.00050547598989048 0.00067396798652064 0.00539174389216512 0.00101095197978096 0.00016849199663016 0 0 0.0213984835720303 0.0016849199663016 0.0008424599831508 0 0.00808761583824768 0.00117944397641112 0 0 0.00067396798652064 0 0.00269587194608256 0.00016849199663016 0.00067396798652064 0 0.0050547598989048 0.00033698399326032 0 0 0 0 0 0.00016849199663016 0 0.00016849199663016 0.00893007582139848 0.0016849199663016 0 0.00134793597304128 0.00067396798652064 0 0.00016849199663016 0.00016849199663016 0.00016849199663016 0 0 0 0 0 0 0 0 0.00033698399326032 0.00202190395956192 0.00033698399326032 0 0 0 0.00016849199663016 0 0 0.00117944397641112 0.00016849199663016 0 0 0 0.00016849199663016 0 0 0.00202190395956192 0.00016849199663016 0 0.00067396798652064 0 0.00033698399326032 0 0.00016849199663016 0 0 0 0.00033698399326032 0 0 0 0.00033698399326032 0 0 0 0 0.00016849199663016 0 0 0 0 0 0 0 0 0.00016849199663016 0 0 0.00016849199663016 0 0 0.0008424599831508
"110D2F415" 0.21095197978096 0.067396798652064 0.0149957877000842 0.0438079191238416 0.0251053074978939 0.0161752316764954 0.0190395956192081 0.00016849199663016 0.0480202190395956 0.00202190395956192 0.0008424599831508 0.0008424599831508 0.00219039595619208 0.0016849199663016 0.00151642796967144 0 0.00488626790227464 0 0 0.0122999157540017 0 0.00943555181128896 0 0.00640269587194608 0.0144903117101938 0 0.0144903117101938 0.00269587194608256 0 0 0.00117944397641112 0.00016849199663016 0.00303285593934288 0.0025273799494524 0.004212299915754 0.00353833192923336 0.0008424599831508 0.00016849199663016 0.00539174389216512 0.218702611625948 0 0.00016849199663016 0 0.00016849199663016 0.0025273799494524 0.00067396798652064 0.00454928390901432 0 0 0 0.00101095197978096 0 0.00859309182813816 0 0.09469250210615 0.00033698399326032 0 0 0.0025273799494524 0.00101095197978096 0 0.00067396798652064 0.00909856781802864 0 0 0 0.00219039595619208 0.00067396798652064 0 0 0.00117944397641112 0 0 0 0.00151642796967144 0 0.00050547598989048 0 0.00016849199663016 0 0 0.00033698399326032 0 0.00117944397641112 0 0.00016849199663016 0.00016849199663016 0.0700926705981466 0 0.00101095197978096 0 0 0 0 0.0224094355518113 0 0 0 0 0.0025273799494524 0 0 0 0.00101095197978096 0 0 0 0 0 0 0.00050547598989048 0 0.00202190395956192 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00353833192923336 0 0 0 0.00269587194608256 0.00016849199663016 0 0 0 0.00016849199663016 0 0.00016849199663016 0 0 0.00033698399326032 0 0 0 0 0 0 0 0 0 0 0
"110D2F515" 0.275821398483572 0.0866048862679023 0.0702611625947767 0.0296545914069082 0.0331929233361415 0.0229149115417018 0.0921651221566976 0 0.0763268744734625 0.0149957877000842 0.0119629317607414 0 0.0202190395956192 0.00488626790227464 0.00202190395956192 0 0.00016849199663016 0.0274641954507161 0 0.00960404380791912 0 0.0138163437236731 0 0.004212299915754 0.0566133108677338 0.0008424599831508 0.0124684077506318 0.0203875315922494 0 0.00016849199663016 0.00067396798652064 0.00185341196293176 0.0016849199663016 0.00606571187868576 0.0102780117944398 0.00977253580454928 0.00235888795282224 0.00033698399326032 0.0212299915754002 0.0016849199663016 0 0.00033698399326032 0 0.00067396798652064 0.00640269587194608 0.0008424599831508 0.0092670598146588 0 0.00050547598989048 0 0.0008424599831508 0 0.00539174389216512 0 0.00033698399326032 0 0.00033698399326032 0.00101095197978096 0.00185341196293176 0 0 0.0016849199663016 0.0058972198820556 0 0 0 0.00185341196293176 0.00067396798652064 0 0 0.00033698399326032 0 0.00016849199663016 0 0 0 0.00454928390901432 0 0 0 0 0.00016849199663016 0 0.00134793597304128 0 0.00050547598989048 0.0008424599831508 0.00101095197978096 0 0 0.00016849199663016 0 0 0 0.00202190395956192 0 0 0 0 0 0 0.00033698399326032 0.00016849199663016 0 0.00016849199663016 0 0 0 0 0 0.00016849199663016 0 0.00522325189553496 0 0.00016849199663016 0 0 0 0 0 0 0 0 0 0 0 0 0.00050547598989048 0 0 0 0 0 0 0 0 0 0.00067396798652064 0 0 0 0 0 0 0.0008424599831508 0 0 0 0 0 0 0 0 0 0 0
"110D2F715" 0.290311710193766 0.0417860151642797 0.0377422072451559 0.0390901432181971 0.0857624262847515 0.0187026116259478 0.0618365627632687 0.00016849199663016 0.0717775905644482 0.00707666385846672 0.0310025273799495 0.00488626790227464 0.012636899747262 0.0160067396798652 0.00185341196293176 0 0 0.0151642796967144 0 0.00808761583824768 0 0.00657118786857624 0 0.00454928390901432 0.0197135636057287 0.00067396798652064 0.0264532434709351 0.0207245155855097 0 0.00050547598989048 0.00185341196293176 0.00235888795282224 0.00404380791912384 0.00219039595619208 0.0067396798652064 0.00454928390901432 0.00219039595619208 0.00185341196293176 0.0298230834035383 0 0 0.00876158382476832 0 0.00370682392586352 0.0318449873631002 0.00067396798652064 0.0067396798652064 0.00016849199663016 0.00235888795282224 0 0.00151642796967144 0 0.00050547598989048 0 0 0 0.00134793597304128 0.0075821398483572 0.00033698399326032 0.00016849199663016 0 0.00050547598989048 0.0227464195450716 0 0 0 0.00707666385846672 0.00117944397641112 0 0.00117944397641112 0.00134793597304128 0 0 0 0 0 0.00690817186183656 0 0 0 0.00134793597304128 0 0 0 0 0.00067396798652064 0.0016849199663016 0.0016849199663016 0.00050547598989048 0.00033698399326032 0.00033698399326032 0 0 0.00033698399326032 0.00101095197978096 0 0.00033698399326032 0 0 0.00050547598989048 0 0 0 0 0.00016849199663016 0 0 0.00016849199663016 0 0 0.00033698399326032 0 0.0025273799494524 0.00067396798652064 0 0 0 0 0 0 0.00016849199663016 0.00016849199663016 0 0 0 0 0 0.00016849199663016 0 0 0 0 0.00016849199663016 0 0 0 0 0.00050547598989048 0 0 0 0 0 0 0 0 0 0 0.00016849199663016 0 0 0 0.00033698399326032 0 0 0.00033698399326032
"110D2F815" 0.258635214827296 0.0448188711036226 0.0264532434709351 0.022072451558551 0.034709351305813 0.0122999157540017 0.0891322662173547 0.0008424599831508 0.0439764111204718 0.00606571187868576 0.0207245155855097 0.00909856781802864 0.0144903117101938 0.00791912384161752 0.00387531592249368 0.00050547598989048 0.00033698399326032 0.0249368155012637 0 0.0170176916596462 0 0.0050547598989048 0 0.00539174389216512 0.0227464195450716 0.0025273799494524 0.0160067396798652 0.0207245155855097 0 0.00151642796967144 0.0141533277169334 0.00320134793597304 0.00741364785172704 0.00471777590564448 0.00488626790227464 0.00404380791912384 0.00067396798652064 0.00185341196293176 0.0508845829823083 0 0.00101095197978096 0.00522325189553496 0 0.0183656276326874 0.0139848357203033 0.00219039595619208 0.00994102780117944 0 0.00151642796967144 0 0.0025273799494524 0 0.00269587194608256 0.00016849199663016 0 0.00067396798652064 0.0008424599831508 0.0102780117944398 0.00016849199663016 0.00033698399326032 0.00067396798652064 0.00033698399326032 0.0436394271272115 0 0.00370682392586352 0 0.0368997472620051 0.0008424599831508 0 0.0008424599831508 0.00219039595619208 0 0.00016849199663016 0 0.00033698399326032 0 0.00657118786857624 0 0 0 0.00033698399326032 0.00050547598989048 0.00033698399326032 0.00016849199663016 0 0.00033698399326032 0.00741364785172704 0.00185341196293176 0 0.00219039595619208 0.00067396798652064 0 0 0.00033698399326032 0.0008424599831508 0 0 0 0 0.00033698399326032 0 0 0.00050547598989048 0 0.00067396798652064 0 0 0.00016849199663016 0.00067396798652064 0 0.00050547598989048 0 0.00387531592249368 0.00134793597304128 0.00016849199663016 0 0 0 0 0 0.00101095197978096 0 0.00016849199663016 0 0.00067396798652064 0.00117944397641112 0 0.0008424599831508 0 0 0 0 0.00016849199663016 0 0 0.00033698399326032 0 0.0008424599831508 0 0 0 0.00016849199663016 0 0 0 0.00016849199663016 0 0.00033698399326032 0 0.0008424599831508 0.00016849199663016 0 0 0 0 0
"110D2F915" 0.267059814658804 0.0328559393428812 0.0244313395113732 0.0269587194608256 0.0234203875315923 0.00825610783487784 0.0331929233361415 0.00067396798652064 0.0283066554338669 0.00707666385846672 0.0171861836562763 0.00825610783487784 0.0119629317607414 0.00791912384161752 0.00572872788542544 0.00016849199663016 0.00016849199663016 0.0330244313395114 0 0.0276326874473462 0 0.0058972198820556 0 0.00808761583824768 0.0106149957877001 0.00134793597304128 0.0153327716933446 0.00353833192923336 0 0.00050547598989048 0.029486099410278 0.00454928390901432 0.0129738837405223 0.00404380791912384 0.00775063184498736 0.00134793597304128 0.00219039595619208 0.00387531592249368 0.0491996630160067 0.00016849199663016 0 0.012636899747262 0 0.0326874473462511 0.015838247683235 0 0.011625947767481 0 0.00286436394271272 0 0.00488626790227464 0 0.00353833192923336 0.00033698399326032 0 0.00016849199663016 0.00117944397641112 0.0058972198820556 0.0008424599831508 0 0 0.0008424599831508 0.0859309182813816 0 0.00134793597304128 0 0.0330244313395114 0.00134793597304128 0 0.00033698399326032 0.00101095197978096 0 0.00016849199663016 0 0 0 0.00909856781802864 0 0.00016849199663016 0 0.0008424599831508 0.00101095197978096 0 0.00016849199663016 0 0.00067396798652064 0.0207245155855097 0.0008424599831508 0.00117944397641112 0.00235888795282224 0.0016849199663016 0 0 0.00117944397641112 0.00151642796967144 0 0 0 0.00050547598989048 0 0 0.00016849199663016 0.00050547598989048 0 0.00067396798652064 0 0 0 0 0.00067396798652064 0.00303285593934288 0 0.00185341196293176 0.00033698399326032 0.00016849199663016 0.00033698399326032 0.00033698399326032 0 0 0 0.00185341196293176 0.00067396798652064 0 0 0.00050547598989048 0.00235888795282224 0 0.00016849199663016 0 0 0 0 0 0 0 0 0 0.00067396798652064 0.00050547598989048 0 0.00050547598989048 0.00016849199663016 0 0 0 0 0 0 0 0.00016849199663016 0 0 0 0.00050547598989048 0 0.00016849199663016
"110M2F115" 0.420050547598989 0.118618365627633 0.0240943555181129 0.0008424599831508 0.0187026116259478 0.0190395956192081 0.0422914911541702 0.00269587194608256 0.0139848357203033 0.0058972198820556 0.013647851727043 0.004212299915754 0.0181971356360573 0.0016849199663016 0.0719460825610783 0.00690817186183656 0 0.0374052232518955 0.00117944397641112 0.00016849199663016 0 0.0058972198820556 0 0.0075821398483572 0.0176916596461668 0.0149957877000842 0.00623420387531592 0.0166807076663858 0 0.00016849199663016 0.0075821398483572 0.00387531592249368 0.00219039595619208 0.0025273799494524 0.00909856781802864 0.0033698399326032 0.0156697556866049 0.00269587194608256 0.00303285593934288 0.0008424599831508 0.00101095197978096 0.00202190395956192 0.00033698399326032 0.00320134793597304 0.00185341196293176 0.00050547598989048 0.00471777590564448 0 0.00016849199663016 0 0.0025273799494524 0 0.0008424599831508 0 0 0.00067396798652064 0.0050547598989048 0.004212299915754 0.00101095197978096 0.00067396798652064 0 0 0.00151642796967144 0 0.00067396798652064 0 0.00151642796967144 0.0016849199663016 0 0 0.00050547598989048 0 0 0 0.00050547598989048 0 0.0025273799494524 0 0 0.00016849199663016 0 0.00117944397641112 0.00016849199663016 0.00235888795282224 0 0.00185341196293176 0 0.00151642796967144 0 0 0 0.00202190395956192 0 0 0.00117944397641112 0 0.00016849199663016 0 0 0 0.00050547598989048 0 0.0016849199663016 0.00033698399326032 0.00101095197978096 0 0 0 0 0.00101095197978096 0.00016849199663016 0 0.00050547598989048 0.0008424599831508 0 0 0 0.00016849199663016 0.00067396798652064 0 0 0 0 0 0 0 0 0.0025273799494524 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00050547598989048 0 0 0 0 0 0 0 0 0 0 0 0 0
"110M2F415" 0.258803706823926 0.0537489469250211 0.0449873631002527 0.0283066554338669 0.0222409435551811 0.0102780117944398 0.0465037910699242 0 0.050547598989048 0.0111204717775906 0.0122999157540017 0.00033698399326032 0.00909856781802864 0.00539174389216512 0.0016849199663016 0.00016849199663016 0.00067396798652064 0.0397641112047178 0 0.00977253580454928 0 0.00741364785172704 0 0.0101095197978096 0.0245998315080034 0.0016849199663016 0.0138163437236731 0.0225779275484414 0.00033698399326032 0 0.0008424599831508 0.00134793597304128 0.00438079191238416 0.00438079191238416 0.0109519797809604 0.00707666385846672 0.00016849199663016 0.00016849199663016 0.013647851727043 0.14759898904802 0 0.0008424599831508 0 0.00117944397641112 0.00387531592249368 0.00033698399326032 0.00606571187868576 0 0 0 0.00050547598989048 0 0.00286436394271272 0 0.0264532434709351 0 0 0.00202190395956192 0.0025273799494524 0.00050547598989048 0 0.00033698399326032 0.00909856781802864 0 0 0 0.0008424599831508 0.00101095197978096 0 0.00050547598989048 0.00016849199663016 0 0 0 0.00016849199663016 0 0.00522325189553496 0 0 0 0 0 0.00016849199663016 0.00016849199663016 0 0.00033698399326032 0.00101095197978096 0.0259477674810447 0 0 0 0 0 0.00016849199663016 0.0170176916596462 0 0.00016849199663016 0 0 0.00134793597304128 0 0.00067396798652064 0.00050547598989048 0.00067396798652064 0.00033698399326032 0 0 0 0 0 0.00016849199663016 0 0.00657118786857624 0 0.00016849199663016 0 0.00033698399326032 0 0 0 0 0 0 0 0 0 0 0.00033698399326032 0 0 0.0008424599831508 0 0.00067396798652064 0 0.00016849199663016 0 0 0 0 0 0.00016849199663016 0 0 0 0.00033698399326032 0 0.00016849199663016 0 0 0 0 0 0 0.00016849199663016 0 0
"110M2F515" 0.220050547598989 0.0828980623420388 0.0454928390901432 0.0264532434709351 0.0436394271272115 0.0144903117101938 0.0552653748946925 0 0.0461668070766639 0.011625947767481 0.00657118786857624 0 0.00775063184498736 0.0033698399326032 0.00151642796967144 0 0.00269587194608256 0.0229149115417018 0 0.00454928390901432 0 0.008424599831508 0 0.00438079191238416 0.0353833192923336 0.00067396798652064 0.012636899747262 0.0380791912384162 0 0.00033698399326032 0.00033698399326032 0.0008424599831508 0.00269587194608256 0.0050547598989048 0.0187026116259478 0.00640269587194608 0.0016849199663016 0 0.0153327716933446 0.165964616680708 0 0.00134793597304128 0 0.00016849199663016 0.0033698399326032 0.00050547598989048 0.00909856781802864 0.00016849199663016 0.00033698399326032 0 0.00101095197978096 0 0.00269587194608256 0 0.0111204717775906 0 0.00016849199663016 0.00117944397641112 0.00134793597304128 0.00067396798652064 0 0.00067396798652064 0.00909856781802864 0 0 0 0.0008424599831508 0.00033698399326032 0 0 0.00016849199663016 0 0.00050547598989048 0 0 0 0.00269587194608256 0 0.00016849199663016 0 0 0 0 0.00067396798652064 0 0.00016849199663016 0.00050547598989048 0.0208930075821398 0 0 0.00016849199663016 0 0 0 0.00859309182813816 0 0 0 0 0.00219039595619208 0 0 0 0.00033698399326032 0 0 0 0 0 0 0 0 0.00303285593934288 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00067396798652064 0 0.00016849199663016 0.00050547598989048 0 0 0 0.00050547598989048 0 0 0 0.00016849199663016 0.00050547598989048 0 0 0 0 0.00067396798652064 0 0.00016849199663016 0 0 0 0 0 0 0 0 0
"110M2F715" 0.313058129738837 0.0326874473462511 0.029486099410278 0.0183656276326874 0.020050547598989 0.0111204717775906 0.0107834877843302 0.00067396798652064 0.0259477674810447 0.00235888795282224 0.00724515585509688 0 0.0156697556866049 0.00219039595619208 0.0301600673967986 0.00050547598989048 0.00050547598989048 0.0181971356360573 0 0.00303285593934288 0 0.00471777590564448 0 0.00185341196293176 0.164616680707666 0.00286436394271272 0.00775063184498736 0.0498736310025274 0 0.00067396798652064 0.00286436394271272 0.00353833192923336 0.00471777590564448 0.00050547598989048 0.0918281381634372 0.00522325189553496 0.00033698399326032 0.0033698399326032 0.00185341196293176 0 0.00050547598989048 0.00067396798652064 0 0.00488626790227464 0.0193765796124684 0.00134793597304128 0.0119629317607414 0 0.00101095197978096 0 0.00050547598989048 0 0.00219039595619208 0 0 0.00134793597304128 0.0016849199663016 0.0161752316764954 0.00050547598989048 0.00050547598989048 0 0.00033698399326032 0.0197135636057287 0 0.00016849199663016 0 0.013647851727043 0.00033698399326032 0 0 0.00033698399326032 0 0 0 0 0 0.0058972198820556 0.00016849199663016 0 0 0.00067396798652064 0 0.00050547598989048 0.00033698399326032 0 0 0 0 0 0 0.00033698399326032 0 0 0 0.00016849199663016 0 0.0016849199663016 0 0 0 0 0 0.00151642796967144 0 0.00016849199663016 0 0 0 0 0 0 0 0.00101095197978096 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00033698399326032 0 0 0 0 0 0 0 0 0 0.00050547598989048 0 0 0.0008424599831508 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
