,samples,Total.cells,HNA.cells,LNA.cells,Total.count.sd,HNA.sd,LNA.sd,Platform,Lake,Sample_16S,Season,Month,Year,Fraction,Site,Depth,Total_Sequences,D0,D1,D2
110D2F115,110D2-115-2,620420.9143,139880.6787,480540.2356,1640.27505,4639.951653,5795.307178,Accuri,Michigan,110D2F115,Winter,Januari,2015,Free,MM110,Deep,19654,203,37.470735264369935,14.17391138142825
110D2F415,110D2-415-2,799313.9932,155198.0513,644115.9418,9388.845068999999,4198.74129,5493.441736,Accuri,Michigan,110D2F415,Spring,April,2015,Free,MM110,Deep,7951,146,26.10025742564171,11.651439799018439
110D2F515,110D2-515,1261369.4409999999,362443.5877,898925.8536,15341.779190000001,10504.6963,6299.495382,Accuri,Michigan,110D2F515,Spring,May,2015,Free,MM110,Deep,16293,173,44.24440580950297,20.926106791138654
110D2F715,110D2-715-2,542723.614,131132.1467,411591.4673,6139.6961759999995,2196.008338,3967.95762,Accuri,Michigan,110D2F715,Summer,July,2015,Free,MM110,Deep,16882,199,39.98888245066645,15.08140068085062
110D2F815,110D2-815,548027.8659,131820.471,416207.3949,3552.0095149999997,3805.2941939999996,2441.935137,Accuri,Michigan,110D2F815,Summer,August,2015,Free,MM110,Deep,22157,221,55.821705047456426,22.310828828314932
110D2F915,110D2-915-2,731930.9879,189746.2226,542184.7653,36726.39626,6634.229915999999,30473.92482,Accuri,Michigan,110D2F915,Fall,September,2015,Free,MM110,Deep,16500,216,53.71223489308522,20.95750693888685
110M2F115,110M2-115-2,2035277.18,528665.9886,1506611.1909999999,83282.13592999999,34802.298910000005,49873.64731,Accuri,Michigan,110M2F115,Winter,Januari,2015,Free,MM110,Mid,14054,203,37.09908342081741,14.086697985347687
110M2F415,110M2-415-2,1154532.4270000001,315339.578,839192.8486,4008.7529299999997,736.81438,3796.158261,Accuri,Michigan,110M2F415,Spring,April,2015,Free,MM110,Mid,14115,185,40.84049232735729,16.532436909002005
110M2F515,110M2-515,1236955.439,342905.0735,894050.3651,62597.48074,26641.184119999998,35957.726389999996,Accuri,Michigan,110M2F515,Spring,May,2015,Free,MM110,Mid,15055,178,42.440668654731574,18.089522123111855
110M2F715,110M2-715-2,1049438.9270000001,314131.9437,735306.9829,59046.88748,24331.20816,34772.05553,Accuri,Michigan,110M2F715,Summer,July,2015,Free,MM110,Mid,14681,183,41.67428077028676,19.2831202061434
110S2F115,110S2_115_2,1965601.378,518719.064,1446882.314,285495.4159,78624.9528,206875.2716,Accuri,Michigan,110S2F115,Winter,Januari,2015,Free,MM110,Surface,14551,200,33.804608768970105,12.71858116366453
110S2F415,110S2-415-2,1065379.07,286101.6554,779277.4148,36505.79779,15470.3792,21208.026569999998,Accuri,Michigan,110S2F415,Spring,April,2015,Free,MM110,Surface,15627,175,41.08233290388307,17.80581303712414
110S2F515,110S2-515,976666.7207,258329.6474,718337.0733,5745.927355,4337.808723,8414.492404999999,Accuri,Michigan,110S2F515,Spring,May,2015,Free,MM110,Surface,13708,185,41.48495937575322,17.125483328479337
110S2F715,110S2-715-2,1135872.153,306317.1367,829555.0165,16485.497519999997,8665.770238,8079.04901,Accuri,Michigan,110S2F715,Summer,July,2015,Free,MM110,Surface,9142,180,44.442566312341704,18.90331272750864
110S2F915,110S2_915_2,1949851.989,893687.6445,1056164.345,1145512.4540000001,1068865.1840000001,77635.26539,Accuri,Michigan,110S2F915,Fall,September,2015,Free,MM110,Surface,6041,181,40.91180954719318,16.809581075502603
Fa13.BD.MM110.DN.1,MM110-D-N_September,568983.7842,182014.4591,386969.3251,24646.93633,11889.00427,14151.94835,Accuri,Michigan,Fa13.BD.MM110.DN.1,Fall,September,2013,Free,MM110,Deep,38303,241,40.969362460009286,13.858578796556811
Fa13.BD.MM110.SD.1,MM110-S-D_September,2267680.202,615599.4895,1652080.7130000002,45326.13418,6792.5663939999995,41497.92018,Accuri,Michigan,Fa13.BD.MM110.SD.1,Fall,September,2013,Free,MM110,Surface,33755,185,27.188387668632075,12.17068881222154
Fa13.BD.MM110.SN.1,MM110-S-N_September,2435580.554,675328.5303,1760252.024,12632.38127,12312.56847,16630.86577,Accuri,Michigan,Fa13.BD.MM110.SN.1,Fall,September,2013,Free,MM110,Surface,35142,192,27.806459541217322,12.688480767297843
Fa13.BD.MM15.DN.1,MM15-D-N_September,2045095.25,676246.4628,1368848.7869999998,30764.155239999996,7834.048709999999,25115.5344,Accuri,Michigan,Fa13.BD.MM15.DN.1,Fall,September,2013,Free,MM15,Deep,34665,228,38.173252667441304,15.115052864156015
Fa13.BD.MM15.SD.1,MM15-S-D_September,2279051.153,632620.8475,1646430.3059999999,37166.35827,21380.38518,23405.9583,Accuri,Michigan,Fa13.BD.MM15.SD.1,Fall,September,2013,Free,MM15,Surface,32178,239,29.962041563341383,11.832284220239266
Fa13.BD.MM15.SN.1,MM15-S-N_September,2329065.235,686924.2335,1642141.0019999999,18035.62887,7318.210684000001,20119.65194,Accuri,Michigan,Fa13.BD.MM15.SN.1,Fall,September,2013,Free,MM15,Surface,31856,240,36.35726777833472,15.04229443916066
M15S2F115,M15S2-115-2,2281973.241,621877.9175,1660095.323,43353.378730000004,17123.36767,28660.347339999997,Accuri,Michigan,M15S2F115,Winter,Januari,2015,Free,MM15,Surface,15360,197,27.98160422625629,9.885556554345223
