"Otu000001" "Otu000009" "Otu000012" "Otu000022" "Otu000023" "Otu000030" "Otu000075" "Otu000077" "Otu000082" "Otu000093" "Otu000136" "Otu000227" "Otu000267" "Otu000387" "Otu000775" "Otu001006" "Otu001028" "Otu001345" "Otu002142" "Otu002522" "Otu003936" "Otu004969"
"110D2F115" 0.438079191238416 0.125189553496209 0.112552653748947 0.182308340353833 0.00235888795282224 0.0109519797809604 0.100252737994945 0.00320134793597304 0.00033698399326032 0.00454928390901432 0.0181971356360573 0 0 0 0.00067396798652064 0 0.00033698399326032 0.00033698399326032 0 0.00050547598989048 0 0.00016849199663016
"110D2F415" 0.225947767481045 0.0928390901432182 0.088458298230834 0.549620893007582 0.0008424599831508 0.0025273799494524 0.0274641954507161 0.00269587194608256 0 0.004212299915754 0.00353833192923336 0.00067396798652064 0 0 0.00050547598989048 0 0 0 0.00016849199663016 0.00050547598989048 0 0
"110D2F515" 0.327211457455771 0.29469250210615 0.128727885425442 0.187531592249368 0 0.00202190395956192 0.0227464195450716 0.0203875315922494 0.00016849199663016 0.0102780117944398 0.00320134793597304 0.0016849199663016 0 0 0.00050547598989048 0 0 0 0 0.0008424599831508 0 0
"110D2F715" 0.335130581297388 0.187363100252738 0.197809604043808 0.194945240101095 0.00488626790227464 0.00185341196293176 0.0357203032855939 0.0207245155855097 0.00050547598989048 0.0067396798652064 0.012636899747262 0.00050547598989048 0 0 0.00067396798652064 0 0 0 0 0.00016849199663016 0 0.00033698399326032
"110D2F815" 0.306823925863521 0.236394271272115 0.155349620893008 0.153496208930076 0.00909856781802864 0.00488626790227464 0.0338668913226622 0.0207245155855097 0.00151642796967144 0.00488626790227464 0.0694187026116259 0.00033698399326032 0 0.00033698399326032 0.00134793597304128 0.00016849199663016 0.00117944397641112 0 0.00016849199663016 0 0 0
"110D2F915" 0.329907329401853 0.164111204717776 0.178096040438079 0.153833192923336 0.00876158382476832 0.00572872788542544 0.0443133951137321 0.00353833192923336 0.00050547598989048 0.00775063184498736 0.0951979780960404 0.0008424599831508 0 0 0.00488626790227464 0 0.00235888795282224 0 0.00016849199663016 0 0 0
"110M2F115" 0.487447346251053 0.129233361415333 0.0695871946082561 0.18904802021904 0.004212299915754 0.0732940185341196 0.00808761583824768 0.0166807076663858 0.00016849199663016 0.00909856781802864 0.0128053917438922 0 0 0.00016849199663016 0.00016849199663016 0 0 0 0 0 0 0
"110M2F415" 0.31625947767481 0.191912384161752 0.0930075821398484 0.333951137320977 0.00033698399326032 0.00235888795282224 0.0245998315080034 0.0225779275484414 0 0.0109519797809604 0.00286436394271272 0.00033698399326032 0 0.00016849199663016 0.00033698399326032 0 0 0 0 0.00033698399326032 0 0
"110M2F515" 0.259814658803707 0.191743892165122 0.111036225779275 0.35737152485257 0 0.00185341196293176 0.0175231676495366 0.0380791912384162 0.00033698399326032 0.0187026116259478 0.00134793597304128 0.00067396798652064 0 0 0.00016849199663016 0 0 0 0 0.00134793597304128 0 0
"110M2F715" 0.344060657118787 0.238247683235046 0.098904802021904 0.112047177759056 0 0.0306655433866891 0.0111204717775906 0.0498736310025274 0.00067396798652064 0.0918281381634372 0.0213984835720303 0.00033698399326032 0 0.00050547598989048 0.00033698399326032 0 0 0 0 0 0 0
