"Otu000004" "Otu000005" "Otu000009" "Otu000010" "Otu000012" "Otu000017" "Otu000019" "Otu000020" "Otu000022" "Otu000023" "Otu000025" "Otu000041" "Otu000042" "Otu000046" "Otu000049" "Otu000056" "Otu000058" "Otu000070" "Otu000075" "Otu000082" "Otu000083" "Otu000094" "Otu000136" "Otu000152" "Otu000161" "Otu000179" "Otu000227" "Otu000246" "Otu000262" "Otu000267" "Otu000323" "Otu000330" "Otu000363" "Otu000377" "Otu000385" "Otu000387" "Otu000438" "Otu000450" "Otu000459" "Otu000499" "Otu000509" "Otu000644" "Otu000663" "Otu000682" "Otu000715" "Otu000717" "Otu000733" "Otu000810" "Otu000931" "Otu001059" "Otu001097" "Otu001104" "Otu001118" "Otu001130" "Otu001142" "Otu001264" "Otu001318" "Otu001319" "Otu001345" "Otu001451" "Otu001649" "Otu001672" "Otu001697" "Otu001799" "Otu001802" "Otu001854" "Otu002028" "Otu002030" "Otu002057" "Otu002215" "Otu002481" "Otu002498" "Otu003007" "Otu003297" "Otu003366" "Otu003707" "Otu003766" "Otu004400" "Otu004590" "Otu004647" "Otu004798" "Otu005431" "Otu005904" "Otu008988"
"Fa13.BD.MLB.DN.1" 0.206284737067123 0.00128259940145361 0.0568619067977768 0.271483539974348 0.00919196237708422 0.0660538691748611 0.0130397605814451 0.0639162035057717 0.0835827276613938 0.00235143223599829 0.0382642154766994 0.00171013253527148 0.00897819581017529 0.0190252244548953 0.0117571611799915 0 0.0427533133817871 0.000427533133817871 0.000855066267635742 0.0119709277469004 0.00342026507054297 0.000427533133817871 0.0134672937152629 0.0121846943138093 0.00277896536981616 0.00192389910218042 0.00149636596836255 0.0126122274476272 0.000427533133817871 0.000213766566908935 0.00448909790508764 0.0149636596836255 0.000213766566908935 0.000213766566908935 0.00470286447199658 0 0.000213766566908935 0 0 0 0.00213766566908935 0.0036340316374519 0.000213766566908935 0 0.00128259940145361 0 0 0.000427533133817871 0.0029927319367251 0 0 0 0 0 0.000427533133817871 0.00448909790508764 0 0 0.000213766566908935 0.000213766566908935 0 0 0 0.000213766566908935 0 0 0 0 0 0 0 0.000213766566908935 0 0 0 0 0 0 0 0 0 0 0 0
"Fa13.BD.MLB.SN.1" 0.270628473706712 0.00470286447199658 0.0525865754595981 0.242838820008551 0.00577169730654126 0.0521590423257802 0.00790936297563061 0.0468148781530569 0.11436511329628 0.00128259940145361 0.0356990166737922 0.00192389910218042 0.00705429670799487 0.0235143223599829 0.0102607952116289 0 0.0356990166737922 0.000641299700726806 0.00320649850363403 0.0168875587858059 0.00277896536981616 0 0.00833689610944848 0.0106883283454468 0.00149636596836255 0.00128259940145361 0.000427533133817871 0.00812312954253955 0.00149636596836255 0.000213766566908935 0.00641299700726806 0.0106883283454468 0 0 0.00171013253527148 0 0 0 0 0 0.00128259940145361 0.00192389910218042 0 0.000427533133817871 0.00213766566908935 0 0 0 0.00106883283454468 0.000427533133817871 0 0 0 0 0 0.00384779820436084 0 0 0 0 0.000213766566908935 0 0 0.000855066267635742 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000213766566908935 0 0 0 0 0
"MBRE1F714" 0.216117999144934 0.217828131680205 0.0604959384352287 0.125267208208636 0.0301410859341599 0.0444634459170586 0.033133817870885 0.0314236853356135 0.0611372381359555 0.000855066267635742 0.0190252244548953 0.00106883283454468 0.0235143223599829 0.0113296280461736 0.00577169730654126 0 0.00705429670799487 0 0.00577169730654126 0.0117571611799914 0.00598546387345019 0.00128259940145361 0.000213766566908935 0.0138948268490808 0.00106883283454468 0.00448909790508764 0.00213766566908935 0.0474561778537837 0.000427533133817871 0.000213766566908935 0.00235143223599829 0.00513039760581445 0 0.000213766566908935 0.00106883283454468 0 0 0 0.000427533133817871 0 0.00106883283454468 0.00106883283454468 0 0.00342026507054297 0.000427533133817871 0 0.000427533133817871 0.000213766566908935 0 0 0 0 0.000213766566908935 0 0 0 0 0 0 0.000213766566908935 0 0 0 0.000427533133817871 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"MBRE1F914" 0.219324497648568 0.01004702864472 0.0581445061992304 0.163103890551518 0.0141085934159897 0.154766994442069 0.0713980333475844 0.0681915348439504 0.059640872167593 0.00149636596836255 0.0404018811457888 0.00897819581017529 0.00534416417272339 0.00726806327490381 0.0126122274476272 0 0.00897819581017529 0.000427533133817871 0.00876442924326635 0.023086789226165 0.0072680632749038 0.00106883283454468 0.00149636596836255 0.00790936297563061 0.00171013253527148 0.00384779820436084 0.00277896536981616 0.00320649850363403 0.000855066267635742 0.000427533133817871 0.00384779820436084 0.0175288584865327 0.000213766566908935 0.00106883283454468 0.000855066267635742 0.000427533133817871 0 0 0 0 0.00192389910218042 0.00171013253527148 0 0 0.000213766566908935 0 0.000427533133817871 0.000427533133817871 0.000855066267635742 0.000427533133817871 0 0 0.000855066267635742 0 0.000427533133817871 0.000213766566908935 0 0.000213766566908935 0 0.000213766566908935 0 0 0 0.00106883283454468 0 0 0 0 0 0 0 0.000213766566908935 0 0.000213766566908935 0 0 0 0 0 0 0 0 0 0
"MBRE1F715" 0.550662676357418 0.0224454895254382 0.0352714835399743 0.0938435228730227 0.0359127832407012 0.0474561778537837 0.0352714835399743 0.0168875587858059 0.0314236853356135 0.00983326207781103 0.016460025651988 0.00534416417272339 0.00555793073963232 0.0192389910218042 0.00790936297563061 0 0.00470286447199658 0.000855066267635742 0.0119709277469004 0.013253527148354 0.00256519880290723 0.00149636596836255 0.000641299700726806 0.00470286447199658 0 0.00470286447199658 0.000427533133817871 0.00598546387345019 0.00277896536981616 0.00106883283454468 0.00277896536981616 0.00213766566908935 0.000213766566908935 0.000213766566908935 0 0 0 0 0 0 0.000213766566908935 0.00106883283454468 0 0.00149636596836255 0 0 0 0.000213766566908935 0.000641299700726806 0.000213766566908935 0 0 0 0 0 0 0 0 0.000213766566908935 0 0.000213766566908935 0 0 0.00149636596836255 0 0 0 0 0 0 0 0 0 0.000213766566908935 0 0 0 0 0 0 0 0 0 0
"MBRE2F515" 0.432449764856776 0.000213766566908935 0.0536554082941428 0.183839247541684 0.0203078238563489 0.0440359127832407 0.0639162035057717 0.026507054296708 0.0318512184694314 0.00748182984181274 0.0218041898247114 0.00235143223599829 0.00171013253527148 0.0425395468148782 0.000213766566908935 0 0.0151774262505344 0.000641299700726806 0.00427533133817871 0 0.00897819581017529 0.00448909790508764 0.00213766566908935 0.00641299700726806 0 0.000213766566908935 0.000427533133817871 0.00619923044035913 0.000213766566908935 0.00106883283454468 0.00128259940145361 0.00128259940145361 0 0 0 0 0 0 0.000213766566908935 0 0.000641299700726806 0.00598546387345019 0 0 0 0 0 0.000213766566908935 0 0 0 0 0 0 0.000641299700726806 0.000427533133817871 0 0 0.000213766566908935 0 0 0.000641299700726806 0 0.00491663103890551 0 0.000427533133817871 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"MBRE2F915" 0.440786660966225 0.0106883283454468 0.0280034202650705 0.107952116289012 0.0414707139803335 0.033133817870885 0.0237280889268918 0.0258657545959812 0.0412569474134245 0.00598546387345019 0.0151774262505344 0.0256519880290723 0.0128259940145361 0.0386917486105173 0.0410431808465156 0 0.0130397605814451 0.000641299700726806 0.00577169730654126 0.0130397605814451 0.0177426250534416 0.00128259940145361 0.0029927319367251 0.0203078238563489 0.00342026507054297 0.00342026507054297 0 0.00619923044035913 0.00171013253527148 0.00128259940145361 0.00513039760581445 0.0036340316374519 0 0 0.000855066267635742 0 0.000213766566908935 0 0 0 0.00106883283454468 0.000641299700726806 0 0 0 0 0 0.000213766566908935 0.00171013253527148 0 0 0 0.000427533133817871 0.000427533133817871 0 0 0 0 0.000427533133817871 0 0.000213766566908935 0 0 0.000427533133817871 0 0 0.000427533133817871 0 0.000213766566908935 0.000213766566908935 0 0 0 0 0 0 0.000213766566908935 0 0 0.000427533133817871 0 0 0 0
"MBRH1F714" 0.188969645147499 0.00277896536981616 0.0260795211628901 0.207139803334758 0.0568619067977768 0.0418982471141513 0.0376229157759726 0.05622060709705 0.0378366823428816 0.00213766566908935 0.006626763574177 0 0.00897819581017529 0.0192389910218042 0.023086789226165 0.000641299700726806 0.183625480974776 0 0.00876442924326635 0.00106883283454468 0.0158187259512612 0.00235143223599829 0.00277896536981616 0.0106883283454468 0.00342026507054297 0.00406156477126977 0.00213766566908935 0.00726806327490381 0.000855066267635742 0.00192389910218042 0.00448909790508764 0.00919196237708422 0 0 0.000855066267635742 0 0.000213766566908935 0 0.000213766566908935 0 0.0106883283454468 0.00491663103890552 0 0 0.000641299700726806 0 0 0 0.000641299700726806 0.000213766566908935 0 0 0 0 0.000213766566908935 0.000427533133817871 0.000427533133817871 0.000641299700726806 0.000855066267635742 0.000213766566908935 0.00149636596836255 0 0 0.00171013253527148 0 0.000213766566908935 0 0 0 0.000427533133817871 0 0 0 0.000427533133817871 0 0 0 0 0 0 0 0 0 0
"MBRH1F914" 0.235998289867465 0.0130397605814451 0.0312099187687046 0.163103890551518 0.0810175288584865 0.0427533133817871 0.0549380076955964 0.0525865754595981 0.0322787516032493 0.00940572894399316 0.0220179563916204 0.01004702864472 0.00213766566908935 0.0117571611799914 0.0374091492090637 0.00106883283454468 0.0446772124839675 0.000427533133817871 0.0121846943138093 0.0220179563916204 0.0183839247541684 0.0036340316374519 0.00470286447199658 0.0177426250534416 0.00277896536981616 0.00192389910218042 0.00149636596836255 0.0102607952116289 0.00128259940145361 0.0121846943138093 0.00491663103890552 0.0117571611799914 0 0.000427533133817871 0.000427533133817871 0 0.000427533133817871 0.000213766566908935 0.00171013253527148 0 0.00598546387345019 0.00171013253527148 0 0 0 0.000213766566908935 0 0.000427533133817871 0.000855066267635742 0 0.000427533133817871 0.000213766566908935 0 0.000427533133817871 0.000427533133817871 0.00277896536981616 0.000855066267635742 0 0.00427533133817871 0 0.00128259940145361 0 0.000427533133817871 0.0029927319367251 0.000427533133817871 0.000213766566908935 0.000213766566908935 0 0.000641299700726806 0.000213766566908935 0 0 0 0 0 0 0 0.000427533133817871 0 0.000213766566908935 0 0 0 0
"MBRH1F715" 0.353783668234288 0.0029927319367251 0.0376229157759726 0.0934159897392048 0.066053869174861 0.0436083796494228 0.0280034202650705 0.0149636596836255 0.0309961522017956 0.00641299700726806 0.0158187259512612 0.000855066267635742 0.00256519880290723 0.0327062847370671 0.069687900812313 0 0.104104318084652 0.000213766566908935 0.0294997862334331 0.0029927319367251 0.00619923044035913 0.00427533133817871 0.00235143223599829 0.006626763574177 0.000641299700726806 0.00106883283454468 0 0.00705429670799487 0.00106883283454468 0.00406156477126977 0.00427533133817871 0.00855066267635742 0 0 0.000213766566908935 0 0 0.000213766566908935 0 0 0.00235143223599829 0.0036340316374519 0 0 0 0 0.000427533133817871 0 0 0 0 0 0 0.000427533133817871 0.000427533133817871 0.00106883283454468 0.000213766566908935 0.000213766566908935 0.00149636596836255 0 0.000855066267635742 0.000213766566908935 0 0.0029927319367251 0.000641299700726806 0.00106883283454468 0 0 0 0 0 0.000427533133817871 0 0.000213766566908935 0 0.000427533133817871 0 0 0 0 0 0 0 0
