"Rank1" "Rank2" "Rank3" "Rank4" "Rank5" "Rank6" "Rank7"
"Otu000004" "Bacteria" "Actinobacteria" "Actinobacteria" NA NA NA NA
"Otu000005" "Bacteria" "Cyanobacteria" "Cyanobacteria" NA NA NA NA
"Otu000009" "Bacteria" "Bacteroidetes" "[Saprospirae]" NA NA NA NA
"Otu000010" "Bacteria" "Proteobacteria" "Betaproteobacteria" NA NA NA NA
"Otu000012" "Bacteria" "Verrucomicrobia" "OPB35_soil_group" NA NA NA NA
"Otu000017" "Bacteria" "Bacteroidetes" "Flavobacteriia" NA NA NA NA
"Otu000019" "Bacteria" "Verrucomicrobia" "Opitutae" NA NA NA NA
"Otu000020" "Bacteria" "Bacteroidetes" "Sphingobacteriia" NA NA NA NA
"Otu000022" "Bacteria" "Proteobacteria" "Alphaproteobacteria" NA NA NA NA
"Otu000023" "Bacteria" "Armatimonadetes" "Armatimonadia" NA NA NA NA
"Otu000025" "Bacteria" "Bacteroidetes" "Cytophagia" NA NA NA NA
"Otu000041" "Bacteria" "Verrucomicrobia" "[Spartobacteria]" NA NA NA NA
"Otu000042" "Bacteria" "Planctomycetes" "Phycisphaerae" NA NA NA NA
"Otu000046" "Bacteria" "Actinobacteria" "Acidimicrobiia" NA NA NA NA
"Otu000049" "Bacteria" "Verrucomicrobia" "Verrucomicrobia_unclassified" NA NA NA NA
"Otu000056" "Bacteria" "Chloroflexi" "Chloroflexi_unclassified" NA NA NA NA
"Otu000058" "Bacteria" "Proteobacteria" "Gammaproteobacteria" NA NA NA NA
"Otu000070" "Bacteria" "Verrucomicrobia" "[Methylacidiphilae]" NA NA NA NA
"Otu000075" "Bacteria" "Chloroflexi" "SL56_marine_group" NA NA NA NA
"Otu000082" "Bacteria" "Chlorobi" "Chlorobia" NA NA NA NA
"Otu000083" "Bacteria" "Planctomycetes" "Planctomycetacia" NA NA NA NA
"Otu000094" "Bacteria" "Verrucomicrobia" "Verrucomicrobiae" NA NA NA NA
"Otu000136" "Bacteria" "Planctomycetes" "Planctomycetes_unclassified" NA NA NA NA
"Otu000152" "Bacteria" "Bacteria_unclassified" "Bacteria_unclassified" NA NA NA NA
"Otu000161" "Bacteria" "Planctomycetes" "OM190" NA NA NA NA
"Otu000179" "Bacteria" "Bacteroidetes" "Bacteroidetes_unclassified" NA NA NA NA
"Otu000227" "Bacteria" "Gemmatimonadetes" "Gemmatimonadetes" NA NA NA NA
"Otu000246" "Bacteria" "Proteobacteria" "Deltaproteobacteria" NA NA NA NA
"Otu000262" "Bacteria" "Chloroflexi" "Chloroflexia" NA NA NA NA
"Otu000267" "Bacteria" "Omnitrophica" "NPL-UPA2" NA NA NA NA
"Otu000323" "Bacteria" "Verrucomicrobia" "Spartobacteria" NA NA NA NA
"Otu000330" "Bacteria" "Proteobacteria" "Proteobacteria_unclassified" NA NA NA NA
"Otu000363" "Bacteria" "Bacteroidetes" "Bacteroidetes_vadinHA17" NA NA NA NA
"Otu000377" "Bacteria" "Firmicutes" "Firmicutes_unclassified" NA NA NA NA
"Otu000385" "Bacteria" "Proteobacteria" "TA18" NA NA NA NA
"Otu000387" "Bacteria" "Spirochaetae" "Spirochaetes" NA NA NA NA
"Otu000438" "Bacteria" "Nitrospirae" "Nitrospira" NA NA NA NA
"Otu000450" "Bacteria" "Bacteroidetes" "BSV13" NA NA NA NA
"Otu000459" "Bacteria" "Bacteroidetes" "Bacteroidia" NA NA NA NA
"Otu000499" "Bacteria" "Firmicutes" "Erysipelotrichia" NA NA NA NA
"Otu000509" "Bacteria" "Acidobacteria" "Acidobacteria" NA NA NA NA
"Otu000644" "unknown" "unknown_unclassified" "unknown_unclassified" NA NA NA NA
"Otu000663" "Bacteria" "Acidobacteria" "Holophagae" NA NA NA NA
"Otu000682" "Bacteria" "Firmicutes" "Bacilli" NA NA NA NA
"Otu000715" "Bacteria" "Proteobacteria" "SPOTSOCT00m83" NA NA NA NA
"Otu000717" "Bacteria" "Lentisphaerae" "Lentisphaerae_RFP12_gut_group" NA NA NA NA
