"Rank1" "Rank2" "Rank3" "Rank4" "Rank5" "Rank6" "Rank7"
"Otu000004" "Bacteria" "Actinobacteria" "Actinobacteria" "Actinomycetales" "acI" NA NA
"Otu000005" "Bacteria" "Cyanobacteria" "Cyanobacteria" "SubsectionI" "FamilyI" NA NA
"Otu000007" "Bacteria" "Proteobacteria" "Betaproteobacteria" "Burkholderiales" "betI" NA NA
"Otu000009" "Bacteria" "Bacteroidetes" "[Saprospirae]" "[Saprospirales]" "bacI" NA NA
"Otu000010" "Bacteria" "Proteobacteria" "Betaproteobacteria" "Methylophilales" "betIV" NA NA
"Otu000012" "Bacteria" "Verrucomicrobia" "OPB35_soil_group" "OPB35_soil_group_unclassified" "OPB35_soil_group_unclassified" NA NA
"Otu000016" "Bacteria" "Proteobacteria" "Betaproteobacteria" "Burkholderiales" "betII" NA NA
"Otu000018" "Bacteria" "Bacteroidetes" "[Saprospirae]" "[Saprospirales]" "bacIV" NA NA
"Otu000019" "Bacteria" "Verrucomicrobia" "Opitutae" "Opitutae_vadinHA64" "Opitutae_vadinHA64_unclassified" NA NA
"Otu000020" "Bacteria" "Bacteroidetes" "Sphingobacteriia" "Sphingobacteriales" "bacVI" NA NA
"Otu000022" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rickettsiales" "alfV" NA NA
"Otu000023" "Bacteria" "Armatimonadetes" "Armatimonadia" "Armatimonadales" "Armatimonadaceae" NA NA
"Otu000025" "Bacteria" "Bacteroidetes" "Cytophagia" "Cytophagales" "bacIII" NA NA
"Otu000026" "Bacteria" "Actinobacteria" "Actinobacteria" "Actinomycetales" "acTH1" NA NA
"Otu000038" "Bacteria" "Bacteroidetes" "Flavobacteriia" "Flavobacteriales" "bacV" NA NA
"Otu000041" "Bacteria" "Verrucomicrobia" "[Spartobacteria]" "[Chthoniobacterales]" "verI-B" NA NA
"Otu000042" "Bacteria" "Planctomycetes" "Phycisphaerae" "Phycisphaerales" "Phycisphaeraceae" NA NA
"Otu000044" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Caulobacterales" "alfII" NA NA
"Otu000046" "Bacteria" "Actinobacteria" "Acidimicrobiia" "Acidimicrobiales" "acIV" NA NA
"Otu000047" "Bacteria" "Bacteroidetes" "Sphingobacteriia" "Sphingobacteriales" "env.OPS_17" NA NA
"Otu000048" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodospirillales" "alfVIII" NA NA
