,samples,Total.cells,HNA.cells,LNA.cells,Total.count.sd,HNA.sd,LNA.sd,Platform,Lake,Sample_16S,Season,Month,Year,Fraction,Site,Depth,Total_Sequences,D0,D1,D2
Fa13.BD.MLB.DN.1,MLB-D-N_September,4233418.108,1249638.754,2983779.354,66407.80988,48252.78049,20408.98544,Accuri,Muskegon,Fa13.BD.MLB.DN.1,Fall,September,2013,Free,MLB,Deep,33653,402,103.16882221547205,47.653408125845075
Fa13.BD.MLB.SN.1,MLB-S-N_September,4454994.4180000005,1343668.5980000002,3111325.8210000005,59835.40169,12331.475059999999,68470.67566000001,Accuri,Muskegon,Fa13.BD.MLB.SN.1,Fall,September,2013,Free,MLB,Surface,32816,349,72.54481006684848,28.861005164563654
MBRE1F714,MBRE1-714,10104066.02,2724102.309,7379963.708,55102.70702,57003.28631,57715.92212,Accuri,Muskegon,MBRE1F714,Summer,July,2014,Free,MBR,Surface,33038,296,61.152039204026444,23.046956060181053
MBRE1F914,MBRE1-914,7206482.848999999,1928396.8469999998,5278086.001,65178.67627999999,42404.033639999994,54019.70631,Accuri,Muskegon,MBRE1F914,Fall,September,2014,Free,MBR,Surface,24538,326,85.07613442711244,41.7590898508899
MBRE1F715,MBRE1-715,7420898.66,1343201.649,6077697.011,70408.32397,44613.63427,31710.76589,Accuri,Muskegon,MBRE1F715,Summer,July,2015,Free,MBR,Surface,17500,246,40.27312100802433,15.810242561116794
MBRE2F515,MBRE2-515,4326955.645,1739096.624,2587859.02,96174.94375,70451.46776,31361.59022,Accuri,Muskegon,MBRE2F515,Spring,May,2015,Free,MBR,Surface,27722,249,49.828969581934885,22.96511108079416
MBRE2F915,MBRE2-915,4895227.607,1264623.909,3630603.6980000003,22853.2975,16800.304780000002,14092.63546,Accuri,Muskegon,MBRE2F915,Fall,September,2015,Free,MBR,Surface,21845,312,57.600929795848295,23.21856578405644
MBRH1F714,MBRH1-714,2684665.6969999997,789217.8887,1895447.8080000002,32638.65877,17560.308719999997,15815.543909999999,Accuri,Muskegon,MBRH1F714,Summer,July,2014,Free,MBR,Deep,33604,371,72.88644719284154,28.513017623497813
MBRH1F914,MBRH1-914,3475184.587,988450.6973,2486733.889,18520.798,10742.89791,8163.319640000001,Accuri,Muskegon,MBRH1F914,Fall,September,2014,Free,MBR,Deep,26556,427,103.24575296532987,42.23002612880547
MBRH1F715,MRBH1-715,2309541.701,604995.6189,1704546.082,41215.002660000006,15906.78581,27678.13169,Accuri,Muskegon,MBRH1F715,Summer,July,2015,Free,MBR,Deep,17040,338,57.14110008881578,24.406266938197646
MBRH2F515,MBRH2-515,4833399.69,1293993.211,3539406.478,91211.46532,32424.67127,81882.52541,Accuri,Muskegon,MBRH2F515,Spring,May,2015,Free,MBR,Deep,25679,271,42.98322067623856,18.20400021295392
