"Otu000004" "Otu000005" "Otu000009" "Otu000010" "Otu000012" "Otu000023" "Otu000042" "Otu000075" "Otu000082" "Otu000152" "Otu000227" "Otu000267" "Otu000387" "Otu000438" "Otu000509" "Otu000644" "Otu000682" "Otu000717" "Otu000931" "Otu001021" "Otu001130" "Otu001264" "Otu001345" "Otu001649" "Otu001697" "Otu001854" "Otu002028" "Otu002498" "Otu003189" "Otu004647" "Otu004798" "Otu005431" "Otu008988"
"Fa13.BD.MLB.DN.1" 953831.271020094 7239.70604189825 961975.94031723 1828930.73883454 173752.945005558 9954.59580761009 121265.076201796 5429.77953142368 50677.9422932877 51582.905548525 6334.74278666097 904.963255237281 0 904.963255237281 9954.59580761009 15384.3753390338 904.963255237281 0 12669.4855733219 0 0 19004.2283599829 904.963255237281 0 0 0 0 904.963255237281 904.963255237281 0 0 0 0
"Fa13.BD.MLB.SN.1" 1311356.84343437 20951.2349713553 841858.714303549 1851327.30837794 146658.644799487 5713.97317400599 87614.2553347584 20951.2349713553 75233.9801244121 47616.4431167165 1904.65772466866 952.328862334331 0 0 5713.97317400599 8570.95976100898 1904.65772466866 0 4761.64431167165 0 0 17141.919522018 0 952.328862334331 0 0 0 0 3809.31544933732 0 0 0 0
"MBRE1F714" 2298145.8412313 2205269.64651988 1619933.62868747 2503337.43419838 745169.469196238 12959.4690294998 311027.256707995 62637.4336425823 118795.132770415 140394.247819581 21599.1150491663 2159.91150491663 0 0 10799.5575245832 10799.5575245832 36718.4955835827 0 0 0 0 0 0 0 0 0 0 0 4319.82300983326 0 0 0 0
"MBRE1F914" 1634475.9091041 81646.7702002993 2349270.27463125 1831660.56166332 811846.186708636 13864.5458830697 113997.377260795 69322.7294153484 166374.550596836 56998.6886303976 20026.5662755451 3081.01019623771 3081.01019623771 0 13864.5458830697 12324.0407849508 7702.52549059427 0 6162.02039247542 0 0 1540.50509811885 0 0 0 0 0 1540.50509811885 7702.52549059427 0 0 0 0
"MBRE1F715" 4229182.51978623 168152.043172296 899454.79696879 1024775.65933305 666262.812569474 72971.6413766567 65039.9412270201 109457.462064985 98353.0818554938 34899.480658401 3172.68005985464 7931.7001496366 0 0 1586.34002992732 7931.7001496366 12690.7202394186 0 4759.02008978196 0 0 0 1586.34002992732 1586.34002992732 0 0 0 0 11104.3802094912 0 0 0 0
"MBRE2F515" 2055257.68345233 1849.91690679778 633596.540578239 1034103.55089996 403281.885681915 32373.5458689611 55497.5072039333 19424.1275213767 0 27748.7536019667 1849.91690679778 4624.79226699444 0 0 2774.87536019667 25898.8366951689 0 0 0 2774.87536019667 0 1849.91690679778 924.958453398888 0 0 1849.91690679778 0 0 21274.0444281744 0 0 0 0
"MBRE2F915" 2347155.94752052 55461.1079886704 516939.383894399 846566.723827063 680183.399861052 29300.2079940145 181033.427963018 37671.6959923044 63832.5959869602 99411.4199796922 0 6278.6159987174 0 1046.43599978623 5232.17999893117 3139.3079993587 1046.43599978623 1046.43599978623 8371.48799828987 0 2092.87199957247 0 2092.87199957247 1046.43599978623 0 0 2092.87199957247 0 2092.87199957247 2092.87199957247 0 0 0
"MBRH1F714" 560692.258650919 7460.59300149637 363273.489995938 1200007.68970222 335152.793297991 5738.91769345874 84362.0900938435 27546.804928602 2869.45884672937 28694.5884672937 5738.91769345874 5165.02592411287 0 573.891769345874 28694.5884672937 13199.5106949551 1147.78353869175 0 1721.67530803762 0 0 1147.78353869175 2295.5670773835 4017.24238542112 0 573.891769345874 0 0 4591.13415476699 0 0 0 0
"MBRH1F914" 860995.924825353 48287.0881049594 529672.212597478 913740.282601539 668590.450684053 32686.6442556648 100288.567602608 50515.7229405729 77259.340967935 61658.8971186404 5200.14794976486 42344.0618766567 0 1485.75655707567 20800.5917990594 5943.02622830269 2228.63483561351 5943.02622830269 2971.51311415135 0 1485.75655707567 9657.41762099188 14857.5655707567 4457.26967122702 1485.75655707567 742.878278537837 742.878278537837 0 10400.2958995297 742.878278537837 0 0 0
"MBRH1F715" 893108.36620543 8392.94760944848 261662.48429457 565289.706636383 400886.674051304 15798.4896177854 27647.3568311244 71586.90608059 6911.8392077811 15304.7868172296 0 9380.35321056007 0 0 5430.73080611372 8392.94760944848 0 0 0 493.702800555793 987.405601111586 2468.51400277897 3455.91960389055 1974.81120222317 0 2468.51400277897 0 987.405601111586 6911.8392077811 0 0 0 0
"MBRH2F515" 2559284.10263574 4132.87703292005 478380.516560496 1106577.82556434 503177.778758016 37195.8932962805 54760.6206861907 9298.97332407011 0 30996.5777469004 0 11365.4118405301 0 0 0 13431.8503569902 4132.87703292005 0 0 1033.21925823001 0 3099.65777469004 5166.09629115006 1033.21925823001 0 0 0 0 9298.97332407011 1033.21925823001 0 0 0
"MBRH2F915" 1097637.43044036 10879.6661607525 313092.615070543 671517.172477555 379579.463830697 1813.27769345874 79784.2185121847 101543.55083369 18132.7769345874 77970.940818726 0 4835.40718255665 0 0 27803.5912997007 29012.4430953399 0 0 3022.12948909791 0 0 1208.85179563916 1813.27769345874 0 0 604.425897819581 604.425897819581 0 4835.40718255665 0 0 0 1813.27769345874
"MDPE1F514" 635781.382109448 7546.36655322787 1143274.53281402 1323444.03427234 894244.436557503 150927.331064558 147154.147787944 2829.88745746045 0 33958.6494895254 3773.18327661394 1886.59163830697 0 0 3773.18327661394 39618.4244044463 943.295819153484 0 943.295819153484 1886.59163830697 0 3773.18327661394 0 0 1886.59163830697 1886.59163830697 0 0 12262.8456489953 943.295819153484 0 0 0
