"Otu000004" "Otu000005" "Otu000009" "Otu000010" "Otu000019" "Otu000023" "Otu000042" "Otu000075" "Otu000082" "Otu000152" "Otu000227" "Otu000267" "Otu000387" "Otu000438" "Otu000509" "Otu000644" "Otu000682" "Otu000717" "Otu000931" "Otu001130" "Otu001264" "Otu001345" "Otu001649" "Otu001672" "Otu001697" "Otu001799" "Otu001854" "Otu002028" "Otu002498" "Otu004647" "Otu004798" "Otu005431" "Otu008988"
"Fa13.BD.MLB.DN.1" 0.225309961522018 0.00171013253527148 0.227233860624198 0.432022231722959 0.0410431808465156 0.00235143223599829 0.0286447199657974 0.00128259940145361 0.0119709277469004 0.0121846943138093 0.00149636596836255 0.000213766566908935 0 0.000213766566908935 0.00235143223599829 0.0036340316374519 0.000213766566908935 0 0.0029927319367251 0 0.00448909790508764 0.000213766566908935 0 0 0 0.000213766566908935 0 0 0.000213766566908935 0 0 0 0
"Fa13.BD.MLB.SN.1" 0.294356562633604 0.00470286447199658 0.188969645147499 0.41556220607097 0.0329200513039761 0.00128259940145361 0.0196665241556221 0.00470286447199658 0.0168875587858059 0.0106883283454468 0.000427533133817871 0.000213766566908935 0 0 0.00128259940145361 0.00192389910218042 0.000427533133817871 0 0.00106883283454468 0 0.00384779820436084 0 0.000213766566908935 0 0 0.000855066267635742 0 0 0 0 0 0 0
"MBRE1F714" 0.227447627191107 0.218255664814023 0.160324925181702 0.247755451047456 0.0737494655835827 0.00128259940145361 0.0307823856348867 0.00619923044035913 0.0117571611799914 0.0138948268490808 0.00213766566908935 0.000213766566908935 0 0 0.00106883283454468 0.00106883283454468 0.0036340316374519 0 0 0 0 0 0 0 0 0.000427533133817871 0 0 0 0 0 0 0
"MBRE1F914" 0.226806327490381 0.0113296280461736 0.325994014536127 0.254168448054724 0.112654980761009 0.00192389910218042 0.0158187259512612 0.0096194955109021 0.023086789226165 0.00790936297563061 0.00277896536981616 0.000427533133817871 0.000427533133817871 0 0.00192389910218042 0.00171013253527148 0.00106883283454468 0 0.000855066267635742 0 0.000213766566908935 0 0 0 0 0.00106883283454468 0 0 0.000213766566908935 0 0 0 0
"MBRE1F715" 0.569901667379222 0.0226592560923472 0.121205643437366 0.138093202223172 0.0897819581017529 0.00983326207781103 0.00876442924326635 0.0147498931167165 0.013253527148354 0.00470286447199658 0.000427533133817871 0.00106883283454468 0 0 0.000213766566908935 0.00106883283454468 0.00171013253527148 0 0.000641299700726806 0 0 0.000213766566908935 0.000213766566908935 0 0 0.00149636596836255 0 0 0 0 0 0 0
"MBRE2F515" 0.474989311671655 0.000427533133817871 0.146430098332621 0.23899102180419 0.0932022231722959 0.00748182984181274 0.0128259940145361 0.00448909790508764 0 0.00641299700726806 0.000427533133817871 0.00106883283454468 0 0 0.000641299700726806 0.00598546387345019 0 0 0 0 0.000427533133817871 0.000213766566908935 0 0.000641299700726806 0 0.00491663103890551 0.000427533133817871 0 0 0 0 0 0
"MBRE2F915" 0.479478409576742 0.0113296280461736 0.105600684053014 0.172937152629329 0.138948268490808 0.00598546387345019 0.0369816160752458 0.00769559640872168 0.0130397605814451 0.0203078238563489 0 0.00128259940145361 0 0.000213766566908935 0.00106883283454468 0.000641299700726806 0.000213766566908935 0.000213766566908935 0.00171013253527148 0.000427533133817871 0 0.000427533133817871 0.000213766566908935 0 0 0.000427533133817871 0 0.000427533133817871 0 0.000427533133817871 0 0 0
"MBRH1F714" 0.20884993587003 0.00277896536981616 0.135314236853356 0.446985891406584 0.124839675074818 0.00213766566908935 0.0314236853356135 0.0102607952116289 0.00106883283454468 0.0106883283454468 0.00213766566908935 0.00192389910218042 0 0.000213766566908935 0.0106883283454468 0.00491663103890552 0.000427533133817871 0 0.000641299700726806 0 0.000427533133817871 0.000855066267635742 0.00149636596836255 0 0 0.00171013253527148 0.000213766566908935 0 0 0 0 0 0
"MBRH1F914" 0.247755451047456 0.0138948268490808 0.152415562206071 0.262932877297991 0.192389910218042 0.00940572894399316 0.0288584865327063 0.0145361265498076 0.0222317229585293 0.0177426250534416 0.00149636596836255 0.0121846943138093 0 0.000427533133817871 0.00598546387345019 0.00171013253527148 0.000641299700726806 0.00171013253527148 0.000855066267635742 0.000427533133817871 0.00277896536981616 0.00427533133817871 0.00128259940145361 0 0.000427533133817871 0.0029927319367251 0.000213766566908935 0.000213766566908935 0 0.000213766566908935 0 0 0
"MBRH1F715" 0.386703719538264 0.0036340316374519 0.113296280461736 0.244762719110731 0.173578452330056 0.00684053014108593 0.0119709277469004 0.0309961522017956 0.0029927319367251 0.006626763574177 0 0.00406156477126977 0 0 0.00235143223599829 0.0036340316374519 0 0 0 0.000427533133817871 0.00106883283454468 0.00149636596836255 0.000855066267635742 0.000213766566908935 0 0.0029927319367251 0.00106883283454468 0 0.000427533133817871 0 0 0 0
"MBRH2F515" 0.529499786233433 0.000855066267635742 0.0989739204788371 0.22894399315947 0.104104318084652 0.00769559640872168 0.0113296280461736 0.00192389910218042 0 0.00641299700726806 0 0.00235143223599829 0 0 0 0.00277896536981616 0.000855066267635742 0 0 0 0.000641299700726806 0.00106883283454468 0.000213766566908935 0.000213766566908935 0 0.00192389910218042 0 0 0 0.000213766566908935 0 0 0
"MBRH2F915" 0.388200085506627 0.00384779820436084 0.110731081658829 0.237494655835827 0.134245404018811 0.000641299700726806 0.0282171868319795 0.0359127832407012 0.00641299700726806 0.0275758871312527 0 0.00171013253527148 0 0 0.00983326207781103 0.0102607952116289 0 0 0.00106883283454468 0 0.000427533133817871 0.000641299700726806 0 0 0 0.00171013253527148 0.000213766566908935 0.000213766566908935 0 0 0 0 0.000641299700726806
"MDPE1F514" 0.144078666096622 0.00171013253527148 0.25908507909363 0.299914493373236 0.202650705429671 0.0342026507054297 0.0333475844377939 0.000641299700726806 0 0.00769559640872168 0.000855066267635742 0.000427533133817871 0 0 0.000855066267635742 0.00897819581017529 0.000213766566908935 0 0.000213766566908935 0 0.000855066267635742 0 0 0.000427533133817871 0.000427533133817871 0.00277896536981616 0.000427533133817871 0 0 0.000213766566908935 0 0 0
"MDPE1F714" 0.181915348439504 0.142368533561351 0.143223599828987 0.338178708849936 0.110731081658829 0.00277896536981616 0.0476699444206926 0.00320649850363403 0.00491663103890552 0.0179563916203506 0.00106883283454468 0.000427533133817871 0.000213766566908935 0 0.00149636596836255 0.00128259940145361 0.00235143223599829 0 0 0 0 0 0 0 0 0.000213766566908935 0 0 0 0 0 0 0
"MDPE1F914" 0.313381787088499 0.0675502351432236 0.203933304831124 0.225309961522018 0.105386917486105 0.00192389910218042 0.0190252244548953 0.00448909790508764 0.0273621205643437 0.0160324925181702 0.00149636596836255 0.000855066267635742 0 0 0.000641299700726806 0.0096194955109021 0.00106883283454468 0 0.00106883283454468 0 0.000213766566908935 0 0.000213766566908935 0 0 0 0 0 0.000427533133817871 0 0 0 0
"MDPE1F715" 0.506199230440359 0.039760581445062 0.112013681060282 0.144292432663531 0.133390337751176 0.0117571611799914 0.0138948268490808 0.0126122274476272 0.00790936297563061 0.00919196237708422 0.000213766566908935 0.000427533133817871 0 0 0.00106883283454468 0.00320649850363403 0.00235143223599829 0 0.000213766566908935 0 0 0 0 0 0 0.00106883283454468 0.000213766566908935 0 0 0 0.000213766566908935 0 0
"MDPE2F515" 0.472851646002565 0.000427533133817871 0.121633176571184 0.246045318512185 0.123770842240274 0.00855066267635742 0.0145361265498076 0.00171013253527148 0 0.00470286447199658 0.000641299700726806 0 0.000213766566908935 0 0 0.00149636596836255 0.000213766566908935 0 0 0 0.000213766566908935 0 0.000213766566908935 0.000213766566908935 0 0.00213766566908935 0 0 0 0.000427533133817871 0 0 0
"MDPE2F915" 0.384993587002993 0.0215904232578025 0.129115006412997 0.181701581872595 0.155622060709705 0.00342026507054297 0.049807610089782 0.00790936297563061 0.0292860196665242 0.029713552800342 0.000213766566908935 0.00106883283454468 0 0 0.00213766566908935 0.00128259940145361 0 0 0.00106883283454468 0 0.000213766566908935 0.000213766566908935 0 0 0 0.000641299700726806 0 0 0 0 0 0 0
"MDPH1F714" 0.235356990166738 0.00448909790508764 0.138306968790081 0.352714835399743 0.172509619495511 0.00128259940145361 0.0290722530996152 0.00705429670799487 0.00213766566908935 0.0156049593843523 0.00277896536981616 0.00427533133817871 0.000213766566908935 0.000427533133817871 0.0224454895254382 0.00619923044035913 0.000213766566908935 0.00128259940145361 0 0 0.000641299700726806 0.00149636596836255 0 0.000427533133817871 0 0.000641299700726806 0 0 0 0.000213766566908935 0 0.000213766566908935 0
"MDPH1F914" 0.166096622488243 0.00342026507054297 0.153484395040616 0.360624198375374 0.178067550235143 0.0036340316374519 0.0211628901239846 0.00855066267635742 0.0113296280461736 0.0228730226592561 0.00106883283454468 0.0196665241556221 0 0.000427533133817871 0.0151774262505344 0.00812312954253955 0 0.00128259940145361 0.00128259940145361 0 0.00919196237708422 0.00577169730654126 0.00149636596836255 0 0 0.00577169730654126 0.000213766566908935 0.000855066267635742 0 0.000427533133817871 0 0 0
"MDPH1F715" 0.310816588285592 0.00833689610944848 0.161607524583155 0.241983753740915 0.183839247541684 0.00897819581017529 0.0194527575887131 0.0252244548952544 0.00534416417272339 0.0106883283454468 0.00192389910218042 0.00406156477126977 0 0.000427533133817871 0.00427533133817871 0.00342026507054297 0.000641299700726806 0.000213766566908935 0 0 0.00106883283454468 0.00192389910218042 0.00106883283454468 0.000213766566908935 0 0.00384779820436084 0.000427533133817871 0 0 0.000213766566908935 0 0 0
"MDPH2F514" 0.123129542539547 0.000213766566908935 0.171654553227875 0.355707567336469 0.218041898247114 0.062847370671227 0.036554082941428 0.00106883283454468 0.000213766566908935 0.00491663103890552 0.00192389910218042 0.00384779820436084 0 0 0.00171013253527148 0.0126122274476272 0 0 0 0 0.000427533133817871 0.00256519880290723 0.000213766566908935 0.00106883283454468 0.000213766566908935 0.000855066267635742 0.000213766566908935 0 0 0 0 0 0
"MDPH2F515" 0.293287729799059 0.000641299700726806 0.0756733646857631 0.304403591278324 0.233433091064558 0.0151774262505344 0.0305686190679778 0.00213766566908935 0 0.01004702864472 0.000427533133817871 0.00534416417272339 0 0.000213766566908935 0.00171013253527148 0.0113296280461736 0.000213766566908935 0.000213766566908935 0.000427533133817871 0 0.000641299700726806 0.00812312954253955 0.000213766566908935 0 0.000427533133817871 0.00406156477126977 0.000427533133817871 0 0.000213766566908935 0.000641299700726806 0 0 0
"MDPH2F915" 0.293929029499786 0.00876442924326635 0.128259940145361 0.272979905942711 0.132107738349722 0.00128259940145361 0.0305686190679778 0.0262932877297991 0.0104745617785378 0.0239418554938008 0.000213766566908935 0.013253527148354 0 0 0.0314236853356135 0.00619923044035913 0.00149636596836255 0.000213766566908935 0.000855066267635742 0 0.00470286447199658 0.00235143223599829 0.00149636596836255 0.00213766566908935 0.000427533133817871 0.00534416417272339 0.00106883283454468 0 0.000213766566908935 0 0 0 0
"MINE1F514" 0.197092774690038 0.000855066267635742 0.363830696879008 0.339033775117572 0.0474561778537837 0.00897819581017529 0.0168875587858059 0.000213766566908935 0.000213766566908935 0.0029927319367251 0.000855066267635742 0.000427533133817871 0 0.000213766566908935 0.00320649850363403 0.00149636596836255 0.00106883283454468 0 0.00106883283454468 0 0.00427533133817871 0.000213766566908935 0 0.000641299700726806 0.00106883283454468 0.00470286447199658 0.00213766566908935 0 0 0.000213766566908935 0.000855066267635742 0 0
"MINE1F714" 0.333689610944848 0.0884993587002993 0.173364685763147 0.266566908935442 0.0880718255664814 0.00812312954253955 0.0136810602821719 0.00342026507054297 0.00171013253527148 0.0096194955109021 0.000213766566908935 0.00192389910218042 0 0 0.00320649850363403 0.00427533133817871 0.00213766566908935 0.000213766566908935 0 0 0.000213766566908935 0.000213766566908935 0 0 0.000213766566908935 0.000641299700726806 0 0 0 0 0 0 0
