,FL1-H,FL3-H,SSC-H,FSC-H
0,5081.0,521.0,2430.0,6976.0
1,4794.0,902.0,2984.0,4135.0
2,38216.0,1625.0,27802.0,16939.0
3,5357.0,783.0,2659.0,10870.0
4,4097.0,912.0,1288.0,2089.0
5,4490.0,1363.0,1184.0,8195.0
6,9050.0,1087.0,5386.0,8821.0
7,2852.0,1324.0,2771.0,12676.0
8,6908.0,79.0,1653.0,6075.0
9,4047.0,334.0,3117.0,21664.0
10,41336.0,3128.0,2357.0,22530.0
11,2949.0,653.0,1288.0,7208.0
12,4671.0,635.0,1294.0,10921.0
13,2881.0,752.0,2547.0,7498.0
14,4971.0,644.0,986.0,16181.0
15,13305.0,2755.0,3635.0,17971.0
16,7018.0,517.0,981.0,8271.0
17,24357.0,2773.0,2619.0,13116.0
18,4458.0,1157.0,76.0,3003.0
19,5182.0,450.0,1689.0,7965.0
20,20155.0,2982.0,2052.0,9778.0
21,27528.0,2119.0,2588.0,9360.0
22,19010.0,1071.0,1392.0,8276.0
23,6199.0,699.0,1775.0,12177.0
24,37280.0,3040.0,1715.0,3803.0
25,4326.0,1621.0,2825.0,8079.0
26,4390.0,523.0,3982.0,5131.0
27,4336.0,1626.0,1119.0,4379.0
28,28657.0,2217.0,3104.0,7043.0
29,3633.0,428.0,3593.0,13360.0
30,5351.0,1878.0,624.0,6405.0
31,3497.0,993.0,5522.0,6235.0
32,29634.0,2813.0,2855.0,10919.0
33,9449.0,5838.0,6609.0,12691.0
34,4175.0,1012.0,2032.0,3978.0
35,6416.0,1373.0,4226.0,5511.0
36,4281.0,996.0,2163.0,1703.0
37,5016.0,411.0,2226.0,14957.0
38,4342.0,470.0,684.0,9349.0
39,4438.0,797.0,2532.0,9325.0
40,3531.0,593.0,1401.0,2058.0
41,3138.0,294.0,1275.0,6935.0
42,137593.0,11687.0,16729.0,57019.0
43,10925.0,525.0,2964.0,9726.0
44,4076.0,367.0,1122.0,6988.0
45,7777.0,557.0,936.0,7907.0
46,5156.0,671.0,2049.0,7871.0
47,2534.0,154.0,645.0,10022.0
48,3532.0,1285.0,183.0,2717.0
49,3940.0,771.0,1165.0,1600.0
50,12060.0,1279.0,950.0,5165.0
51,5545.0,836.0,2224.0,5323.0
52,2587.0,69.0,2473.0,9519.0
53,80416.0,11503.0,36137.0,16579.0
54,3985.0,841.0,3769.0,6503.0
55,15915.0,4296.0,3412.0,12657.0
56,4575.0,568.0,1595.0,3873.0
57,8901.0,1173.0,5734.0,6700.0
58,4321.0,551.0,334.0,7985.0
59,2871.0,203.0,710.0,1070.0
60,3071.0,251.0,1516.0,6401.0
61,4861.0,1047.0,930.0,7388.0
62,2464.0,811.0,-0.0,5438.0
63,4527.0,847.0,569.0,2918.0
64,4598.0,826.0,622.0,4404.0
65,5138.0,1653.0,1832.0,7112.0
66,4852.0,587.0,1941.0,5631.0
67,6661.0,738.0,1001.0,11707.0
68,3420.0,825.0,1372.0,6969.0
69,8556.0,1556.0,2602.0,6665.0
70,4692.0,928.0,1584.0,3690.0
71,6016.0,666.0,2661.0,3218.0
72,4870.0,377.0,1032.0,10926.0
73,4129.0,904.0,1133.0,4289.0
74,4110.0,450.0,2025.0,14096.0
75,5036.0,185.0,3335.0,3662.0
76,3808.0,797.0,2652.0,7955.0
77,4636.0,596.0,830.0,7684.0
78,5312.0,795.0,1302.0,7907.0
79,16312.0,1947.0,1238.0,14276.0
80,24215.0,7591.0,9054.0,13620.0
81,3176.0,908.0,2528.0,13535.0
82,8524.0,696.0,1249.0,10086.0
83,3886.0,772.0,415.0,6446.0
84,32223.0,3018.0,2972.0,8242.0
85,4182.0,330.0,2106.0,13582.0
86,3306.0,1008.0,1547.0,6477.0
87,5234.0,384.0,2420.0,14445.0
88,3640.0,375.0,263.0,2430.0
89,4749.0,1110.0,1746.0,6657.0
90,4911.0,1159.0,437.0,2566.0
91,17814.0,3199.0,1965.0,7856.0
92,4306.0,1315.0,1261.0,6035.0
93,7177.0,932.0,1228.0,3374.0
94,2682.0,699.0,1598.0,3906.0
95,45147.0,8021.0,21094.0,58769.0
96,4813.0,859.0,2348.0,10630.0
97,27348.0,3466.0,1459.0,10615.0
98,4571.0,950.0,2757.0,6304.0
99,22082.0,2813.0,2732.0,5540.0
100,7139.0,351.0,2193.0,3069.0
101,5927.0,601.0,1265.0,10730.0
102,4867.0,690.0,1128.0,10847.0
103,13321.0,964.0,3960.0,5440.0
104,6651.0,1106.0,1996.0,3907.0
105,5255.0,1305.0,2200.0,11505.0
106,5001.0,916.0,2645.0,7743.0
107,4239.0,467.0,266.0,4626.0
108,6798.0,977.0,1346.0,12984.0
109,19492.0,1552.0,2534.0,10070.0
110,4240.0,1024.0,2670.0,16758.0
111,6314.0,1792.0,1897.0,13620.0
112,4166.0,771.0,1118.0,5926.0
113,39154.0,4194.0,2002.0,7366.0
114,3764.0,937.0,3880.0,11282.0
115,4805.0,565.0,2578.0,8462.0
116,24620.0,3526.0,3108.0,13438.0
117,6174.0,999.0,2158.0,8393.0
118,5973.0,1181.0,470.0,5696.0
119,5022.0,711.0,1352.0,6556.0
120,12450.0,916.0,1461.0,7867.0
121,4291.0,781.0,14596.0,5498.0
122,120740.0,121359.0,6581.0,223674.0
123,24418.0,2132.0,2097.0,5166.0
124,53293.0,4429.0,3519.0,15905.0
125,3301.0,158.0,1361.0,13661.0
126,8380.0,1412.0,1326.0,11939.0
127,5409.0,637.0,5190.0,11544.0
128,5138.0,675.0,1269.0,11914.0
129,18215.0,919.0,2530.0,3895.0
130,7856.0,785.0,2634.0,2659.0
131,3035.0,209.0,1877.0,11312.0
132,19168.0,907.0,2087.0,5949.0
133,7071.0,1277.0,3166.0,8484.0
134,19465.0,2383.0,3419.0,9126.0
135,3162.0,406.0,2940.0,6689.0
136,28891.0,4669.0,5520.0,14029.0
137,4927.0,1148.0,248.0,5576.0
138,5944.0,514.0,1854.0,18186.0
139,7480.0,940.0,1484.0,12824.0
140,3663.0,586.0,547.0,6396.0
141,4885.0,658.0,2058.0,6758.0
142,4340.0,484.0,1311.0,6195.0
143,3686.0,1057.0,241.0,3285.0
144,4317.0,885.0,2222.0,4693.0
145,8175.0,935.0,83.0,6424.0
146,15444.0,708.0,11886.0,4506.0
147,7398.0,763.0,1706.0,3032.0
148,3616.0,237.0,437.0,814.0
149,3088.0,912.0,2725.0,9553.0
150,7839.0,2010.0,2171.0,9863.0
151,6996.0,1054.0,1222.0,7331.0
152,4744.0,693.0,2618.0,8834.0
153,5063.0,674.0,1053.0,5048.0
154,4143.0,1217.0,1370.0,8322.0
