,FL1-H,FL3-H,SSC-H,FSC-H
0,4541.0,967.0,2101.0,11307.0
1,8588.0,519.0,3128.0,14591.0
2,5107.0,2421.0,251.0,11341.0
3,2762.0,665.0,2261.0,9995.0
4,5097.0,913.0,565.0,4946.0
5,16270.0,469.0,2333.0,7676.0
6,21254.0,2564.0,2369.0,8980.0
7,24976.0,4127.0,2285.0,10813.0
8,10149.0,1141.0,629.0,4424.0
9,14015.0,2077.0,4595.0,6048.0
10,3829.0,1243.0,3766.0,-0.0
11,9973.0,1559.0,2069.0,8923.0
12,12932.0,2458.0,3944.0,7184.0
13,9722.0,711.0,1201.0,5125.0
14,14005.0,1517.0,3491.0,9081.0
15,16439.0,2430.0,2705.0,11003.0
16,13338.0,1378.0,2306.0,8776.0
17,42303.0,10747.0,2468.0,31634.0
18,19848.0,3641.0,2194.0,7192.0
19,3700.0,338.0,644.0,7405.0
20,8863.0,1877.0,1004.0,9793.0
21,7908.0,827.0,2572.0,16407.0
22,2679.0,288.0,2287.0,1408.0
23,24664.0,1326.0,1511.0,4248.0
24,3365.0,353.0,2100.0,1747.0
25,32671.0,1977.0,3496.0,11960.0
26,31532.0,4215.0,7583.0,11004.0
27,5423.0,900.0,2020.0,7213.0
28,7301.0,1600.0,-0.0,4760.0
29,5127.0,1119.0,2511.0,5205.0
30,23492.0,1674.0,3970.0,8371.0
31,2654.0,513.0,230.0,-0.0
32,16203.0,1349.0,1412.0,4035.0
33,5890.0,683.0,3048.0,6295.0
34,9081.0,4971.0,10131.0,11470.0
35,4115.0,532.0,650.0,3882.0
36,13574.0,1185.0,3304.0,15313.0
37,31911.0,392.0,3354.0,2334.0
38,4344.0,1021.0,365.0,10264.0
39,6718.0,1010.0,1221.0,7444.0
40,11735.0,1800.0,1249.0,4759.0
41,2747.0,928.0,1553.0,7773.0
42,5816.0,1133.0,5489.0,4633.0
43,14800.0,742.0,1314.0,10185.0
44,38598.0,3735.0,4250.0,11020.0
45,6529.0,1254.0,2323.0,10848.0
46,14421.0,1663.0,1843.0,5245.0
47,4434.0,335.0,4547.0,14485.0
48,8263.0,515.0,217.0,7292.0
49,15737.0,800.0,3047.0,8664.0
50,4544.0,748.0,2482.0,7868.0
51,17122.0,3627.0,5404.0,11419.0
52,2964.0,778.0,1252.0,8770.0
53,2685.0,524.0,2551.0,6026.0
54,16288.0,1809.0,1153.0,5396.0
55,26190.0,4220.0,3430.0,11264.0
56,28964.0,844.0,2437.0,9294.0
57,4193.0,890.0,3162.0,3452.0
58,28331.0,4714.0,2423.0,12381.0
59,5512.0,1165.0,1671.0,3437.0
60,3166.0,969.0,3317.0,6068.0
61,9252.0,1264.0,2052.0,10283.0
62,5367.0,1098.0,3946.0,8651.0
63,3224.0,1189.0,1806.0,9670.0
64,3226.0,57.0,908.0,7536.0
65,5352.0,381.0,2777.0,10102.0
66,8283.0,1442.0,1666.0,11339.0
67,2499.0,237.0,2201.0,8227.0
68,13455.0,916.0,1575.0,7947.0
69,95177.0,29879.0,247072.0,400892.0
70,16723.0,2504.0,1841.0,6878.0
71,7142.0,1234.0,-0.0,5688.0
72,4303.0,1239.0,1075.0,12567.0
73,5029.0,1879.0,2453.0,8419.0
74,7802.0,4634.0,4251.0,16313.0
75,31406.0,3077.0,10340.0,10330.0
76,25873.0,1617.0,1497.0,6263.0
77,20245.0,1545.0,1101.0,10101.0
78,4557.0,1098.0,994.0,10383.0
79,20029.0,1837.0,3925.0,15329.0
80,4269.0,1323.0,938.0,20.0
81,8172.0,2394.0,4387.0,11247.0
82,5717.0,513.0,1656.0,10543.0
83,3702.0,375.0,2070.0,6821.0
84,19071.0,1661.0,2907.0,6549.0
85,9384.0,1406.0,2429.0,3125.0
86,16956.0,2427.0,3031.0,12621.0
87,2481.0,968.0,2134.0,7174.0
88,5504.0,550.0,1764.0,4734.0
89,19388.0,2448.0,2738.0,3437.0
90,25848.0,2372.0,1207.0,10113.0
91,4977.0,956.0,1402.0,4541.0
92,12563.0,1823.0,2291.0,6789.0
93,5145.0,452.0,3315.0,6849.0
94,38213.0,2397.0,1519.0,11682.0
95,4449.0,1023.0,2870.0,5334.0
96,24083.0,1882.0,1964.0,8958.0
97,21709.0,1363.0,3131.0,8546.0
98,21748.0,4064.0,3541.0,2246.0
99,16417.0,2374.0,3347.0,14060.0
100,16900.0,2619.0,2013.0,3805.0
101,9943.0,991.0,6421.0,8171.0
102,4362.0,498.0,1795.0,10891.0
103,6049.0,1067.0,1647.0,1937.0
104,4575.0,626.0,1686.0,5008.0
105,5075.0,1490.0,1384.0,7918.0
106,2939.0,519.0,2895.0,10645.0
107,4360.0,924.0,2902.0,8206.0
108,5166.0,1555.0,2954.0,7770.0
109,4038.0,413.0,2530.0,5953.0
110,3103.0,337.0,424.0,2995.0
111,40738.0,14703.0,19815.0,37064.0
112,17023.0,1716.0,2323.0,8484.0
113,4047.0,1022.0,-0.0,9294.0
114,16218.0,2119.0,2964.0,8929.0
115,3709.0,202.0,2125.0,7211.0
116,6921.0,1967.0,2435.0,12142.0
117,10609.0,1183.0,3212.0,4733.0
118,5463.0,1201.0,3198.0,2209.0
119,8376.0,1345.0,1444.0,1372.0
120,9986.0,1525.0,2034.0,7606.0
121,4634.0,914.0,1006.0,2260.0
122,5559.0,883.0,1128.0,8430.0
123,7351.0,1341.0,2756.0,14896.0
124,5018.0,758.0,577.0,9196.0
125,17715.0,2092.0,4168.0,7470.0
126,7058.0,571.0,3728.0,11538.0
127,8793.0,664.0,2187.0,6146.0
128,5056.0,841.0,1888.0,1521.0
129,3833.0,1730.0,9660.0,8200.0
130,9031.0,1447.0,1147.0,4639.0
131,3084.0,864.0,2316.0,3295.0
132,20081.0,879.0,3285.0,15704.0
133,5171.0,1494.0,2644.0,4647.0
134,20420.0,2366.0,3819.0,11845.0
135,8143.0,630.0,1291.0,5986.0
136,2486.0,93.0,1018.0,11826.0
137,4053.0,462.0,2033.0,3719.0
138,6520.0,1390.0,3339.0,6825.0
139,4467.0,1481.0,2713.0,5263.0
140,10444.0,1332.0,3661.0,9995.0
141,25028.0,1580.0,2516.0,4665.0
142,4009.0,561.0,1715.0,3259.0
143,6379.0,1632.0,2407.0,8600.0
144,2843.0,428.0,593.0,9896.0
145,4664.0,667.0,1667.0,13561.0
146,10750.0,1926.0,1951.0,7051.0
147,15471.0,1306.0,4240.0,12165.0
148,3074.0,215.0,2424.0,6302.0
149,3014.0,946.0,797.0,6470.0
150,5128.0,1076.0,1181.0,7985.0
151,3768.0,646.0,2584.0,5867.0
152,9372.0,665.0,1075.0,5500.0
153,3702.0,637.0,1842.0,8299.0
154,7751.0,833.0,1606.0,7677.0
155,7471.0,1058.0,1601.0,3199.0
156,4286.0,134.0,2756.0,5250.0
157,9433.0,2353.0,2744.0,6696.0
158,9021.0,2325.0,599.0,15123.0
159,27695.0,17417.0,13325.0,30947.0
160,5695.0,871.0,2464.0,11901.0
161,4404.0,1042.0,2211.0,8504.0
162,4574.0,1261.0,2365.0,7380.0
163,4087.0,1848.0,1486.0,12099.0
164,4572.0,643.0,2260.0,8269.0
165,10312.0,1294.0,3562.0,10887.0
166,3156.0,997.0,1880.0,7116.0
167,3307.0,650.0,2154.0,10974.0
168,3500.0,826.0,1741.0,12585.0
169,2762.0,862.0,1546.0,3137.0
170,32399.0,3050.0,3244.0,15038.0
171,4715.0,720.0,1395.0,7957.0
172,5491.0,983.0,964.0,3864.0
173,4486.0,700.0,1942.0,8386.0
174,6195.0,1621.0,2405.0,5358.0
175,4410.0,642.0,2047.0,3967.0
176,3806.0,1474.0,2394.0,10406.0
177,9813.0,1377.0,2176.0,3529.0
178,2490.0,706.0,1790.0,11659.0
179,4015.0,215.0,1870.0,3595.0
180,3792.0,703.0,2005.0,4278.0
181,44017.0,12656.0,8931.0,47299.0
182,19873.0,3049.0,2780.0,5160.0
183,10723.0,2092.0,661.0,6603.0
184,12383.0,1769.0,3966.0,13989.0
185,5201.0,535.0,1318.0,9811.0
186,9385.0,569.0,1015.0,7545.0
187,15919.0,2833.0,54091.0,9022.0
188,8885.0,1009.0,1873.0,4348.0
189,4327.0,714.0,2718.0,6950.0
190,7100.0,1047.0,1282.0,5168.0
191,7946.0,641.0,2337.0,16066.0
192,15480.0,1028.0,2490.0,8064.0
193,3490.0,495.0,2591.0,3817.0
194,12467.0,850.0,3500.0,10810.0
195,4798.0,1237.0,1786.0,6829.0
196,24237.0,2330.0,1764.0,15682.0
197,2525.0,248.0,122.0,5415.0
198,13779.0,2120.0,2485.0,7155.0
199,3026.0,1787.0,2810.0,8390.0
200,15995.0,1040.0,1869.0,14247.0
201,3090.0,597.0,1752.0,6068.0
202,3162.0,644.0,1360.0,7601.0
203,5410.0,765.0,3976.0,12200.0
204,12231.0,2592.0,3163.0,5959.0
205,2876.0,385.0,3491.0,2511.0
206,2494.0,464.0,2500.0,2362.0
207,9257.0,855.0,3000.0,13080.0
208,13213.0,1184.0,3110.0,8827.0
209,3122.0,330.0,2012.0,6517.0
210,2471.0,80.0,-0.0,5839.0
211,3299.0,410.0,2003.0,537.0
212,31639.0,3330.0,2849.0,5789.0
