,FL1-H,FL3-H,SSC-H,FSC-H
0,5025.0,1256.0,1892.0,11574.0
1,5017.0,665.0,2950.0,3281.0
2,3831.0,515.0,1321.0,8350.0
3,6023.0,1830.0,1742.0,8513.0
4,3905.0,1207.0,2459.0,5560.0
5,7589.0,1118.0,3137.0,9380.0
6,16552.0,1223.0,2151.0,10484.0
7,29410.0,3155.0,3314.0,7276.0
8,7479.0,3911.0,6100.0,7231.0
9,10443.0,1762.0,1018.0,12843.0
10,39925.0,2710.0,2483.0,4681.0
11,9977.0,1547.0,3834.0,10441.0
12,3832.0,730.0,2004.0,3142.0
13,28023.0,2294.0,3948.0,6693.0
14,4526.0,319.0,2457.0,7853.0
15,14760.0,1047.0,987.0,4144.0
16,48097.0,7725.0,2014.0,18130.0
17,6134.0,1655.0,2399.0,11797.0
18,13644.0,1121.0,2641.0,9415.0
19,8460.0,1481.0,2772.0,2121.0
20,5539.0,618.0,2124.0,10976.0
21,4705.0,902.0,2998.0,8201.0
22,6563.0,1038.0,1951.0,7907.0
23,4753.0,857.0,2532.0,6923.0
24,3504.0,718.0,3013.0,6632.0
25,17487.0,1514.0,2314.0,11766.0
26,9919.0,589.0,3058.0,9554.0
27,7602.0,1092.0,1990.0,2906.0
28,81317.0,5860.0,3793.0,16394.0
29,44701.0,5031.0,2942.0,14576.0
30,7303.0,1394.0,1899.0,8610.0
31,9886.0,1071.0,297.0,-0.0
32,4877.0,946.0,3958.0,6759.0
33,9848.0,1317.0,1793.0,5258.0
34,5296.0,2642.0,3369.0,2973.0
35,12748.0,1294.0,2137.0,1541.0
36,4221.0,1303.0,2514.0,5573.0
37,2750.0,1108.0,1393.0,-0.0
38,4075.0,525.0,-0.0,6110.0
39,14207.0,1561.0,2750.0,12121.0
40,4910.0,994.0,2535.0,4567.0
41,3506.0,351.0,1041.0,6737.0
42,3287.0,1966.0,2797.0,14354.0
43,4552.0,976.0,2786.0,17353.0
44,24055.0,2489.0,1459.0,9862.0
45,6044.0,912.0,553.0,3865.0
46,5703.0,1139.0,1505.0,10175.0
47,37862.0,7532.0,3196.0,5312.0
48,7507.0,1006.0,3514.0,5287.0
49,5507.0,476.0,175.0,2050.0
50,3540.0,573.0,2085.0,2095.0
51,2883.0,914.0,324.0,6869.0
52,4931.0,1170.0,1930.0,5717.0
53,8260.0,654.0,2988.0,2254.0
54,23964.0,8049.0,2285.0,10022.0
55,12765.0,1107.0,2045.0,11765.0
56,3151.0,340.0,3883.0,15444.0
57,7108.0,744.0,2826.0,12756.0
58,3465.0,1234.0,888.0,4797.0
59,14095.0,3230.0,1109.0,5033.0
60,3929.0,663.0,2708.0,8589.0
61,3268.0,377.0,1698.0,10657.0
62,23946.0,2402.0,1311.0,6923.0
63,3999.0,463.0,2361.0,8673.0
64,3729.0,733.0,2628.0,9298.0
65,5691.0,1807.0,1358.0,3875.0
66,7965.0,1115.0,2539.0,18453.0
67,6387.0,1532.0,2765.0,8220.0
68,7690.0,1458.0,2062.0,9356.0
69,4785.0,717.0,1709.0,11135.0
70,30052.0,3896.0,3881.0,9371.0
71,28606.0,17726.0,31177.0,36117.0
72,9729.0,920.0,2395.0,11256.0
73,5013.0,1288.0,1131.0,12746.0
74,3847.0,1225.0,1932.0,5885.0
75,12958.0,1671.0,1848.0,7496.0
76,5541.0,1181.0,1315.0,3869.0
77,21116.0,1724.0,3413.0,3270.0
78,4569.0,1161.0,1821.0,5401.0
79,5827.0,1035.0,3032.0,7982.0
80,16256.0,1416.0,1236.0,2265.0
81,37527.0,3339.0,2086.0,3049.0
82,5440.0,1223.0,845.0,-0.0
83,22401.0,1821.0,4223.0,6407.0
84,3436.0,1329.0,830.0,2536.0
85,2983.0,1030.0,2104.0,11060.0
86,4098.0,276.0,2329.0,12033.0
87,3327.0,873.0,1946.0,9525.0
88,11662.0,1643.0,2320.0,5754.0
89,25609.0,2059.0,2474.0,2948.0
90,3537.0,556.0,1571.0,11179.0
91,12053.0,1244.0,1470.0,1748.0
92,52230.0,9275.0,3236.0,23152.0
93,33622.0,3010.0,2990.0,14546.0
94,6079.0,1694.0,1676.0,9046.0
95,19531.0,2231.0,2000.0,10197.0
96,2486.0,444.0,1444.0,4651.0
97,28915.0,1599.0,2217.0,8819.0
98,4457.0,772.0,2661.0,5837.0
99,42808.0,5735.0,3234.0,12365.0
100,2583.0,521.0,2090.0,5352.0
101,8771.0,1627.0,3471.0,10818.0
102,8349.0,2257.0,1624.0,5631.0
103,5841.0,1090.0,859.0,16373.0
104,56299.0,2982.0,1831.0,6165.0
105,13955.0,3048.0,1072.0,12709.0
106,3775.0,213.0,846.0,8361.0
107,2615.0,289.0,2229.0,7649.0
108,5038.0,516.0,3961.0,7451.0
109,4176.0,709.0,2784.0,7628.0
110,4905.0,959.0,1809.0,10908.0
111,10829.0,842.0,2273.0,1004.0
112,52091.0,4815.0,4418.0,4994.0
113,27030.0,3385.0,1521.0,6544.0
114,31494.0,2901.0,1649.0,9288.0
115,9062.0,1012.0,2255.0,4842.0
116,2781.0,654.0,3580.0,8566.0
117,5628.0,751.0,2848.0,795.0
118,5244.0,702.0,669.0,10478.0
119,5514.0,915.0,1073.0,14381.0
120,5348.0,542.0,3277.0,2665.0
121,32377.0,2200.0,1853.0,7498.0
122,59485.0,6963.0,4841.0,19421.0
123,5851.0,728.0,2267.0,536.0
124,4720.0,1328.0,5437.0,13901.0
125,4871.0,314.0,1929.0,5223.0
126,4501.0,657.0,2096.0,8296.0
127,4917.0,2258.0,1855.0,6311.0
128,3986.0,738.0,4419.0,7315.0
129,3483.0,540.0,1781.0,8378.0
130,3701.0,1044.0,4430.0,7275.0
131,42522.0,2815.0,1622.0,7381.0
132,31306.0,1959.0,2959.0,8180.0
133,2573.0,1409.0,1953.0,9525.0
134,4081.0,850.0,3144.0,3769.0
135,5956.0,196.0,2222.0,2565.0
136,10711.0,1681.0,1723.0,10842.0
137,14738.0,1440.0,955.0,16386.0
138,6805.0,617.0,2588.0,6231.0
139,4348.0,777.0,2642.0,6224.0
140,5051.0,1300.0,1536.0,5789.0
141,3567.0,1192.0,2286.0,10357.0
142,2550.0,820.0,1930.0,4941.0
143,3937.0,451.0,2777.0,6861.0
144,64457.0,8703.0,3123.0,14707.0
145,4001.0,420.0,1455.0,8448.0
146,31394.0,4402.0,1402.0,11276.0
147,3729.0,986.0,2612.0,3805.0
148,3485.0,1082.0,2368.0,8636.0
149,11720.0,749.0,4097.0,13392.0
150,36279.0,3372.0,3735.0,8497.0
151,16182.0,1614.0,4277.0,9672.0
152,5892.0,1250.0,4250.0,7593.0
153,19715.0,1593.0,2310.0,12302.0
154,7810.0,779.0,1349.0,2957.0
155,5000.0,874.0,2589.0,12665.0
156,7071.0,954.0,1856.0,9682.0
157,2733.0,748.0,919.0,8755.0
158,7984.0,1485.0,1975.0,6248.0
159,32449.0,4643.0,1274.0,9371.0
160,2684.0,452.0,822.0,2727.0
161,7167.0,789.0,419.0,3850.0
162,31178.0,2962.0,2937.0,13533.0
163,2516.0,596.0,1694.0,12119.0
164,15477.0,1161.0,3120.0,19483.0
165,25140.0,2081.0,4325.0,11588.0
166,4887.0,656.0,2244.0,12277.0
167,24557.0,943.0,1583.0,8543.0
168,3575.0,1077.0,423.0,10292.0
169,5798.0,1097.0,1639.0,10953.0
170,8700.0,1095.0,2314.0,17407.0
171,5670.0,824.0,690.0,5333.0
172,5503.0,365.0,826.0,5460.0
173,5962.0,886.0,2449.0,6255.0
174,5883.0,442.0,3266.0,7061.0
175,5111.0,733.0,3046.0,9993.0
176,20766.0,1445.0,3458.0,5587.0
177,19969.0,3191.0,2478.0,9506.0
178,57932.0,5984.0,5621.0,18826.0
179,3500.0,1197.0,1589.0,3875.0
180,6241.0,840.0,884.0,7986.0
181,5327.0,824.0,2191.0,6881.0
182,5475.0,362.0,3332.0,16876.0
183,5037.0,565.0,795.0,6298.0
184,2751.0,556.0,1771.0,6277.0
185,5188.0,389.0,-0.0,-0.0
186,3492.0,657.0,1763.0,3534.0
187,4319.0,1543.0,4044.0,14031.0
188,5862.0,1509.0,1538.0,8543.0
189,3635.0,462.0,1752.0,8004.0
190,20974.0,1601.0,1240.0,11698.0
191,4556.0,515.0,1940.0,6564.0
192,6185.0,861.0,1318.0,1762.0
193,11339.0,1031.0,499.0,8342.0
194,7451.0,735.0,1725.0,4379.0
195,4877.0,1195.0,829.0,3151.0
196,11893.0,1382.0,832.0,2113.0
197,2893.0,80.0,2232.0,8545.0
198,20968.0,1779.0,2428.0,5299.0
199,4145.0,545.0,576.0,6025.0
200,10515.0,1386.0,1315.0,2237.0
201,9963.0,1409.0,2182.0,8799.0
202,20746.0,2000.0,3487.0,7625.0
203,7561.0,618.0,2046.0,4994.0
204,3689.0,450.0,2201.0,12975.0
205,4446.0,663.0,2242.0,11359.0
206,22766.0,2646.0,2069.0,9059.0
207,2479.0,274.0,745.0,10088.0
208,4048.0,784.0,3062.0,9131.0
209,10004.0,2086.0,6062.0,8139.0
210,18105.0,1099.0,3893.0,8598.0
211,14725.0,1762.0,3463.0,15016.0
212,4430.0,461.0,760.0,4935.0
213,13205.0,1340.0,2340.0,12810.0
214,2604.0,633.0,53.0,8243.0
215,36392.0,2972.0,2948.0,11704.0
216,7801.0,1989.0,1147.0,7729.0
217,5675.0,807.0,999.0,9176.0
218,13565.0,1356.0,2006.0,3167.0
219,8097.0,296.0,2359.0,1740.0
220,4203.0,1066.0,138.0,3602.0
221,14581.0,1451.0,520.0,8400.0
222,3412.0,281.0,914.0,8066.0
223,4514.0,526.0,674.0,3973.0
224,12318.0,1703.0,3643.0,9154.0
225,5099.0,938.0,2910.0,18112.0
226,21640.0,5281.0,2637.0,9081.0
227,5039.0,1410.0,1703.0,5069.0
228,7256.0,907.0,2226.0,6942.0
229,5532.0,724.0,1795.0,12829.0
230,11550.0,1442.0,1928.0,3498.0
231,5389.0,404.0,2856.0,7811.0
232,9228.0,718.0,3402.0,5357.0
233,5590.0,1144.0,6866.0,7247.0
