,FL1-H,FL3-H,SSC-H,FSC-H
0,11414.0,2391.0,1429.0,7489.0
1,5030.0,649.0,1575.0,10484.0
2,4714.0,2225.0,278.0,20980.0
3,6015.0,1703.0,1372.0,4903.0
4,4076.0,101.0,1964.0,4402.0
5,8655.0,1415.0,634.0,6974.0
6,18584.0,2694.0,1340.0,5091.0
7,2697.0,675.0,1102.0,12935.0
8,6899.0,402.0,1648.0,4862.0
9,4757.0,845.0,1706.0,11309.0
10,2528.0,442.0,2127.0,5278.0
11,4650.0,623.0,1887.0,8809.0
12,4601.0,738.0,2762.0,5013.0
13,9495.0,1085.0,2973.0,15255.0
14,5798.0,1320.0,2639.0,8626.0
15,4908.0,528.0,932.0,7656.0
16,6128.0,504.0,2935.0,11636.0
17,3840.0,573.0,723.0,7801.0
18,3667.0,988.0,1407.0,9002.0
19,5258.0,1527.0,2380.0,7600.0
20,2627.0,365.0,328.0,8677.0
21,19644.0,2090.0,2200.0,7498.0
22,2699.0,588.0,2601.0,13003.0
23,3065.0,1352.0,1109.0,11195.0
24,2541.0,584.0,2264.0,9280.0
25,4823.0,770.0,1832.0,-0.0
26,7134.0,1326.0,2418.0,10309.0
27,6375.0,1768.0,2744.0,8557.0
28,2692.0,319.0,1180.0,2182.0
29,2653.0,639.0,1922.0,4580.0
30,6150.0,769.0,1781.0,6490.0
31,6688.0,1565.0,3369.0,9594.0
32,19901.0,3865.0,4487.0,5818.0
33,17748.0,1853.0,3390.0,9545.0
34,4269.0,595.0,547.0,9812.0
35,5591.0,908.0,2245.0,7627.0
36,4630.0,1516.0,2074.0,7510.0
37,7664.0,2691.0,5914.0,12084.0
38,4021.0,1017.0,1156.0,5912.0
39,6060.0,752.0,599.0,10229.0
40,2737.0,869.0,1680.0,5545.0
41,12773.0,2091.0,3801.0,13681.0
42,5664.0,1138.0,2518.0,13276.0
43,18410.0,5151.0,3159.0,28445.0
44,21610.0,3204.0,4286.0,8382.0
45,23055.0,3545.0,6047.0,12773.0
46,3493.0,460.0,1542.0,8102.0
47,8197.0,2308.0,3720.0,4457.0
48,16886.0,1623.0,1168.0,2662.0
49,6475.0,981.0,1598.0,10836.0
