,FL1-H,FL3-H,SSC-H,FSC-H
0,6774.0,3992.0,7043.0,37038.0
1,5654.0,429.0,3428.0,4499.0
2,3686.0,612.0,3774.0,6827.0
3,7462.0,543.0,2793.0,13512.0
4,10964.0,1249.0,1060.0,6649.0
5,4168.0,463.0,1678.0,3525.0
6,7851.0,1193.0,3722.0,7847.0
7,21518.0,2237.0,1012.0,8445.0
8,4269.0,265.0,599.0,3050.0
9,18005.0,1266.0,1985.0,10423.0
10,7626.0,941.0,1900.0,15584.0
11,5258.0,778.0,2240.0,4410.0
12,3971.0,102.0,-0.0,2597.0
13,8227.0,976.0,1335.0,6989.0
14,6712.0,678.0,293.0,1252.0
15,7307.0,602.0,3377.0,8995.0
16,2681.0,680.0,1590.0,3621.0
17,5250.0,553.0,2459.0,3248.0
18,12798.0,527.0,1386.0,4259.0
19,3935.0,1186.0,4577.0,13013.0
20,19123.0,1587.0,3375.0,18084.0
21,4096.0,446.0,48.0,5095.0
22,5346.0,1287.0,1618.0,922.0
23,4136.0,600.0,1461.0,8236.0
24,5006.0,1030.0,4468.0,8639.0
25,10644.0,1315.0,3033.0,6149.0
26,11453.0,2057.0,3616.0,10952.0
27,89310.0,6622.0,3844.0,13591.0
28,14327.0,1202.0,3377.0,10616.0
29,3500.0,600.0,2989.0,4879.0
30,58150.0,4092.0,5410.0,10462.0
31,15525.0,1163.0,2953.0,6324.0
32,5075.0,399.0,1936.0,12460.0
33,7108.0,531.0,2633.0,2811.0
34,4757.0,975.0,2221.0,8617.0
35,3461.0,345.0,2447.0,10986.0
36,5479.0,637.0,1170.0,10504.0
37,28501.0,1650.0,4495.0,8048.0
38,6578.0,548.0,3765.0,8157.0
39,3031.0,510.0,2819.0,15910.0
40,11242.0,969.0,1538.0,7229.0
41,4063.0,959.0,1590.0,7516.0
42,6320.0,344.0,1920.0,5571.0
43,26287.0,2331.0,3675.0,11129.0
44,21612.0,2130.0,3268.0,10915.0
45,3257.0,556.0,2850.0,5944.0
46,37576.0,3220.0,2751.0,9847.0
47,50955.0,5149.0,5019.0,23623.0
48,4974.0,644.0,1845.0,12172.0
49,3415.0,348.0,2113.0,8013.0
50,4925.0,1033.0,990.0,2305.0
51,31136.0,2703.0,4717.0,8241.0
52,12942.0,966.0,942.0,15522.0
53,7506.0,794.0,2375.0,8412.0
54,5623.0,831.0,297.0,6501.0
55,6799.0,447.0,1690.0,6144.0
56,15614.0,1168.0,1327.0,13203.0
57,15751.0,857.0,1272.0,5366.0
58,8751.0,1999.0,1346.0,11816.0
59,12500.0,831.0,2780.0,14588.0
60,9490.0,652.0,1899.0,11580.0
61,7072.0,1421.0,3606.0,10191.0
62,4500.0,589.0,1274.0,14663.0
63,11130.0,1568.0,2781.0,9414.0
64,5982.0,1373.0,769.0,6778.0
65,3700.0,378.0,4167.0,14537.0
66,24158.0,2198.0,1476.0,9191.0
67,16910.0,7183.0,3173.0,10506.0
68,6630.0,1177.0,3162.0,7218.0
69,25762.0,1109.0,5010.0,13024.0
70,13256.0,864.0,1569.0,4250.0
71,25199.0,1673.0,3202.0,13559.0
72,5837.0,347.0,203.0,8138.0
73,3050.0,605.0,1632.0,5501.0
74,5927.0,744.0,1265.0,6549.0
75,4007.0,751.0,3450.0,1853.0
76,5725.0,969.0,1953.0,12669.0
77,11727.0,1264.0,3514.0,6948.0
78,8888.0,841.0,1411.0,2666.0
79,3970.0,447.0,1064.0,1313.0
80,3242.0,781.0,1300.0,9665.0
81,6825.0,632.0,2262.0,12463.0
82,4719.0,1006.0,1949.0,10342.0
83,21491.0,2311.0,2119.0,17119.0
84,28334.0,1748.0,2813.0,10772.0
85,2557.0,1005.0,924.0,7858.0
86,10671.0,1679.0,1324.0,10720.0
87,28418.0,1359.0,3960.0,11266.0
88,11020.0,2071.0,561576.0,341128.0
89,23313.0,2257.0,2182.0,11475.0
90,4740.0,1103.0,2248.0,1253.0
91,6398.0,673.0,3111.0,7528.0
92,10334.0,752.0,2427.0,10953.0
93,34822.0,2680.0,1241.0,13212.0
94,4295.0,228.0,-0.0,3028.0
95,17776.0,1633.0,3218.0,10013.0
96,16376.0,1387.0,3012.0,7692.0
97,4690.0,844.0,2693.0,5300.0
98,5609.0,744.0,1547.0,3015.0
99,4969.0,834.0,3192.0,11165.0
100,11502.0,1731.0,2170.0,4066.0
101,5995.0,879.0,1638.0,5497.0
102,8759.0,633.0,4595.0,7891.0
103,10112.0,1319.0,1881.0,12576.0
104,22571.0,1411.0,2323.0,4989.0
105,6451.0,3572.0,8035.0,32497.0
106,3957.0,2288.0,4455.0,12123.0
107,4452.0,609.0,4181.0,13030.0
108,3821.0,171.0,1483.0,10012.0
109,11445.0,500.0,1261.0,6355.0
110,7213.0,369.0,1897.0,11130.0
111,17831.0,1591.0,3604.0,13141.0
112,4010.0,487.0,2840.0,8513.0
113,7524.0,751.0,3390.0,6245.0
114,2633.0,349.0,996.0,13408.0
115,2529.0,368.0,2104.0,14777.0
116,5005.0,532.0,2847.0,4053.0
117,11915.0,1456.0,3835.0,2673.0
118,3278.0,651.0,1481.0,8612.0
119,3804.0,806.0,1224.0,6333.0
120,19064.0,703.0,3847.0,11164.0
121,6069.0,708.0,1708.0,9221.0
122,4789.0,1130.0,2286.0,8813.0
123,4894.0,794.0,2324.0,7800.0
124,13695.0,1175.0,1460.0,9516.0
125,8513.0,785.0,2565.0,9504.0
126,13186.0,940.0,2417.0,2196.0
127,2650.0,648.0,2454.0,6962.0
