,FL1-H,FL3-H,SSC-H,FSC-H
0,4278.0,406.0,827.0,4566.0
1,5323.0,281.0,1469.0,8054.0
2,4533.0,88.0,-0.0,6158.0
3,7991.0,1023.0,2712.0,11925.0
4,16378.0,3439.0,2100.0,5824.0
5,4426.0,69.0,1509.0,12535.0
6,24230.0,1747.0,2355.0,8215.0
7,3276.0,469.0,4.0,7950.0
8,3653.0,932.0,1928.0,7215.0
9,21061.0,2073.0,1390.0,12933.0
10,6697.0,620.0,1087.0,9814.0
11,5233.0,623.0,622.0,7078.0
12,2738.0,428.0,913.0,6275.0
13,5201.0,370.0,1734.0,5305.0
14,3494.0,432.0,3606.0,13158.0
15,3871.0,197.0,2625.0,8148.0
16,4990.0,237.0,3286.0,15893.0
17,28747.0,10443.0,4341.0,27543.0
18,2800.0,138.0,1069.0,9269.0
19,3443.0,435.0,1463.0,7918.0
20,2973.0,208.0,3433.0,7606.0
21,23759.0,9960.0,2626.0,28845.0
22,26258.0,4430.0,3536.0,10690.0
23,92330.0,20272.0,25887.0,67743.0
24,4227.0,578.0,3117.0,2952.0
25,4539.0,78.0,3248.0,6313.0
26,7643.0,1235.0,127.0,5739.0
27,24227.0,2872.0,1733.0,6115.0
28,5409.0,743.0,1594.0,9881.0
29,5110.0,999.0,2431.0,6673.0
30,16922.0,631.0,1405.0,8147.0
31,3345.0,694.0,1742.0,9474.0
32,16413.0,1884.0,1084.0,7926.0
33,30383.0,1160.0,4430.0,9533.0
34,47289.0,2189.0,1906.0,15536.0
35,2986.0,175.0,2149.0,11822.0
36,19538.0,1323.0,3133.0,10795.0
37,4683.0,573.0,1130.0,3203.0
38,17082.0,1455.0,1503.0,7558.0
39,19387.0,2566.0,2316.0,5650.0
40,11971.0,885.0,2197.0,6068.0
41,28715.0,1321.0,1113.0,8661.0
42,4678.0,1366.0,2279.0,5535.0
43,3646.0,639.0,3207.0,887.0
44,6811.0,469.0,1341.0,7496.0
45,3680.0,613.0,2976.0,11357.0
46,2825.0,104.0,2533.0,4383.0
47,8738.0,1150.0,1478.0,6114.0
48,5613.0,359.0,1917.0,2337.0
49,15473.0,2055.0,3360.0,4296.0
50,22426.0,1462.0,2292.0,13498.0
51,9347.0,972.0,2150.0,12625.0
52,17237.0,484.0,3076.0,7758.0
53,3814.0,408.0,2312.0,7604.0
54,29540.0,2382.0,2247.0,8251.0
55,4963.0,444.0,1217.0,8909.0
56,5846.0,1050.0,2884.0,11990.0
57,4573.0,687.0,-0.0,3728.0
58,62604.0,6485.0,10551.0,25771.0
59,5933.0,541.0,1868.0,7028.0
60,3257.0,333.0,1838.0,464.0
61,6082.0,697.0,2516.0,6487.0
62,3194.0,1375.0,2051.0,1933.0
63,15055.0,1619.0,2613.0,12106.0
64,4009.0,1241.0,897.0,2906.0
65,5572.0,1266.0,1573.0,14977.0
66,6262.0,842.0,2079.0,15837.0
67,6409.0,1521.0,1095.0,12305.0
68,22389.0,2345.0,2477.0,13081.0
69,3244.0,438.0,-0.0,6418.0
70,8856.0,969.0,2911.0,9320.0
71,37091.0,2197.0,4468.0,13457.0
72,11336.0,1083.0,2471.0,13690.0
73,23512.0,2349.0,2513.0,6092.0
74,7009.0,644.0,1900.0,5204.0
75,20189.0,3482.0,1920.0,12044.0
76,24353.0,896.0,1135.0,8255.0
77,4395.0,763.0,817.0,9442.0
78,50948.0,3315.0,5264.0,13169.0
79,29359.0,2014.0,1905.0,3766.0
80,3388.0,334.0,1917.0,3665.0
81,6857.0,876.0,2491.0,5362.0
82,3951.0,755.0,2199.0,7078.0
83,24428.0,1633.0,2083.0,5379.0
84,13924.0,419.0,2348.0,2781.0
85,4512.0,992.0,2154.0,7158.0
86,3052.0,791.0,1788.0,-0.0
87,2787.0,442.0,1138.0,6914.0
88,18566.0,1621.0,4071.0,11451.0
89,6736.0,1757.0,1462.0,4800.0
90,29953.0,2076.0,641.0,5896.0
91,4956.0,394.0,2662.0,7914.0
92,2834.0,746.0,761.0,4006.0
93,4316.0,996.0,1799.0,5891.0
94,4867.0,1007.0,1675.0,5614.0
95,30250.0,2216.0,2258.0,6301.0
96,17235.0,1048.0,2496.0,3248.0
97,17663.0,1565.0,2766.0,8295.0
98,52054.0,4522.0,2002.0,10724.0
99,4420.0,1393.0,720.0,5024.0
100,9402.0,698.0,811.0,3066.0
101,3233.0,574.0,3678.0,5500.0
102,5435.0,1039.0,4429.0,8435.0
103,16382.0,1438.0,1419.0,9660.0
104,4420.0,968.0,932.0,13657.0
105,4653.0,856.0,3545.0,10059.0
106,7762.0,548.0,2331.0,6513.0
107,13117.0,1704.0,1912.0,8297.0
108,3237.0,929.0,824.0,10129.0
109,34005.0,3522.0,4307.0,11788.0
110,3434.0,451.0,760.0,-0.0
111,44085.0,2680.0,5106.0,9703.0
112,5319.0,670.0,2535.0,5063.0
113,14277.0,1109.0,3806.0,6837.0
114,43749.0,3233.0,3193.0,12899.0
