,FL1-H,FL3-H,SSC-H,FSC-H
0,23136.0,1613.0,2712.0,8445.0
1,7560.0,198.0,2829.0,10264.0
2,19361.0,2270.0,739.0,7391.0
3,6847.0,260.0,3021.0,11386.0
4,3128.0,518.0,1956.0,15214.0
5,3928.0,544.0,3967.0,5835.0
6,7796.0,389.0,1388.0,7443.0
7,8460.0,918.0,1955.0,2325.0
8,5312.0,830.0,2103.0,8766.0
9,12137.0,1524.0,553.0,5115.0
10,19642.0,6152.0,6172.0,7862.0
11,3477.0,861.0,969.0,15468.0
12,55218.0,5102.0,8848.0,17567.0
13,16707.0,5291.0,3092.0,8708.0
14,7369.0,1048.0,804.0,4376.0
15,16813.0,1151.0,2645.0,5172.0
16,2709.0,618.0,1909.0,3196.0
17,14172.0,1953.0,72.0,2556.0
18,7469.0,549.0,1447.0,10566.0
19,6111.0,569.0,2814.0,9859.0
20,6394.0,451.0,1697.0,16924.0
21,119850.0,11494.0,28560.0,42488.0
22,3693.0,999.0,3852.0,5888.0
23,6032.0,1246.0,2027.0,11395.0
24,10666.0,204.0,1904.0,8900.0
25,4303.0,734.0,4711.0,15679.0
26,3903.0,887.0,1661.0,4506.0
27,19308.0,2011.0,1845.0,11422.0
28,11423.0,384.0,2604.0,7727.0
29,3005.0,728.0,1917.0,7000.0
30,3232.0,1674.0,2240.0,1038.0
31,3295.0,689.0,1283.0,8130.0
32,10688.0,276.0,2759.0,2389.0
33,7246.0,213.0,2801.0,9776.0
34,4284.0,287.0,1855.0,9841.0
35,20012.0,6642.0,5967.0,14645.0
36,10255.0,880.0,1629.0,4138.0
37,2960.0,209.0,507.0,5745.0
38,50752.0,5172.0,3060.0,14438.0
39,6578.0,915.0,1452.0,6977.0
40,2795.0,419.0,1321.0,8796.0
41,4482.0,921.0,1775.0,15418.0
42,5547.0,818.0,757.0,4190.0
43,18216.0,1223.0,3490.0,9292.0
44,3895.0,503.0,3097.0,7908.0
45,4364.0,937.0,1858.0,2111.0
46,7096.0,767.0,902.0,7526.0
47,4297.0,516.0,1370.0,12396.0
48,9604.0,1065.0,1131.0,1691.0
49,3115.0,342.0,2800.0,6145.0
50,14792.0,1280.0,3020.0,5619.0
51,2476.0,1207.0,1683.0,6705.0
52,6805.0,1112.0,869.0,8189.0
53,4478.0,342.0,1035.0,9226.0
54,3708.0,748.0,1764.0,2900.0
55,3012.0,627.0,1407.0,5130.0
56,6913.0,2191.0,3723.0,10696.0
57,3515.0,844.0,3459.0,5016.0
58,24461.0,1944.0,771.0,9856.0
59,6465.0,196.0,3887.0,10182.0
60,4609.0,659.0,1596.0,8928.0
61,14560.0,915.0,1788.0,16056.0
62,7903.0,690.0,880.0,5044.0
63,12445.0,851.0,1832.0,5754.0
64,5882.0,390.0,1560.0,7127.0
65,5368.0,1040.0,1297.0,5264.0
66,6229.0,761.0,2079.0,11549.0
67,5246.0,978.0,2184.0,8401.0
68,5562.0,297.0,1546.0,1303.0
69,7988.0,883.0,2076.0,8183.0
70,4481.0,634.0,7.0,4152.0
71,9727.0,1850.0,3649.0,3713.0
72,11068.0,1573.0,2722.0,6257.0
73,4722.0,432.0,2112.0,6282.0
74,28825.0,2662.0,974.0,19549.0
75,13849.0,1450.0,2431.0,8226.0
76,56392.0,12522.0,86156.0,45616.0
77,9607.0,1490.0,588.0,6852.0
78,12699.0,1094.0,1636.0,5305.0
79,5809.0,23.0,3646.0,6162.0
80,15177.0,2501.0,2730.0,9246.0
81,3046.0,606.0,1679.0,8549.0
82,3953.0,485.0,3474.0,9260.0
83,5513.0,560.0,5183.0,3436.0
84,80250.0,7724.0,5248.0,32428.0
