,FL1-H,FL3-H,SSC-H,FSC-H
0,2906.0,285.0,2824.0,10582.0
1,5525.0,1217.0,3518.0,10783.0
2,2752.0,103.0,1791.0,13318.0
3,4045.0,1946.0,3452.0,5647.0
4,20862.0,2713.0,3795.0,5288.0
5,8028.0,1297.0,2404.0,10270.0
6,3942.0,987.0,2231.0,8118.0
7,4473.0,615.0,370.0,6803.0
8,17545.0,3071.0,538.0,4595.0
9,3154.0,473.0,185.0,2772.0
10,6382.0,1509.0,725.0,1872.0
11,6332.0,1093.0,1756.0,5537.0
12,5902.0,1044.0,1567.0,12120.0
13,2521.0,911.0,2607.0,9569.0
14,3987.0,855.0,1852.0,3516.0
15,11845.0,6107.0,14406.0,27109.0
16,4865.0,930.0,1598.0,5701.0
17,4440.0,1059.0,1131.0,4148.0
18,5457.0,541.0,1678.0,6881.0
19,4198.0,1136.0,99.0,4151.0
20,6830.0,912.0,444.0,13513.0
21,5493.0,587.0,2640.0,8484.0
22,3896.0,1863.0,2331.0,-0.0
23,3884.0,895.0,2741.0,8777.0
24,2970.0,1629.0,3575.0,6703.0
25,10788.0,1668.0,1336.0,5247.0
26,5160.0,856.0,2866.0,7268.0
27,2973.0,143.0,213.0,-0.0
28,20107.0,1925.0,1746.0,10465.0
29,3001.0,1766.0,1518.0,9112.0
30,4184.0,1351.0,1210.0,3216.0
31,7096.0,639.0,1435.0,6486.0
32,5969.0,1034.0,708.0,3986.0
33,3274.0,118.0,2979.0,10437.0
34,3614.0,882.0,1937.0,8932.0
35,10744.0,1086.0,8665.0,5787.0
36,7249.0,346.0,2408.0,4652.0
37,21863.0,2871.0,2528.0,12176.0
38,3180.0,800.0,2641.0,18230.0
39,3644.0,625.0,1272.0,2993.0
40,2713.0,954.0,102.0,5743.0
41,2553.0,851.0,1645.0,2828.0
42,15443.0,984.0,2546.0,10474.0
43,7053.0,1300.0,2223.0,14474.0
44,2564.0,25.0,587.0,-0.0
45,6021.0,502.0,3477.0,5677.0
46,3852.0,251.0,1992.0,6099.0
47,3689.0,370.0,4005.0,16681.0
48,3230.0,282.0,1951.0,6202.0
49,3568.0,759.0,2196.0,6817.0
50,6433.0,1136.0,-0.0,11923.0
51,2708.0,421.0,1909.0,9450.0
52,4971.0,530.0,2455.0,9994.0
53,25891.0,1846.0,2839.0,13186.0
54,3898.0,813.0,754.0,6677.0
55,12555.0,2679.0,4262.0,7933.0
56,3114.0,562.0,2346.0,13526.0
57,3309.0,1050.0,2134.0,9009.0
58,5640.0,701.0,2556.0,11233.0
59,6196.0,1068.0,2086.0,8483.0
60,4537.0,1024.0,2421.0,6122.0
61,64985.0,4354.0,2551.0,14009.0
62,5595.0,364.0,1663.0,7257.0
63,4832.0,1056.0,-0.0,4745.0
64,5517.0,1543.0,1364.0,5425.0
65,6089.0,821.0,1141.0,7697.0
66,31889.0,5485.0,5544.0,11897.0
67,21254.0,3665.0,4774.0,8828.0
68,3179.0,559.0,-0.0,10740.0
69,3236.0,1215.0,393.0,4150.0
70,5020.0,1274.0,2978.0,11254.0
71,28294.0,1922.0,621.0,16882.0
72,6616.0,583.0,3247.0,10684.0
73,19926.0,1830.0,2298.0,12464.0
74,2575.0,298.0,1213.0,5348.0
75,5506.0,553.0,-0.0,-0.0
76,3056.0,570.0,1397.0,3012.0
77,29585.0,2076.0,2250.0,7927.0
78,3083.0,635.0,2429.0,11934.0
79,10073.0,1309.0,1473.0,9079.0
80,3487.0,271.0,1396.0,9033.0
81,2467.0,553.0,396.0,4772.0
82,2701.0,498.0,1986.0,6759.0
83,6154.0,899.0,383.0,5986.0
84,3395.0,759.0,1706.0,14453.0
85,4119.0,652.0,1082.0,11420.0
86,3749.0,144.0,1363.0,1701.0
87,4449.0,786.0,1313.0,8201.0
88,10186.0,1559.0,4103.0,2420.0
89,5284.0,1323.0,1184.0,5027.0
90,6591.0,859.0,2859.0,6113.0
91,18260.0,3019.0,4916.0,11050.0
92,2609.0,535.0,1468.0,9106.0
93,16427.0,2188.0,1698.0,5070.0
94,7787.0,971.0,272.0,8058.0
95,23281.0,1724.0,1893.0,10610.0
96,29683.0,2053.0,1314.0,5978.0
97,3736.0,83.0,1006.0,15.0
98,32579.0,5206.0,4230.0,13191.0
99,5097.0,663.0,2752.0,6299.0
100,7295.0,1988.0,1292.0,5535.0
101,7290.0,1615.0,2358.0,10850.0
102,3215.0,785.0,3065.0,13543.0
103,3665.0,601.0,3456.0,4986.0
104,2813.0,789.0,2433.0,11659.0
105,5135.0,2471.0,1641.0,6620.0
106,3356.0,707.0,2159.0,3181.0
107,2988.0,140.0,2400.0,13453.0
108,4165.0,204.0,476.0,5246.0
109,4625.0,772.0,626.0,6180.0
110,6022.0,1116.0,1634.0,5884.0
111,20786.0,1930.0,2537.0,5286.0
112,5940.0,743.0,3291.0,16751.0
113,4379.0,538.0,1420.0,6633.0
114,3224.0,989.0,3819.0,5213.0
115,3235.0,1026.0,1429.0,7302.0
116,4431.0,1608.0,2246.0,9963.0
117,2609.0,375.0,3034.0,5283.0
118,24158.0,2963.0,2024.0,8422.0
119,4934.0,718.0,2342.0,2146.0
120,3746.0,300.0,2272.0,9680.0
121,10002.0,603.0,2190.0,6649.0
122,3341.0,322.0,2174.0,4371.0
123,3408.0,636.0,508.0,3680.0
124,18048.0,3916.0,2905.0,10205.0
125,5832.0,1039.0,1629.0,10255.0
126,2686.0,693.0,2029.0,10796.0
127,2931.0,446.0,1025.0,2105.0
128,8274.0,1585.0,2604.0,12938.0
129,5299.0,683.0,1517.0,6256.0
130,5809.0,870.0,1067.0,1428.0
131,3504.0,1160.0,3253.0,3912.0
132,4118.0,451.0,1586.0,713.0
133,2988.0,1460.0,1792.0,2000.0
134,2518.0,778.0,7463.0,10785.0
135,16001.0,1489.0,3701.0,7934.0
136,3812.0,949.0,2209.0,6103.0
137,2486.0,765.0,1968.0,6135.0
138,3581.0,853.0,2847.0,5889.0
139,6968.0,4044.0,3332.0,19191.0
140,3504.0,552.0,-0.0,9576.0
141,3716.0,293.0,1262.0,7717.0
142,2981.0,432.0,753.0,5561.0
143,5148.0,976.0,2070.0,10208.0
144,24089.0,2704.0,2366.0,15139.0
145,4832.0,879.0,1246.0,7469.0
146,3259.0,946.0,2662.0,12425.0
147,4300.0,522.0,2163.0,10006.0
148,3090.0,734.0,822.0,6594.0
149,4213.0,801.0,1544.0,6035.0
150,8396.0,840.0,1793.0,8741.0
151,7360.0,1787.0,901.0,11127.0
152,14397.0,1323.0,1696.0,7191.0
153,3982.0,578.0,1114.0,-0.0
154,4046.0,1442.0,4.0,381.0
155,3276.0,1005.0,37.0,7757.0
156,6274.0,1255.0,979.0,2954.0
157,13531.0,2010.0,3192.0,18042.0
158,2870.0,39.0,585.0,9405.0
159,4518.0,858.0,752.0,4056.0
160,19358.0,3094.0,2547.0,10728.0
161,13555.0,2626.0,2888.0,17213.0
162,44312.0,3169.0,2336.0,15198.0
163,2551.0,1053.0,1396.0,11811.0
164,42427.0,3419.0,2361.0,5796.0
165,4015.0,1593.0,4250.0,6194.0
166,2766.0,578.0,2470.0,6629.0
167,3669.0,650.0,2962.0,9112.0
168,32724.0,2785.0,1437.0,8375.0
169,2474.0,595.0,131.0,5914.0
170,3129.0,832.0,2377.0,8084.0
171,5143.0,1044.0,1564.0,11959.0
172,18132.0,2318.0,1517.0,4687.0
173,5053.0,1340.0,794.0,-0.0
174,10493.0,982.0,2900.0,7921.0
175,3360.0,1098.0,2925.0,14113.0
176,4431.0,654.0,2666.0,9380.0
177,2753.0,676.0,803.0,2264.0
178,5608.0,1390.0,3766.0,1912.0
179,6025.0,776.0,2398.0,4010.0
180,3428.0,123.0,2585.0,7517.0
181,6049.0,825.0,2926.0,7010.0
182,5601.0,911.0,2059.0,9172.0
183,4611.0,1788.0,1590.0,14498.0
184,7444.0,1323.0,2714.0,9421.0
185,3015.0,1043.0,3347.0,4532.0
186,3940.0,203.0,2825.0,18120.0
187,3000.0,587.0,2347.0,7710.0
188,9196.0,1163.0,217.0,2911.0
189,17639.0,2070.0,3680.0,8077.0
190,4106.0,329.0,-0.0,2222.0
191,2927.0,500.0,1693.0,2104.0
192,5078.0,1101.0,1615.0,4392.0
193,6359.0,562.0,3119.0,14112.0
194,5243.0,971.0,2448.0,4724.0
195,2894.0,734.0,3015.0,10753.0
196,4333.0,937.0,1290.0,7823.0
197,3475.0,646.0,2789.0,14786.0
198,2670.0,29.0,435.0,13582.0
199,5450.0,1410.0,1658.0,4973.0
200,10016.0,1957.0,1729.0,4014.0
201,4010.0,1003.0,434.0,4933.0
202,5214.0,736.0,1770.0,4500.0
203,4069.0,1021.0,2387.0,11076.0
204,3996.0,382.0,1754.0,4898.0
205,5063.0,1216.0,-0.0,2239.0
206,29888.0,4329.0,4461.0,11342.0
207,61863.0,9188.0,3113.0,10130.0
208,7029.0,952.0,1356.0,3665.0
209,5802.0,1750.0,3285.0,10156.0
210,4125.0,369.0,2193.0,3355.0
211,2717.0,1145.0,973.0,6426.0
212,4920.0,544.0,3019.0,5565.0
213,6286.0,1251.0,3040.0,8368.0
214,5783.0,402.0,3174.0,9638.0
215,2952.0,58.0,676.0,8760.0
216,3531.0,1007.0,2555.0,1798.0
217,8331.0,655.0,1532.0,1190.0
218,4587.0,830.0,2309.0,12718.0
219,3702.0,856.0,2325.0,15470.0
220,4102.0,651.0,3495.0,12547.0
221,17363.0,1669.0,4659.0,10478.0
222,3765.0,344.0,2889.0,13302.0
223,6307.0,808.0,3126.0,8145.0
224,5148.0,639.0,1077.0,7209.0
225,4469.0,1225.0,3513.0,4980.0
226,17352.0,1845.0,2673.0,9669.0
227,3005.0,1374.0,1669.0,6232.0
228,2850.0,709.0,2006.0,4995.0
229,3272.0,811.0,1080.0,114.0
230,3716.0,1898.0,550.0,4003.0
231,3572.0,548.0,759.0,4412.0
232,31045.0,3074.0,2107.0,10829.0
233,18114.0,2707.0,1300.0,14701.0
234,5524.0,526.0,1535.0,9048.0
235,48183.0,27589.0,27809.0,22812.0
236,3988.0,866.0,5825.0,8493.0
237,5390.0,913.0,1180.0,3261.0
238,5832.0,988.0,2371.0,13648.0
239,3469.0,427.0,1688.0,3260.0
240,2857.0,1153.0,2902.0,5767.0
241,3362.0,1137.0,1164.0,7468.0
242,6282.0,1352.0,1456.0,3313.0
243,2503.0,451.0,1204.0,1855.0
244,7373.0,1155.0,1508.0,7760.0
245,3274.0,567.0,2444.0,7846.0
246,4111.0,636.0,2063.0,13472.0
247,4193.0,1356.0,3280.0,7202.0
248,3452.0,1076.0,2255.0,9052.0
249,4082.0,901.0,1648.0,-0.0
250,3011.0,195.0,1599.0,8605.0
251,2572.0,219.0,2004.0,10538.0
252,2706.0,568.0,687.0,338.0
253,5155.0,796.0,2871.0,2175.0
254,4358.0,1618.0,2448.0,9678.0
255,14851.0,3665.0,3139.0,10244.0
256,19218.0,1189.0,3320.0,10112.0
257,2715.0,507.0,523.0,5262.0
258,3955.0,456.0,1618.0,6527.0
259,3611.0,754.0,2423.0,2212.0
260,5323.0,610.0,3351.0,16713.0
261,42382.0,3133.0,1714.0,12530.0
262,9726.0,3037.0,4521.0,9184.0
