,FL1-H,FL3-H,SSC-H,FSC-H
0,5299.0,676.0,2022.0,14215.0
1,25150.0,2468.0,2472.0,10801.0
2,6842.0,1342.0,1730.0,2785.0
3,2720.0,227.0,1049.0,7183.0
4,29881.0,1758.0,2184.0,15556.0
5,5263.0,1128.0,4269.0,13235.0
6,2622.0,101.0,1997.0,8066.0
7,4214.0,761.0,733.0,1311.0
8,5261.0,478.0,1153.0,-0.0
9,5094.0,1238.0,693.0,-0.0
10,3723.0,939.0,45.0,10545.0
11,8735.0,571.0,114.0,9510.0
12,4787.0,684.0,1778.0,5201.0
13,3314.0,341.0,395.0,7320.0
14,4940.0,1380.0,3659.0,11038.0
15,24472.0,1863.0,926.0,6207.0
16,40407.0,3823.0,3123.0,11936.0
17,35064.0,3341.0,2427.0,9099.0
18,14436.0,2062.0,956.0,11532.0
19,8024.0,1667.0,3593.0,4564.0
20,5833.0,502.0,1230.0,5953.0
21,17308.0,1735.0,4749.0,14864.0
22,19411.0,2705.0,3867.0,4704.0
23,5826.0,681.0,6875.0,8466.0
24,5801.0,1043.0,3281.0,9675.0
25,2881.0,1151.0,561.0,4069.0
26,8116.0,1012.0,2240.0,3567.0
27,2548.0,383.0,971.0,4751.0
28,15355.0,919.0,1321.0,6503.0
29,4586.0,930.0,2749.0,7388.0
30,6496.0,1090.0,1331.0,4326.0
31,4958.0,403.0,3134.0,6535.0
32,7759.0,1395.0,4537.0,13424.0
33,17976.0,1391.0,1795.0,4399.0
34,2474.0,1435.0,3892.0,5459.0
35,24480.0,1389.0,1839.0,3433.0
36,13296.0,800.0,408.0,4397.0
37,44676.0,4401.0,1752.0,9596.0
38,56786.0,3040.0,3306.0,17533.0
39,3795.0,318.0,864.0,8519.0
40,2486.0,253.0,884.0,2706.0
41,5215.0,654.0,535.0,11166.0
42,15414.0,1483.0,3452.0,6667.0
43,22224.0,2385.0,3060.0,6750.0
44,3610.0,397.0,1319.0,5534.0
45,5609.0,840.0,900.0,6557.0
46,4565.0,701.0,2104.0,11038.0
47,6535.0,911.0,1783.0,6719.0
48,2700.0,1062.0,-0.0,1163.0
49,7804.0,1009.0,3087.0,11847.0
50,5329.0,1021.0,1382.0,15344.0
51,7613.0,1590.0,3009.0,8298.0
52,4694.0,787.0,564.0,9241.0
53,6077.0,2047.0,3641.0,12298.0
54,4710.0,2929.0,4202.0,14065.0
55,30493.0,2663.0,7153.0,12107.0
56,3977.0,397.0,2077.0,3228.0
57,7266.0,1444.0,1743.0,6429.0
58,13148.0,1462.0,2811.0,6465.0
59,9816.0,1128.0,2181.0,5948.0
60,13741.0,2309.0,2138.0,5404.0
61,5271.0,334.0,1517.0,14827.0
62,5445.0,379.0,5251.0,9454.0
63,45167.0,2745.0,1574.0,14854.0
64,4386.0,703.0,2745.0,1944.0
65,5209.0,699.0,2195.0,4809.0
66,2586.0,242.0,1038.0,8243.0
67,2996.0,305.0,3822.0,11367.0
68,10307.0,1072.0,2653.0,24262.0
69,3663.0,887.0,2233.0,8862.0
70,5074.0,978.0,2017.0,5753.0
71,9881.0,1168.0,2055.0,4544.0
72,6889.0,310.0,1794.0,4562.0
73,10729.0,1270.0,2665.0,11739.0
74,4822.0,482.0,1774.0,12587.0
75,19789.0,4870.0,9859.0,10607.0
76,3286.0,1161.0,1337.0,3743.0
77,21409.0,1922.0,2145.0,12408.0
78,28095.0,2458.0,3530.0,5868.0
79,3273.0,1046.0,4300.0,11784.0
80,3921.0,237.0,3552.0,8338.0
81,6180.0,2511.0,6683.0,9819.0
82,4564.0,753.0,-0.0,6959.0
83,23654.0,1662.0,4882.0,11187.0
84,7790.0,590.0,1188.0,7751.0
85,28417.0,2338.0,2590.0,9331.0
86,4674.0,428.0,2101.0,2988.0
87,9438.0,719.0,1557.0,12036.0
88,7918.0,206.0,2790.0,4011.0
