,FL1-H,FL3-H,SSC-H,FSC-H
0,3749.0,318.0,1892.0,2047.0
1,5207.0,1597.0,2563.0,9937.0
2,4045.0,163.0,939.0,5144.0
3,6306.0,847.0,962.0,6608.0
4,26707.0,2235.0,2571.0,10530.0
5,12784.0,1137.0,894.0,2554.0
6,3135.0,23.0,-0.0,8729.0
7,4855.0,837.0,2748.0,10824.0
8,2642.0,727.0,888.0,8103.0
9,15516.0,1295.0,1441.0,13213.0
10,3927.0,322.0,768.0,3816.0
11,6052.0,1066.0,2316.0,4308.0
12,6746.0,434.0,1630.0,9680.0
13,5070.0,454.0,273.0,4286.0
14,5856.0,1003.0,3389.0,8101.0
15,2612.0,258.0,903.0,2754.0
16,4689.0,593.0,1898.0,12950.0
17,20536.0,2062.0,1635.0,10522.0
18,19604.0,2023.0,2571.0,12012.0
19,7531.0,1146.0,502.0,10277.0
20,3113.0,556.0,1686.0,9500.0
21,6086.0,365.0,4959.0,7938.0
22,3093.0,32.0,2724.0,7710.0
23,5700.0,1343.0,2178.0,10579.0
24,6919.0,1105.0,1696.0,8360.0
25,3010.0,394.0,3307.0,6329.0
26,4775.0,1521.0,3023.0,5276.0
27,6200.0,2048.0,882.0,5049.0
28,3079.0,516.0,2193.0,5508.0
29,22594.0,1761.0,3142.0,3539.0
30,3395.0,260.0,1682.0,4449.0
31,4617.0,506.0,2244.0,15351.0
32,3666.0,326.0,3016.0,5926.0
33,30501.0,4644.0,3737.0,14463.0
34,2517.0,703.0,1882.0,8063.0
35,16371.0,1690.0,3027.0,12934.0
36,3666.0,665.0,2272.0,6548.0
37,4790.0,286.0,-0.0,6378.0
38,4201.0,328.0,1581.0,10913.0
39,2472.0,597.0,15.0,8681.0
40,2586.0,685.0,-0.0,5941.0
41,3820.0,1330.0,1361.0,7619.0
42,7471.0,909.0,120.0,901.0
43,5385.0,884.0,1105.0,9602.0
44,21908.0,2687.0,3678.0,3498.0
45,4847.0,299.0,1807.0,4596.0
46,2606.0,659.0,3845.0,5148.0
47,2588.0,868.0,2834.0,5551.0
48,4419.0,731.0,-0.0,6208.0
49,3746.0,231.0,1065.0,8768.0
50,10302.0,493.0,5505.0,9042.0
51,2473.0,801.0,2126.0,2981.0
52,3160.0,599.0,660.0,2585.0
53,2981.0,696.0,3567.0,3431.0
54,3085.0,56.0,2809.0,7801.0
55,23987.0,2415.0,2564.0,13714.0
56,7987.0,592.0,315.0,1541.0
57,3218.0,787.0,3079.0,7008.0
58,2550.0,351.0,2556.0,12327.0
59,14068.0,1795.0,852.0,6101.0
60,4800.0,1211.0,3306.0,6954.0
61,16514.0,1253.0,3437.0,7895.0
62,8667.0,709.0,1011.0,5438.0
63,5933.0,1214.0,1760.0,9384.0
64,3240.0,449.0,3053.0,16930.0
65,5633.0,1338.0,1484.0,6607.0
66,35069.0,5301.0,1370.0,8312.0
67,2522.0,185.0,1093.0,7579.0
68,11588.0,1472.0,5630.0,7269.0
69,3122.0,204.0,850.0,4516.0
70,9995.0,2240.0,969.0,7612.0
71,25944.0,2147.0,3993.0,6492.0
72,5769.0,775.0,1420.0,15746.0
73,6012.0,644.0,1393.0,576.0
74,3836.0,467.0,2713.0,9949.0
75,9780.0,571.0,3097.0,10156.0
76,26044.0,3070.0,2554.0,8056.0
77,20359.0,1858.0,2225.0,3175.0
78,14013.0,2661.0,3163.0,4084.0
79,2882.0,927.0,764.0,5420.0
80,3011.0,922.0,1318.0,5328.0
81,9076.0,1978.0,2800.0,7539.0
82,26254.0,1500.0,1704.0,11036.0
83,3243.0,540.0,1038.0,13642.0
84,2526.0,327.0,2012.0,4543.0
85,3123.0,87.0,830.0,11926.0
86,4988.0,460.0,885.0,11585.0
87,2741.0,878.0,3378.0,6623.0
88,23339.0,2179.0,2416.0,7420.0
89,10798.0,1616.0,1932.0,9945.0
90,3474.0,338.0,1597.0,5737.0
91,7097.0,1109.0,2237.0,7811.0
92,8829.0,767.0,1487.0,4135.0
93,2525.0,154.0,1659.0,4290.0
94,18728.0,1637.0,3947.0,4240.0
95,2940.0,1423.0,3003.0,3993.0
96,50347.0,3991.0,2294.0,8081.0
97,5699.0,840.0,321.0,9904.0
98,3693.0,622.0,3138.0,3373.0
99,4611.0,591.0,1648.0,3741.0
100,3000.0,627.0,473.0,11490.0
101,49228.0,3248.0,1540.0,16680.0
102,2688.0,488.0,2202.0,7854.0
103,14530.0,886.0,-0.0,3151.0
104,3253.0,399.0,1359.0,3888.0
105,9536.0,759.0,2899.0,7078.0
106,21508.0,1907.0,2102.0,14533.0
107,20388.0,1102.0,2288.0,12631.0
108,5856.0,1218.0,778.0,4736.0
109,11683.0,1680.0,3475.0,13248.0
110,4335.0,927.0,1338.0,1497.0
111,2784.0,507.0,2618.0,6516.0
112,5145.0,550.0,745.0,9843.0
113,3167.0,1233.0,2329.0,3535.0
114,6963.0,471.0,1830.0,6580.0
115,3750.0,540.0,5178.0,12952.0
116,2617.0,841.0,42.0,6157.0
117,27859.0,2373.0,3344.0,10397.0
118,8667.0,565.0,675.0,1914.0
119,5797.0,545.0,1195.0,10901.0
120,3366.0,935.0,1787.0,9721.0
121,3210.0,723.0,194.0,1976.0
122,7955.0,3960.0,139154.0,141024.0
123,3866.0,919.0,3936.0,12314.0
124,25127.0,2704.0,2645.0,11232.0
125,9878.0,964.0,2132.0,7010.0
126,24454.0,2822.0,2211.0,6232.0
127,31797.0,1899.0,2433.0,11296.0
128,3919.0,479.0,845.0,2881.0
129,19634.0,2149.0,2592.0,15906.0
130,13348.0,1833.0,2064.0,13968.0
131,5239.0,628.0,1789.0,3505.0
132,3063.0,1098.0,1000.0,4326.0
133,15832.0,1331.0,2015.0,6366.0
134,3808.0,20.0,2611.0,9672.0
135,8192.0,1304.0,2026.0,4018.0
136,17631.0,9899.0,28911.0,466400.0
137,24082.0,1154.0,2022.0,8696.0
138,3232.0,638.0,2077.0,5429.0
139,26933.0,1885.0,5476.0,17604.0
140,2839.0,449.0,392.0,2767.0
141,4316.0,1151.0,2535.0,5473.0
142,24276.0,2781.0,2423.0,1496.0
