,FL1-H,FL3-H,SSC-H,FSC-H
0,27902.0,3217.0,1682.0,9771.0
1,2569.0,687.0,2049.0,5532.0
2,22996.0,1215.0,1553.0,9244.0
3,16889.0,987.0,3290.0,18950.0
4,24299.0,1828.0,2702.0,19290.0
5,148446.0,36471.0,25672.0,145796.0
6,13128.0,648.0,1900.0,14151.0
7,6354.0,883.0,1426.0,5278.0
8,50854.0,4710.0,7346.0,18745.0
9,6836.0,1089.0,2615.0,8893.0
10,3987.0,1993.0,3966.0,6940.0
11,5966.0,672.0,3445.0,1021.0
12,6900.0,1485.0,3163.0,5089.0
13,3466.0,274.0,2197.0,3761.0
14,3549.0,472.0,4940.0,1429.0
15,18051.0,1619.0,2847.0,8872.0
16,5383.0,614.0,1741.0,12724.0
17,42709.0,5445.0,2861.0,6499.0
18,12814.0,1980.0,2458.0,10083.0
19,30331.0,2072.0,2615.0,7738.0
20,21852.0,8121.0,5999.0,16832.0
21,14340.0,1362.0,5509.0,11036.0
22,62863.0,3870.0,8548.0,10113.0
23,36793.0,9711.0,9557.0,32107.0
24,54776.0,5053.0,3957.0,15615.0
25,28205.0,2119.0,5008.0,4608.0
26,47418.0,2981.0,2371.0,2205.0
27,2623.0,308.0,17.0,1720.0
28,3940.0,61.0,2114.0,8733.0
29,6524.0,2154.0,3606.0,3252.0
30,9002.0,858.0,1153.0,9276.0
31,13751.0,648.0,592.0,4896.0
32,21271.0,2074.0,1103.0,7686.0
33,30729.0,2343.0,3347.0,8075.0
34,23697.0,1609.0,3849.0,12931.0
35,52485.0,3748.0,1854.0,9318.0
36,22304.0,3648.0,2069.0,3844.0
37,5007.0,612.0,3818.0,15728.0
38,6352.0,2342.0,2490.0,7308.0
39,2472.0,536.0,1215.0,11460.0
40,2683.0,393.0,1823.0,13063.0
41,36247.0,16383.0,41287.0,95911.0
42,63951.0,5585.0,3064.0,8048.0
43,10280.0,897.0,1288.0,6167.0
44,10306.0,494.0,1438.0,11899.0
45,13731.0,1688.0,1753.0,6775.0
46,6336.0,385.0,2472.0,2105.0
47,15842.0,2744.0,1842.0,6102.0
48,3349.0,783.0,12148.0,5131.0
49,10777.0,1086.0,2200.0,812.0
50,2605.0,562.0,3347.0,9064.0
51,6564.0,885.0,2107.0,10048.0
52,8407.0,4713.0,3023.0,8428.0
53,5183.0,666.0,205.0,6157.0
54,5782.0,1445.0,2606.0,5120.0
55,41467.0,4435.0,1281.0,8982.0
56,6680.0,621.0,-0.0,1750.0
57,5233.0,1228.0,6978.0,9052.0
58,4184.0,699.0,2434.0,2875.0
59,3083.0,652.0,2794.0,5253.0
60,2529.0,337.0,1969.0,2652.0
61,2591.0,322.0,1701.0,5950.0
62,12983.0,2672.0,3621.0,17994.0
63,11677.0,1072.0,1984.0,7378.0
64,23055.0,2412.0,3744.0,7027.0
65,12297.0,619.0,2329.0,10015.0
66,51849.0,3527.0,1757.0,6012.0
67,55805.0,13661.0,10651.0,35082.0
68,17500.0,1797.0,2029.0,4361.0
69,11656.0,1546.0,2605.0,4698.0
70,34165.0,13812.0,10827.0,39304.0
71,8655.0,1010.0,2445.0,1977.0
72,46747.0,3789.0,3570.0,1476.0
73,19267.0,3520.0,10524.0,15015.0
74,5532.0,1227.0,2165.0,6120.0
75,2594.0,400.0,1673.0,3963.0
76,17448.0,1395.0,1992.0,12818.0
77,41348.0,3841.0,14601.0,7295.0
78,5454.0,1151.0,280.0,10932.0
79,7068.0,988.0,432.0,2145.0
80,333252.0,34987.0,13126.0,80060.0
81,17968.0,1372.0,1521.0,6819.0
82,2615.0,1145.0,1655.0,5071.0
83,15382.0,1661.0,3986.0,7322.0
84,11874.0,1749.0,970.0,12154.0
85,7873.0,843.0,1360.0,5730.0
86,6754.0,1204.0,2744.0,11787.0
87,2653.0,243.0,594.0,-0.0
88,3692.0,589.0,635.0,6155.0
89,22749.0,2841.0,1634.0,16359.0
90,32139.0,2827.0,9542.0,11797.0
91,4639.0,396.0,2599.0,5942.0
92,59124.0,3240.0,10034.0,11352.0
93,8816.0,121.0,1998.0,6333.0
94,3972.0,605.0,2139.0,8266.0
95,6291.0,790.0,2582.0,13719.0
96,31309.0,3392.0,3605.0,12822.0
97,2903.0,1705.0,8737.0,6425.0
98,4467.0,649.0,1398.0,12453.0
99,45846.0,3014.0,2163.0,8158.0
100,54282.0,6166.0,2454.0,10947.0
101,4603.0,978.0,611.0,10307.0
102,28915.0,2513.0,1621.0,7915.0
103,9469.0,956.0,2472.0,4058.0
104,40484.0,2753.0,3303.0,5802.0
105,9448.0,866.0,2459.0,5528.0
106,5118.0,860.0,1771.0,4534.0
107,34060.0,3420.0,2184.0,9655.0
108,29116.0,2690.0,3588.0,7437.0
109,18480.0,1838.0,2086.0,10824.0
110,15150.0,1910.0,3289.0,8158.0
111,37127.0,3089.0,5090.0,8770.0
112,8521.0,1548.0,2116.0,5305.0
113,23563.0,1701.0,2834.0,12093.0
114,5135.0,671.0,1151.0,2189.0
115,13392.0,1629.0,1776.0,4471.0
116,28009.0,1745.0,2954.0,6374.0
117,8795.0,1262.0,1188.0,8350.0
118,3345.0,1977.0,2311.0,8041.0
119,3015.0,260.0,843.0,9079.0
120,2545.0,186.0,921.0,5129.0
121,5073.0,1383.0,961.0,4018.0
122,14296.0,2880.0,3153.0,4728.0
123,9653.0,609.0,1413.0,10903.0
124,5524.0,457.0,1561.0,10680.0
125,6558.0,1874.0,1282.0,11426.0
126,41609.0,3100.0,3896.0,9441.0
127,4731.0,1654.0,516.0,2438.0
128,15947.0,6070.0,1649.0,11781.0
129,36545.0,1966.0,691.0,6047.0
130,5679.0,577.0,4227.0,7852.0
131,49616.0,3517.0,1089.0,16397.0
132,31966.0,2769.0,2071.0,9999.0
133,2689.0,947.0,1447.0,9769.0
134,3157.0,909.0,-0.0,4064.0
135,21517.0,2446.0,3159.0,11352.0
136,9867.0,1193.0,1754.0,9329.0
137,33267.0,2922.0,6868.0,247.0
138,7139.0,1370.0,2152.0,3750.0
139,15766.0,1087.0,2243.0,8820.0
140,6850.0,1474.0,2839.0,11895.0
141,11219.0,1171.0,2620.0,7502.0
142,4215.0,522.0,1417.0,13070.0
143,3440.0,1031.0,3110.0,6062.0
144,10824.0,2348.0,1925.0,6183.0
145,54105.0,3786.0,3495.0,14748.0
146,7793.0,974.0,1721.0,17613.0
147,7096.0,527.0,2089.0,6288.0
148,46067.0,5522.0,3049.0,4553.0
149,18809.0,1909.0,1495.0,12906.0
150,10961.0,738.0,1136.0,10021.0
151,4783.0,1039.0,234.0,8385.0
152,19258.0,828.0,3739.0,14622.0
153,4656.0,956.0,2949.0,1246.0
154,8369.0,984.0,1559.0,6289.0
155,5986.0,1210.0,3338.0,6949.0
156,2619.0,535.0,2089.0,-0.0
157,28924.0,4652.0,3470.0,10497.0
158,7633.0,611.0,587.0,7444.0
159,3067.0,325.0,1491.0,-0.0
160,6706.0,815.0,1051.0,6740.0
161,25574.0,1476.0,3690.0,10628.0
162,40772.0,3917.0,2643.0,8247.0
163,31062.0,2784.0,6695.0,7554.0
164,15081.0,2188.0,2523.0,10911.0
165,14994.0,900.0,1101.0,9720.0
166,4216.0,422.0,2418.0,9448.0
167,7656.0,410.0,151.0,10687.0
168,26211.0,1492.0,2132.0,11052.0
169,4346.0,813.0,3184.0,6430.0
170,16664.0,1702.0,1581.0,8419.0
171,7960.0,1389.0,1890.0,5247.0
172,6472.0,1900.0,4859.0,5711.0
173,4621.0,1540.0,758.0,12318.0
174,5442.0,491.0,-0.0,1019.0
175,12728.0,2129.0,3772.0,13297.0
176,40061.0,2733.0,4341.0,2956.0
177,43283.0,8043.0,5663.0,14117.0
178,4116.0,693.0,1531.0,6122.0
179,3485.0,332.0,971.0,7680.0
180,35145.0,2764.0,1531.0,6672.0
181,4011.0,705.0,1706.0,4147.0
182,5479.0,1511.0,1655.0,9742.0
183,37843.0,2433.0,2694.0,9282.0
184,5634.0,1900.0,1725.0,10940.0
185,5894.0,740.0,2198.0,13677.0
186,5656.0,1171.0,3981.0,8199.0
187,9896.0,932.0,1525.0,12122.0
188,29326.0,1838.0,3688.0,6324.0
189,2464.0,784.0,2649.0,19266.0
190,3005.0,1252.0,1608.0,2299.0
191,16167.0,5733.0,2913.0,4882.0
192,2741.0,520.0,-0.0,5522.0
193,4775.0,836.0,1990.0,6698.0
194,9769.0,1919.0,2197.0,13602.0
195,3097.0,477.0,936.0,9629.0
196,9322.0,720.0,3981.0,8731.0
197,3443.0,918.0,2457.0,5847.0
198,28000.0,2431.0,3473.0,17652.0
199,3964.0,634.0,263.0,8002.0
200,11429.0,1106.0,2463.0,6476.0
201,21854.0,1064.0,1396.0,3465.0
202,51135.0,3696.0,4382.0,5874.0
203,3533.0,879.0,2508.0,11594.0
204,33612.0,1500.0,2813.0,4420.0
205,7691.0,1847.0,2169.0,9717.0
206,5164.0,1090.0,2238.0,15715.0
207,17243.0,2652.0,4486.0,9735.0
208,34352.0,1895.0,4647.0,8983.0
209,10339.0,1299.0,3205.0,7942.0
210,17267.0,2596.0,2132.0,11525.0
211,10699.0,692.0,1216.0,5309.0
212,11027.0,715.0,742.0,852.0
213,25958.0,2292.0,2447.0,16205.0
214,8485.0,1905.0,26560.0,15280.0
215,17568.0,1317.0,2519.0,4181.0
216,184180.0,19550.0,6080.0,31108.0
217,13161.0,1276.0,5433.0,9224.0
218,4223.0,848.0,2412.0,7015.0
219,9990.0,1884.0,2480.0,9668.0
220,13038.0,2290.0,301.0,5612.0
221,65958.0,4236.0,7226.0,7541.0
222,8198.0,1233.0,3806.0,8955.0
223,21467.0,1998.0,981.0,7816.0
224,2602.0,681.0,3917.0,8779.0
225,29416.0,2655.0,1553.0,6609.0
226,3003.0,243.0,1669.0,5608.0
227,23352.0,1623.0,2940.0,8683.0
228,4747.0,664.0,1639.0,8675.0
229,55189.0,3756.0,3486.0,9114.0
230,14945.0,6989.0,39890.0,17243.0
231,19324.0,2687.0,1869.0,3648.0
232,35356.0,4808.0,5542.0,19758.0
233,12554.0,1118.0,624.0,6095.0
234,9058.0,2148.0,6049.0,11221.0
235,6382.0,469.0,1202.0,3120.0
236,12240.0,5723.0,8615.0,9484.0
237,5796.0,1584.0,2255.0,8080.0
238,64762.0,6576.0,2446.0,10791.0
239,3822.0,507.0,2113.0,13394.0
240,4398.0,1504.0,1484.0,10428.0
241,27203.0,2867.0,1242.0,10796.0
242,3266.0,1626.0,4096.0,8556.0
243,5578.0,1918.0,107019.0,3727.0
244,21169.0,1514.0,2166.0,16398.0
245,5848.0,935.0,2750.0,11697.0
246,30283.0,2872.0,2532.0,5795.0
247,7507.0,420.0,1112.0,7694.0
248,67600.0,5239.0,22814.0,9802.0
249,11520.0,1607.0,2952.0,6241.0
250,53108.0,3508.0,6927.0,8927.0
251,57103.0,6168.0,3649.0,16826.0
252,2491.0,368.0,2261.0,6793.0
253,4651.0,930.0,2779.0,7696.0
254,2634.0,528.0,781.0,7630.0
255,4395.0,998.0,2670.0,11625.0
256,33649.0,2794.0,438.0,11266.0
257,4102.0,1071.0,5017.0,8766.0
258,92469.0,7084.0,6679.0,17178.0
259,34806.0,2858.0,2411.0,5568.0
260,16829.0,2201.0,3464.0,7831.0
261,14486.0,1731.0,3434.0,2377.0
262,101811.0,24361.0,12889.0,96738.0
263,22261.0,2869.0,2269.0,9266.0
264,13230.0,1825.0,754.0,12848.0
265,39834.0,2748.0,1801.0,11565.0
266,6190.0,1054.0,1684.0,12679.0
267,5012.0,517.0,35.0,5628.0
268,14462.0,1532.0,386.0,10152.0
269,37790.0,4041.0,387.0,9588.0
270,2702.0,1503.0,8359.0,11346.0
271,5997.0,2679.0,3173.0,8386.0
272,8919.0,746.0,631.0,4701.0
273,89744.0,6668.0,1829.0,12164.0
274,5713.0,343.0,306.0,12572.0
275,18725.0,1399.0,4761.0,11110.0
276,3984.0,675.0,1828.0,3613.0
277,6194.0,920.0,771.0,6738.0
278,3620.0,282.0,1349.0,5391.0
279,5641.0,1575.0,2859.0,12633.0
280,49559.0,31429.0,132898.0,146337.0
281,34883.0,2427.0,1986.0,8103.0
282,18338.0,1634.0,3566.0,8199.0
283,7668.0,697.0,661.0,5797.0
284,8680.0,1455.0,3242.0,4737.0
285,29874.0,3584.0,2828.0,5210.0
286,3859.0,282.0,883.0,1885.0
287,4534.0,147.0,906.0,3678.0
288,43702.0,4615.0,8746.0,16133.0
289,15131.0,1959.0,13732.0,8415.0
290,4397.0,296.0,1599.0,6881.0
291,31095.0,2242.0,1162.0,11591.0
292,7277.0,1471.0,5497.0,10318.0
293,56771.0,5171.0,8240.0,11300.0
294,7320.0,2359.0,3495.0,15432.0
295,13966.0,647.0,1987.0,16204.0
296,10388.0,1996.0,4825.0,12698.0
297,3404.0,872.0,1733.0,10926.0
298,15972.0,2726.0,2928.0,15810.0
299,8941.0,1651.0,2805.0,5127.0
300,4101.0,423.0,442.0,4276.0
301,28074.0,2997.0,1170.0,8028.0
302,19720.0,1904.0,2611.0,5041.0
303,3606.0,332.0,1179.0,5108.0
304,4041.0,294.0,2367.0,137.0
305,27109.0,2222.0,3876.0,6682.0
306,355506.0,71293.0,78486.0,407621.0
307,18003.0,2046.0,3020.0,13240.0
308,2878.0,799.0,2490.0,6226.0
309,3894.0,475.0,2039.0,236.0
310,25354.0,1743.0,2928.0,4795.0
311,16471.0,1652.0,1796.0,4955.0
312,3460.0,334.0,2776.0,3220.0
313,4790.0,337.0,2146.0,8160.0
314,6194.0,293.0,1568.0,1179.0
315,3306.0,1701.0,658.0,8136.0
316,2558.0,996.0,2077.0,3524.0
317,6423.0,488.0,2833.0,9966.0
318,48127.0,3840.0,2578.0,13975.0
319,6078.0,957.0,2878.0,8275.0
320,16336.0,1645.0,1255.0,4178.0
321,15630.0,1479.0,-0.0,7838.0
322,2795.0,163.0,2089.0,6527.0
323,2606.0,12.0,2814.0,19003.0
324,17770.0,1342.0,1497.0,3224.0
325,2954.0,365.0,3572.0,6785.0
326,122168.0,37033.0,221107.0,97572.0
327,27292.0,3039.0,1469.0,8006.0
328,3355.0,1971.0,10588.0,3017.0
329,5966.0,868.0,1534.0,9764.0
330,11982.0,1973.0,1981.0,6355.0
331,14640.0,932.0,2528.0,9752.0
332,4140.0,675.0,851.0,6808.0
333,30016.0,2998.0,2817.0,4327.0
334,5059.0,517.0,2254.0,15290.0
335,3837.0,287.0,1815.0,4818.0
336,4350.0,1102.0,2262.0,11774.0
337,29402.0,4286.0,3439.0,18637.0
338,42050.0,4362.0,3402.0,9795.0
339,13910.0,420.0,1454.0,9319.0
340,2478.0,367.0,-0.0,3757.0
341,34572.0,2443.0,4921.0,10337.0
342,44679.0,3578.0,6705.0,12619.0
343,25592.0,1663.0,1236.0,10988.0
344,5093.0,1016.0,1689.0,5610.0
345,17487.0,2688.0,2006.0,10116.0
346,12288.0,884.0,2009.0,6944.0
347,2634.0,1264.0,890.0,4641.0
348,3977.0,362.0,2143.0,7620.0
349,2604.0,778.0,558.0,8534.0
350,7729.0,1144.0,1714.0,5544.0
351,3174.0,194.0,2431.0,5837.0
352,111577.0,9044.0,12361.0,12150.0
353,14372.0,2263.0,1333.0,362.0
354,3317.0,981.0,2526.0,6943.0
355,4344.0,1271.0,1050.0,1144.0
356,7721.0,1251.0,2889.0,2285.0
357,34017.0,8524.0,14639.0,34817.0
358,4836.0,385.0,2643.0,6811.0
359,35895.0,10903.0,10240.0,13878.0
360,8597.0,768.0,2104.0,10944.0
361,8202.0,740.0,1792.0,4854.0
362,2709.0,462.0,593.0,4183.0
363,31920.0,3375.0,2091.0,7222.0
364,14586.0,1562.0,2615.0,2456.0
365,40647.0,5651.0,2411.0,5588.0
366,5524.0,1699.0,2303.0,-0.0
367,24052.0,877.0,2072.0,4357.0
368,3313.0,1540.0,1979.0,7507.0
369,2969.0,693.0,2809.0,11771.0
370,21543.0,2391.0,2572.0,6618.0
371,22304.0,2420.0,2629.0,10766.0
372,4367.0,494.0,330.0,-0.0
373,16336.0,869.0,1714.0,4055.0
374,5593.0,1349.0,2071.0,11101.0
375,66486.0,7593.0,7230.0,11745.0
376,8384.0,4130.0,5397.0,5904.0
377,7791.0,903.0,1090.0,13022.0
378,17268.0,1450.0,2608.0,7550.0
379,12214.0,2855.0,9668.0,22865.0
380,29272.0,3897.0,1606.0,6196.0
381,18002.0,1127.0,2994.0,14539.0
382,57663.0,3461.0,2691.0,9674.0
383,44942.0,2979.0,2825.0,8679.0
384,3563.0,570.0,1718.0,4597.0
385,46769.0,6198.0,8130.0,22605.0
386,11900.0,689.0,1901.0,3768.0
387,6181.0,709.0,843.0,58.0
388,8983.0,4589.0,222757.0,24622.0
389,16616.0,948.0,1444.0,5625.0
390,15923.0,1315.0,748.0,5304.0
391,5850.0,643.0,3062.0,6045.0
392,5152.0,930.0,2821.0,7170.0
393,55917.0,2977.0,4612.0,9751.0
394,2735.0,476.0,390.0,13036.0
395,39359.0,4495.0,6175.0,9041.0
396,52864.0,30968.0,110048.0,112519.0
397,22979.0,1153.0,2982.0,9281.0
398,9770.0,921.0,2818.0,8766.0
399,3280.0,1196.0,2174.0,7853.0
400,8916.0,1001.0,1398.0,6336.0
401,2777.0,540.0,2104.0,9538.0
402,49017.0,12694.0,65148.0,25178.0
403,70473.0,9840.0,6829.0,24085.0
404,8715.0,1402.0,3159.0,4044.0
405,6143.0,1056.0,2671.0,2548.0
406,54278.0,12201.0,14483.0,38183.0
407,13181.0,1148.0,2334.0,10888.0
408,90981.0,44878.0,216568.0,186140.0
409,13297.0,1637.0,1142.0,8133.0
410,25815.0,2206.0,2814.0,14770.0
411,3800.0,164.0,-0.0,3698.0
412,3309.0,419.0,1167.0,4114.0
413,18291.0,1562.0,1955.0,13221.0
