,FL1-H,FL3-H,SSC-H,FSC-H
0,3268.0,515.0,173.0,7341.0
1,32218.0,2367.0,6129.0,19191.0
2,4734.0,1078.0,2455.0,1594.0
3,10361.0,857.0,3020.0,4718.0
4,19348.0,2047.0,2307.0,12791.0
5,31728.0,2590.0,3301.0,10502.0
6,3921.0,774.0,2793.0,1816.0
7,17259.0,1590.0,1445.0,14118.0
8,30925.0,2235.0,1955.0,5368.0
9,25794.0,1235.0,4074.0,8217.0
10,3166.0,573.0,2058.0,3815.0
11,24265.0,9467.0,5850.0,21736.0
12,6673.0,444.0,3553.0,10492.0
13,29401.0,3266.0,3013.0,5909.0
14,21171.0,1041.0,3321.0,6021.0
15,18948.0,1831.0,1940.0,5556.0
16,21216.0,694.0,1546.0,9570.0
17,15416.0,2161.0,2037.0,7664.0
18,10718.0,480.0,2428.0,-0.0
19,3828.0,1504.0,1152.0,15538.0
20,7168.0,2386.0,3918.0,12141.0
21,19277.0,1884.0,1739.0,8381.0
22,3239.0,692.0,1488.0,5735.0
23,4404.0,405.0,2395.0,12688.0
24,5563.0,457.0,2508.0,17114.0
25,2561.0,173.0,2835.0,11548.0
26,25216.0,15463.0,45829.0,43518.0
27,30590.0,7061.0,9152.0,20580.0
28,53489.0,5336.0,15290.0,10017.0
29,39356.0,2673.0,4246.0,4670.0
30,3541.0,946.0,314.0,1940.0
31,2594.0,776.0,1170.0,7392.0
32,7383.0,1012.0,3783.0,18675.0
33,30998.0,6999.0,12823.0,13084.0
34,3673.0,1237.0,15840.0,2133.0
35,27217.0,2261.0,1606.0,6457.0
36,10751.0,298.0,2436.0,9285.0
37,21190.0,3040.0,1449.0,6501.0
38,5629.0,492.0,496.0,7555.0
39,16986.0,1189.0,1974.0,8581.0
40,18971.0,2462.0,1803.0,10148.0
41,3364.0,484.0,1178.0,7792.0
42,5528.0,533.0,1413.0,7137.0
43,5634.0,364.0,1441.0,3020.0
44,28489.0,3642.0,4499.0,12384.0
45,5693.0,383.0,1729.0,9813.0
46,26328.0,2775.0,2198.0,6990.0
47,12714.0,1318.0,2615.0,11412.0
48,8418.0,1494.0,463.0,8525.0
49,16942.0,1945.0,3379.0,7931.0
50,2791.0,193.0,2242.0,14453.0
51,36404.0,3631.0,1733.0,10568.0
52,7400.0,1026.0,1762.0,11813.0
53,30244.0,1408.0,1321.0,15851.0
54,18459.0,2162.0,1818.0,7087.0
55,24215.0,2024.0,3584.0,2016.0
