,FL1-H,FL3-H,SSC-H,FSC-H
0,8482.0,888.0,3487.0,8132.0
1,18650.0,728.0,2465.0,6456.0
2,6207.0,1054.0,2812.0,5848.0
3,4541.0,697.0,1415.0,9505.0
4,5346.0,689.0,3219.0,8349.0
5,10081.0,1176.0,181.0,14435.0
6,7228.0,418.0,3378.0,11635.0
7,14810.0,1002.0,535.0,-0.0
8,6454.0,334.0,1554.0,5298.0
9,5835.0,1055.0,2150.0,9494.0
10,6411.0,336.0,130.0,2597.0
11,2962.0,872.0,1707.0,7323.0
12,3926.0,654.0,442.0,-0.0
13,14534.0,2071.0,2458.0,6654.0
14,15000.0,1938.0,2574.0,5577.0
15,22860.0,1919.0,4349.0,17389.0
16,9024.0,998.0,1874.0,-0.0
17,5057.0,434.0,1981.0,7663.0
18,17199.0,1256.0,4178.0,7252.0
19,2645.0,1405.0,-0.0,476.0
20,6707.0,1107.0,1875.0,8310.0
21,18524.0,1895.0,2143.0,9545.0
22,4480.0,506.0,3154.0,6704.0
23,7512.0,1289.0,2729.0,8453.0
24,2950.0,753.0,1496.0,4994.0
25,20893.0,1887.0,3832.0,12200.0
26,4702.0,2043.0,2335.0,5630.0
27,4317.0,666.0,2681.0,-0.0
28,2591.0,245.0,2176.0,6728.0
29,4173.0,440.0,1755.0,11162.0
30,51523.0,3909.0,1987.0,9217.0
31,44192.0,3259.0,2442.0,9836.0
32,5207.0,415.0,2102.0,5740.0
33,10778.0,2847.0,1570.0,10088.0
34,28099.0,1997.0,2717.0,5054.0
35,14215.0,1601.0,3131.0,8336.0
36,9853.0,2112.0,1723.0,7838.0
37,20114.0,2106.0,1463.0,2137.0
38,24206.0,2058.0,2014.0,10096.0
39,3525.0,377.0,2741.0,8979.0
40,10534.0,1763.0,2300.0,5699.0
41,4535.0,529.0,1931.0,9151.0
42,34785.0,3834.0,2322.0,7256.0
43,3905.0,708.0,263.0,5134.0
44,11823.0,1268.0,502.0,9538.0
45,9847.0,1219.0,3860.0,20268.0
46,13418.0,871.0,1580.0,9986.0
47,43932.0,2321.0,1252.0,5972.0
48,2462.0,359.0,608.0,-0.0
49,6209.0,831.0,540.0,-0.0
50,4045.0,605.0,1651.0,11854.0
51,6145.0,676.0,2190.0,14077.0
52,23066.0,1257.0,2235.0,5941.0
53,3693.0,349.0,1979.0,15301.0
54,6771.0,1384.0,1359.0,5196.0
55,15138.0,2645.0,2214.0,-0.0
56,13362.0,981.0,1273.0,6828.0
57,2829.0,717.0,2836.0,543.0
58,6674.0,566.0,1582.0,6396.0
59,11056.0,3037.0,2796.0,4900.0
60,12874.0,721.0,1803.0,6803.0
61,8258.0,964.0,2398.0,12362.0
62,11374.0,2188.0,3401.0,8009.0
63,28558.0,1139.0,3690.0,6172.0
64,21593.0,1016.0,3395.0,12528.0
65,4063.0,672.0,1890.0,4811.0
66,4195.0,697.0,1532.0,899.0
67,2755.0,157.0,2567.0,5587.0
68,2516.0,414.0,1298.0,8080.0
69,70045.0,6122.0,3797.0,3417.0
70,3256.0,254.0,2064.0,16585.0
71,2556.0,1046.0,3154.0,8813.0
72,21761.0,1832.0,3101.0,5264.0
73,2505.0,574.0,1338.0,9773.0
74,16647.0,3626.0,2896.0,5481.0
75,14884.0,949.0,1839.0,7168.0
76,38499.0,2690.0,2674.0,13052.0
77,10237.0,4402.0,2937.0,12889.0
78,7001.0,1107.0,335.0,8044.0
79,3743.0,1154.0,2036.0,8525.0
80,3858.0,365.0,3186.0,7606.0
81,13648.0,810.0,1611.0,4877.0
82,5181.0,629.0,1178.0,4587.0
83,62475.0,8798.0,3506.0,15242.0
84,2657.0,397.0,1343.0,5035.0
85,30579.0,2366.0,1088.0,11465.0
86,25672.0,2561.0,1036.0,7247.0
87,24229.0,2730.0,1072.0,4939.0
88,2767.0,138.0,1892.0,4709.0
89,2850.0,1018.0,412.0,10888.0
90,9940.0,1499.0,831.0,3648.0
91,2574.0,557.0,3453.0,6034.0
92,5462.0,941.0,1707.0,4790.0
93,5753.0,1387.0,1396.0,5624.0
94,2963.0,131.0,3046.0,2283.0
95,23946.0,1588.0,1285.0,8705.0
96,6395.0,1543.0,1161.0,533.0
97,4381.0,1262.0,2554.0,12971.0
98,40226.0,2547.0,1178.0,10436.0
99,5040.0,538.0,698.0,16132.0
100,7591.0,703.0,1722.0,7878.0
101,5161.0,743.0,1803.0,6121.0
102,12929.0,3947.0,2890.0,3473.0
103,4913.0,597.0,4824.0,-0.0
104,11617.0,972.0,2981.0,7186.0
105,16445.0,2640.0,2001.0,10508.0
106,16718.0,2335.0,1911.0,6778.0
107,5579.0,862.0,1617.0,13049.0
108,9985.0,524.0,1997.0,11619.0
109,5499.0,1157.0,502.0,3960.0
