,FL1-H,FL3-H,SSC-H,FSC-H
0,2833.0,875.0,2190.0,16773.0
1,7795.0,1388.0,1668.0,5416.0
2,8039.0,589.0,3302.0,8751.0
3,5677.0,1048.0,2353.0,6330.0
4,5027.0,1301.0,1612.0,6208.0
5,3162.0,272.0,2184.0,14850.0
6,6989.0,1072.0,1442.0,10446.0
7,4283.0,466.0,1780.0,10522.0
8,8430.0,1824.0,1279.0,305.0
9,10184.0,858.0,8643.0,13405.0
10,15918.0,1330.0,2257.0,4971.0
11,2650.0,1024.0,4087.0,7909.0
12,3543.0,1787.0,1731.0,9902.0
13,5498.0,871.0,969.0,5620.0
14,6851.0,611.0,2207.0,8316.0
15,33863.0,5362.0,4562.0,4934.0
16,4777.0,798.0,1553.0,9415.0
17,5583.0,1044.0,1409.0,13523.0
18,5393.0,387.0,1926.0,4856.0
19,4255.0,473.0,1886.0,3457.0
20,10264.0,1023.0,1460.0,9178.0
21,4796.0,384.0,2460.0,8627.0
22,3086.0,1010.0,1890.0,9993.0
23,4143.0,430.0,2725.0,12815.0
24,3689.0,484.0,1787.0,10066.0
25,4623.0,694.0,1095.0,5298.0
26,7392.0,1116.0,19.0,-0.0
27,4608.0,612.0,2041.0,11471.0
28,2514.0,333.0,1345.0,5591.0
29,2699.0,574.0,1037.0,3459.0
30,21782.0,2820.0,1580.0,9002.0
31,27849.0,2408.0,1229.0,7533.0
32,5425.0,1065.0,2377.0,9335.0
33,4069.0,790.0,1043.0,6713.0
34,7447.0,937.0,2493.0,2036.0
35,3776.0,707.0,2597.0,15300.0
36,6398.0,314.0,1042.0,7445.0
37,5550.0,768.0,3533.0,1858.0
38,24035.0,2021.0,546.0,6420.0
39,7333.0,1342.0,1722.0,5470.0
40,3490.0,835.0,642.0,8000.0
41,3251.0,463.0,4675.0,15895.0
42,5840.0,642.0,1369.0,10692.0
43,3239.0,340.0,786.0,2518.0
44,3292.0,339.0,2632.0,4550.0
45,6782.0,696.0,2021.0,1120.0
46,6293.0,2296.0,1907.0,8658.0
47,6383.0,651.0,2935.0,6096.0
48,6579.0,1486.0,1821.0,115.0
49,24842.0,1652.0,3094.0,10716.0
50,3482.0,582.0,2545.0,7147.0
51,29551.0,2505.0,1491.0,10283.0
52,4718.0,582.0,3818.0,13502.0
53,5321.0,701.0,2132.0,8261.0
54,6082.0,841.0,3490.0,10563.0
55,10172.0,916.0,324.0,-0.0
56,4855.0,655.0,1855.0,4338.0
57,5084.0,893.0,2092.0,4825.0
58,4015.0,208.0,1209.0,-0.0
59,6344.0,285.0,1489.0,4089.0
60,27712.0,3154.0,1109.0,11296.0
61,5056.0,806.0,750.0,-0.0
62,5399.0,614.0,946.0,3977.0
63,2797.0,405.0,805.0,-0.0
64,2598.0,1038.0,1135.0,8260.0
65,25346.0,2343.0,2454.0,12433.0
66,5211.0,1055.0,2523.0,7650.0
67,6096.0,773.0,4075.0,5377.0
68,2816.0,360.0,2324.0,11870.0
69,4797.0,497.0,1433.0,8614.0
70,8574.0,1233.0,3658.0,18410.0
71,9191.0,1178.0,946.0,5774.0
72,4214.0,718.0,3070.0,8169.0
73,7484.0,1266.0,2425.0,4310.0
74,33811.0,3480.0,2581.0,14335.0
75,6386.0,547.0,1488.0,2212.0
76,3902.0,949.0,1017.0,8994.0
77,3075.0,1225.0,1124.0,8755.0
78,2598.0,291.0,581.0,9317.0
79,6148.0,1480.0,2664.0,14377.0
80,6882.0,981.0,1566.0,8233.0
81,5412.0,944.0,1593.0,8939.0
82,5523.0,1017.0,1005.0,8965.0
83,5338.0,1055.0,887.0,7747.0
84,4008.0,832.0,3260.0,3973.0
85,3844.0,586.0,-0.0,1065.0
86,5449.0,194.0,2513.0,14718.0
87,2789.0,463.0,1913.0,3196.0
88,4083.0,1312.0,2470.0,7557.0
89,24189.0,2895.0,2693.0,8605.0
90,12659.0,1493.0,4117.0,5374.0
91,4558.0,1226.0,2009.0,6748.0
92,4607.0,609.0,1832.0,4672.0
93,3915.0,971.0,-0.0,3717.0
94,3349.0,641.0,905.0,6811.0
95,3326.0,653.0,2957.0,5723.0
96,3334.0,447.0,855.0,6936.0
97,5843.0,1110.0,3096.0,9099.0
98,5309.0,371.0,1202.0,5596.0
99,4440.0,940.0,169.0,1457.0
100,4577.0,639.0,1677.0,6098.0
101,30430.0,4781.0,1962.0,6981.0
102,3542.0,696.0,2164.0,-0.0
103,8710.0,1128.0,2041.0,7663.0
104,28287.0,2936.0,1752.0,10192.0
105,8522.0,695.0,2465.0,10030.0
106,5879.0,714.0,1562.0,7650.0
107,5144.0,577.0,1018.0,15783.0
108,3754.0,403.0,1163.0,5465.0
109,4059.0,1281.0,1823.0,3617.0
110,4372.0,1229.0,496.0,1817.0
111,16515.0,10515.0,3718.0,6576.0
112,3800.0,568.0,2016.0,13428.0
113,9362.0,1697.0,2291.0,6326.0
114,29061.0,2640.0,2181.0,7887.0
115,12197.0,640.0,3913.0,10651.0
116,10159.0,2185.0,2152.0,4719.0
117,4710.0,683.0,632.0,9169.0
118,2549.0,1071.0,937.0,11417.0
119,5015.0,538.0,2394.0,5797.0
120,4219.0,1304.0,4615.0,6051.0
121,7672.0,1060.0,1965.0,3874.0
122,4593.0,416.0,1323.0,2979.0
123,6405.0,748.0,2651.0,6912.0
124,6889.0,1310.0,3555.0,15588.0
125,38498.0,4499.0,2692.0,10049.0
126,8100.0,863.0,690.0,9101.0
127,7258.0,296.0,2810.0,15534.0
128,4593.0,1146.0,3218.0,10812.0
129,4822.0,382.0,2199.0,4021.0
130,4255.0,309.0,2665.0,15072.0
131,5612.0,1188.0,2300.0,4840.0
132,6282.0,2091.0,3427.0,5197.0
133,5310.0,928.0,1877.0,10090.0
134,4409.0,1176.0,286.0,7595.0
135,5373.0,604.0,2354.0,5825.0
136,4273.0,522.0,2307.0,7515.0
137,8773.0,897.0,74.0,9448.0
138,3874.0,322.0,1328.0,8207.0
139,4936.0,1395.0,3402.0,4721.0
140,6615.0,1658.0,1213.0,9577.0
141,8546.0,367.0,5421.0,5358.0
142,6972.0,855.0,1939.0,4705.0
143,6278.0,952.0,2772.0,6297.0
144,24265.0,1010.0,1082.0,9519.0
145,4221.0,607.0,1412.0,7759.0
146,10567.0,874.0,1944.0,12626.0
147,4587.0,873.0,1614.0,1426.0
148,3944.0,678.0,1925.0,8987.0
149,24500.0,1844.0,3536.0,14554.0
150,7890.0,1449.0,2948.0,9554.0
151,5015.0,623.0,254.0,3812.0
152,178917.0,44764.0,193533.0,460261.0
153,3964.0,808.0,1723.0,-0.0
154,2612.0,110.0,288.0,1480.0
