,FL1-H,FL3-H,SSC-H,FSC-H
0,4870.0,1368.0,-0.0,2160.0
1,3204.0,561.0,2262.0,6469.0
2,4963.0,974.0,1996.0,8240.0
3,3024.0,1318.0,3738.0,2010.0
4,6606.0,1087.0,2775.0,5156.0
5,3160.0,1421.0,162.0,6215.0
6,6023.0,771.0,1297.0,5383.0
7,5959.0,1256.0,1992.0,4766.0
8,10101.0,959.0,1654.0,4682.0
9,3052.0,597.0,2404.0,5572.0
10,3680.0,1027.0,1275.0,6065.0
11,45922.0,3462.0,1973.0,12608.0
12,6782.0,1797.0,5239.0,12699.0
13,7360.0,1747.0,1041.0,4607.0
14,4253.0,238.0,2138.0,6863.0
15,37352.0,6114.0,4083.0,11590.0
16,7489.0,890.0,1104.0,3554.0
17,4213.0,190.0,183.0,6218.0
18,4187.0,1013.0,1709.0,16821.0
19,4080.0,1052.0,1393.0,8324.0
20,44028.0,3342.0,6199.0,13491.0
21,9351.0,1284.0,1693.0,8512.0
22,24678.0,2198.0,2481.0,4992.0
23,22434.0,1925.0,4617.0,6980.0
24,4820.0,1004.0,3579.0,11812.0
25,4332.0,446.0,537.0,3328.0
26,3278.0,552.0,787.0,5714.0
27,18027.0,2133.0,3622.0,6065.0
28,4049.0,1198.0,2767.0,7616.0
29,4549.0,761.0,1632.0,6070.0
30,3277.0,642.0,1957.0,6881.0
31,5075.0,373.0,2885.0,10525.0
32,3910.0,679.0,924.0,6880.0
33,4594.0,1119.0,2441.0,4692.0
34,3262.0,853.0,5533.0,9218.0
35,4535.0,305.0,2786.0,12381.0
36,5107.0,1093.0,1086.0,10262.0
37,21329.0,4018.0,4337.0,7716.0
38,4303.0,733.0,3326.0,11341.0
39,4009.0,539.0,2527.0,5375.0
40,9183.0,617.0,3803.0,11660.0
41,18358.0,1818.0,6068.0,11306.0
42,6186.0,622.0,1781.0,7677.0
43,6240.0,587.0,2606.0,8388.0
44,4199.0,635.0,2205.0,7083.0
45,7708.0,872.0,1436.0,4726.0
46,20858.0,2290.0,1927.0,8009.0
47,6154.0,640.0,1418.0,9814.0
48,2559.0,247.0,2574.0,5135.0
49,12749.0,1278.0,2715.0,4861.0
50,5225.0,1063.0,3896.0,8235.0
51,10982.0,2524.0,1230.0,3589.0
52,15525.0,1175.0,2458.0,6639.0
53,6531.0,901.0,3093.0,6273.0
54,4866.0,416.0,1111.0,8752.0
55,9361.0,1408.0,817.0,11924.0
56,6335.0,363.0,2147.0,10318.0
57,77012.0,9835.0,15932.0,26251.0
58,19686.0,2360.0,1197.0,21162.0
59,17070.0,1608.0,1596.0,6205.0
60,13481.0,2256.0,1112.0,13891.0
61,4237.0,45.0,2456.0,6095.0
62,33700.0,15917.0,3570.0,32516.0
63,3415.0,872.0,2330.0,4061.0
64,4161.0,817.0,658.0,1444.0
65,4471.0,1119.0,1201.0,-0.0
66,5284.0,1062.0,2853.0,2966.0
67,18713.0,9109.0,17756.0,250596.0
68,22762.0,2857.0,14432.0,6898.0
69,13728.0,917.0,1227.0,8732.0
70,22601.0,3331.0,2057.0,9992.0
71,4398.0,682.0,817.0,8442.0
72,19377.0,1783.0,2291.0,5313.0
73,28536.0,3841.0,1384.0,7113.0
74,9918.0,1372.0,2803.0,11088.0
75,4572.0,325.0,2872.0,10980.0
76,4707.0,1351.0,2877.0,4080.0
77,4875.0,594.0,3243.0,12442.0
78,4244.0,796.0,393.0,5988.0
79,13716.0,473.0,1660.0,5312.0
80,30385.0,13603.0,14933.0,17218.0
81,10007.0,714.0,2882.0,6435.0
82,3214.0,531.0,317.0,2298.0
83,40925.0,7264.0,6257.0,10455.0
84,9527.0,979.0,3458.0,8273.0
85,22992.0,3849.0,2473.0,12197.0
86,5993.0,354.0,2308.0,4247.0
87,3992.0,727.0,1867.0,7738.0
88,23239.0,2405.0,1606.0,5620.0
89,3309.0,591.0,1362.0,10663.0
90,45257.0,3193.0,1494.0,8080.0
91,5644.0,950.0,323.0,7883.0
92,5201.0,685.0,1723.0,5316.0
93,12896.0,1332.0,834.0,5958.0
94,9213.0,940.0,2226.0,7959.0
95,4908.0,491.0,1039.0,9561.0
96,2961.0,971.0,1553.0,7139.0
97,2971.0,734.0,564.0,-0.0
98,7057.0,926.0,1778.0,12127.0
99,2919.0,773.0,925.0,8022.0
100,6115.0,1146.0,1853.0,12433.0
101,2991.0,448.0,3558.0,7496.0
102,4982.0,801.0,1696.0,9902.0
103,8892.0,732.0,2078.0,13219.0
104,3676.0,557.0,477.0,4872.0
105,2655.0,426.0,1865.0,-0.0
106,19016.0,1095.0,2399.0,14182.0
107,7513.0,914.0,3515.0,7613.0
108,3440.0,899.0,1175.0,4797.0
109,8543.0,830.0,1887.0,17001.0
110,5611.0,505.0,745.0,6395.0
111,9957.0,793.0,1800.0,12327.0
112,3696.0,634.0,2115.0,11999.0
113,31653.0,2681.0,2969.0,7693.0
114,3430.0,1366.0,1827.0,1074.0
115,9761.0,779.0,2893.0,7389.0
116,5940.0,649.0,2632.0,10823.0
117,2744.0,521.0,1860.0,7659.0
118,4105.0,623.0,1815.0,2459.0
119,4434.0,575.0,2344.0,8556.0
120,20136.0,2510.0,1253.0,1221.0
121,11858.0,1571.0,885.0,4182.0
122,8572.0,1533.0,1564.0,12196.0
123,17362.0,1135.0,2357.0,4666.0
124,7325.0,976.0,3003.0,9888.0
125,3688.0,655.0,5490.0,7770.0
126,20113.0,1243.0,1101.0,5543.0
127,7976.0,1094.0,3547.0,5001.0
128,12669.0,2013.0,2215.0,10706.0
129,4949.0,605.0,1310.0,5352.0
130,4324.0,622.0,1690.0,7373.0
131,5510.0,1070.0,2048.0,4168.0
132,3345.0,1269.0,1451.0,4247.0
