,FL1-H,FL3-H,SSC-H,FSC-H
0,5209.0,964.0,1147.0,10145.0
1,5153.0,604.0,1641.0,6415.0
2,44265.0,3516.0,3702.0,6353.0
3,39069.0,3124.0,5168.0,11028.0
4,4079.0,603.0,1051.0,7563.0
5,8322.0,777.0,2219.0,2447.0
6,17923.0,1422.0,2653.0,2952.0
7,3333.0,487.0,1414.0,12510.0
8,3368.0,582.0,3318.0,5126.0
9,3254.0,1362.0,1338.0,8461.0
10,4170.0,364.0,2851.0,3684.0
11,5500.0,1177.0,1399.0,5502.0
12,25318.0,2085.0,2154.0,12154.0
13,23440.0,3028.0,1844.0,5169.0
14,6003.0,909.0,1713.0,10560.0
15,5499.0,1004.0,2841.0,13158.0
16,41003.0,4014.0,2821.0,13550.0
17,6689.0,418.0,1851.0,9235.0
18,6257.0,949.0,1681.0,5837.0
19,4850.0,824.0,572.0,5184.0
20,28183.0,2098.0,2159.0,3351.0
21,6627.0,1072.0,2505.0,4115.0
22,26298.0,2016.0,1603.0,5562.0
23,4818.0,308.0,2554.0,8576.0
24,7677.0,1047.0,1808.0,2604.0
25,4278.0,1055.0,3844.0,12851.0
26,5107.0,826.0,1752.0,8098.0
27,5433.0,700.0,119.0,1344.0
28,7351.0,308.0,1807.0,9457.0
29,31849.0,3919.0,4367.0,6681.0
30,3104.0,503.0,2822.0,8337.0
31,5217.0,788.0,1509.0,9723.0
32,3656.0,934.0,3726.0,-0.0
33,5045.0,944.0,3432.0,3883.0
34,5457.0,1152.0,2726.0,4688.0
35,7801.0,1163.0,1019.0,12282.0
36,2788.0,582.0,4330.0,12956.0
37,7063.0,319.0,1733.0,17098.0
38,4144.0,515.0,1307.0,3174.0
39,12223.0,1036.0,4299.0,7801.0
40,4517.0,381.0,1000.0,5959.0
41,5159.0,700.0,2977.0,4224.0
42,9958.0,1447.0,4702.0,5450.0
43,11907.0,1676.0,2104.0,5754.0
44,6894.0,1021.0,1845.0,8345.0
45,5489.0,619.0,1830.0,7888.0
46,5390.0,725.0,2022.0,9268.0
47,4330.0,1092.0,-0.0,1158.0
48,3766.0,598.0,1619.0,12877.0
49,10304.0,2067.0,782.0,1989.0
50,7729.0,1344.0,1364.0,15736.0
51,3547.0,115.0,2343.0,11050.0
52,3348.0,381.0,2076.0,3067.0
53,26707.0,4051.0,2934.0,13084.0
54,2907.0,317.0,181.0,8501.0
55,30015.0,2245.0,5379.0,5547.0
56,4519.0,897.0,2059.0,10026.0
57,2957.0,555.0,1308.0,13625.0
58,4994.0,1015.0,1381.0,1707.0
59,4504.0,752.0,2156.0,4845.0
60,3324.0,633.0,2939.0,4170.0
61,13479.0,225.0,3377.0,12594.0
62,28199.0,3390.0,3984.0,4731.0
63,24148.0,3133.0,3278.0,259.0
64,6418.0,1348.0,3282.0,11926.0
65,16194.0,1653.0,3626.0,12764.0
66,5076.0,1084.0,4487.0,8071.0
67,3341.0,548.0,1537.0,4650.0
