,FL1-H,FL3-H,SSC-H,FSC-H
0,3867.0,952.0,720.0,-0.0
1,2709.0,817.0,1174.0,11080.0
2,4624.0,623.0,2606.0,7694.0
3,13736.0,1389.0,1975.0,5368.0
4,33904.0,1968.0,2862.0,4634.0
5,3817.0,826.0,2115.0,7749.0
6,4874.0,760.0,552.0,7384.0
7,2532.0,874.0,1899.0,7755.0
8,4869.0,335.0,1298.0,8378.0
9,31916.0,1834.0,3874.0,8171.0
10,6127.0,818.0,1657.0,6737.0
11,7921.0,326.0,869.0,8394.0
12,4144.0,1702.0,1823.0,5594.0
13,8989.0,1120.0,934.0,11017.0
14,29137.0,3311.0,2588.0,6426.0
15,4904.0,652.0,965.0,6853.0
16,6813.0,941.0,3523.0,6152.0
17,9020.0,1624.0,891.0,8581.0
18,4633.0,518.0,796.0,2691.0
19,3502.0,152.0,1787.0,3106.0
20,20348.0,1531.0,2406.0,8756.0
21,36141.0,4088.0,5260.0,8865.0
22,7041.0,996.0,2678.0,3319.0
23,5987.0,1681.0,1218.0,3472.0
24,23396.0,1931.0,1338.0,4179.0
25,5389.0,931.0,-0.0,5208.0
26,9876.0,1153.0,3049.0,11409.0
27,4239.0,409.0,552.0,7932.0
28,3297.0,767.0,1381.0,8744.0
29,6402.0,625.0,2391.0,9101.0
30,6482.0,1414.0,2711.0,9416.0
31,13285.0,1400.0,2010.0,8422.0
32,946640.0,104369.0,501146.0,724753.0
33,4336.0,1228.0,2603.0,5609.0
34,18119.0,3332.0,20475.0,17020.0
35,17501.0,1726.0,3044.0,13089.0
36,22209.0,1090.0,964.0,12804.0
37,5264.0,238.0,1207.0,5924.0
38,25817.0,1792.0,1710.0,8118.0
39,7325.0,671.0,1166.0,11253.0
40,9152.0,1321.0,1423.0,10449.0
41,4080.0,608.0,1759.0,5220.0
42,27845.0,3225.0,5764.0,8204.0
43,35243.0,2874.0,4523.0,12768.0
44,25080.0,2304.0,-0.0,3847.0
45,4968.0,368.0,3574.0,10021.0
46,10589.0,1024.0,2981.0,15137.0
47,3243.0,654.0,1001.0,1835.0
48,7012.0,1507.0,2129.0,10399.0
49,23435.0,1471.0,1509.0,7718.0
50,11198.0,1093.0,1427.0,11224.0
51,2889.0,410.0,1953.0,7137.0
52,4445.0,1034.0,2768.0,1289.0
53,23473.0,2279.0,1862.0,15683.0
54,10734.0,1722.0,2811.0,10602.0
55,27879.0,3731.0,2348.0,2570.0
56,13915.0,1545.0,2669.0,8764.0
57,21521.0,3778.0,2686.0,18677.0
58,5361.0,826.0,1345.0,6831.0
59,3569.0,226.0,2397.0,705.0
60,4903.0,940.0,942.0,5408.0
61,7384.0,1022.0,-0.0,4156.0
62,9622.0,1532.0,2728.0,14896.0
63,4533.0,576.0,382.0,10155.0
64,3559.0,929.0,2384.0,4591.0
65,6564.0,1019.0,2471.0,3045.0
66,8421.0,1500.0,1221.0,9908.0
67,17655.0,1242.0,2205.0,6115.0
68,4425.0,1145.0,1364.0,3185.0
69,3486.0,642.0,2043.0,6495.0
70,3271.0,529.0,2417.0,8751.0
71,2991.0,688.0,1238.0,4718.0
72,3960.0,749.0,1078.0,11112.0
73,5430.0,717.0,933.0,7745.0
74,6401.0,864.0,2657.0,12708.0
75,2546.0,453.0,1315.0,5130.0
76,5801.0,1085.0,2491.0,6549.0
77,7468.0,454.0,3289.0,20347.0
78,22400.0,2564.0,2607.0,11546.0
79,7948.0,1318.0,180.0,9864.0
80,6024.0,799.0,728.0,1773.0
81,13644.0,1338.0,1669.0,4154.0
82,2927.0,441.0,186.0,4944.0
83,7186.0,1125.0,2932.0,10040.0
84,2667.0,291.0,2756.0,13265.0
85,9706.0,953.0,1118.0,12968.0
86,4750.0,1067.0,1003.0,4375.0
87,4602.0,820.0,3409.0,9089.0
88,13547.0,1004.0,2563.0,1759.0
89,10201.0,1028.0,2021.0,8244.0
90,2501.0,586.0,2674.0,5382.0
91,5791.0,565.0,-0.0,3662.0
92,3689.0,1113.0,1121.0,4794.0
93,2692.0,1050.0,1104.0,9552.0
94,3817.0,447.0,2291.0,15330.0
95,87728.0,23767.0,5718.0,98654.0
96,32331.0,2342.0,2612.0,9377.0
97,31678.0,2248.0,6439.0,4726.0
98,24072.0,905.0,1998.0,12419.0
99,2642.0,586.0,3170.0,9598.0
100,4061.0,788.0,2262.0,4739.0
101,4612.0,370.0,3219.0,5600.0
102,14787.0,699.0,3170.0,8543.0
