,FL1-H,FL3-H,SSC-H,FSC-H
0,13741.0,1807.0,2178.0,10945.0
1,8108.0,230.0,1737.0,2677.0
2,3800.0,322.0,2440.0,3263.0
3,7043.0,1264.0,3535.0,6681.0
4,5769.0,1758.0,1919.0,5580.0
5,17804.0,1643.0,1382.0,716.0
6,5162.0,537.0,3474.0,5979.0
7,9654.0,620.0,3015.0,5827.0
8,9234.0,1063.0,2969.0,8235.0
9,5822.0,3332.0,4329.0,8367.0
10,2748.0,979.0,1781.0,3471.0
11,7696.0,854.0,3067.0,14112.0
12,18166.0,1576.0,2657.0,5466.0
13,5125.0,771.0,2515.0,6339.0
14,7613.0,822.0,2273.0,9252.0
15,39731.0,2338.0,3237.0,8488.0
16,6726.0,597.0,2138.0,11537.0
17,5560.0,927.0,2342.0,12065.0
18,12131.0,8037.0,2997.0,15952.0
19,3502.0,612.0,-0.0,9228.0
20,2736.0,812.0,1258.0,3193.0
21,7096.0,438.0,2175.0,6298.0
22,5934.0,995.0,2926.0,13143.0
23,6026.0,533.0,1931.0,5178.0
24,30561.0,1766.0,3257.0,17556.0
25,30713.0,2436.0,2555.0,11994.0
26,4465.0,825.0,1316.0,10910.0
27,6689.0,1317.0,2408.0,8762.0
28,5076.0,505.0,2501.0,5844.0
29,15388.0,2751.0,1463.0,14878.0
30,3844.0,211.0,2559.0,4725.0
31,16698.0,2468.0,2370.0,9137.0
32,6387.0,201.0,1848.0,1176.0
33,3538.0,910.0,1401.0,10807.0
34,26902.0,2994.0,2271.0,6524.0
35,5622.0,870.0,1121.0,12735.0
36,8245.0,1201.0,2519.0,8437.0
37,3379.0,781.0,2298.0,10801.0
38,6515.0,218.0,1927.0,1567.0
39,3626.0,1402.0,2589.0,9767.0
40,2711.0,482.0,359.0,4436.0
41,5023.0,346.0,3770.0,5466.0
42,5775.0,15.0,2506.0,10431.0
43,5173.0,855.0,1505.0,991.0
44,3796.0,655.0,1622.0,7393.0
45,2890.0,1125.0,2080.0,15778.0
46,8302.0,398.0,2474.0,5647.0
47,11308.0,1035.0,1147.0,4045.0
48,22768.0,1546.0,2983.0,20446.0
49,3644.0,876.0,2213.0,15146.0
50,3292.0,996.0,2320.0,14210.0
51,3849.0,1197.0,3562.0,6185.0
52,3872.0,685.0,4711.0,11654.0
53,5215.0,1014.0,2580.0,10534.0
54,6242.0,788.0,3698.0,5226.0
55,3334.0,1135.0,1137.0,1511.0
56,5992.0,575.0,2634.0,2474.0
57,9384.0,947.0,2263.0,6696.0
58,2543.0,349.0,4166.0,5042.0
59,5866.0,698.0,2197.0,14229.0
60,4234.0,1166.0,2121.0,5705.0
61,9354.0,834.0,3872.0,7306.0
62,34097.0,2414.0,921.0,7311.0
63,5111.0,177.0,3556.0,4733.0
64,8296.0,1334.0,235.0,66.0
65,3363.0,1642.0,1146.0,999.0
66,10065.0,400.0,1533.0,7465.0
67,6678.0,580.0,1583.0,6518.0
68,4602.0,730.0,2106.0,5815.0
69,4674.0,904.0,2126.0,6866.0
70,3651.0,386.0,873.0,5650.0
71,10605.0,1512.0,1423.0,10203.0
72,16899.0,900.0,10838.0,10660.0
73,23407.0,1715.0,1917.0,6710.0
74,3679.0,582.0,1188.0,5321.0
75,3716.0,646.0,2548.0,9821.0
76,6381.0,1194.0,808.0,12285.0
77,46455.0,18150.0,6519.0,53195.0
78,11474.0,818.0,2383.0,6427.0
79,22259.0,1192.0,715.0,6994.0
80,4070.0,504.0,1385.0,-0.0
81,104963.0,17882.0,27727.0,51372.0
82,49143.0,4104.0,3217.0,3565.0
83,6601.0,1057.0,1988.0,9554.0
84,2736.0,791.0,1626.0,4111.0
85,10373.0,1643.0,2342.0,7765.0
86,3406.0,948.0,1954.0,9905.0
87,4471.0,800.0,3771.0,7094.0
88,22057.0,1081.0,6162.0,2151.0
89,2980.0,988.0,2920.0,15116.0
90,5362.0,145.0,-0.0,-0.0
91,26423.0,1441.0,6220.0,19426.0
92,9514.0,931.0,1640.0,9877.0
93,19122.0,933.0,2255.0,10611.0
94,2967.0,868.0,1448.0,13463.0
95,5275.0,505.0,2831.0,7437.0
96,4618.0,1113.0,2326.0,6003.0
97,29378.0,2257.0,670.0,4397.0
98,4359.0,896.0,2826.0,1478.0
99,4611.0,597.0,1139.0,7392.0
100,16938.0,1838.0,2161.0,13441.0
101,4784.0,997.0,3775.0,6649.0
102,7265.0,342.0,3821.0,8400.0
103,6860.0,1226.0,260.0,2923.0
104,23263.0,1020.0,2860.0,9129.0
105,3676.0,130.0,2436.0,9345.0
106,17689.0,1711.0,2990.0,10604.0
107,5978.0,1003.0,1043.0,5919.0
108,3037.0,540.0,860.0,5071.0
109,4162.0,625.0,2373.0,8919.0
110,41686.0,3139.0,2765.0,7264.0
111,3447.0,1028.0,232.0,4862.0
112,3980.0,295.0,3471.0,6580.0
113,3342.0,383.0,1835.0,6045.0
114,4069.0,330.0,1868.0,-0.0
115,30317.0,2524.0,3786.0,8772.0
116,4482.0,207.0,2763.0,13629.0
117,3738.0,914.0,1977.0,13204.0
