,FL1-H,FL3-H,SSC-H,FSC-H
0,16748.0,1484.0,1272.0,9308.0
1,4751.0,303.0,1590.0,6264.0
2,3020.0,1170.0,1339.0,689.0
3,35178.0,1672.0,2296.0,9618.0
4,10895.0,727.0,2015.0,4541.0
5,5045.0,500.0,2837.0,10862.0
6,11003.0,945.0,2009.0,14797.0
7,21255.0,598.0,1102.0,7145.0
8,8969.0,746.0,4610.0,4614.0
9,39455.0,2790.0,1771.0,8128.0
10,7191.0,2917.0,4329.0,7382.0
11,3911.0,2207.0,1550.0,12235.0
12,5057.0,690.0,2065.0,5822.0
13,46416.0,5421.0,9323.0,12960.0
14,9619.0,720.0,1634.0,2601.0
15,5324.0,1299.0,3769.0,8086.0
16,6122.0,1396.0,2694.0,9573.0
17,4528.0,840.0,1253.0,7331.0
18,6438.0,255.0,2588.0,7829.0
19,12411.0,764.0,2180.0,6977.0
20,4429.0,565.0,2879.0,9316.0
21,55435.0,3097.0,2493.0,11572.0
22,2523.0,1099.0,2974.0,7245.0
23,10058.0,1988.0,3592.0,10016.0
24,6220.0,889.0,2210.0,6855.0
25,3784.0,1106.0,139.0,5341.0
26,11088.0,620.0,1537.0,8488.0
27,4802.0,1902.0,1233.0,9792.0
28,7578.0,1953.0,1325.0,8615.0
29,3534.0,1238.0,1076.0,7759.0
30,11721.0,600.0,2263.0,14831.0
31,23253.0,1885.0,3661.0,12683.0
32,7546.0,758.0,3061.0,1429.0
33,3788.0,762.0,1720.0,3980.0
34,10049.0,1242.0,1691.0,7319.0
35,22942.0,2761.0,1872.0,7056.0
36,15519.0,812.0,2027.0,3929.0
37,3694.0,1162.0,1173.0,6021.0
38,3631.0,67.0,1552.0,8399.0
39,16816.0,660.0,2827.0,6996.0
40,4408.0,605.0,1151.0,1964.0
41,3366.0,649.0,4135.0,3731.0
42,10255.0,839.0,1102.0,5189.0
43,10232.0,1099.0,2294.0,12675.0
44,20623.0,1769.0,1952.0,7645.0
45,9416.0,369.0,2500.0,12459.0
46,15492.0,1352.0,2335.0,8123.0
47,18374.0,4499.0,5508.0,5228.0
48,3847.0,336.0,476.0,8761.0
49,2962.0,963.0,441.0,2736.0
50,5823.0,667.0,1443.0,967.0
51,11873.0,969.0,3456.0,10679.0
52,6818.0,1275.0,3494.0,10983.0
53,16965.0,1122.0,1140.0,13725.0
54,24324.0,1819.0,6295.0,11690.0
55,8586.0,645.0,1975.0,19979.0
56,3405.0,409.0,1924.0,10227.0
57,7796.0,914.0,2609.0,6141.0
58,16846.0,1931.0,1565.0,10405.0
59,9051.0,1637.0,2125.0,6290.0
60,16430.0,2409.0,1053.0,3664.0
61,14192.0,1500.0,991.0,9039.0
62,15925.0,1850.0,2540.0,11032.0
63,3342.0,1553.0,2077.0,358.0
64,2839.0,626.0,1567.0,5674.0
65,5056.0,849.0,3203.0,2348.0
66,5190.0,890.0,2550.0,6078.0
67,7278.0,422.0,1054.0,4132.0
68,6619.0,618.0,-0.0,-0.0
69,6252.0,1005.0,2021.0,9086.0
70,3162.0,396.0,2416.0,8491.0
71,17593.0,1846.0,1712.0,11728.0
72,6865.0,353.0,2446.0,5552.0
73,23493.0,1993.0,3254.0,8618.0
74,9844.0,811.0,2205.0,9618.0
75,28848.0,3278.0,3336.0,17586.0
76,4944.0,1079.0,1398.0,3320.0
77,8913.0,342.0,673.0,4711.0
78,28323.0,3268.0,4342.0,7708.0
79,17783.0,2116.0,735.0,8538.0
80,9593.0,2472.0,971.0,17572.0
81,31579.0,10033.0,8725.0,24385.0
82,7074.0,1672.0,3744.0,11184.0
83,7684.0,1001.0,629.0,4493.0
84,6135.0,346.0,2396.0,12850.0
85,9208.0,553.0,820.0,9171.0
86,6549.0,582.0,401.0,7541.0
87,14131.0,1295.0,1517.0,9551.0
88,21316.0,1191.0,2531.0,16265.0
89,10491.0,2938.0,2810.0,8165.0
90,5268.0,617.0,1279.0,12101.0
91,18237.0,2277.0,1235.0,2966.0
92,7400.0,1012.0,2034.0,3331.0
93,6041.0,206.0,612.0,9495.0
94,5544.0,1321.0,2229.0,14010.0
95,27152.0,5743.0,12136.0,6388.0
96,26664.0,2274.0,4442.0,2479.0
97,3780.0,830.0,3567.0,6292.0
98,7347.0,832.0,1842.0,9793.0
99,25830.0,2033.0,3021.0,8620.0
100,6525.0,620.0,2870.0,5385.0
101,5041.0,929.0,1791.0,5909.0
102,24023.0,2080.0,1849.0,11844.0
103,22795.0,2621.0,3052.0,5067.0
104,4181.0,500.0,1645.0,3053.0
105,3976.0,698.0,1547.0,10017.0
106,6709.0,1271.0,2565.0,4399.0
107,26127.0,2382.0,3777.0,7475.0
108,9527.0,1497.0,1388.0,5322.0
109,5655.0,939.0,1940.0,4860.0
110,10330.0,517.0,2212.0,8708.0
111,45467.0,3944.0,15678.0,19896.0
112,4646.0,758.0,1436.0,5329.0
113,17228.0,4732.0,4117.0,20555.0
114,11158.0,766.0,1657.0,4758.0
115,12031.0,1255.0,3758.0,10800.0
116,5986.0,3599.0,4899.0,7959.0
117,8075.0,986.0,1128.0,11594.0
118,29590.0,2825.0,2576.0,4051.0
119,4165.0,991.0,641.0,2755.0
120,9421.0,766.0,12245.0,3841.0
121,260276.0,141132.0,80344.0,212863.0
122,26294.0,1639.0,2931.0,9467.0
123,3563.0,927.0,1448.0,2949.0
124,11992.0,4713.0,2787.0,7320.0
125,2753.0,249.0,2003.0,11120.0
126,29920.0,6897.0,3861.0,7860.0
127,8465.0,793.0,1806.0,9439.0
128,27188.0,3431.0,1481.0,17647.0
129,7512.0,1081.0,1846.0,11374.0
130,13597.0,1756.0,1462.0,7274.0
131,10897.0,776.0,2174.0,3951.0
132,16163.0,1518.0,3363.0,5766.0
133,3806.0,773.0,304.0,5149.0
134,17631.0,2593.0,5654.0,11356.0
135,34955.0,3417.0,1611.0,7818.0
136,10861.0,569.0,-0.0,8972.0
137,3673.0,831.0,1866.0,5340.0
138,17121.0,1194.0,2764.0,7301.0
139,5492.0,663.0,2523.0,16064.0
140,15814.0,1180.0,2235.0,12753.0
141,3851.0,1959.0,371.0,3313.0
142,5830.0,527.0,2152.0,2794.0
143,19797.0,1513.0,2743.0,11127.0
144,2724.0,485.0,901.0,5018.0
145,6001.0,1454.0,2520.0,10504.0
146,6633.0,816.0,2781.0,1649.0
147,19968.0,1861.0,2530.0,11045.0
148,3066.0,541.0,1185.0,3647.0
149,15637.0,1531.0,6892.0,6764.0
150,16069.0,2063.0,2023.0,10505.0
151,20521.0,1626.0,5555.0,15097.0
152,8389.0,422.0,3197.0,10162.0
153,10494.0,292.0,4414.0,10364.0
154,4799.0,531.0,2935.0,10842.0
155,6175.0,645.0,1693.0,6977.0
156,2817.0,733.0,1098.0,5364.0
157,15296.0,2398.0,6835.0,7272.0
158,8121.0,1586.0,1885.0,6582.0
159,4132.0,417.0,732.0,13330.0
160,11825.0,883.0,4349.0,16112.0
161,23845.0,6557.0,4625.0,5561.0
162,5474.0,995.0,1654.0,9771.0
163,19974.0,2076.0,1378.0,16363.0
164,18397.0,1769.0,2653.0,10506.0
165,7666.0,723.0,2921.0,9480.0
166,4851.0,416.0,3199.0,4628.0
167,23665.0,1840.0,6553.0,8349.0
168,10975.0,3673.0,1670.0,10498.0
169,10870.0,1122.0,1789.0,3069.0
170,28217.0,3875.0,6802.0,9756.0
171,25421.0,2403.0,4720.0,13525.0
172,6787.0,607.0,3811.0,-0.0
173,9140.0,1600.0,3016.0,8717.0
174,8586.0,1451.0,1404.0,195.0
175,17852.0,2084.0,457.0,10515.0
176,5067.0,723.0,2648.0,1238.0
177,3813.0,1319.0,945.0,7540.0
178,31248.0,3722.0,2655.0,8527.0
179,18663.0,1323.0,1949.0,10221.0
180,16406.0,958.0,2903.0,14933.0
181,19123.0,2175.0,1949.0,5191.0
182,11245.0,966.0,2251.0,10236.0
183,13216.0,1454.0,1311.0,-0.0
184,4800.0,29.0,168.0,8048.0
185,8851.0,791.0,1532.0,8810.0
186,19675.0,1616.0,1491.0,20583.0
187,12724.0,727.0,1210.0,5613.0
188,18101.0,1408.0,2226.0,416.0
189,12521.0,1118.0,4575.0,6619.0
190,5644.0,537.0,1665.0,15145.0
191,22639.0,1911.0,2616.0,13948.0
192,13982.0,1246.0,1943.0,10829.0
193,14498.0,770.0,2177.0,6550.0
194,10551.0,976.0,2638.0,6668.0
195,7884.0,1062.0,2716.0,7163.0
196,57935.0,8365.0,21060.0,25265.0
197,2556.0,1056.0,2049.0,11425.0
198,13341.0,786.0,4669.0,15897.0
199,14121.0,1330.0,1971.0,11085.0
200,5546.0,978.0,2917.0,5385.0
201,14722.0,2783.0,1824.0,4594.0
202,5082.0,590.0,1717.0,6479.0
203,12112.0,1588.0,3094.0,8965.0
204,34820.0,2378.0,1955.0,7291.0
205,14682.0,2208.0,2681.0,7106.0
206,4685.0,343.0,1498.0,5197.0
207,46644.0,2934.0,2775.0,12238.0
208,4536.0,744.0,2097.0,2623.0
209,23900.0,2225.0,1985.0,9316.0
210,14197.0,1058.0,1657.0,9483.0
211,4449.0,761.0,2348.0,9223.0
212,13904.0,1463.0,2267.0,11897.0
213,13052.0,1546.0,4727.0,5324.0
214,4224.0,1194.0,952.0,3489.0
215,6147.0,615.0,2270.0,6377.0
216,4146.0,270.0,-0.0,7999.0
217,11112.0,3049.0,959.0,4421.0
218,17000.0,737.0,1947.0,5830.0
219,3064.0,268.0,1789.0,13937.0
220,3730.0,991.0,1619.0,7305.0
221,20527.0,1943.0,2885.0,6854.0
222,16445.0,1904.0,3284.0,3695.0
223,31326.0,1759.0,870.0,8937.0
224,18622.0,1681.0,1811.0,23707.0
225,8538.0,1889.0,994.0,12428.0
226,9342.0,4179.0,2615.0,8083.0
227,7703.0,1262.0,179.0,4558.0
228,5667.0,2943.0,1577.0,10916.0
