,FL1-H,FL3-H,SSC-H,FSC-H
0,5419.0,649.0,1741.0,4351.0
1,9707.0,930.0,2152.0,14026.0
2,4952.0,349.0,2261.0,11926.0
3,4504.0,1281.0,2776.0,4332.0
4,17630.0,1097.0,2112.0,6501.0
5,27315.0,4491.0,6173.0,14961.0
6,4762.0,841.0,2141.0,11110.0
7,3666.0,1180.0,4077.0,11193.0
8,34990.0,21028.0,5034.0,25067.0
9,2946.0,1405.0,446.0,17544.0
10,7503.0,1565.0,2812.0,11924.0
11,22001.0,7186.0,9744.0,32005.0
12,5675.0,1157.0,2274.0,11946.0
13,77514.0,8436.0,96004.0,74878.0
14,2569.0,501.0,730.0,5818.0
15,15464.0,978.0,2072.0,12766.0
16,4417.0,880.0,1533.0,2596.0
17,5330.0,449.0,1149.0,4714.0
18,7449.0,2262.0,-0.0,3586.0
19,3009.0,156.0,644.0,6642.0
20,5438.0,779.0,1398.0,7839.0
21,13355.0,2153.0,907.0,14786.0
22,43247.0,6046.0,7932.0,21404.0
23,3013.0,681.0,2231.0,7811.0
24,13426.0,704.0,1041.0,14512.0
25,3981.0,612.0,2097.0,9085.0
26,46508.0,6094.0,13689.0,3739.0
27,3378.0,1241.0,1376.0,7104.0
28,7408.0,1218.0,1627.0,12688.0
29,4386.0,998.0,1560.0,5949.0
30,25759.0,3084.0,2454.0,11123.0
31,15772.0,7680.0,10925.0,27610.0
32,5073.0,392.0,2849.0,6493.0
33,18906.0,632.0,2519.0,9975.0
34,19188.0,2468.0,4138.0,12581.0
35,7329.0,787.0,1116.0,4474.0
36,10328.0,564.0,3496.0,8222.0
37,20412.0,1821.0,3970.0,11749.0
38,5605.0,1009.0,2999.0,16986.0
39,4776.0,424.0,2333.0,10761.0
40,4664.0,696.0,1700.0,4282.0
41,3080.0,759.0,2457.0,5689.0
42,7000.0,911.0,2232.0,8579.0
43,30309.0,2192.0,1758.0,7563.0
44,64136.0,6239.0,2784.0,9021.0
45,29330.0,8608.0,2841.0,8111.0
46,7479.0,616.0,3166.0,10931.0
47,35834.0,2752.0,4009.0,13526.0
48,4258.0,793.0,1353.0,2752.0
49,3270.0,286.0,3590.0,6744.0
50,4022.0,1113.0,1781.0,13310.0
51,6088.0,1200.0,1849.0,14019.0
52,3490.0,301.0,2430.0,7252.0
53,21470.0,2147.0,2773.0,6586.0
54,4533.0,1237.0,3018.0,10919.0
55,5743.0,776.0,2037.0,4150.0
56,8555.0,1673.0,2109.0,6777.0
57,6430.0,523.0,1647.0,9101.0
58,14006.0,5902.0,73392.0,84510.0
59,3588.0,673.0,2223.0,8803.0
60,4181.0,565.0,2576.0,6022.0
61,5501.0,810.0,1648.0,8567.0
62,13636.0,4962.0,1680.0,12850.0
63,3836.0,672.0,4946.0,7032.0
64,4892.0,1491.0,669.0,17031.0
65,5550.0,753.0,1263.0,2072.0
66,6546.0,506.0,2550.0,11271.0
67,10311.0,1412.0,1965.0,8636.0
