,FL1-H,FL3-H,SSC-H,FSC-H
0,2946.0,1501.0,2544.0,5120.0
1,13342.0,1056.0,1739.0,4143.0
2,74330.0,10861.0,18982.0,16280.0
3,7766.0,1052.0,3389.0,16970.0
4,3631.0,842.0,3191.0,14000.0
5,6008.0,604.0,1506.0,6283.0
6,4144.0,1327.0,291.0,5960.0
7,18714.0,941.0,3766.0,9613.0
8,3593.0,1143.0,1828.0,5226.0
9,5664.0,956.0,2469.0,8017.0
10,4251.0,617.0,1726.0,11435.0
11,28188.0,2068.0,2519.0,7041.0
12,10255.0,2057.0,2257.0,3680.0
13,6876.0,497.0,481.0,8125.0
14,7697.0,1513.0,709.0,1722.0
15,41644.0,4937.0,2236.0,14966.0
16,4433.0,973.0,1368.0,7795.0
17,3419.0,1182.0,2002.0,7727.0
18,20044.0,2100.0,2194.0,7165.0
19,10392.0,2204.0,1840.0,-0.0
20,4062.0,448.0,791.0,6946.0
21,43747.0,4237.0,11453.0,12907.0
22,5140.0,838.0,2072.0,9312.0
23,8633.0,562.0,2128.0,5870.0
24,13765.0,971.0,4350.0,11256.0
25,5328.0,476.0,957.0,6313.0
26,7389.0,729.0,912.0,9402.0
27,3989.0,1354.0,1491.0,7534.0
28,4520.0,860.0,1070.0,7057.0
29,26093.0,2416.0,1545.0,9274.0
30,15137.0,1140.0,902.0,3139.0
31,5326.0,1125.0,2374.0,11574.0
32,3789.0,626.0,3020.0,7787.0
33,33409.0,2538.0,6138.0,11307.0
34,21759.0,1287.0,1499.0,12230.0
35,45587.0,3218.0,1295.0,221.0
36,3065.0,841.0,4436.0,4330.0
37,24045.0,2880.0,3799.0,8724.0
38,6515.0,775.0,3316.0,8328.0
39,3079.0,429.0,100.0,5452.0
40,152191.0,52963.0,156548.0,70937.0
41,40444.0,4044.0,2769.0,8965.0
42,10899.0,2218.0,1423.0,10006.0
43,2957.0,532.0,1255.0,9178.0
44,23698.0,2638.0,2761.0,12331.0
45,4031.0,743.0,1044.0,1252.0
46,6700.0,687.0,1913.0,8733.0
47,16980.0,3774.0,5928.0,6119.0
48,6232.0,402.0,1796.0,12963.0
49,18023.0,1659.0,4143.0,6895.0
50,6090.0,593.0,1176.0,9529.0
51,6400.0,1303.0,3553.0,5269.0
52,2931.0,683.0,2188.0,10920.0
53,5568.0,972.0,1879.0,8500.0
54,11963.0,1233.0,2542.0,11804.0
55,9989.0,957.0,642.0,-0.0
56,4925.0,870.0,2464.0,7421.0
57,7022.0,789.0,2485.0,7968.0
58,9653.0,871.0,1410.0,3857.0
59,4621.0,476.0,2760.0,920.0
60,4451.0,98.0,1334.0,7740.0
61,5166.0,742.0,1853.0,966.0
62,25258.0,1992.0,4525.0,14645.0
63,3526.0,1047.0,1340.0,6609.0
64,5156.0,585.0,3126.0,13154.0
65,4759.0,752.0,1491.0,10946.0
66,70278.0,8909.0,8444.0,24254.0
67,9394.0,2116.0,1373.0,9583.0
68,43323.0,2467.0,4007.0,11898.0
69,5822.0,1472.0,2189.0,8939.0
70,5964.0,1483.0,872.0,4310.0
71,4174.0,861.0,2110.0,6059.0
72,6874.0,537.0,9173.0,11882.0
73,27206.0,2012.0,1815.0,6537.0
74,6371.0,1711.0,4379.0,5696.0
75,3377.0,190.0,367.0,-0.0
76,4353.0,554.0,2088.0,2686.0
77,9386.0,1789.0,1212.0,8053.0
78,9641.0,809.0,1728.0,6987.0
79,3733.0,246.0,1672.0,4756.0
80,2691.0,580.0,664.0,4031.0
81,21161.0,1581.0,5337.0,9367.0
82,3152.0,948.0,2206.0,12043.0
83,12616.0,1149.0,1279.0,14320.0
84,5192.0,855.0,2681.0,7475.0
85,2488.0,521.0,2457.0,8647.0
86,5757.0,710.0,1160.0,3427.0
87,4315.0,874.0,2300.0,11431.0
88,2639.0,1005.0,1427.0,5398.0
89,9806.0,2046.0,1164.0,10897.0
90,3165.0,893.0,831.0,10572.0
91,12895.0,1664.0,1479.0,2675.0
92,47869.0,3247.0,4583.0,13844.0
93,22637.0,1882.0,3068.0,11726.0
94,4513.0,1132.0,1745.0,11281.0
95,7707.0,1459.0,2914.0,15302.0
96,5379.0,775.0,3194.0,8473.0
97,15409.0,1387.0,188.0,16988.0
98,6932.0,726.0,2465.0,10097.0
99,46070.0,4311.0,2125.0,13352.0
100,12884.0,1201.0,1861.0,11071.0
101,16679.0,1598.0,1420.0,6932.0
102,4527.0,803.0,1319.0,13555.0
103,9332.0,1468.0,693.0,4124.0
104,15241.0,918.0,2532.0,9345.0
105,63535.0,5089.0,20298.0,14078.0
106,13220.0,1951.0,3147.0,8321.0
107,10442.0,2375.0,2555.0,11861.0
108,4502.0,604.0,3675.0,8920.0
109,22599.0,2356.0,1533.0,1703.0
110,4682.0,497.0,2567.0,10695.0
111,19281.0,1847.0,1491.0,7598.0
112,9764.0,1055.0,508.0,4631.0
113,4480.0,420.0,3021.0,4516.0
114,3478.0,510.0,2448.0,9700.0
115,4620.0,985.0,2217.0,5495.0
116,9147.0,1233.0,2516.0,9788.0
117,2531.0,411.0,1739.0,4156.0
118,15855.0,1558.0,2601.0,10974.0
119,4639.0,461.0,3560.0,5899.0
120,4905.0,345.0,1683.0,7001.0
121,9137.0,1009.0,3285.0,8646.0
122,37279.0,1368.0,4269.0,8992.0
123,4919.0,873.0,2547.0,13163.0
124,31867.0,3473.0,11963.0,39813.0
125,27531.0,2099.0,1599.0,11547.0
126,2639.0,986.0,12174.0,5806.0
127,3255.0,565.0,2646.0,5411.0
128,38655.0,3243.0,7760.0,21533.0
129,6657.0,1994.0,1234.0,8039.0
130,4889.0,1125.0,1421.0,1997.0
131,9814.0,728.0,998.0,7670.0
132,5911.0,448.0,3427.0,12705.0
133,9560.0,587.0,912.0,11676.0
134,10699.0,1665.0,1764.0,4237.0
135,4825.0,1417.0,2534.0,8950.0
136,3117.0,428.0,2737.0,7216.0
137,5367.0,1405.0,974.0,6511.0
138,6334.0,674.0,3581.0,4832.0
139,4538.0,342.0,1993.0,5331.0
140,17764.0,1810.0,1272.0,1508.0
141,7907.0,1131.0,2392.0,15487.0
142,6928.0,752.0,809.0,4230.0
143,5679.0,1273.0,2662.0,5870.0
144,12790.0,1751.0,3120.0,5551.0
145,5925.0,1012.0,218304.0,172235.0
146,4366.0,710.0,1984.0,4555.0
147,4681.0,816.0,2185.0,4160.0
148,4134.0,1000.0,3093.0,3948.0
149,2633.0,1593.0,3003.0,5185.0
150,41177.0,3467.0,1720.0,22939.0
151,5525.0,781.0,1558.0,13774.0
152,3938.0,1183.0,790.0,5712.0
153,3536.0,591.0,1332.0,9095.0
154,20392.0,2260.0,2534.0,11977.0
155,5316.0,1067.0,2969.0,17534.0
156,3963.0,631.0,3523.0,9599.0
157,5487.0,2039.0,1845.0,4590.0
158,3300.0,1124.0,186.0,8378.0
159,23061.0,3235.0,2852.0,14428.0
160,3578.0,844.0,2611.0,13749.0
161,16268.0,2551.0,1603.0,5815.0
162,2465.0,1009.0,1127.0,12307.0
163,7216.0,796.0,3169.0,8376.0
164,2894.0,689.0,1669.0,1130.0
165,6456.0,615.0,1462.0,12677.0
166,7884.0,726.0,1561.0,2229.0
167,24329.0,2595.0,1545.0,12372.0
168,26750.0,2238.0,1656.0,5971.0
169,2589.0,518.0,5.0,7491.0
170,3832.0,40.0,-0.0,2801.0
171,4637.0,535.0,3878.0,11674.0
172,3190.0,1887.0,1115.0,7199.0
173,4931.0,702.0,1466.0,9804.0
174,4590.0,946.0,2331.0,8628.0
175,11148.0,1128.0,1007.0,8947.0
176,5338.0,1026.0,2076.0,8181.0
177,23382.0,1608.0,1816.0,9033.0
178,7953.0,1366.0,2393.0,10574.0
179,14236.0,588.0,1320.0,9441.0
180,3298.0,817.0,1212.0,8777.0
181,7359.0,870.0,66.0,5312.0
182,27273.0,2570.0,4087.0,13804.0
183,8965.0,1390.0,2861.0,12232.0
184,7657.0,1395.0,850.0,8388.0
185,4181.0,342.0,2799.0,8401.0
186,8926.0,644.0,2872.0,13019.0
187,3777.0,1028.0,1677.0,5944.0
188,3112.0,995.0,838.0,5954.0
189,5016.0,752.0,2244.0,6073.0
190,53414.0,5075.0,12530.0,11732.0
191,23629.0,3731.0,2734.0,11960.0
192,7386.0,608.0,743.0,3488.0
193,4336.0,245.0,-0.0,4859.0
194,6460.0,843.0,257.0,1348.0
195,7992.0,833.0,1335.0,8994.0
196,6078.0,573.0,1664.0,9601.0
197,2510.0,475.0,1030.0,887.0
198,27855.0,3625.0,2117.0,10621.0
199,15291.0,2644.0,1263.0,7897.0
200,38446.0,2956.0,1641.0,7651.0
201,17664.0,1711.0,2170.0,13370.0
202,5694.0,1061.0,1542.0,5639.0
203,4674.0,215.0,1289.0,10909.0
204,3380.0,562.0,2015.0,10357.0
205,24341.0,2014.0,3247.0,9183.0
206,35131.0,3920.0,19347.0,27200.0
207,10213.0,942.0,2761.0,10064.0
208,16297.0,1467.0,2202.0,4699.0
209,7438.0,853.0,3437.0,8750.0
210,18331.0,2066.0,21250.0,9769.0
211,19750.0,2489.0,2289.0,6223.0
212,3128.0,898.0,1770.0,14030.0
213,6897.0,812.0,9715.0,4905.0
214,3787.0,766.0,1377.0,5203.0
215,6402.0,937.0,59.0,7001.0
216,2588.0,513.0,-0.0,1403.0
217,2638.0,890.0,2873.0,6166.0
218,5958.0,174.0,1980.0,6185.0
219,9843.0,1199.0,16855.0,8175.0
220,6086.0,788.0,1854.0,5608.0
221,2861.0,241.0,917.0,7615.0
222,3372.0,483.0,2431.0,344.0
223,28999.0,6962.0,28349.0,29040.0
224,4678.0,1015.0,1969.0,8588.0
225,15963.0,1341.0,1849.0,5309.0
226,3661.0,479.0,374.0,11216.0
227,7366.0,573.0,2457.0,9859.0
228,30213.0,4138.0,2531.0,7778.0
229,4705.0,848.0,2551.0,7456.0
230,5511.0,410.0,2456.0,3607.0
231,5949.0,1017.0,2269.0,2216.0
232,2699.0,671.0,1479.0,1582.0
233,22154.0,2576.0,2509.0,9798.0
234,6682.0,902.0,1931.0,10215.0
235,3252.0,553.0,3531.0,12974.0
236,6752.0,522.0,2839.0,7779.0
237,20411.0,2019.0,4833.0,11778.0
238,3962.0,1147.0,1731.0,6747.0
239,6811.0,838.0,2507.0,12816.0
240,4004.0,675.0,2072.0,5344.0
241,4581.0,74.0,1340.0,9347.0
242,4216.0,681.0,4130.0,2921.0
243,3697.0,1233.0,1688.0,4529.0
244,14122.0,737.0,1594.0,13264.0
245,6829.0,953.0,2083.0,10803.0
246,2985.0,71.0,-0.0,5029.0
247,5190.0,375.0,2823.0,5143.0
248,7462.0,1178.0,4711.0,23197.0
249,4508.0,772.0,1212.0,11089.0
250,3118.0,961.0,1270.0,7062.0
251,3732.0,928.0,1701.0,2922.0
252,4192.0,1029.0,3035.0,5669.0
253,8376.0,1634.0,1741.0,4713.0
254,2603.0,168.0,370.0,6311.0
255,6183.0,557.0,1261.0,3558.0
256,11124.0,1064.0,820.0,2195.0
257,5767.0,1536.0,430.0,9127.0
258,15218.0,817.0,2059.0,13800.0
259,4590.0,1035.0,2014.0,3641.0
260,13892.0,981.0,2144.0,8166.0
261,3830.0,530.0,2126.0,2834.0
262,6959.0,1208.0,882.0,8194.0
263,6991.0,776.0,419.0,2586.0
264,3537.0,532.0,1460.0,13925.0
265,6575.0,770.0,2104.0,9661.0
266,7561.0,878.0,195.0,5194.0
267,42713.0,5812.0,1556.0,8619.0
