,FL1-H,FL3-H,SSC-H,FSC-H
0,5238.0,944.0,1738.0,5347.0
1,7423.0,2988.0,2768.0,7100.0
2,26540.0,2134.0,1694.0,5258.0
3,5024.0,1124.0,509.0,3240.0
4,16815.0,1668.0,1955.0,11419.0
5,7237.0,503.0,1964.0,3330.0
6,17159.0,2061.0,1654.0,11149.0
7,7914.0,2579.0,4532.0,9103.0
8,13281.0,1094.0,-0.0,1688.0
9,3879.0,1503.0,1831.0,604.0
10,19729.0,2598.0,2454.0,10845.0
11,8088.0,1245.0,2978.0,1564.0
12,6864.0,1022.0,2345.0,8394.0
13,5216.0,825.0,1515.0,14042.0
14,8799.0,818.0,2926.0,11059.0
15,44838.0,3761.0,3695.0,10146.0
16,16183.0,458.0,1751.0,7064.0
17,3636.0,1102.0,1138.0,8882.0
18,4410.0,787.0,248.0,14730.0
19,9078.0,598.0,3318.0,9997.0
20,4215.0,107.0,1792.0,4027.0
21,3127.0,525.0,1195.0,10601.0
22,8441.0,911.0,1483.0,2264.0
23,15112.0,1718.0,2703.0,6707.0
24,6602.0,316.0,2600.0,12596.0
25,18130.0,1784.0,11717.0,3760.0
26,3034.0,564.0,2303.0,8085.0
27,55073.0,3438.0,3625.0,18742.0
28,47032.0,3769.0,9879.0,19370.0
29,14308.0,1776.0,3332.0,15579.0
30,3009.0,472.0,-0.0,-0.0
31,22553.0,1563.0,1779.0,12151.0
32,4809.0,284.0,3613.0,8610.0
33,10952.0,1672.0,3547.0,8558.0
34,49040.0,5275.0,3451.0,10426.0
35,2603.0,388.0,145.0,1315.0
36,5124.0,996.0,2023.0,6237.0
37,38863.0,3241.0,706.0,9643.0
38,25417.0,2739.0,2169.0,11280.0
39,4735.0,978.0,1531.0,5847.0
40,7683.0,660.0,1780.0,10738.0
41,6082.0,1327.0,2607.0,13765.0
42,28458.0,3002.0,3798.0,13152.0
43,21692.0,1863.0,2141.0,4584.0
44,45301.0,3501.0,4357.0,15704.0
45,13233.0,1476.0,3081.0,8904.0
46,20328.0,1835.0,2825.0,7631.0
47,41532.0,1677.0,2979.0,9128.0
48,4693.0,439.0,1648.0,8903.0
49,5168.0,1310.0,1191.0,6202.0
50,8621.0,982.0,1196.0,157.0
51,6352.0,549.0,910.0,7275.0
52,7770.0,259.0,4849.0,9369.0
53,8476.0,792.0,2355.0,10799.0
54,3356.0,417.0,1294.0,3284.0
55,20324.0,2261.0,1994.0,6078.0
56,7865.0,1431.0,2172.0,2383.0
57,5095.0,771.0,1424.0,11111.0
58,4799.0,740.0,946.0,2367.0
59,7513.0,1239.0,1184.0,7300.0
60,15159.0,1787.0,1111.0,8681.0
61,3601.0,791.0,1779.0,6608.0
62,17356.0,1830.0,2658.0,12430.0
63,13452.0,742.0,1584.0,12450.0
64,6662.0,1120.0,1508.0,9552.0
65,4661.0,1173.0,4590.0,8170.0
66,81578.0,6173.0,9943.0,8100.0
67,6309.0,493.0,1793.0,2036.0
68,2528.0,40.0,502.0,8117.0
69,15500.0,1077.0,232.0,6375.0
70,12321.0,1455.0,2291.0,11240.0
71,67462.0,5318.0,12697.0,16966.0
72,9309.0,616.0,4218.0,5793.0
73,323226.0,76057.0,17344.0,295873.0
74,10449.0,1310.0,1422.0,5958.0
75,44592.0,2253.0,2328.0,15052.0
76,5261.0,487.0,2430.0,6821.0
77,3936.0,1904.0,4309.0,7988.0
78,10588.0,748.0,1026.0,12097.0
79,31305.0,3479.0,2009.0,6343.0
80,2711.0,611.0,1408.0,10388.0
81,69118.0,5302.0,19161.0,45768.0
82,22187.0,2455.0,1604.0,7260.0
83,46966.0,4387.0,20359.0,48487.0
84,6736.0,697.0,2286.0,8392.0
85,9408.0,1135.0,2576.0,-0.0
86,6723.0,615.0,1906.0,10245.0
87,3114.0,70.0,128.0,5091.0
88,33036.0,2259.0,2950.0,20476.0
89,7314.0,655.0,2739.0,13535.0
90,7820.0,1300.0,2156.0,6602.0
91,3871.0,162.0,1719.0,10888.0
92,57655.0,3953.0,1741.0,18390.0
93,23876.0,1221.0,1618.0,8582.0
94,5680.0,594.0,2513.0,5959.0
95,34100.0,2336.0,3090.0,5294.0
96,3378.0,1082.0,81686.0,301915.0
97,7815.0,1590.0,1520.0,4076.0
98,4572.0,697.0,2013.0,9290.0
99,67148.0,4312.0,11719.0,24656.0
100,8965.0,1695.0,2209.0,18510.0
101,8221.0,771.0,630.0,5338.0
102,2564.0,545.0,1631.0,12424.0
103,9675.0,1371.0,1836.0,10602.0
104,4207.0,2473.0,406624.0,423725.0
105,3140.0,141.0,878.0,8420.0
106,5613.0,231.0,1660.0,2807.0
107,23387.0,2193.0,3947.0,6895.0
108,9620.0,800.0,2587.0,12467.0
109,3548.0,394.0,1230.0,1015.0
110,3344.0,740.0,426.0,10934.0
111,148773.0,12486.0,7427.0,55900.0
112,6429.0,827.0,2473.0,6407.0
113,3819.0,896.0,2343.0,9271.0
114,4022.0,673.0,1581.0,8814.0
115,3843.0,708.0,3108.0,7651.0
116,5753.0,525.0,2070.0,4123.0
117,23764.0,1837.0,2627.0,13055.0
118,3846.0,578.0,1977.0,11493.0
119,36093.0,17204.0,2816.0,35420.0
120,11164.0,1238.0,2804.0,4112.0
121,8446.0,1362.0,2527.0,4727.0
122,4387.0,299.0,1519.0,1806.0
123,4393.0,561.0,2877.0,9958.0
124,6831.0,720.0,1488.0,6449.0
125,7023.0,1197.0,2702.0,7802.0
