,FL1-H,FL3-H,SSC-H,FSC-H
0,31698.0,1801.0,3242.0,11141.0
1,23767.0,1828.0,3257.0,12204.0
2,17132.0,1417.0,1281.0,5512.0
3,3251.0,413.0,2329.0,4761.0
4,4798.0,35.0,1806.0,9506.0
5,7495.0,135.0,1938.0,5932.0
6,4193.0,254.0,59.0,7369.0
7,2540.0,610.0,2261.0,5540.0
8,8720.0,1299.0,2432.0,7510.0
9,6458.0,836.0,483.0,7866.0
10,2710.0,1066.0,3028.0,3989.0
11,34606.0,3989.0,3120.0,8614.0
12,21443.0,2108.0,2898.0,10483.0
13,4586.0,14.0,335.0,894.0
14,7296.0,1115.0,1874.0,8720.0
15,4786.0,440.0,3727.0,4622.0
16,191356.0,65964.0,25431.0,218681.0
17,22690.0,2336.0,3137.0,6762.0
18,3529.0,200.0,2483.0,10300.0
19,11237.0,1939.0,2442.0,11329.0
20,7641.0,1530.0,1364.0,6239.0
21,4006.0,176.0,1545.0,5538.0
22,3014.0,835.0,3540.0,5479.0
23,29725.0,2250.0,3348.0,15161.0
24,10545.0,796.0,1525.0,8765.0
25,97218.0,9238.0,14052.0,14316.0
26,6121.0,684.0,3591.0,5273.0
27,11856.0,666.0,2614.0,14523.0
28,6086.0,599.0,1409.0,6771.0
29,3966.0,576.0,1938.0,6120.0
30,3604.0,675.0,-0.0,3326.0
31,37841.0,3809.0,2227.0,5599.0
32,2588.0,450.0,386.0,5889.0
33,5016.0,604.0,1384.0,6690.0
34,5569.0,621.0,1405.0,4602.0
35,6008.0,663.0,1708.0,15961.0
36,7801.0,914.0,1521.0,4224.0
37,8910.0,611.0,1686.0,5688.0
38,9825.0,1482.0,3280.0,7273.0
39,14452.0,1931.0,1614.0,13747.0
40,6542.0,968.0,574.0,7568.0
41,2991.0,550.0,1796.0,7296.0
42,3465.0,667.0,3323.0,12996.0
43,43143.0,2743.0,2268.0,11764.0
44,17997.0,5853.0,8465.0,9658.0
45,3329.0,572.0,2456.0,2678.0
46,9033.0,903.0,1586.0,11036.0
47,16726.0,1667.0,375.0,4308.0
48,30438.0,1198.0,3475.0,8119.0
49,2597.0,1342.0,824.0,10775.0
