,FL1-H,FL3-H,SSC-H,FSC-H
0,5093.0,722.0,2863.0,10798.0
1,20860.0,7371.0,15784.0,29030.0
2,6621.0,2305.0,3577.0,6319.0
3,4363.0,436.0,3728.0,3900.0
4,4346.0,571.0,693.0,8613.0
5,13182.0,516.0,2790.0,5609.0
6,6729.0,1606.0,1553.0,8164.0
7,31878.0,2118.0,3890.0,4136.0
8,3770.0,217.0,57.0,6199.0
9,8087.0,432.0,3478.0,6936.0
10,17780.0,1684.0,1710.0,14311.0
11,10987.0,1154.0,3009.0,8137.0
12,22925.0,759.0,3893.0,4645.0
13,5262.0,203.0,2264.0,16060.0
14,7352.0,274.0,1281.0,5809.0
15,4844.0,998.0,1819.0,15471.0
16,7147.0,815.0,1538.0,5704.0
17,6020.0,1041.0,3925.0,6874.0
18,18893.0,1687.0,1879.0,1273.0
19,47048.0,3002.0,2587.0,9193.0
20,31159.0,1763.0,2688.0,10686.0
21,19500.0,1862.0,2198.0,4461.0
22,4937.0,706.0,1439.0,10661.0
23,5037.0,189.0,1072.0,10012.0
24,9893.0,431.0,3318.0,8126.0
25,3164.0,764.0,2101.0,13264.0
26,4143.0,171.0,848.0,3240.0
27,4507.0,768.0,1697.0,3365.0
28,5543.0,391.0,2181.0,5579.0
29,6255.0,104.0,1696.0,5217.0
30,16318.0,883.0,2314.0,1593.0
31,3335.0,926.0,549.0,1580.0
32,4215.0,1024.0,1960.0,7898.0
33,23682.0,2501.0,3929.0,18404.0
34,6407.0,842.0,697.0,5869.0
35,3484.0,818.0,2926.0,10202.0
36,23867.0,1480.0,3173.0,3726.0
37,28358.0,1868.0,1402.0,19302.0
38,18671.0,2533.0,1819.0,7439.0
39,5038.0,1228.0,2497.0,10281.0
40,12926.0,3870.0,9958.0,10234.0
41,2937.0,337.0,2754.0,14937.0
42,3938.0,422.0,1390.0,12594.0
43,16066.0,2390.0,2318.0,9390.0
44,3663.0,357.0,2144.0,2409.0
45,22479.0,1956.0,1481.0,6167.0
46,6554.0,520.0,2686.0,1473.0
47,27035.0,1590.0,7124.0,9252.0
48,13343.0,1513.0,2215.0,7125.0
49,10634.0,2135.0,10714.0,8335.0
50,30212.0,2571.0,2870.0,15688.0
51,4393.0,227.0,1047.0,12361.0
52,3488.0,930.0,1950.0,11282.0
53,9708.0,974.0,3752.0,8257.0
54,63181.0,14413.0,26978.0,66216.0
55,2600.0,1463.0,1346.0,13723.0
56,2917.0,290.0,932.0,8019.0
57,4659.0,605.0,2221.0,2411.0
58,4917.0,725.0,1569.0,5708.0
59,3666.0,824.0,375.0,11784.0
60,26265.0,2447.0,3917.0,10732.0
61,3227.0,1100.0,3062.0,10195.0
62,7698.0,747.0,1140.0,8405.0
63,16328.0,2694.0,2048.0,5923.0
64,8182.0,1559.0,3783.0,9591.0
65,16790.0,1511.0,1019.0,4393.0
66,16552.0,809.0,2375.0,3913.0
67,18165.0,992.0,8079.0,7709.0
68,6486.0,1653.0,3655.0,8841.0
69,7307.0,1598.0,2853.0,9151.0
70,5685.0,906.0,1060.0,4143.0
71,2524.0,334.0,1459.0,7091.0
72,9278.0,1012.0,2461.0,11836.0
