,FL1-H,FL3-H,SSC-H,FSC-H
0,3613.0,348.0,4460.0,8621.0
1,23101.0,1344.0,3747.0,14217.0
2,20146.0,2205.0,3391.0,18506.0
3,4178.0,789.0,474.0,9640.0
4,4368.0,408.0,943.0,6053.0
5,15061.0,1534.0,1456.0,11809.0
6,9801.0,1001.0,6394.0,2486.0
7,57853.0,5738.0,4464.0,11735.0
8,5782.0,1011.0,2803.0,6714.0
9,32578.0,2090.0,1449.0,6984.0
10,5517.0,1224.0,1583.0,7422.0
11,3246.0,824.0,423.0,11223.0
12,5290.0,424.0,1541.0,5432.0
13,14554.0,939.0,2555.0,6977.0
14,35823.0,1311.0,2751.0,5188.0
15,22949.0,3097.0,794.0,8064.0
16,24328.0,3526.0,9187.0,17848.0
17,20986.0,1475.0,2732.0,11164.0
18,12814.0,1718.0,2063.0,3986.0
19,22467.0,1061.0,1018.0,8132.0
20,10348.0,729.0,2194.0,9277.0
21,29541.0,2672.0,3648.0,7438.0
22,7547.0,1408.0,1698.0,7096.0
23,2490.0,383.0,28936.0,3871.0
24,8621.0,549.0,2753.0,17433.0
25,60184.0,2769.0,5075.0,12486.0
26,2718.0,691.0,3536.0,-0.0
27,5184.0,1036.0,3951.0,12926.0
28,3396.0,563.0,1222.0,9911.0
29,3625.0,638.0,533.0,6242.0
30,4986.0,1137.0,2753.0,5111.0
31,20066.0,2689.0,1883.0,10683.0
32,2881.0,547.0,45594.0,13225.0
33,41313.0,4110.0,2338.0,10304.0
34,87289.0,13054.0,2368.0,38299.0
35,4831.0,990.0,1835.0,6808.0
36,2687.0,308.0,784.0,8737.0
37,37488.0,7390.0,3614.0,12911.0
38,16379.0,2036.0,2785.0,6222.0
39,2744.0,515.0,1297.0,5771.0
40,5048.0,1338.0,1346.0,10714.0
41,3003.0,779.0,14633.0,9094.0
42,3054.0,242.0,-0.0,10466.0
43,4223.0,864.0,4323.0,6727.0
44,10203.0,471.0,1681.0,1335.0
45,7919.0,1582.0,532.0,6854.0
46,2657.0,453.0,2297.0,10161.0
47,3138.0,46.0,1681.0,7147.0
48,23933.0,1264.0,3137.0,7164.0
49,3875.0,488.0,2970.0,8675.0
50,7735.0,455.0,2203.0,12152.0
