,FL1-H,FL3-H,SSC-H,FSC-H
0,14622.0,1194.0,1843.0,-0.0
1,17232.0,1126.0,2134.0,8441.0
2,5913.0,857.0,2395.0,18572.0
3,63391.0,2250.0,4676.0,20673.0
4,13626.0,1651.0,1928.0,9462.0
5,39886.0,4698.0,3878.0,7714.0
6,25001.0,2218.0,2316.0,12027.0
7,4128.0,390.0,1630.0,14996.0
8,20389.0,2040.0,1287.0,3514.0
9,4398.0,873.0,2441.0,3940.0
10,2971.0,201.0,2050.0,3911.0
11,10679.0,989.0,1692.0,7566.0
12,34397.0,6319.0,8367.0,21609.0
13,8448.0,1063.0,216.0,4102.0
14,4408.0,467.0,950.0,4340.0
15,36605.0,4293.0,3319.0,1456.0
16,3087.0,1149.0,1562.0,11736.0
17,4809.0,702.0,-0.0,-0.0
18,8190.0,2042.0,1348.0,9518.0
19,6504.0,392.0,2037.0,3346.0
20,4597.0,948.0,2023.0,6208.0
21,5679.0,856.0,2256.0,1826.0
22,2688.0,268.0,1555.0,4978.0
23,3051.0,499.0,1863.0,18194.0
24,31618.0,3717.0,4288.0,15242.0
25,24747.0,1819.0,2120.0,14988.0
26,33025.0,1904.0,2940.0,7733.0
27,2740.0,225.0,636.0,1517.0
28,34285.0,2287.0,1281.0,11501.0
29,5703.0,488.0,2553.0,14029.0
30,3773.0,572.0,199.0,2475.0
31,4969.0,335.0,3233.0,8522.0
32,3443.0,857.0,1661.0,5718.0
33,9697.0,1642.0,1796.0,1427.0
34,4902.0,1033.0,1213.0,8801.0
35,3925.0,193.0,1156.0,2805.0
36,46664.0,3940.0,2330.0,1763.0
37,2708.0,227.0,662.0,8382.0
38,14173.0,1731.0,1431.0,1729.0
39,12144.0,848.0,2946.0,4189.0
40,4150.0,522.0,1420.0,5282.0
41,37747.0,3960.0,3131.0,12486.0
42,4027.0,889.0,-0.0,3878.0
43,26434.0,2286.0,2363.0,5137.0
44,6412.0,609.0,2651.0,4775.0
45,3382.0,1629.0,1309.0,10170.0
46,105689.0,21818.0,26124.0,29567.0
47,18473.0,1981.0,1507.0,4739.0
48,2947.0,599.0,939.0,2909.0
49,30461.0,4149.0,2275.0,7821.0
50,8954.0,694.0,391.0,5231.0
51,4142.0,378.0,1147.0,4434.0
52,5908.0,1516.0,2417.0,7166.0
53,3908.0,763.0,2169.0,12213.0
54,16416.0,1221.0,1557.0,5197.0
55,4990.0,988.0,1744.0,3617.0
56,5691.0,588.0,2946.0,10310.0
57,6050.0,893.0,1843.0,17048.0
58,66830.0,9678.0,5510.0,9610.0
59,21351.0,4283.0,1378.0,9791.0
60,4999.0,137.0,1694.0,151.0
61,3732.0,369.0,2989.0,6540.0
62,6407.0,1524.0,2577.0,10398.0
63,3743.0,571.0,212.0,3.0
64,29338.0,10216.0,5257.0,16758.0
65,5308.0,649.0,3081.0,8522.0
66,2628.0,163.0,169.0,5690.0
67,4438.0,832.0,2111.0,5866.0
68,24714.0,3239.0,2862.0,7543.0
69,2482.0,347.0,2622.0,8150.0
70,27042.0,1431.0,1664.0,6394.0
71,2824.0,439.0,742.0,5131.0
