,FL1-H,FL3-H,SSC-H,FSC-H
0,3750.0,721.0,1458.0,6978.0
1,8457.0,1953.0,2370.0,9227.0
2,5346.0,1244.0,573.0,10367.0
3,4929.0,1365.0,3271.0,7750.0
4,3658.0,770.0,501.0,2482.0
5,3398.0,593.0,1808.0,7561.0
6,5304.0,1086.0,2003.0,11046.0
7,3406.0,920.0,1052.0,1624.0
8,3532.0,1075.0,3295.0,770.0
9,5294.0,712.0,758.0,6548.0
10,2943.0,967.0,1811.0,8180.0
11,4344.0,884.0,1474.0,5427.0
12,3193.0,155.0,397.0,306.0
13,10798.0,382.0,1837.0,6204.0
14,12507.0,1249.0,1647.0,7760.0
15,5707.0,1177.0,1131.0,8921.0
16,28769.0,1826.0,2510.0,9125.0
17,4653.0,818.0,1809.0,5338.0
18,3228.0,861.0,1688.0,7714.0
19,4677.0,971.0,750.0,-0.0
20,3444.0,436.0,1292.0,8629.0
21,3194.0,433.0,1689.0,6559.0
22,5870.0,1391.0,1450.0,5506.0
23,3540.0,649.0,2026.0,8705.0
24,5284.0,812.0,995.0,10592.0
25,2747.0,355.0,5503.0,8906.0
26,4266.0,731.0,3468.0,7027.0
27,5933.0,391.0,2408.0,8770.0
28,4642.0,1230.0,3479.0,5685.0
29,7946.0,1064.0,2856.0,8717.0
30,5104.0,1152.0,1368.0,5857.0
31,5387.0,666.0,3371.0,10728.0
32,11975.0,6615.0,13538.0,6848.0
33,9981.0,1212.0,4502.0,12065.0
34,13037.0,2028.0,2229.0,11349.0
35,30019.0,5199.0,12657.0,6028.0
36,6544.0,1400.0,1475.0,11971.0
37,4186.0,606.0,2806.0,12422.0
38,21821.0,4025.0,2001.0,12167.0
39,6561.0,842.0,3015.0,6694.0
40,4447.0,1071.0,3158.0,3710.0
41,8654.0,913.0,2496.0,11929.0
42,4285.0,929.0,1505.0,11316.0
43,7985.0,1094.0,1895.0,7225.0
44,3945.0,880.0,1800.0,9436.0
45,4983.0,949.0,1815.0,9639.0
46,12443.0,4069.0,16050.0,14997.0
47,4260.0,905.0,3227.0,3432.0
48,12445.0,1264.0,1743.0,5862.0
49,6612.0,441.0,1652.0,8437.0
50,3450.0,604.0,964.0,3241.0
51,15846.0,2022.0,3195.0,9372.0
52,12666.0,1408.0,2908.0,6298.0
53,3635.0,716.0,3908.0,11618.0
54,4063.0,384.0,1320.0,6987.0
55,14332.0,1753.0,5131.0,12823.0
56,5736.0,426.0,1790.0,11184.0
57,3635.0,578.0,1892.0,9405.0
58,3455.0,1548.0,3396.0,5249.0
59,3087.0,1390.0,3061.0,7429.0
60,2578.0,429.0,1020.0,396.0
61,5215.0,690.0,959.0,4603.0
62,5080.0,1142.0,1925.0,6146.0
63,39005.0,6118.0,2012.0,9566.0
64,20645.0,10718.0,2897.0,6588.0
65,8953.0,391.0,3771.0,20462.0
66,2863.0,372.0,1433.0,827.0
67,3811.0,1050.0,1323.0,1475.0
68,11981.0,877.0,3781.0,4473.0
69,15972.0,1077.0,3082.0,11077.0
70,4680.0,1952.0,266713.0,470674.0
71,3768.0,389.0,1174.0,5107.0
72,7066.0,1109.0,3047.0,11367.0
73,5365.0,695.0,992.0,8679.0
