,FL1-H,FL3-H,SSC-H,FSC-H
0,7993.0,1534.0,4265.0,10590.0
1,56093.0,10084.0,1443243.0,390458.0
2,17497.0,1087.0,2842.0,4845.0
3,2832.0,48.0,1283.0,1131.0
4,21899.0,1622.0,2686.0,14211.0
5,2477.0,1200.0,2383.0,8117.0
6,8224.0,1373.0,1583.0,8424.0
7,3256.0,221.0,2159.0,879.0
8,28278.0,3514.0,2372.0,13275.0
9,3828.0,861.0,150.0,11499.0
10,2462.0,546.0,1217.0,5492.0
11,10536.0,462.0,1273.0,11328.0
12,5906.0,794.0,1540.0,273.0
13,93203.0,29288.0,41850.0,112213.0
14,5085.0,627.0,2159.0,3726.0
15,3017.0,993.0,2555.0,11683.0
16,3186.0,670.0,3718.0,5100.0
17,3301.0,505.0,1639.0,8681.0
18,20482.0,2107.0,1587.0,5509.0
19,16316.0,968.0,2468.0,12390.0
20,20775.0,3090.0,4094.0,13782.0
21,29378.0,1345.0,2814.0,11280.0
22,7838.0,1571.0,1789.0,13909.0
23,2921.0,672.0,2293.0,13630.0
24,4169.0,279.0,2221.0,6088.0
25,3545.0,319.0,413.0,6649.0
26,3333.0,150.0,3128.0,12704.0
27,6411.0,3854.0,4784155.0,799147.0
28,21225.0,1803.0,2198.0,12861.0
29,3677.0,563.0,2547.0,15062.0
30,15545.0,1269.0,694.0,5182.0
31,205677.0,55132.0,391537.0,322723.0
32,3166.0,466.0,2299.0,8468.0
33,20499.0,1791.0,2172.0,7481.0
34,4898.0,705.0,1307.0,1181.0
35,21589.0,576.0,3107.0,9841.0
36,3711.0,143.0,1315.0,4243.0
37,7612.0,894.0,1904.0,7369.0
38,4899.0,331.0,1604.0,7358.0
39,7739.0,653.0,2012.0,1481.0
40,5280.0,903.0,2509.0,5189.0
41,5441.0,929.0,1538.0,2812.0
42,2848.0,816.0,1066.0,12363.0
43,4206.0,836.0,1245.0,13539.0
44,8430.0,476.0,1156.0,3050.0
45,4016.0,771.0,2840.0,15616.0
46,6864.0,414.0,-0.0,7289.0
47,3698.0,884.0,-0.0,9087.0
48,4027.0,544.0,2925.0,5951.0
49,17246.0,1455.0,3863.0,5284.0
50,3002.0,384.0,1004.0,5530.0
51,27800.0,1568.0,3670.0,8423.0
52,3592.0,509.0,1344.0,11826.0
53,11012.0,1209.0,1640.0,3333.0
54,3232.0,805.0,1307.0,2215.0
55,19447.0,2082.0,4767.0,20150.0
56,3802.0,700.0,2730.0,9796.0
57,3978.0,354.0,2205.0,5008.0
58,16366.0,1053.0,345.0,8760.0
59,15608.0,1593.0,2804.0,5321.0
60,39987.0,2722.0,882.0,3155.0
61,3095.0,714.0,1404.0,1754.0
62,48193.0,3110.0,765.0,5859.0
63,2754.0,954.0,1524.0,10571.0
64,3722.0,805.0,-0.0,6447.0
65,2809.0,849.0,2427.0,4299.0
66,3738.0,781.0,1090.0,4956.0
67,34096.0,3356.0,2365.0,7463.0
68,3251.0,389.0,1591.0,7578.0
69,6204.0,857.0,2152.0,10524.0
70,17621.0,815.0,2230.0,10090.0
71,30845.0,1844.0,1800.0,2286.0
72,6592.0,409.0,3014.0,10238.0
73,7222.0,676.0,1208.0,3381.0
74,3307.0,873.0,3441.0,5608.0
75,4368.0,558.0,4776.0,8322.0
76,11918.0,1593.0,6751.0,8240.0
77,7221.0,383.0,1932.0,7427.0
78,20660.0,2319.0,1815.0,11947.0
79,3017.0,200.0,2568.0,1737.0
80,3486.0,560.0,2342.0,7338.0
81,13907.0,1686.0,2319.0,8850.0
82,7674.0,602.0,2423.0,8720.0
83,7151.0,341.0,3426.0,9299.0
84,7250.0,969.0,2257.0,4930.0
85,2519.0,986.0,277377.0,152801.0
86,4764.0,410.0,423.0,10133.0
87,4251.0,1201.0,2724.0,5622.0
88,7319.0,1245.0,2661.0,4286.0
89,3482.0,639.0,813.0,5513.0
90,4945.0,1081.0,1791.0,6897.0
91,9768.0,620.0,1903.0,9389.0
92,11789.0,2014.0,2322.0,9780.0
93,6236.0,470.0,1138.0,14329.0
94,11580.0,761.0,2014.0,12518.0
95,5164.0,326.0,333.0,3372.0
96,4779.0,437.0,1433.0,7661.0
97,9668.0,873.0,682.0,2414.0
98,5563.0,1365.0,1632.0,7688.0
99,7376.0,4342.0,7995084.0,556686.0
100,45121.0,3179.0,-0.0,14136.0
101,4603.0,282.0,5263.0,9621.0
102,20829.0,4200.0,4275.0,8521.0
103,6537.0,674.0,4481.0,8059.0
104,14633.0,1494.0,1064.0,6687.0
105,10045.0,658.0,1638.0,8745.0
106,6894.0,570.0,2237.0,1855.0
107,27414.0,2402.0,1954.0,16668.0
108,30177.0,1645.0,1818.0,13525.0
109,31739.0,2995.0,28169.0,30696.0
110,58953.0,3564.0,25678.0,17130.0
111,5448.0,1984.0,1614.0,-0.0
112,4459.0,382.0,1039.0,6294.0
113,6437.0,807.0,2283.0,2583.0
114,5310.0,1484.0,1740.0,6959.0
115,13691.0,888.0,3394.0,9833.0
116,3490.0,903.0,3339.0,12094.0
117,13616.0,1138.0,2083.0,9775.0
118,3849.0,719.0,2001.0,5144.0
119,4960.0,840.0,1045.0,9933.0
120,4816.0,518.0,2417.0,9201.0
121,2516.0,313.0,32534.0,25945.0
122,5850.0,648.0,2119.0,17692.0
123,9580.0,1011.0,2789.0,6003.0
124,4008.0,664.0,1677.0,8089.0
125,15219.0,441.0,1618.0,7387.0
126,14140.0,1315.0,1174.0,-0.0
127,5413.0,845.0,2895.0,16004.0
128,15901.0,1371.0,1017.0,14637.0
129,4052.0,2234.0,3295452.0,375330.0
130,3540.0,825.0,2469.0,1609.0
131,12421.0,1137.0,3425.0,5863.0
132,4104.0,484.0,1942.0,7779.0
133,15799.0,1046.0,3025.0,3557.0
134,4063.0,859.0,3871.0,8653.0
135,5244.0,592.0,1337.0,4809.0
136,4479.0,159.0,747.0,532.0
137,4768.0,203.0,2058.0,5855.0
138,11161.0,1048.0,1439.0,10331.0
139,6825.0,327.0,2090.0,8541.0
140,19012.0,1125.0,3027.0,14352.0
141,11210.0,1217.0,1370.0,10624.0
142,27426.0,2162.0,9187.0,12835.0
143,4620.0,707.0,1417.0,-0.0
144,36560.0,2124.0,4365.0,9869.0
145,37636.0,2889.0,1572.0,4605.0
146,4396.0,508.0,2414.0,9095.0
147,32369.0,2917.0,3441.0,9071.0
148,5996.0,342.0,2521.0,13161.0
149,5556.0,540.0,1023.0,9812.0
150,4847.0,968.0,1606.0,5130.0
151,4713.0,781.0,83.0,8357.0
152,4044.0,488.0,1802.0,-0.0
153,4934.0,734.0,2458.0,7576.0
154,3402.0,838.0,2639.0,5692.0
155,18197.0,11516.0,8900615.0,633713.0
156,7912.0,47.0,5077.0,8084.0
157,8735.0,1375.0,3239.0,7312.0
158,10048.0,1289.0,2447.0,11469.0
159,3202.0,525.0,1216.0,4234.0
160,5062.0,551.0,896.0,11345.0
161,6744.0,511.0,2421.0,8553.0
162,30678.0,2078.0,2576.0,8705.0
163,4531.0,1683.0,1336.0,13750.0
164,161546.0,12417.0,217760.0,295484.0
165,2991.0,671.0,1308.0,9711.0
166,3729.0,728.0,2788.0,7616.0
167,2509.0,276.0,1470.0,3287.0
168,4939.0,628.0,1236.0,4157.0
169,8202.0,4156.0,354782.0,595903.0
170,2894.0,415.0,1615.0,4765.0
171,3771.0,815.0,2306.0,9142.0
172,4546.0,263.0,1178.0,4015.0
173,4039.0,100.0,1935.0,10238.0
174,4871.0,377.0,317.0,7055.0
175,13481.0,1526.0,4158.0,5756.0
176,2878.0,400.0,3021.0,12472.0
177,3878.0,15.0,1776.0,7932.0
178,4029.0,683.0,2760.0,19380.0
179,32122.0,1685.0,1339.0,11888.0
180,3815.0,469.0,2457.0,6136.0
181,3247.0,511.0,1990.0,7776.0
182,3811.0,696.0,2986.0,14394.0
183,3621.0,1328.0,588.0,5153.0
184,3856.0,1200.0,916.0,7085.0
185,10392.0,955.0,1872.0,6618.0
186,45759.0,3251.0,2318.0,7773.0
187,4116.0,1346.0,2880.0,7562.0
188,2710.0,260.0,1118.0,2721.0
189,4011.0,507.0,630.0,5012.0
190,4406.0,283.0,1562.0,10340.0
191,4087.0,603.0,2787.0,13830.0
192,3034.0,48.0,574.0,9588.0
193,7665.0,3887.0,555232.0,1471317.0
194,3696.0,413.0,1489.0,3737.0
195,8548.0,542.0,1004.0,3188.0
196,3577.0,463.0,1008.0,14623.0
197,4651.0,255.0,2386.0,11652.0
198,3194.0,845.0,3521.0,14502.0
199,2615.0,1183.0,1410.0,3987.0
200,26997.0,1895.0,2713.0,7749.0
201,36021.0,3818.0,2958.0,10655.0
202,2711.0,446.0,1421.0,4027.0
203,9137.0,326.0,2285.0,3688.0
204,10182.0,4879.0,9611828.0,556776.0
205,4404.0,617.0,-0.0,5733.0
206,3400.0,916.0,-0.0,10363.0
207,22816.0,1942.0,5666.0,9380.0
208,24073.0,1397.0,4434.0,9807.0
209,3076.0,226.0,1377.0,4560.0
210,4665.0,416.0,681.0,4569.0
211,3641.0,241.0,4399.0,12945.0
212,3756.0,646.0,1117.0,10710.0
213,6194.0,963.0,2636.0,6957.0
214,4856.0,981.0,-0.0,-0.0
215,6863.0,673.0,1184.0,2851.0
216,7055.0,704.0,2798.0,12336.0
217,17244.0,9544.0,4757491.0,1134815.0
218,10970.0,1424.0,2518.0,9851.0
219,5804.0,975.0,2030.0,12836.0
220,3451.0,946.0,3173.0,19123.0
221,3791.0,1191.0,1271.0,10311.0
222,25942.0,3001.0,3061.0,8533.0
223,8536.0,4135.0,4998127.0,544163.0
224,25272.0,1602.0,-0.0,5055.0
225,9544.0,731.0,2921.0,10043.0
226,9970.0,1012.0,2472.0,10353.0
227,9066.0,436.0,2968.0,4717.0
228,3510.0,737.0,1397.0,8439.0
229,3615.0,809.0,2283.0,4405.0
230,30801.0,5726.0,60674.0,176520.0
231,5035.0,1233.0,2161.0,12712.0
232,177633.0,18110.0,17897.0,34613.0
233,4770.0,828.0,2730.0,11050.0
234,8314.0,1075.0,2448.0,10679.0
235,9066.0,754.0,2083.0,3532.0
236,6387.0,981.0,1091.0,5997.0
237,3780.0,572.0,1080.0,12039.0
238,2858.0,143.0,593.0,4998.0
