,FL1-H,FL3-H,SSC-H,FSC-H
0,10265.0,1874.0,2075.0,6987.0
1,42666.0,1739.0,1579.0,14879.0
2,49292.0,4172.0,2753.0,12622.0
3,5117.0,817.0,1396.0,12892.0
4,12709.0,2326.0,1924.0,7200.0
5,2820.0,1309.0,3915.0,10697.0
6,22000.0,6149.0,11683.0,21525.0
7,28047.0,2803.0,1337.0,13138.0
8,8827.0,375.0,-0.0,13759.0
9,46432.0,6305.0,5178.0,6881.0
10,89186.0,18470.0,10134.0,64455.0
11,25584.0,16602.0,68678.0,60107.0
12,18562.0,1357.0,3237.0,8469.0
13,30398.0,2509.0,1419.0,5012.0
14,6342.0,671.0,1534.0,13949.0
15,8362.0,3467.0,7916.0,6087.0
16,6075.0,2153.0,3313.0,8566.0
17,11040.0,1790.0,2900.0,10351.0
18,3297.0,333.0,525.0,11271.0
19,8531.0,1031.0,780.0,9325.0
20,6590.0,351.0,3310.0,2099.0
21,13330.0,1340.0,1177.0,6973.0
22,13659.0,1939.0,3113.0,14708.0
23,33025.0,3311.0,1635.0,5059.0
24,27371.0,4577.0,10152.0,9663.0
25,13111.0,1407.0,2300.0,11712.0
26,35498.0,2888.0,3985.0,5168.0
27,38069.0,2888.0,3124.0,4323.0
28,11703.0,1064.0,12907.0,8626.0
29,8463.0,592.0,2519.0,6468.0
30,12522.0,1981.0,2899.0,7883.0
31,20779.0,1477.0,3105.0,9393.0
32,59336.0,14560.0,24643.0,29631.0
33,22969.0,2683.0,216.0,7618.0
34,3454.0,577.0,772.0,3440.0
35,3731.0,606.0,1313.0,4363.0
36,9359.0,1238.0,4060.0,7711.0
37,28946.0,8991.0,49479.0,14125.0
38,5663.0,900.0,2408.0,7033.0
39,20087.0,2001.0,1229.0,4451.0
40,4375.0,644.0,2284.0,6904.0
41,21535.0,3080.0,2052.0,7673.0
42,4884.0,571.0,101.0,5526.0
43,27201.0,2825.0,4003.0,11951.0
44,16351.0,1344.0,2842.0,9843.0
45,27566.0,6737.0,29683.0,21561.0
46,4813.0,766.0,200.0,3732.0
47,17513.0,1141.0,2187.0,8454.0
48,2476.0,1390.0,1133.0,2697.0
49,6995.0,764.0,3049.0,5760.0
50,44207.0,5394.0,5589.0,14012.0
51,8399.0,2044.0,3463.0,6567.0
52,3984.0,656.0,8136.0,13083.0
53,5830.0,831.0,2356.0,8996.0
54,79668.0,4114.0,2040.0,7269.0
55,34941.0,2994.0,290.0,2525.0
56,19690.0,3029.0,1374.0,9178.0
57,30861.0,2676.0,2336.0,6715.0
58,17908.0,1024.0,2409.0,7117.0
59,20241.0,4833.0,5531.0,4893.0
60,27908.0,2949.0,4422.0,9652.0
61,19809.0,2479.0,4560.0,6242.0
62,4771.0,1801.0,2074.0,9879.0
63,6983.0,1445.0,3580.0,17222.0
64,5317.0,630.0,3305.0,8115.0
65,6726.0,1312.0,1632.0,6159.0
66,39351.0,2215.0,3549.0,15809.0
67,7496.0,4309.0,14590.0,12715.0
68,34290.0,12827.0,24098.0,171717.0
69,7363.0,368.0,3458.0,7913.0
70,18785.0,9916.0,106786.0,198979.0
71,21032.0,2286.0,2565.0,16998.0
72,19614.0,4086.0,13512.0,18861.0
73,18432.0,2213.0,3544.0,5698.0
74,27127.0,1591.0,2237.0,8403.0
75,4868.0,953.0,1649.0,9434.0
76,23918.0,3165.0,5642.0,4812.0
77,21220.0,2048.0,1520.0,5368.0
78,33036.0,2683.0,3902.0,19267.0
79,36728.0,4988.0,2533.0,26298.0
80,4091.0,361.0,2025.0,10687.0
81,2697.0,717.0,900.0,16973.0
82,5550.0,1044.0,1693.0,7703.0
83,5835.0,1930.0,12660.0,14469.0
84,28393.0,2277.0,3305.0,7245.0
85,2497.0,625.0,1100.0,9732.0
86,7882.0,720.0,632.0,13969.0
87,39343.0,3548.0,2460.0,11573.0
88,24138.0,2563.0,1665.0,8556.0
89,7155.0,1088.0,1658.0,11381.0
90,19281.0,1822.0,2083.0,8709.0
91,25254.0,2621.0,3086.0,11818.0
92,20971.0,2051.0,3005.0,8002.0
93,2794.0,1252.0,2069.0,5480.0
94,2869.0,114.0,1858.0,3168.0
95,17794.0,747.0,3175.0,10726.0
96,17405.0,1160.0,2929.0,6985.0
97,39365.0,1848.0,17615.0,36522.0
98,48085.0,3685.0,4034.0,12015.0
99,34199.0,4835.0,7380.0,16268.0
100,3343.0,651.0,844.0,10874.0
101,9014.0,926.0,2407.0,9607.0
102,3868.0,1487.0,3125.0,6318.0
103,2581.0,449.0,988.0,5033.0
104,9657.0,1397.0,3417.0,7246.0
105,12348.0,2469.0,4227.0,10323.0
106,14944.0,1049.0,1960.0,11164.0
107,11131.0,1112.0,2220.0,5757.0
108,83503.0,52630.0,158220.0,315471.0
109,28679.0,18750.0,31668.0,438690.0
110,26283.0,2354.0,3038.0,13034.0
111,20722.0,944.0,3584.0,9660.0
112,22925.0,2144.0,848.0,5108.0
113,32226.0,2789.0,3148.0,11197.0
114,26236.0,3295.0,4265.0,9418.0
115,11806.0,1802.0,3732.0,6977.0
116,19728.0,3257.0,2896.0,4669.0
117,9968.0,1100.0,316.0,73.0
118,33455.0,20466.0,40032.0,45014.0
119,19337.0,1787.0,2834.0,7813.0
120,22211.0,1344.0,9046.0,8230.0
121,17938.0,1346.0,3012.0,8722.0
122,5128.0,548.0,3335.0,14517.0
123,11621.0,1677.0,1976.0,7944.0
124,2482.0,666.0,1536.0,1642.0
125,15203.0,1615.0,4321.0,15405.0
126,4881.0,329.0,1143.0,10952.0
127,27808.0,2671.0,4202.0,10263.0
128,10899.0,1676.0,1594.0,12636.0
129,19968.0,5593.0,4752.0,9631.0
130,5458.0,1741.0,2308.0,14191.0
131,4334.0,769.0,2101.0,2039.0
132,12472.0,1365.0,1222.0,8690.0
133,15474.0,2284.0,2258.0,5249.0
134,33448.0,2446.0,5755.0,11068.0
135,10923.0,1489.0,139.0,6953.0
136,56996.0,9042.0,104864.0,43205.0
137,12587.0,1798.0,2070.0,9619.0
138,14038.0,1880.0,2921.0,5772.0
139,9055.0,1486.0,408.0,2983.0
140,34225.0,14849.0,127790.0,36083.0
141,27213.0,7341.0,75745.0,13786.0
142,68688.0,11263.0,7722.0,14020.0
143,8998.0,772.0,2607.0,1181.0
144,2491.0,883.0,3237.0,5693.0
145,13186.0,1883.0,2455.0,9880.0
146,10603.0,1379.0,2787.0,7317.0
147,10326.0,788.0,1128.0,12975.0
148,14719.0,1536.0,2110.0,12853.0
149,5071.0,303.0,816.0,8094.0
150,13469.0,1146.0,1134.0,11255.0
151,19978.0,1892.0,3011.0,9897.0
152,4727.0,536.0,1272.0,11106.0
153,33520.0,2539.0,7087.0,10814.0
154,36102.0,3308.0,2000.0,15878.0
155,24613.0,2940.0,3081.0,4653.0
156,5784.0,1479.0,500.0,3621.0
157,2618.0,339.0,1696.0,4390.0
158,24991.0,1651.0,2077.0,10591.0
159,22219.0,1848.0,1696.0,8690.0
160,3012.0,843.0,1727.0,12717.0
161,4649.0,1414.0,1369.0,4871.0
162,4602.0,2025.0,7008.0,18806.0
163,3260.0,645.0,1432.0,6015.0
164,10778.0,1171.0,1935.0,5684.0
165,33104.0,2133.0,2550.0,11602.0
166,26397.0,2771.0,4886.0,16305.0
167,3897.0,437.0,6153.0,6577.0
168,10100.0,672.0,1214.0,3565.0
169,9513.0,1856.0,1523.0,4296.0
170,9634.0,424.0,2933.0,15914.0
171,4919.0,648.0,3732.0,2144.0
172,3680.0,1129.0,2396.0,8131.0
173,3438.0,396.0,2293.0,9023.0
174,9990.0,6292.0,14115.0,24087.0
175,16244.0,1380.0,2781.0,16331.0
176,14596.0,1658.0,3172.0,14806.0
177,2539.0,1283.0,-0.0,12016.0
178,59287.0,3903.0,4473.0,6232.0
179,8941.0,945.0,4326.0,9010.0
180,22446.0,1933.0,5063.0,5513.0
181,18282.0,2049.0,2630.0,7010.0
182,5780.0,1079.0,1928.0,6171.0
183,2612.0,316.0,2771.0,3540.0
184,2514.0,1075.0,1702.0,4562.0
185,6631.0,1274.0,1985.0,9880.0
186,15048.0,1615.0,1749.0,10168.0
187,9754.0,1424.0,4000.0,7058.0
188,31836.0,4173.0,4702.0,11865.0
189,7674.0,1354.0,2760.0,14081.0
190,77050.0,11922.0,11796.0,50373.0
191,7416.0,1006.0,1602.0,2071.0
192,13252.0,2164.0,2148.0,6184.0
193,4413.0,734.0,1140.0,1369.0
194,6698.0,612.0,5156.0,12910.0
195,9817.0,436.0,1137.0,8658.0
196,27107.0,2232.0,1340.0,6704.0
197,21745.0,2013.0,6518.0,10517.0
198,62709.0,15250.0,3937.0,40875.0
199,21874.0,13424.0,16972.0,30051.0
200,4685.0,707.0,1211.0,6887.0
201,5042.0,1220.0,2643.0,5412.0
202,5539.0,1576.0,5584.0,4374.0
203,3731.0,910.0,2474.0,9560.0
204,2664.0,816.0,3034.0,11145.0
205,28157.0,3134.0,1421.0,5621.0
206,44354.0,3336.0,789.0,9561.0
207,70185.0,9401.0,135224.0,125565.0
208,25498.0,3568.0,4337.0,4696.0
209,15776.0,5742.0,7711.0,10865.0
210,23204.0,2547.0,2892.0,7508.0
211,37582.0,3143.0,5675.0,11502.0
212,14526.0,2523.0,1623.0,1267.0
213,31741.0,2614.0,1873.0,5874.0
214,5284.0,483.0,1346.0,8840.0
215,4184.0,563.0,2430.0,14539.0
216,17593.0,1455.0,6284.0,15623.0
217,3049.0,424.0,2485.0,6628.0
218,7601.0,419.0,1423.0,10179.0
219,42129.0,11349.0,22366.0,45694.0
220,2905.0,861.0,1947.0,7646.0
221,66677.0,6422.0,4005.0,15023.0
222,53391.0,4294.0,8641.0,8956.0
223,22852.0,1839.0,3692.0,13381.0
224,12465.0,1177.0,2387.0,14025.0
225,4266.0,104.0,961.0,11387.0
226,35915.0,5269.0,3000.0,5114.0
227,22336.0,2241.0,6302.0,15559.0
228,14850.0,1053.0,2004.0,6045.0
229,23033.0,7804.0,21272.0,19640.0
230,10686.0,1125.0,1841.0,3468.0
231,5966.0,716.0,4155.0,654.0
232,4874.0,666.0,-0.0,5482.0
233,15726.0,881.0,2987.0,6295.0
234,6110.0,550.0,1344.0,4181.0
235,9469.0,4184.0,4884.0,10922.0
236,31814.0,1040.0,3528.0,9456.0
237,5549.0,2448.0,3920.0,7724.0
238,5064.0,682.0,354.0,6396.0
239,11421.0,2242.0,1529.0,6171.0
240,8024.0,673.0,1407.0,6420.0
241,21093.0,2306.0,963.0,8385.0
242,3527.0,549.0,1427.0,4558.0
243,18683.0,1709.0,2127.0,3942.0
244,5318.0,1189.0,1994.0,2025.0
245,3061.0,811.0,2095.0,6615.0
246,10424.0,1707.0,2338.0,7610.0
247,2939.0,355.0,1220.0,9538.0
248,5008.0,1198.0,2114.0,11496.0
249,11968.0,1542.0,1665.0,6970.0
250,9436.0,1294.0,1590.0,13706.0
251,3720.0,814.0,362.0,1562.0
252,18070.0,2063.0,2601.0,9879.0
253,27142.0,2576.0,3360.0,16705.0
254,24092.0,1681.0,2808.0,6577.0
255,42334.0,3758.0,9994.0,8418.0
256,31519.0,1798.0,3075.0,14958.0
257,9190.0,956.0,5158.0,2582.0
258,5243.0,457.0,2515.0,11233.0
259,2697.0,265.0,676.0,1725.0
260,6600.0,1300.0,1618.0,8012.0
261,15775.0,3061.0,2717.0,10372.0
262,36205.0,3825.0,3038.0,10843.0
263,21328.0,1530.0,2505.0,12853.0
264,4202.0,1086.0,1964.0,5027.0
265,22320.0,2792.0,526.0,7290.0
266,2786.0,859.0,1039.0,7856.0
267,31707.0,3405.0,3120.0,8978.0
268,6071.0,670.0,1667.0,8220.0
269,24803.0,6728.0,12500.0,12328.0
270,33129.0,2871.0,13376.0,11231.0
271,2507.0,30.0,1210.0,10671.0
272,28988.0,2405.0,2062.0,12443.0
273,20944.0,10255.0,130997.0,38641.0
274,2479.0,681.0,1690.0,4971.0
275,13906.0,1305.0,1587.0,10034.0
276,7785.0,981.0,1017.0,8423.0
277,4132.0,649.0,1778.0,15541.0
278,23589.0,2980.0,2358.0,12755.0
279,32891.0,2470.0,3834.0,18835.0
280,26623.0,2181.0,4083.0,7399.0
281,4991.0,962.0,1086.0,-0.0
282,4642.0,954.0,1232.0,11090.0
283,45365.0,14490.0,35167.0,179283.0
284,25574.0,2432.0,2833.0,6813.0
285,21739.0,1357.0,1666.0,5834.0
286,14883.0,630.0,2106.0,4616.0
287,24316.0,2388.0,2072.0,4223.0
288,28817.0,1942.0,2669.0,5313.0
289,6803.0,1180.0,2117.0,5940.0
290,31829.0,2743.0,2755.0,5631.0
291,4323.0,455.0,1337.0,8102.0
292,19502.0,1918.0,4515.0,6280.0
293,12418.0,1666.0,1923.0,14115.0
294,22308.0,1594.0,4555.0,12187.0
295,49023.0,4639.0,3313.0,8544.0
296,37270.0,3494.0,4653.0,12019.0
297,23706.0,2731.0,2286.0,16008.0
298,7904.0,1252.0,2613.0,2926.0
299,17159.0,3589.0,2541.0,10033.0
300,12961.0,7067.0,7859.0,11727.0
301,3068.0,366.0,1396.0,3245.0
302,6868.0,1409.0,2360.0,16170.0
303,29696.0,3804.0,2240.0,8997.0
304,19551.0,8634.0,39815.0,27908.0
305,31177.0,3897.0,12107.0,15235.0
