,FL1-H,FL3-H,SSC-H,FSC-H
0,5617.0,1688.0,3096.0,7540.0
1,10993.0,919.0,1016.0,1713.0
2,3644.0,1246.0,2286.0,15529.0
3,10785.0,831.0,1070.0,11906.0
4,5530.0,678.0,1710.0,9941.0
5,3643.0,227.0,143.0,7970.0
6,5877.0,707.0,483.0,12594.0
7,2717.0,197.0,-0.0,6479.0
8,8188.0,690.0,2697.0,8056.0
9,17831.0,1495.0,585.0,13293.0
10,27886.0,2208.0,4672.0,14388.0
11,6030.0,996.0,1865.0,7080.0
12,5857.0,984.0,616.0,3482.0
13,4925.0,1037.0,1546.0,7149.0
14,24763.0,2710.0,2116.0,18121.0
15,4040.0,496.0,1437.0,2189.0
16,3664.0,608.0,1111.0,6314.0
17,5505.0,594.0,3083.0,16191.0
18,8308.0,1587.0,1928.0,5304.0
19,4659.0,504.0,1612.0,863.0
20,4644.0,1308.0,1890.0,6745.0
21,24785.0,1580.0,784.0,8824.0
22,5049.0,317.0,1984.0,5244.0
23,17664.0,543.0,2077.0,7791.0
24,4885.0,1357.0,1482.0,9041.0
25,30644.0,2295.0,1838.0,8410.0
26,5794.0,487.0,1511.0,6945.0
27,2675.0,896.0,3200.0,7120.0
28,3401.0,509.0,1155.0,11321.0
29,2943.0,338.0,871.0,11368.0
30,18811.0,1182.0,516.0,9958.0
31,7250.0,239.0,2002.0,-0.0
32,14297.0,927.0,5000.0,11086.0
33,3963.0,925.0,1734.0,9772.0
34,19813.0,1984.0,1523.0,12113.0
35,5712.0,1093.0,1827.0,2564.0
36,3686.0,239.0,3343.0,7905.0
37,38535.0,2463.0,6028.0,13800.0
38,13783.0,1031.0,4252.0,17307.0
39,4713.0,309.0,1278.0,5356.0
40,24013.0,2268.0,3677.0,17581.0
41,4121.0,1101.0,1728.0,11954.0
42,10696.0,494.0,2303.0,6897.0
43,6910.0,1974.0,4086.0,17026.0
44,9065.0,873.0,4541.0,8933.0
45,14505.0,755.0,1414.0,11779.0
46,13273.0,873.0,3357.0,649.0
47,21241.0,1416.0,1671.0,5032.0
48,3995.0,215.0,1047.0,8966.0
49,5567.0,831.0,4844.0,13101.0
50,4732.0,1012.0,2553.0,8430.0
51,3069.0,647.0,341.0,500.0
52,6992.0,947.0,3627.0,11129.0
53,155808.0,12424.0,3545.0,18942.0
54,4993.0,514.0,2422.0,4289.0
55,5491.0,882.0,1531.0,7472.0
56,30514.0,1671.0,707.0,12740.0
57,4508.0,398.0,2464.0,14757.0
58,13138.0,938.0,1525.0,10434.0
59,32308.0,2796.0,4360.0,13484.0
60,6378.0,333.0,3634.0,8245.0
61,8404.0,1351.0,464.0,8040.0
62,10048.0,1519.0,1264.0,5559.0
63,6856.0,324.0,3661.0,16038.0
64,25639.0,2434.0,461.0,3255.0
65,6068.0,620.0,2212.0,8350.0
66,3439.0,470.0,1199.0,3041.0
67,7141.0,854.0,708.0,6675.0
68,16416.0,1393.0,1765.0,7044.0
69,4398.0,1443.0,1160.0,6320.0
70,5922.0,699.0,3332.0,5197.0
71,5027.0,528.0,2539.0,8286.0
72,31796.0,6164.0,2847.0,23263.0
73,11041.0,214.0,2541.0,14822.0
74,4881.0,843.0,1488.0,7634.0
75,4967.0,650.0,2533.0,6810.0
76,5049.0,982.0,1241.0,14548.0
77,40813.0,4284.0,1533.0,9149.0
78,11242.0,1181.0,1251.0,5565.0
79,2606.0,275.0,787.0,4411.0
80,12424.0,1471.0,1665.0,4735.0
81,5653.0,361.0,691.0,10814.0
82,4575.0,347.0,1225.0,9155.0
83,3598.0,622.0,2189.0,9284.0
84,3806.0,84.0,2622.0,8847.0
85,4386.0,212.0,1603.0,378.0
86,2704.0,1359.0,490.0,10745.0
87,4051.0,672.0,3889.0,12429.0
