,FL1-H,FL3-H,SSC-H,FSC-H
0,20157.0,1814.0,3352.0,11431.0
1,3602.0,717.0,3061.0,3100.0
2,9105.0,1229.0,3098.0,11805.0
3,3392.0,1291.0,1027.0,1723.0
4,57140.0,3928.0,1932.0,8448.0
5,24704.0,1525.0,1190.0,2479.0
6,10951.0,1686.0,259.0,6346.0
7,27710.0,6742.0,6122.0,9239.0
8,8049.0,1332.0,1983.0,5167.0
9,26724.0,10026.0,3673.0,16372.0
10,3502.0,157.0,422.0,4112.0
11,4040.0,221.0,929.0,8087.0
12,11677.0,1101.0,1821.0,12789.0
13,8334.0,999.0,2258.0,7771.0
14,14922.0,2151.0,6148.0,23350.0
15,2471.0,460.0,-0.0,3303.0
16,2635.0,403.0,2691.0,15923.0
17,10522.0,332.0,831.0,4887.0
18,3606.0,249.0,2170.0,12636.0
19,7577.0,758.0,1792.0,3612.0
20,4627.0,1540.0,327.0,9517.0
21,5007.0,557.0,3735.0,10486.0
22,30443.0,3804.0,2469.0,19935.0
23,21619.0,1187.0,2329.0,7166.0
24,19639.0,2464.0,1899.0,5649.0
25,16301.0,1967.0,1005.0,5373.0
26,3589.0,471.0,811.0,5131.0
27,13004.0,1395.0,2525.0,1107.0
28,4326.0,1243.0,743.0,7340.0
29,7265.0,1163.0,2657.0,11069.0
30,10857.0,1471.0,4360.0,13705.0
31,11769.0,1231.0,2486.0,5759.0
32,6823.0,1062.0,3488.0,1560.0
33,10436.0,1473.0,1623.0,2929.0
34,2894.0,753.0,992.0,3583.0
35,18463.0,1502.0,2183.0,11047.0
36,4587.0,248.0,458.0,7562.0
37,7284.0,1543.0,658.0,7675.0
38,16278.0,2285.0,-0.0,5479.0
39,5957.0,1006.0,2262.0,8287.0
40,3570.0,461.0,780.0,8134.0
41,3997.0,107.0,1353.0,6693.0
42,2591.0,247.0,1890.0,6728.0
43,27159.0,1702.0,1290.0,678.0
44,3732.0,976.0,3418.0,10149.0
45,8564.0,1100.0,2275.0,6875.0
46,4463.0,956.0,1298.0,3803.0
47,7465.0,1372.0,2162.0,4570.0
48,7957.0,464.0,1123.0,5322.0
49,4308.0,590.0,892.0,5240.0
50,32173.0,1926.0,3905.0,9268.0
51,13713.0,83.0,958.0,11214.0
52,20047.0,1403.0,-0.0,6075.0
53,5463.0,975.0,5261.0,10831.0
54,10162.0,709.0,1381.0,4315.0
55,5349.0,320.0,534.0,1304.0
56,6491.0,582.0,732.0,10362.0
57,4676.0,1003.0,1831.0,9681.0
58,10590.0,786.0,2579.0,8017.0
59,8760.0,145.0,3269.0,11616.0
60,26233.0,1239.0,1095.0,5464.0
61,5146.0,1097.0,1192.0,8417.0
62,7395.0,1465.0,2059.0,6082.0
63,6593.0,404.0,1355.0,12868.0
64,25976.0,1396.0,5996.0,14708.0
65,3719.0,268.0,744.0,9462.0
66,4054.0,378.0,1387.0,2295.0
67,25748.0,1683.0,2520.0,10435.0
68,7304.0,740.0,2035.0,7729.0
69,3889.0,725.0,1334.0,8224.0
70,25541.0,1747.0,2927.0,13910.0
