description,sample_title,collection_date,env_biome,env_feature,geo_loc_name,lat_lon,env_material,organism,Depth,Conductivity,Timepoint,Reactor cycle,Reactor phase,temp,ph,Diversity - D2,Diversity - D1,Diversity - D0,FCM_ID,Cell.density (cells/mL),Cell.density.sd (cells/mL)
Cooling water,1,10-Nov-14,Oligotrophic freshwater,Secondary Cooling water system of nuclear reactor,Belgium: Mol,51.22 N 5.09 E,water,freshwater metagenome,-0.3,1.17,-8.20,1,Control,17.41,4.69,5.8322122347,8.1279515301,40,CYCLUS1_BEKKEN_-7_A_PRECYCLE,962613.333333333,25454.3460598251
Cooling water,2,10-Nov-14,Oligotrophic freshwater,Secondary Cooling water system of nuclear reactor,Belgium: Mol,51.22 N 5.09 E,water,freshwater metagenome,-0.3,1.15,-7.79,1,Control,16.94,4.87,4.2086370972,8.1273722392,53,CYCLUS1_BEKKEN_-7_B_PRECYCLE,970093.333333333,6760.1577890855
Cooling water,4,12-Nov-14,Oligotrophic freshwater,Secondary Cooling water system of nuclear reactor,Belgium: Mol,51.22 N 5.09 E,water,freshwater metagenome,-0.3,1.54,-5.79,1,Control,17.95,4.80,4.7529346862,7.2416682144,45,CYCLUS1_BEKKEN_-5_B_PRECYCLE,1022280,13645.39482756
Cooling water,5,14-Nov-14,Oligotrophic freshwater,Secondary Cooling water system of nuclear reactor,Belgium: Mol,51.22 N 5.09 E,water,freshwater metagenome,-0.3,1.39,-4.20,1,Control,18.18,4.82,5.2657537426,8.0593749549,39,CYCLUS1_BEKKEN_-3_A_PRECYCLE,1146120,16386.6775155917
Cooling water,6,14-Nov-14,Oligotrophic freshwater,Secondary Cooling water system of nuclear reactor,Belgium: Mol,51.22 N 5.09 E,water,freshwater metagenome,-0.3,1.35,-3.79,1,Control,22.57,4.83,3.691365256,5.7495439932,31,CYCLUS1_BEKKEN_-3_B_PRECYCLE,1188706.66666667,5276.4129229367
Cooling water,7,17-Nov-14,Oligotrophic freshwater,Secondary Cooling water system of nuclear reactor,Belgium: Mol,51.22 N 5.09 E,water,freshwater metagenome,-0.3,1.35,-1.20,1,Control,25.05,4.83,3.9801467793,5.8901444867,31,CYCLUS1_BEKKEN_-1_A_PRECYCLE,1158306.66666667,2624.9063475357
Cooling water,8,17-Nov-14,Oligotrophic freshwater,Secondary Cooling water system of nuclear reactor,Belgium: Mol,51.22 N 5.09 E,water,freshwater metagenome,-0.3,1.31,-0.79,1,Control,24.45,4.86,6.3272164431,11.0896587097,61,CYCLUS1_BEKKEN_-1_B_PRECYCLE,1214026.66666667,15991.6144692565
Cooling water,9,18-Nov-14,Oligotrophic freshwater,Secondary Cooling water system of nuclear reactor,Belgium: Mol,51.22 N 5.09 E,water,freshwater metagenome,-0.3,1.30,0.00,1,Startup,24.43,4.86,7.346909036,14.5951031894,54,CYCLUS1_BEKKEN_0_0h_START,1287266.66666667,15661.1280990015
Cooling water,10,18-Nov-14,Oligotrophic freshwater,Secondary Cooling water system of nuclear reactor,Belgium: Mol,51.22 N 5.09 E,water,freshwater metagenome,-0.3,2.88,0.08,1,Startup,29.41,4.62,4.2500015611,7.539307806,52,CYCLUS1_BEKKEN_0_2h_START,1222920,17323.4638568619
Cooling water,11,18-Nov-14,Oligotrophic freshwater,Secondary Cooling water system of nuclear reactor,Belgium: Mol,51.22 N 5.09 E,water,freshwater metagenome,-0.3,3.67,0.17,1,Startup,30.44,4.51,2.8357366353,4.724568921,38,CYCLUS1_BEKKEN_0_4h_START,1539813.33333333,17628.4467079018
Cooling water,12,18-Nov-14,Oligotrophic freshwater,Secondary Cooling water system of nuclear reactor,Belgium: Mol,51.22 N 5.09 E,water,freshwater metagenome,-0.3,4.60,0.25,1,Startup,28.72,4.42,2.7303963061,4.7109978358,39,CYCLUS1_BEKKEN_0_6h_START,1841706.66666667,8073.8920808575
Cooling water,13,18-Nov-14,Oligotrophic freshwater,Secondary Cooling water system of nuclear reactor,Belgium: Mol,51.22 N 5.09 E,water,freshwater metagenome,-0.3,4.39,0.42,1,Startup,27.89,4.73,3.2318836451,5.3608456787,43,CYCLUS1_BEKKEN_0_10h_START,2246880,29065.5534955039
Cooling water,14,19-Nov-14,Oligotrophic freshwater,Secondary Cooling water system of nuclear reactor,Belgium: Mol,51.22 N 5.09 E,water,freshwater metagenome,-0.3,5.65,0.80,1,Startup,28.06,4.31,3.2591207497,4.6868546085,29,CYCLUS1_BEKKEN_1_A_OPERATION,2529853.33333333,82405.4593660719
Cooling water,15,19-Nov-14,Oligotrophic freshwater,Secondary Cooling water system of nuclear reactor,Belgium: Mol,51.22 N 5.09 E,water,freshwater metagenome,-0.3,5.69,1.22,1,Operation,26.40,4.30,2.8031753877,4.9393069451,44,CYCLUS1_BEKKEN_1_B_OPERATION,2576533.33333333,41321.4585092701
Cooling water,16,20-Nov-14,Oligotrophic freshwater,Secondary Cooling water system of nuclear reactor,Belgium: Mol,51.22 N 5.09 E,water,freshwater metagenome,-0.3,5.02,1.80,1,Operation,27.41,4.36,2.2223981819,3.4055843582,31,CYCLUS1_BEKKEN_2_A_OPERATION,2710200,36938.7817882507
Cooling water,17,20-Nov-14,Oligotrophic freshwater,Secondary Cooling water system of nuclear reactor,Belgium: Mol,51.22 N 5.09 E,water,freshwater metagenome,-0.3,4.85,2.22,1,Operation,28.09,4.37,2.3555357903,3.4333911681,26,CYCLUS1_BEKKEN_2_B_OPERATION,2779360,43504.0595806874
