,$P_{\rho_{\beta}}$,$P_{\tau_B}(D_0)$,$P_{\tau_B}(D_1)$,$P_{\tau_B}(D_2)$,$\rho(\beta)$,$\tau_B(D_0)$,$\tau_B(D_1)$,$\tau_B(D_2)$
0,0.0001,5.9327436992988827e-08,8.04163728532335e-13,1.6863979998892526e-13,0.3461169412125559,0.435369657199812,0.556390977443609,0.5727956254272043
1,0.0001,1.8479883752257573e-05,2.1945504074183e-13,1.578632696593581e-13,0.3597128518899526,0.3443343683750648,0.5700615174299384,0.5734791524265208
2,0.0001,6.641010830105193e-05,4.157198445051273e-12,7.071948009502642e-13,0.34720453727823897,0.3195794899055526,0.5386192754613807,0.5577580314422419
3,0.0001,9.946305338505426e-08,3.239589934758893e-12,7.541509438139146e-13,0.3457198986458789,0.42777017582915455,0.5413533834586466,0.5570745044429255
4,0.0001,0.0004774227669427215,2.5960742692021784e-11,3.0431958173192797e-12,0.35562166090378977,0.28089382369632304,0.5181134654818865,0.5420369104579631
5,0.0001,0.0004200999420060178,7.071948009502642e-13,8.574280075279696e-13,0.34869706690510555,0.28291704102524423,0.5577580314422419,0.5557074504442925
6,0.0001,1.085071568165301e-07,1.0388650433103274e-12,4.2169310287578853e-13,0.35530088898151463,0.426814215217488,0.5536568694463431,0.5632262474367737
7,0.0001,0.0001375837470275323,1.4283502024363549e-12,3.250368108252158e-13,0.3457165437759179,0.3073527883074441,0.5502392344497608,0.5659603554340397
8,0.0001,3.3635538324049225e-06,2.22348565736978e-12,4.353793600681218e-13,0.3516203856154232,0.37425576399777977,0.5454545454545454,0.5629806952845299
9,0.0001,1.0608576490151137e-06,2.087739167098915e-12,4.157198445051273e-12,0.3550894297142433,0.3909899511455102,0.5461380724538619,0.5386192754613807
