,$P_{\rho_{\beta}}$,$P_{\tau_B}(D_0)$,$P_{\tau_B}(D_1)$,$P_{\tau_B}(D_2)$,$\rho(\beta)$,$\tau_B(D_0)$,$\tau_B(D_1)$,$\tau_B(D_2)$
0,0.0001,1.4204449075505364e-10,3.8760241360665254e-14,3.031821223318605e-16,0.3774927199030576,0.5033879924696539,0.5878332194121667,0.6349965823650034
1,0.0001,2.38921006271362e-09,2.502303854355085e-13,3.7720492384903823e-16,0.3786384503889451,0.4681723180252408,0.5686944634313055,0.6329460013670539
2,0.0001,3.0809192437051743e-10,2.0549381564634004e-13,8.976148813889956e-16,0.3763637209468218,0.4938059921900816,0.5707450444292549,0.6247436773752563
3,0.0001,3.076172218112184e-10,3.162775044600748e-14,2.619924035282156e-16,0.3782237345269094,0.4941442155120578,0.5898838004101161,0.6363636363636364
4,0.0001,2.995851806671665e-10,3.6222644791921035e-14,3.031821223318605e-16,0.3792196751592813,0.494066804641681,0.5885167464114832,0.6349965823650034
5,0.0001,2.5956945152446217e-10,3.162775044600748e-14,5.042103393092824e-16,0.3807115164277173,0.4960476394573637,0.5898838004101161,0.6302118933697881
6,0.0001,1.5495290799771457e-10,2.502303854355085e-13,5.420476949987839e-16,0.3780560745593301,0.5022655068043224,0.5686944634313055,0.6295283663704716
7,0.0001,4.446580092359939e-10,4.7468661787690886e-14,1.0066070628516133e-16,0.38163905324034014,0.4894005694261586,0.5857826384142174,0.6452494873547505
8,0.0001,4.412722600192298e-11,7.596802270846975e-14,9.346991484260456e-17,0.3813406801208918,0.5168539528641486,0.5809979494190021,0.6459330143540669
9,0.0001,2.1887980076639642e-10,2.1015459136552812e-14,1.954614763599312e-16,0.3788431380892291,0.4979498186979705,0.5939849624060151,0.6390977443609022
