,$P_{\rho_{\beta}}$,$P_{\tau_B}(D_0)$,$P_{\tau_B}(D_1)$,$P_{\tau_B}(D_2)$,$\rho(\beta)$,$\tau_B(D_0)$,$\tau_B(D_1)$,$\tau_B(D_2)$
0,0.0001,0.0005046282358702007,2.666717677229868e-06,1.2210107984802141e-06,0.4593700051534595,0.3897335608772954,0.5097560975609756,0.526829268292683
1,0.0001,0.0005767987173156012,7.730428271552875e-07,3.318990074734148e-06,0.4604499155463998,0.3851897547637103,0.5365853658536586,0.5048780487804878
2,0.0001,0.0002581590272667809,1.711528704295281e-06,1.0899538245962262e-06,0.4602319939698652,0.4113872009746383,0.5195121951219511,0.5292682926829267
3,0.0001,0.03388771350952435,1.711528704295281e-06,9.72489700164695e-07,0.4597345926756904,0.2372754074429709,0.5195121951219511,0.5317073170731708
4,0.0001,0.00013614124026159976,1.711528704295281e-06,1.711528704295281e-06,0.4657762885875273,0.43063338965517417,0.5195121951219511,0.5195121951219511
5,0.0001,0.001000902861872283,2.3886130269358748e-06,3.700017251612935e-06,0.4655001475031902,0.3699031337589889,0.5121951219512195,0.5024390243902439
6,0.0001,0.0008037680890658797,3.700017251612935e-06,8.672617261516596e-07,0.4614328139384272,0.3787424414862274,0.5024390243902439,0.5341463414634147
7,0.0001,3.925366003207885e-05,7.81058027969864e-06,3.318990074734148e-06,0.4573291462169413,0.4614917620188129,0.4853658536585365,0.5048780487804878
8,0.0001,0.004920934407947057,6.324535970884628e-06,1.0899538245962262e-06,0.4526981919776411,0.315690793249133,0.4902439024390244,0.5292682926829267
9,0.0001,0.03548800846816325,8.673507215401055e-06,1.913592369454866e-06,0.4572298685680382,0.2365876138501424,0.4829268292682927,0.5170731707317073
