,$P_{\rho_{\beta}}$,$P_{\tau_B}(D_0)$,$P_{\tau_B}(D_1)$,$P_{\tau_B}(D_2)$,$\rho(\beta)$,$\tau_B(D_0)$,$\tau_B(D_1)$,$\tau_B(D_2)$
0,0.0001,1.055821313460484e-07,4.543818955007392e-09,9.952236251846452e-10,0.4524882068683852,0.5807376110883102,0.6365853658536585,0.6634146341463414
1,0.0001,1.194317983795951e-07,2.2953885884469812e-09,4.893143751732809e-10,0.4576050479483159,0.5782820609357171,0.6487804878048781,0.6756097560975609
2,0.0001,2.625004297955173e-07,1.3207331329037089e-08,3.967670247057905e-09,0.44920616309581335,0.5626641775207857,0.6170731707317073,0.6390243902439023
3,0.0001,2.3279715175158248e-07,1.1578120348658477e-08,9.952236251846452e-10,0.4549665866969849,0.5651212263309201,0.6195121951219512,0.6634146341463414
4,0.0001,2.06353846228022e-07,1.0144896583711498e-08,1.3175135473543085e-09,0.4531601755152545,0.5675782751410546,0.6219512195121949,0.6585365853658536
5,0.0001,1.9458478794646346e-07,6.8044872304665905e-09,3.670756311649458e-10,0.4617613016621003,0.5684598603253439,0.6292682926829268,0.6804878048780487
6,0.0001,1.6132697319443608e-07,5.9504649116680075e-09,3.177005245765831e-10,0.4602276866793924,0.5731926695035725,0.6317073170731707,0.6829268292682926
7,0.0002,4.046712449111327e-06,1.7160462590780478e-08,1.999409787917983e-09,0.4461353034248595,0.5036950060775592,0.6121951219512195,0.6512195121951221
8,0.0001,4.750097071456978e-07,5.9504649116680075e-09,3.177005245765831e-10,0.4566417632305205,0.5503789334701136,0.6317073170731707,0.6829268292682926
9,0.0001,6.370790149636553e-07,1.999409787917983e-09,1.3175135473543085e-09,0.45567046801617,0.543904358799411,0.6512195121951221,0.6585365853658536
