,$P_{\tau_B}(D_0)$,$P_{\tau_B}(D_1)$,$P_{\tau_B}(D_2)$,$R^2(D0)$,$R^2(D1)$,$R^2(D2)$,$\tau_B(D_0)$,$\tau_B(D_1)$,$\tau_B(D_2)$,OTU
0,0.002141113908845589,3.461693484729024e-05,6.188262569729556e-07,0.22210680197766894,0.30716315295809915,0.42557182483551104,0.36147201953391,0.4825396825396826,0.580952380952381,0
1,0.0033517940864267307,2.1403888385379158e-05,1.8669919554781048e-06,0.2436215786370057,0.3134299011666565,0.27391587335420986,0.345406596443514,0.4952380952380953,0.5555555555555556,1
2,0.011597451566408054,1.9590530594700888e-07,1.0810507627276314e-06,0.4321500163601214,0.6014928141748654,0.3937400239604992,0.2972103271723259,0.6063492063492064,0.5682539682539683,2
3,0.012529359916998896,4.383669461381192e-05,2.791578910985724e-06,0.3059171711290953,0.3033348012474195,0.3493711871963893,0.2939972425542467,0.4761904761904763,0.5460317460317461,3
4,0.003658508334131248,8.97870292845634e-06,3.461693484729024e-05,0.319560426770893,0.3145793254401632,0.3158804444508375,0.3421935118254347,0.5174603174603175,0.4825396825396826,4
5,0.0006155383042539777,3.637210990258326e-06,7.908234593949084e-06,0.3016881913734263,0.3160164477323971,0.3302961422721381,0.4032421195689395,0.5396825396825397,0.5206349206349207,5
6,0.0012221656458379644,3.501902853789792e-07,1.630365470900112e-06,0.32673333718545905,0.3961131896854663,0.4213721474606588,0.38075052724238506,0.5936507936507937,0.5587301587301587,6
7,0.0009147256049380392,0.00012248812047669782,2.623008301867912e-07,0.2919563905429534,0.20711117285960398,0.3505013679572171,0.3903897810966227,0.4476190476190477,0.6000000000000001,7
8,0.00014082830178038645,1.8946218521807865e-05,2.4430075489699315e-06,0.36157088559107775,0.26667759264311586,0.30689800186121474,0.4482253042220483,0.4984126984126985,0.5492063492063493,8
9,0.0002695002525686754,2.1403888385379158e-05,1.8669919554781048e-06,0.31108907523136303,0.3400122459880718,0.4012950572771562,0.4289467965135731,0.4952380952380953,0.5555555555555556,9
