,$P_{\rho_{\beta}}$,$P_{\tau_B}(D_0)$,$P_{\tau_B}(D_1)$,$P_{\tau_B}(D_2)$,$\rho(\beta)$,$\tau_B(D_0)$,$\tau_B(D_1)$,$\tau_B(D_2)$
0,0.0001,5.697171704121469e-05,8.97870292845634e-06,6.960426368845329e-06,0.5739971988659197,0.4739299811666819,0.5174603174603175,0.5238095238095238
1,0.0001,3.773982467916682e-05,4.1472689932258035e-06,1.0810507627276314e-06,0.5595758182885421,0.4855612964828256,0.5365079365079365,0.5682539682539683
2,0.0001,9.008179778608525e-05,1.8669919554781048e-06,7.122056081351194e-07,0.5901225281329993,0.4610776426943651,0.5555555555555556,0.5777777777777778
3,0.0001,0.00011279203546527452,6.960426368845329e-06,4.1472689932258035e-06,0.5843383376376422,0.4546514734582066,0.5238095238095238,0.5365079365079365
4,0.0001,0.00010083505957142443,1.630365470900112e-06,1.422710332858835e-06,0.5758119780017811,0.4578645580762858,0.5587301587301587,0.5619047619047619
5,0.0001,0.0001571936217226781,1.1549236970298755e-05,2.791578910985724e-06,0.5964582647090428,0.4450122196039691,0.5111111111111112,0.5460317460317461
6,0.0001,2.4863792365156156e-05,6.960426368845329e-06,3.637210990258326e-06,0.5696306054779356,0.4964215734932362,0.5238095238095238,0.5396825396825397
7,0.0001,1.5240358547455735e-05,8.97870292845634e-06,2.4430075489699315e-06,0.5846437446618545,0.509273911965553,0.5174603174603175,0.5492063492063493
8,0.0001,5.697171704121469e-05,6.121845703558987e-06,4.7254772654333166e-06,0.572466984513944,0.4739299811666819,0.526984126984127,0.5333333333333333
9,0.0001,0.00016580489393789588,6.121845703558987e-06,1.422710332858835e-06,0.5839780722429678,0.4437580060571519,0.526984126984127,0.5619047619047619
