,$P_{\rho_{\beta}}$,$P_{\tau_B}(D_0)$,$P_{\tau_B}(D_1)$,$P_{\tau_B}(D_2)$,$\rho(\beta)$,$\tau_B(D_0)$,$\tau_B(D_1)$,$\tau_B(D_2)$
0,0.0001,1.7751955303115055e-14,9.887451154946435e-12,3.057254664834765e-07,0.4769969253895992,0.3933977514521895,0.3485683559618229,0.26213200699018685
1,0.0001,2.5986412913020683e-15,6.287786293804973e-13,1.4842158672619173e-08,0.4684180397849485,0.40582102069428455,0.3683290764887754,0.2899583277322221
2,0.0001,1.6352692067271148e-14,3.26853071988032e-12,1.80999531906021e-08,0.47518165371444004,0.3939897609577887,0.3566339561769055,0.2882107810189541
3,0.0001,1.3945997083596384e-13,5.622273140502728e-11,5.999618735539855e-07,0.4732747517505753,0.3796499068538638,0.3355289689474392,0.2555451001478693
4,0.0001,1.4168431668957283e-14,5.5979203611984465e-12,4.200379496561382e-08,0.4799608528688229,0.3948799830897898,0.3527355827396156,0.280682887484877
5,0.0001,1.6688262966374542e-14,3.3927148872271754e-12,5.4811002409697225e-08,0.476646094446825,0.39388150154210333,0.3563651028364028,0.2782632074203522
6,0.0001,6.103928761003282e-14,5.010523091539236e-12,6.165009481560823e-08,0.4618021401490383,0.3852817990965071,0.35354214276112383,0.2771877940583412
7,0.0001,1.6696273459575204e-14,9.051769917311325e-13,1.6021443919048986e-08,0.4716513775410535,0.3937755054418143,0.3657749697539993,0.2892861943809652
8,0.0001,6.805849601844082e-15,2.2059592301794657e-12,3.8419580987208464e-08,0.4735286787968453,0.3996501054969733,0.3594569162521844,0.2814894475063853
9,0.0001,1.8871948395198742e-14,8.547114289824917e-13,4.6595933377878475e-08,0.4685697531614397,0.3930199484118008,0.3661782497647533,0.2797419007931173
