,$P_{\rho_{\beta}}$,$P_{\tau_B}(D_0)$,$P_{\tau_B}(D_1)$,$P_{\tau_B}(D_2)$,$\rho(\beta)$,$\tau_B(D_0)$,$\tau_B(D_1)$,$\tau_B(D_2)$
0,0.0001,0.4030820851617861,0.029213358598129364,0.4549959213646621,0.7090266130573121,0.07512017172710696,0.189846641988366,0.06504494976203068
1,0.0001,0.9221764879275774,0.051202316210360733,0.5557365525081721,0.7038114483069919,-0.008798018975142801,0.16975145425700688,0.05129561078794289
2,0.0001,0.9271914104323944,0.057277444896541366,0.7939494465711545,0.7110307127331029,-0.00816288242382412,0.16552088841882606,0.02273929138022211
3,0.0001,0.4030709166144055,0.029213358598129364,0.36544515766826396,0.7142200868637764,0.07529031955941656,0.189846641988366,0.07879428873611846
4,0.0001,0.8354394044514957,0.06750474728448311,0.8697309799351222,0.7035458522238038,0.018749069969449826,0.15917503966155475,0.014278159703860394
5,0.0001,0.8071795422355225,0.13671133011073336,0.9177571051000379,0.7103326828515423,0.021951486684372985,0.12956107879428874,0.00898995240613432
6,0.0001,0.4943471635061779,0.11851454488683465,0.9177571051000379,0.7114262621742059,-0.061429447004513436,0.13590692755156006,-0.00898995240613432
7,0.0001,0.3231417576600035,0.08785607511856974,0.9854615563571196,0.7156449183500327,0.08862839346533775,0.1485986250661026,0.0015864621893178215
8,0.0001,0.956110049801881,0.099748079266997,0.7383233431911786,0.7114526828442169,0.004984372186218313,0.14331041776837655,0.029085140137493387
9,0.0001,0.3726734004374065,0.06750474728448311,0.8506442012050557,0.7081611407443639,0.08032752492586738,0.15917503966155475,0.016393442622950817
