,$P_{\rho_{\beta}}$,$P_{\tau_B}(D_0)$,$P_{\tau_B}(D_1)$,$P_{\tau_B}(D_2)$,$\rho(\beta)$,$\tau_B(D_0)$,$\tau_B(D_1)$,$\tau_B(D_2)$
0,0.0001,0.05718874137374751,0.024228626912034947,0.146583496471255,0.7247314823125864,0.16622495431967454,0.19619249074563724,0.12638815441565313
1,0.0001,0.02783803394934044,0.03505639518827295,0.3985032565161847,0.7254756504399303,0.19219652543050772,0.18350079323109467,0.07350608143839239
2,0.0001,0.13497074616631882,0.04837303593433562,0.36544515766826396,0.7267631298640241,0.13067784857218914,0.17186673717609732,0.07879428873611846
3,0.0001,0.1287399111011314,0.02273964862980675,0.33415477699110885,0.7287795897122589,0.13280269163840366,0.1983077736647277,0.08408249603384453
4,0.0001,0.07602481885200663,0.014862726381484934,0.12140795969939297,0.7168898573000608,0.15503145145223274,0.2120571126388155,0.13484928609201485
5,0.0001,0.03941308079895109,0.012121210317214266,0.266328683907378,0.7227527811961129,0.18003277800118106,0.21840296139608675,0.09677419354838712
6,0.0001,0.03100037491900265,0.008846514526183548,0.1874782923695144,0.7273016666276267,0.18852990026672356,0.2279217345319937,0.11475409836065575
7,0.0001,0.04897463234215823,0.018136583107215016,0.4191752810902468,0.7161624688198639,0.17220352202382724,0.2057112638815442,0.07033315705975675
8,0.0001,0.08011980279200492,0.024228626912034947,0.27692163845046003,0.7167235250406107,0.152988700767441,0.19619249074563724,0.09465891062929667
9,0.0001,0.06925824365767211,0.05570508231128381,0.5395575090748532,0.7114197153311321,0.15870597869360756,0.16657852987837124,0.05341089370703332
