,$P_{\rho_{\beta}}$,$P_{\tau_B}(D_0)$,$P_{\tau_B}(D_1)$,$P_{\tau_B}(D_2)$,$\rho(\beta)$,$\tau_B(D_0)$,$\tau_B(D_1)$,$\tau_B(D_2)$
0,0.0041,0.2242863524728496,0.02733656983986834,0.3792802522826044,0.2055244763341288,0.12485263068166465,0.217687074829932,0.08673469387755099
1,0.0048,0.2589033020360913,0.06508922373339714,0.3343336949105431,0.2059432713121661,0.11620313958473348,0.18197278911564624,0.09523809523809522
2,0.0029,0.06451542145636069,0.1336529021758006,0.3982538507983723,0.20971175324338606,0.18969181019318995,0.14795918367346936,0.08333333333333333
3,0.003,0.29310141389991784,0.12494830897273528,0.4378758230826009,0.21491485644807276,0.10810817552900068,0.15136054421768705,0.07653061224489795
4,0.0051,0.481602081700297,0.0092360660015323,0.20821243525581667,0.21116080954157387,0.07247075291819062,0.2568027210884353,0.12414965986394555
5,0.0033,0.781176161571735,0.14281943951411188,0.4690251014264722,0.20553076214064106,0.028524577952498912,0.14455782312925167,0.07142857142857141
6,0.002,0.3703487685773952,0.06763887690844016,0.30095842498661385,0.2159898186855393,0.09236902924576673,0.1802721088435374,0.1020408163265306
7,0.0012,0.1169609419875718,0.07867157440867804,0.417788148738424,0.22530855108769235,0.16225700771035714,0.17346938775510198,0.07993197278911564
8,0.0024,0.12779707379925428,0.1014699409909578,0.5811748261750435,0.2142429986808028,0.15730529317578884,0.16156462585034012,0.054421768707482984
9,0.0029,0.7546348879433031,0.04741635522881224,0.20821243525581667,0.21148459058967048,0.032060587638285634,0.19557823129251695,0.12414965986394555
