,$P_{\tau_B}(D_0)$,$P_{\tau_B}(D_1)$,$P_{\tau_B}(D_2)$,$R^2(D_0)$,$R^2(D_1)$,$R^2(D_2)$,$\tau_B(D_0)$,$\tau_B(D_1)$,$\tau_B(D_2)$,OTU
0,0.5176782586869402,0.0008243215835672741,0.0007745417287417526,0.023458121086758377,0.2206741212468466,0.2576513789319539,0.0641861745258562,0.3299319727891156,0.3316326530612245,0
1,0.14972768859808006,8.471827534956576e-05,0.0008770559294260229,0.07383245798319404,0.2712534527284461,0.2909891085071509,0.14292121527757315,0.38775510204081626,0.3282312925170067,1
2,0.3383381081044856,8.6740054247089e-06,0.0011908687845414872,0.028154941604474626,0.26492964085822746,0.2495642086494265,0.09499553829826718,0.4387755102040816,0.3197278911564625,2
3,0.04823545512659478,9.7727549628152e-05,0.00015969472525429604,0.1101181642143496,0.30048007000169097,0.2427302052612276,0.1959817862189476,0.3843537414965986,0.3724489795918367,3
4,0.12682291112014948,0.0005648915764034486,0.0003588775360528895,0.05183616724268425,0.2607645234917252,0.304296926908322,0.15147937188102062,0.34013605442176864,0.35204081632653056,4
5,0.21739789313792607,0.00012960552084704158,0.002553382832104992,0.03641107826710877,0.2648596273422757,0.26007005669748673,0.12238163942929915,0.3775510204081632,0.2976190476190476,5
6,0.4740320168406306,3.784099397553616e-05,0.0001049186595988543,0.014459480011940641,0.2632474318590773,0.27131637466606284,0.0710326998086142,0.4064625850340135,0.3826530612244898,6
7,0.000699168423514949,0.0010546110577946649,0.0007745417287417526,0.15058271591651862,0.19659671462445905,0.2765019778162339,0.3363355545154865,0.32312925170068024,0.3316326530612245,7
8,0.17022279087964332,4.164638413203901e-06,4.392481387707453e-05,0.061848604479762925,0.3094314127571908,0.3248308320239656,0.13607468999481515,0.4540816326530612,0.4030612244897959,8
9,0.14972768859808006,0.0021502009921824388,0.0021502009921824388,0.1115439108877374,0.2031849717864188,0.2263237106820014,0.14292121527757315,0.3027210884353741,0.3027210884353741,9
