,$P_{\rho_{\beta}}$,$P_{\tau_B}(D_0)$,$P_{\tau_B}(D_1)$,$P_{\tau_B}(D_2)$,$\rho(\beta)$,$\tau_B(D_0)$,$\tau_B(D_1)$,$\tau_B(D_2)$
0,0.0225,0.019848524312180198,0.007536716898565075,0.02185512982273592,0.17089447582474995,0.2313655258299221,0.2636054421768707,0.22619047619047614
1,0.0133,0.13337389925328005,0.010207754748271406,0.1524609681352398,0.17909191963949592,0.1489752781999808,0.2534013605442177,0.141156462585034
2,0.013999999999999999,0.09421462015664298,0.011836152101473409,0.14281943951411188,0.17707610382303887,0.16624041485557367,0.2482993197278911,0.14455782312925167
3,0.0193,0.06365389572654298,0.008781895354445735,0.09112599322869604,0.17550518912599805,0.18407864835055096,0.25850340136054417,0.16666666666666666
4,0.0174,0.06489652103733086,0.006797029834243918,0.12494830897273528,0.1742475684383242,0.18322246859078095,0.2670068027210884,0.15136054421768705
5,0.0149,0.0392221888034213,0.01126942029751776,0.10887077203426476,0.17606504042891047,0.2048886897812218,0.24999999999999994,0.1581632653061224
6,0.0125,0.11048189849820456,0.012428016304859079,0.16259005344270086,0.18272834990731893,0.15859584773860266,0.2465986394557823,0.1377551020408163
7,0.0199,0.12682291112014948,0.007158301368722793,0.06022754268302919,0.17207679717623092,0.15147937188102062,0.26530612244897955,0.18537414965986396
8,0.0093,0.050208826480506036,0.004212620222905642,0.0419232520884721,0.1867103621672701,0.19443556161608794,0.282312925170068,0.2006802721088435
9,0.0084,0.14969777314275945,0.017356162233818574,0.09447540898884037,0.19293263806683825,0.14304290215809112,0.2346938775510204,0.1649659863945578
